Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Dehumidifier,Refrigeration Schedule,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Building Has Rear Units MF,Occupants,Vacancy Status,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration
430,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour22,Hour10,None,3A,"SC, Horry County",Non-CBSA South Atlantic,SC,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"SC, 01102",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Crawl,WoodStud,750-999,0-1499,3,9,None,None,3,Double-Loaded Interior,No,2,Vacant,F9 B9 L9 R9,27,None,R-13,None,None,"Asphalt Shingles, Medium",None,"Wall R-10, Unvented",None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,75F,78F,Yes,Yes,6F,5F,Night Setback -4h,Night +2h,None,EF 17.6,"Electric, 120% Usage","318 Rated kWh, 120% Usage",Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,106%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",10 ACH50
431,Medium,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour2,Hour18,None,4C,"OR, Clackamas County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01318",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units high,Crawl,WoodStud,1000-1499,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-38,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, R-7",No Windows,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating Only,"Boiler Baseboards Heating Only, Electricity",Shared Heating,Electricity Shared Heating,None,65F,70F,Yes,No,3F,0F,None,Night -1h,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% CFL,93%,None,None,None,None,None,None,No,None,15 ACH50
432,Medium,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour19,None,2A,"FL, Hillsborough County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 05702",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units high,Slab,Masonry,750-999,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,12,None,R-49,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,80F,75F,Yes,No,3F,0F,None,Day -5h,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,None,None,None,100% Incandescent,106%,None,None,None,None,None,None,Yes,"10% Leakage, R-8",15 ACH50
433,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour18,None,2B,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00130",50 or more Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,50 or more Units high,Slab,Masonry,1000-1499,0-1499,2,54,None,None,2,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,27,None,R-19,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,60F,Yes,Yes,12F,2F,Night Setback -5h,Night -5h,None,EF 15.9,"Electric, 80% Usage",None,None,None,None,100% Incandescent,106%,None,None,None,None,None,None,Yes,"30% Leakage, R-4",15 ACH50
434,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,Gas Lighting,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour14,None,3A,"SC, Richland County",Non-CBSA South Atlantic,SC,CR09,South Atlantic,South Atlantic,South,None,Mixed-Humid,"SC, 00604",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,WoodStud,500-749,0-1499,3,6,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,4,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,80F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,106%,None,None,None,None,None,None,Yes,"30% Leakage, R-4",30 ACH50
435,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour12,Hour5,None,4A,"VA, Fairfax County","CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",VA,CR08,South Atlantic,South Atlantic,South,PJM,Mixed-Humid,"VA, 59301",10 to 19 Unit,1960s,1960-79,Multi-Family with 5+ Units,Natural Gas,10 to 19 Units low,Slab,Masonry,750-999,0-1499,2,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,27,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,75F,70F,No,No,0F,0F,None,None,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,106%,None,None,None,None,None,None,No,None,20 ACH50
436,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,Gas Lighting,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour11,Hour13,None,3A,"TX, Dallas County","CBSA Dallas-Fort Worth-Arlington, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 02306",10 to 19 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,Masonry,1000-1499,0-1499,3,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,12,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,75F,Yes,No,6F,0F,None,Day and Night -5h,None,EF 17.6,"Gas, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,104%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
437,Low,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour16,Hour11,None,4A,"NC, Forsyth County",Non-CBSA South Atlantic,NC,CR09,South Atlantic,South Atlantic,South,None,Mixed-Humid,"NC, 01803",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,Masonry,1000-1499,0-1499,2,8,None,None,3,Double-Loaded Interior,Yes,2,Occupied,F12 B12 L12 R12,7,None,R-13,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage","318 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,106%,None,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, R-4",25 ACH50
438,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour7,None,5A,"MA, Middlesex County","CBSA Boston-Cambridge-Newton, MA-NH",MA,CR03,New England,New England,Northeast,NEISO,Cold,"MA, 00504",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units high,Unheated Basement,WoodStud,1000-1499,0-1499,2,54,None,None,1,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,27,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,65F,62F,No,Yes,0F,2F,Night Setup +5h,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage",None,None,None,None,100% CFL,94%,None,None,None,None,None,None,No,None,15 ACH50
439,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour19,Hour12,None,5A,"OH, Mahoning County",Non-CBSA East North Central,OH,CR04,East North Central,East North Central,Midwest,PJM,Cold,"OH, 01500",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Unheated Basement,Masonry,500-749,0-1499,3,9,None,None,1,Double-Loaded Interior,No,1,Occupied,F18 B18 L18 R18,27,None,R-19,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",2+ Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,67F,Yes,No,3F,0F,None,Day -3h,Standard Efficiency,EF 17.6,"Electric, 120% Usage",None,None,None,None,100% CFL,89%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",15 ACH50
440,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour11,None,4A,"NY, Bronx County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03709",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Fuel Oil,50 or more Units high,Crawl,Masonry,0-499,0-1499,3,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,None,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Fuel Oil",Shared Heating,Fuel Oil Shared Heating,"Room AC, EER 10.7",68F,68F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 80% Usage","290 Rated kWh, 80% Usage",None,None,None,100% Incandescent,89%,None,None,None,None,None,None,No,None,25 ACH50
441,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour16,None,2A,"TX, Fort Bend County","CBSA Houston-The Woodlands-Sugar Land, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 04905",5 to 9 Unit,2010s,2010s,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,Masonry,750-999,0-1499,2,6,None,None,1,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,7,None,R-19,None,None,"Asphalt Shingles, Medium","2ft R10 Perimeter, R10 Gap",None,None,None,None,R-13,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,76F,70F,Yes,Yes,12F,5F,Night Setback -3h,Day -4h,Standard Efficiency,EF 15.9,"Electric, 120% Usage",None,None,None,None,100% Incandescent,104%,None,None,None,None,None,None,Yes,"10% Leakage, R-8",15 ACH50
442,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour9,Hour18,None,3C,"CA, Monterey County",Non-CBSA Pacific,CA,CR11,Pacific,Pacific,West,CAISO,Marine,"CA, 05301",3 or 4 Unit,1970s,1960-79,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,Masonry,750-999,0-1499,1,4,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,27,None,R-7,None,None,Wood Shingles,None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Premium,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,68F,67F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 100% Usage",None,None,None,None,100% Incandescent,102%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",20 ACH50
443,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour17,None,3B,"CA, Los Angeles County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,None,Hot-Dry,"CA, 03702",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Natural Gas,5 to 9 Units low,Slab,Masonry,500-749,0-1499,3,6,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,12,None,R-13,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Natural Gas,Natural Gas Tankless,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,75F,60F,No,Yes,0F,5F,Day Setup +3h,None,None,EF 17.6,"Gas, 80% Usage",None,None,None,None,100% LED,93%,None,None,None,None,None,None,Yes,"10% Leakage, R-4",20 ACH50
444,Low,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,Gas Fireplace,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour11,None,2A,"FL, Lee County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 07101",3 or 4 Unit,1980s,1980-99,Multi-Family with 2 - 4 Units,Electricity,<5,Slab,Masonry,1000-1499,0-1499,1,4,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,7,None,R-30,None,None,Composition Shingles,Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,68F,Yes,No,6F,0F,None,Night -5h,Standard Efficiency,EF 15.9,"Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% CFL,82%,None,None,None,None,None,None,Yes,"10% Leakage, R-4",20 ACH50
445,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour19,Hour18,None,2A,"FL, Orange County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 09504",10 to 19 Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,WoodStud,750-999,0-1499,2,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,12,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-19",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,65F,67F,No,No,0F,0F,None,None,None,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% Incandescent,106%,None,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, R-8",15 ACH50
446,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour19,None,4A,"NC, Durham County",Non-CBSA South Atlantic,NC,CR09,South Atlantic,South Atlantic,South,None,Mixed-Humid,"NC, 01301",10 to 19 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Crawl,WoodStud,750-999,0-1499,3,15,None,None,1,Double-Loaded Interior,No,1,Occupied,F18 B18 L18 R18,4,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-13,"Wood Stud, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,75F,No,Yes,0F,9F,Day Setup -5h,None,Standard Efficiency,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,106%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",8 ACH50
447,Low,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour0,Hour11,None,6A,"MN, Hennepin County",Non-CBSA West North Central,MN,CR02,West North Central,West North Central,Midwest,MISO,Cold,"MN, 01406",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units low,Slab,Masonry,750-999,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,12,None,R-13,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,67F,60F,Yes,No,3F,0F,None,Night -4h,Standard Efficiency,EF 15.9,"Electric, 80% Usage",None,None,None,None,100% Incandescent,86%,None,None,None,None,None,None,No,None,15 ACH50
448,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour6,Hour20,None,5B,"CO, Arapahoe County",Non-CBSA Mountain,CO,CR05,Mountain,Mountain North,West,None,Cold,"CO, 00811",10 to 19 Unit,2000s,2000-09,Multi-Family with 5+ Units,Natural Gas,10 to 19 Units low,Crawl,Masonry,1000-1499,0-1499,2,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,12,None,R-38,None,None,"Asphalt Shingles, Medium",None,"Wall R-10, Unvented",None,None,None,R-30,"CMU, 6-in Hollow, R-19",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,68F,No,Yes,0F,9F,Day Setup +4h,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,105%,None,None,None,None,None,None,Yes,"10% Leakage, R-6",15 ACH50
449,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour19,Hour17,None,3C,"CA, San Francisco County","CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,Pacific,West,None,Marine,"CA, 07501",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,WoodStud,1000-1499,0-1499,1,3,None,None,2,Double-Loaded Interior,No,1,Occupied,F18 B18 L18 R18,7,None,R-19,None,None,Composition Shingles,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,None,70F,60F,Yes,No,12F,0F,None,Night -4h,Standard Efficiency,EF 15.9,"Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% LED,102%,None,None,None,None,None,None,No,None,15 ACH50
450,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour19,Hour8,None,3A,"NC, Onslow County",Non-CBSA South Atlantic,NC,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"NC, 04500",3 or 4 Unit,1990s,1980-99,Multi-Family with 2 - 4 Units,Electricity,<5,Slab,Masonry,1000-1499,0-1499,1,4,None,None,3,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,7,None,R-30,None,None,Composition Shingles,Uninsulated,None,None,None,None,R-19,"CMU, 6-in Hollow, R-11",2+ Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,75F,72F,No,Yes,0F,5F,Day Setup,None,None,EF 15.9,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,82%,None,None,None,None,None,None,Yes,"30% Leakage, R-4",10 ACH50
