Parameter,Number of options,Number of dependencies,Created by,Description,Source,Assumption
Misc Pool Heater,4.0,2.0,sources\recs\recs2020\tsv_maker.py,The heating fuel of the pool heater if there is a pool.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,
Misc Pool Pump,2.0,1.0,manually created,Presence and size of pool pump.,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation",
Misc Well Pump,2.0,0.0,manually created,Presence and efficiency of well pump.,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation",
Natural Ventilation,1.0,0.0,manually created,Schedule of natural ventilation from windows.,Wilson et al. 'Building America House Simulation Protocols' 2014,
Neighbors,7.0,1.0,manually created,Presence and distance between the dwelling unit and the nearest neighbors to the left and right.,OpenStreetMap data queried by Radiant Labs for Multi-Family and Single-Family Attached; Engineering Judgement for others,
Occupants,11.0,6.0,sources\pums\pums2019_5yrs\tsv_maker.py,The number of occupants living in the dwelling unit.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.","Option=10+ has a (weighted) representative value of 11. In ACS, Income, Tenure, and Occupants are reported for occupied units only. Because we assume vacant units share the same Income and Tenure distributions as occupied units, by extension, we assume this Occupants distribution applies to all units regardless of Vacancy Status. Where sample counts are less than 10 (6243 / 18000 rows), the Census Region average distribution has been inserted first (2593), followed by national average distribution (2678), followed by national + 'MF'/'SF' average distribution (252), followed by national + 'MF'/'SF' + 'Metro'/'Non-metro' average distribution (315)followed by national + 'MF'/'SF' + 'Metro'/'Non-metro' + Vacancy Status average distribution (657)."
Orientation,8.0,0.0,manually created,Orientation of the front of the dwelling unit as it faces the street.,OpenStreetMap data queried by Radiant Labs.,
Overhangs,1.0,0.0,manually created,"Presence, depth, and location of window overhangs (not used in project_national).",Not applicable; all homes are assumed to not have window overhangs other than eaves.,
PUMA,2351.0,1.0,sources\spatial\tsv_maker.py,The Public Use Microdata Area from 2010 U.S. Census that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.",
PUMA Metro Status,3.0,1.0,sources\pums\pums2019_5yrs\tsv_maker.py,The public use microdata area metropolitan status that the dwelling unit is located.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.","'PUMA Metro Status', derived from ACS IPUMS METRO codes, indicates whether the household resided within a metropolitan area and, for households in metropolitan areas, whether the household resided within or outside of a central/principal city. Each PUMA has a unique METRO status in ACS and therefore has a unique PUMA Metro Status. IPUMS derives METRO codes for samples not directly identified based on available geographic information and whether the associated county group or PUMA lies wholly or only partially within metropolitan areas or principal cities."
PV Orientation,9.0,1.0,sources\dpv\tsv_maker.py,The orientation of the photovoltaic system.,LBNL's 2020 Tracking the Sun (TTS).,PV orientation mapped based on azimuth angle of primary array (180 deg is South-facing).
PV System Size,8.0,2.0,sources\dpv\tsv_maker.py,The size of the photovoltaic system.,LBNL's 2020 Tracking the Sun (TTS).,Installations of unknown mount type are assumed rooftop. States without data are backfilled with aggregates at the Census Region. 'East South Central' assumed the same distribution as 'West South Central'.; PV is not modeled in AK and HI. The Option=None is set so that an error is thrown if PV is modeled as an argument will be missing.
Plug Load Diversity,3.0,1.0,manually created,Plug load diversity multiplier intended to add variation in plug load profiles across all simulations.,"Engineering Judgement, Calibration",
Plug Loads,31.0,2.0,sources\recs\recs2015\tsv_maker.py,Plug load usage level which is varied by Census Division RECS and Building Type RECS.,U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata.,Multipliers are based on ratio of the ResStock MELS regression equations and the MELS modeled in RECS.
REEDS Balancing Area,135.0,1.0,sources\spatial\tsv_maker.py,The Regional Energy Deployment System Model (ReEDS) balancing area that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.; Brown, Maxwell, Wesley Cole, Kelly Eurek, Jon Becker, David Bielen, Ilya Chernyakhovskiy, Stuart Cohen et al. 2020. Regional Energy Deployment System (ReEDS) Model Documentation: Version 2019. Golden, CO: National Renewable Energy Laboratory. NREL/TP-6A20-74111. https://www.nrel.gov/docs/fy20osti/74111.pdf.",
Radiant Barrier,3.0,1.0,manually created,Presence of radiant barrier in the attic (not modeled in project_national).,Not applicable; all homes are assumed to not have attic radiant barriers installed.,
Range Spot Vent Hour,24.0,0.0,manually created,Range spot ventilation daily start hour.,derived from national average cooking range schedule in Wilson et al. 'Building America House Simulation Protocols' 2014,
Refrigerator,9.0,5.0,sources\recs\recs2020\tsv_maker.py,The presence and rated efficiency of the primary refrigerator.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.; Age of refrigerator converted to efficiency levels using ENERGYSTAR shipment-weighted efficiencies by year data from Home Energy Score: http://hes-documentation.lbl.gov/. Check the comments in: HES-Refrigerator_Age_vs_Efficiency.tsv,"The current year is assumed to be 2022 (previously, it was 2016); Previously, for each year, the EF values were rounded to the nearest EF level, and then the distribution of EF levels were calculated for the age bins. Currently, each year has its own distribution and then we average out the distributions to get the distribution for the age bins. EF for all years are weighted equally when calculating the average distribution for the age bins.; EnergyStar distributions from 2009 dependent on [Geometry Building Type RECS,Federal Poverty Level,Tenure] is used to calculate efficiency distribution in RECS2020.EnergyStar Refrigerators assumed to be 10% more efficient than standard.Due to low sampling count, the following coarsening rules are incorporated[1] State coarsened to Census Division RECS with AK/HI separate; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Vintage with Vintage ACS; [5] Vintage with combined 1960s; [6] Vintage with combined 1960s and post 200ss; [7] Federal Poverty Level coarsened every 100 percent; [8] Federal Poverty Level coarsened every 200 percent; [9] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [10] Census Division RECS to Census Region; [11] Census Region to National"
Refrigerator Usage Level,3.0,1.0,sources\other\tsv_maker.py,Refrigerator energy usage level multiplier.,n/a,Engineering judgement
Roof Material,7.0,3.0,sources\recs\recs2020\tsv_maker.py,Roof material and color.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"Multi-Family with 5+ Units is assigned 'Asphalt Shingles, Medium' only.; Due to low samples, Vintage ACS is progressively grouped into: pre-1960, 1960-1999, and 2000+.; Geometry Building Type RECS is progressively grouped into: Single-Family (including Mobile Home), and Multi-Family.; Census Division RECS is coarsened to Census Region."
Solar Hot Water,1.0,0.0,manually created,"Presence, size, and location of solar hot water system (not modeled in project_national).",Not applicable; all homes are assumed to not have solar water heating.,
State,51.0,1.0,sources\spatial\tsv_maker.py,The U.S. State the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.",
State Metro Median Income,8.0,3.0,sources\pums\pums2019_5yrs\tsv_maker.py,State Metro median income of the household occupying the dwelling unit.             This is different from State Median Income in that the Income Limits are differentiated by Metro and             Nonmetro portions of the state.,"% State Metro Median Income is calculated using annual household income in 2019USD (continuous, not binned) from 2019-5yrs PUMS data and 2019 state median income (SMI) by metro/nonmetro area from HUD. A County Metro Status-differentiated Income Limits table is derived from the SMI by adjusting for household size only, which is consistent with how HUD's published State Income Limits table is generated.",
Tenure,3.0,3.0,sources\pums\pums2019_5yrs\tsv_maker.py,The tenancy (owner or renter) of the household occupying the dwelling unit.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.","In ACS, Tenure is reported for occupied units only. By excluding Vacancy Status as a dependency, we assume vacant units share the same Tenure distribution as occupied units. Where sample counts are less than 10 (464 / 11680 rows), the Census Division by PUMA Metro Status average distribution has been inserted. 'Mobile Home' does not exist in DC and is replaced by 'Single-Family Detached'."
Usage Level,4.0,0.0,manually created,Usage of major appliances relative to the national average.,"Engineering Judgement, Calibration",
Vacancy Status,2.0,2.0,sources\pums\pums2019_5yrs\tsv_maker.py,The vacancy status (occupied or vacant) of the dwelling unit.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.","Where sample counts are less than 10 (434 / 11680 rows), the State average distribution has been inserted. 'Mobile Home' does not exist in DC and is replaced by 'Single-Family Detached'."
Vintage,9.0,2.0,sources\pums\pums2019_5yrs\tsv_maker.py,Time period in which the building was constructed.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.","Where sample counts are less than 10 (812 / 21024 rows), the State average distribution has been inserted. 'Mobile Home' does not exist in DC and is replaced by 'Single-Family Detached'."
Vintage ACS,6.0,1.0,sources\pums\pums2019_5yrs\tsv_maker.py,Time period in which the dwelling unit was constructed as defined by the U.S. Census American Community Survey.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.",
Water Heater Efficiency,16.0,2.0,sources\recs\recs2020\tsv_maker.py,"The efficiency, type, and heating fuel of water heater.",U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.; (Heat pump water heaters) 2016-17 RBSA II for WA and OR and Butzbaugh et al. 2017 US HPWH Market Transformation - Where We've Been and Where to Go Next for remainder of regions; Penetration of HPWH for Maine (6.71%) calculated based on total number of HPWH units (AWHI Stakeholder Meeting 12/08/2022) and total housing units https://www.census.gov/quickfacts/ME,"Water heater blanket is used as a proxy for premium storage tank water heaters.; Heat Pump Water Heaters are added in manually as they are not in the survey.; Default efficiency of HPWH: Electric Heat Pump, 50 gal, 3.45 UEF.; Due to low sample sizes, fallback rules applied with lumping of:; [1] State: Census Division RECS; [2] State: Census Region[3] State: National"
Water Heater Fuel,5.0,3.0,sources\recs\recs2020\tsv_maker.py and sources\aris\tsv_maker.py,The water heater fuel type.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.; Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.,"Due to low sample sizes, fallback rules applied with lumping of:; [1] State: Census Division RECS; [2] Geometry building SF: Mobile, Single family attached, Single family detached; [3] Geometry building MF: Multi-Family with 2 - 4 Units, Multi-Family with 5+ Units; [4] State: Census Region[5] State: National; For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.; For Alaska, wood and coal heating is modeled as other fuel.; For Alaska, when a building uses more than one fuel for water heating, the fuel with highest consumption is considered the water heater fuel. Rest of the fuels are ignored."
Water Heater In Unit,2.0,3.0,sources\recs\recs2020\tsv_maker.py,Individual water heater present or not present in the dwelling unit that solely serves the specific dwelling unit.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"Single-Family Detached and Mobile Homes have in unit water heaters.; As Not Applicable option for Single-Family Attached option is 100%; Assuming Single-Family Attached in-unit water heater distribution from RECS 2009; Due to low sample sizes, fallback rules applied with lumping of:; [1] State: Census Division RECS; [2] Vintage ACS: Combining Vintage pre 1960s and post 2000; [3] State: Census Region"
Water Heater Location,8.0,4.0,sources\recs\recs2020\tsv_maker.py,location of water heater.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"H2OMAIN = other is equally distributed amongst attic and crawlspace.; H2OMAIN does not apply to multi-family, therefore Water heater location for multi-family with in-unit water heater is taken after the combined distribution of other builing types.; out-of-unit water heater is assumed to be in Conditioned Mechanical Room. Per expert judgement, water heaters can not be outside or in vented spaces for IECC Climate Zones 4-8 due to pipe-freezing risk.; Where samples < 10, data is aggregated in the following order:; 1. Building Type lumped into single-family, multi-family, and mobile home.; 2. 1 + Foundation Type combined. 3. 2 + Attic Type combined; 4. 3 + Garage combined.; 5. Single-/Multi-Family + Foundation combined + Attic combined + Garage combined.; 6. 5 + pre-1960 combined.; 7. 5 + pre-1960 combined / post-2020 combined.; 8. 7 + IECC Climate Zone lumped into: 1-2+3A, 3B-3C, 4, 5, 6, 7 except AK, 7AK-8AK.; 9. 7 + IECC Climate Zone lumped into: 1-2-3, 4-8."
Window Areas,6.0,1.0,sources\rbsa_II\tsv_maker.py,"Window to wall ratios of the front, back, left, and right walls.",2016-17 Residential Building Stock Assessment (RBSA) II microdata.,"The window to wall ratios (WWR) are exponential weibull distributed.; Multi-Family with 2-4 Units distributions are independent of Geometry Stories; Multi-Family with 5+ Units distributions are grouped by 1-3 stories, 4-7 stories, and 8+ stories; High-rise Multi-family buildings (8+ stories) have a 30% window to wall ratio (WWR); SFD, SFA, and Mobile Homes are represented by the SFD window area distribution"
Windows,11.0,5.0,sources\recs\recs2020\tsv_maker.py,Construction type and efficiency levels of windows.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"Wood and Vinyl are considered same material; Triple Pane assumed to be 100% low-e; Only breaking out clear and low-e windows for the Double, Non-Metal frame type; Source of low-e distribution is based on engineering judgement, informed by high-levelsales trends observed in Ducker Worldwide studies of the U.S. Market for Windows, Doors and Skylights.; Due to low sample sizes, the following adjustments are made:; [1] Vintage data are grouped into: 1) <1960, 2) 1960-79, 3) 1980-99, 4) 2000s, 5) 2010s.; [2] Building Type data are grouped into: 1) Single-Family Detached, Single-Family Attached, and Mobile homes and 2) Multi-Family 2-4 units and Multi-Family 5+ units.; [3] Climate zones are grouped into: 1) 1A, 2A, 2B; 2) 3A, 3B, 3C, 4B; 3) 4A, 4C; 4) 5A, 5B; 5) 6A, 6B; and 6) 7A, 7B 7AK, 8AK.; [4] Federal Poverty Levels are progressively grouped together until all bins are combined.; [5] Tenure options are progressively grouped together until all bins are combined.; Storm window saturations are based on D&R International, Ltd. 'Residential Windows and Window Coverings: A Detailed View of the Installed Base and User Behavior' 2013. https://www.energy.gov/sites/prod/files/2013/11/f5/residential_windows_coverings.pdf. Cut the % storm windows by factor of 55% because only 55% of storms are installed year round; Due to lack of performance data storm windows with triple-pane are modeled without the storm windows; Due to lack of performance data Double-pane, Low-E, Non-Metal, Air, M-gain, Exterior Clear Storm windows are modeled as Double-pane, Clear, Non-Metal, Air, Exterior Clear Storm windows"
