Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=Double, Clear, Metal, Air	Option=Double, Clear, Metal, Air, Exterior Clear Storm	Option=Double, Clear, Non-metal, Air	Option=Double, Clear, Non-metal, Air, Exterior Clear Storm	Option=Double, Low-E, Non-metal, Air, M-Gain	Option=Single, Clear, Metal	Option=Single, Clear, Metal, Exterior Clear Storm	Option=Single, Clear, Non-metal	Option=Single, Clear, Non-metal, Exterior Clear Storm	Option=Triple, Low-E, Non-metal, Air, L-Gain	Option=Void	source_count	source_weight	sampling_probability
4B	150-200%	Single-Family Attached	Renter	1980-99	0.2071	0.0146345	0.103058	0.0135013	0.0880065	0.292641	0.0206791	0.243195	0.0171851	0	0	115	0	4.22846e-06
4B	200-300%	Single-Family Attached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	13	0	0
4B	200-300%	Single-Family Attached	Owner	1980-99	0.129475	0.00914917	0.261999	0.0347612	0.229924	0.284376	0.0200951	0.0282262	0.00199457	0	0	12	0	7.87609e-06
4B	200-300%	Single-Family Attached	Renter	1980-99	0.29322	0.02072	0.144431	0.0175221	0.103533	0.209516	0.0148052	0.183301	0.0129527	0	0	62	0	7.05275e-06
4B	300-400%	Single-Family Attached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	13	1411.3	0
4B	300-400%	Single-Family Attached	Owner	1980-99	0.129475	0.00914917	0.261999	0.0347612	0.229924	0.284376	0.0200951	0.0282262	0.00199457	0	0	12	0	7.3856e-06
4B	300-400%	Single-Family Attached	Renter	1980-99	0.29322	0.02072	0.144431	0.0175221	0.103533	0.209516	0.0148052	0.183301	0.0129527	0	0	62	1411.3	4.3632e-06
4B	400%+	Single-Family Attached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	22	9486.69	0
4B	400%+	Single-Family Attached	Owner	1980-99	0.295226	0.0208618	0.279656	0.0339049	0.20015	0.034775	0.00245733	0.0858095	0.00606363	0.0410963	0	20	2111.61	1.97597e-05
4B	400%+	Single-Family Attached	Renter	1980-99	0.249486	0.0176296	0.201967	0.0254105	0.15763	0.154873	0.0109439	0.170044	0.012016	0	0	40	7375.08	8.44507e-06
4B	Not Available	Single-Family Attached	Not Available	1980-99	0.312498	0.0220823	0.221963	0.0274963	0.167152	0.101487	0.00717145	0.107468	0.00759408	0.0250896	0	33	10898	1.51317e-05
4B	Not Available	Single-Family Attached	Owner	1980-99	0	0	0	0	0	0	0	0	0	0	1	31	2111.61	0
4B	Not Available	Single-Family Attached	Renter	1980-99	0	0	0	0	0	0	0	0	0	0	1	157	8786.38	0
4B	0-100%	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	173	0	0
4B	0-100%	Single-Family Attached	Owner	2000-09	0.424518	0.0299981	0.199437	0.0352325	0.299156	0	0	0	0	0.0116575	0	132	0	1.10604e-06
4B	0-100%	Single-Family Attached	Renter	2000-09	0.352118	0.024882	0.209116	0.0369424	0.313674	0	0	0	0	0.0632675	0	41	0	1.45741e-06
4B	100-150%	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	173	0	0
4B	100-150%	Single-Family Attached	Owner	2000-09	0.424518	0.0299981	0.199437	0.0352325	0.299156	0	0	0	0	0.0116575	0	132	0	9.75678e-07
4B	100-150%	Single-Family Attached	Renter	2000-09	0.352118	0.024882	0.209116	0.0369424	0.313674	0	0	0	0	0.0632675	0	41	0	1.47578e-06
4B	150-200%	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	173	0	0
4B	150-200%	Single-Family Attached	Owner	2000-09	0.424518	0.0299981	0.199437	0.0352325	0.299156	0	0	0	0	0.0116575	0	132	0	1.38156e-06
4B	150-200%	Single-Family Attached	Renter	2000-09	0.352118	0.024882	0.209116	0.0369424	0.313674	0	0	0	0	0.0632675	0	41	0	1.69092e-06
4B	200-300%	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	255	0	0
4B	200-300%	Single-Family Attached	Owner	2000-09	0.44454	0.0314129	0.19215	0.0339451	0.288225	0	0	0	0	0.00972652	0	216	0	2.89353e-06
4B	200-300%	Single-Family Attached	Renter	2000-09	0.555979	0.0392876	0.13413	0.0236954	0.201195	0	0	0	0	0.045712	0	39	0	3.28879e-06
4B	300-400%	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	255	0	0
4B	300-400%	Single-Family Attached	Owner	2000-09	0.44454	0.0314129	0.19215	0.0339451	0.288225	0	0	0	0	0.00972652	0	216	0	2.79144e-06
4B	300-400%	Single-Family Attached	Renter	2000-09	0.555979	0.0392876	0.13413	0.0236954	0.201195	0	0	0	0	0.045712	0	39	0	2.27164e-06
4B	400%+	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	10	0	0
4B	400%+	Single-Family Attached	Owner	2000-09	0.409006	0.0289019	0.206653	0.0365072	0.30998	0	0	0	0	0.00895207	0	284	0	9.06264e-06
4B	400%+	Single-Family Attached	Renter	2000-09	0.583905	0.041261	0.120328	0.021257	0.180491	0	0	0	0	0.0527578	0	28	0	5.83908e-06
4B	Not Available	Single-Family Attached	Not Available	2000-09	0.441636	0.0312077	0.196946	0.0347923	0.295418	0	0	0	0	0	0	15	0	6.60955e-06
4B	Not Available	Single-Family Attached	Owner	2000-09	0	0	0	0	0	0	0	0	0	0	1	12	0	0
4B	Not Available	Single-Family Attached	Renter	2000-09	0	0	0	0	0	0	0	0	0	0	1	77	0	0
4B	0-100%	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	65	2395.01	0
4B	0-100%	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	48	0	2.77623e-07
4B	0-100%	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	2395.01	5.23556e-07
4B	100-150%	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	65	0	0
4B	100-150%	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	48	0	1.87455e-07
4B	100-150%	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	0	4.52208e-07
4B	150-200%	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	65	0	0
4B	150-200%	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	48	0	2.42811e-07
4B	150-200%	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	0	5.86852e-07
4B	200-300%	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	150	0	0
4B	200-300%	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	135	0	7.07994e-07
4B	200-300%	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	15	0	1.32162e-06
4B	300-400%	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	150	0	0
4B	300-400%	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	135	0	8.29338e-07
4B	300-400%	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	15	0	1.10315e-06
4B	400%+	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	197	0	0
4B	400%+	Single-Family Attached	Owner	2010s	0	0	0	0	0.980939	0	0	0	0	0.0190607	0	184	0	3.67749e-06
4B	400%+	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	13	0	2.73832e-06
4B	Not Available	Single-Family Attached	Not Available	2010s	0	0	0	0	1	0	0	0	0	0	0	10	2395.01	2.14033e-06
4B	Not Available	Single-Family Attached	Owner	2010s	0	0	0	0	0	0	0	0	0	0	1	271	0	0
4B	Not Available	Single-Family Attached	Renter	2010s	0	0	0	0	0	0	0	0	0	0	1	33	2395.01	0
4B	0-100%	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	12	0	0
4B	0-100%	Single-Family Attached	Owner	<1940	0.578241	0.0408607	0.0627155	0.00886343	0.0627155	0.12941	0.00914459	0.100919	0.00713129	0	0	10	0	2.6233e-07
4B	0-100%	Single-Family Attached	Renter	<1940	0.122485	0.00865523	0.0556252	0.00786138	0.0556252	0.198251	0.0140092	0.483775	0.0341854	0.0195275	0	85	0	7.84013e-07
4B	100-150%	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	12	0	0
4B	100-150%	Single-Family Attached	Owner	<1940	0.578241	0.0408607	0.0627155	0.00886343	0.0627155	0.12941	0.00914459	0.100919	0.00713129	0	0	10	0	2.78779e-07
4B	100-150%	Single-Family Attached	Renter	<1940	0.122485	0.00865523	0.0556252	0.00786138	0.0556252	0.198251	0.0140092	0.483775	0.0341854	0.0195275	0	85	0	5.66323e-07
4B	150-200%	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	12	0	0
4B	150-200%	Single-Family Attached	Owner	<1940	0.578241	0.0408607	0.0627155	0.00886343	0.0627155	0.12941	0.00914459	0.100919	0.00713129	0	0	10	0	2.56263e-07
4B	150-200%	Single-Family Attached	Renter	<1940	0.122485	0.00865523	0.0556252	0.00786138	0.0556252	0.198251	0.0140092	0.483775	0.0341854	0.0195275	0	85	0	4.99411e-07
4B	200-300%	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	262	0	0
4B	200-300%	Single-Family Attached	Owner	<1940	0.15375	0.0108646	0.200588	0.0283486	0.200588	0.0860718	0.00608216	0.280541	0.0198241	0.013343	0	203	0	6.02371e-07
4B	200-300%	Single-Family Attached	Renter	<1940	0.0654256	0.00462322	0.0785574	0.0111023	0.0785574	0.188636	0.0133297	0.522824	0.0369447	0	0	59	0	8.10434e-07
4B	300-400%	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	262	0	0
4B	300-400%	Single-Family Attached	Owner	<1940	0.15375	0.0108646	0.200588	0.0283486	0.200588	0.0860718	0.00608216	0.280541	0.0198241	0.013343	0	203	0	4.58834e-07
4B	300-400%	Single-Family Attached	Renter	<1940	0.0654256	0.00462322	0.0785574	0.0111023	0.0785574	0.188636	0.0133297	0.522824	0.0369447	0	0	59	0	4.69533e-07
4B	400%+	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	10	0	0
4B	400%+	Single-Family Attached	Owner	<1940	0.224652	0.0158748	0.107561	0.0152014	0.107561	0	0	0.425414	0.0300614	0.0736733	0	10	0	1.45886e-06
4B	400%+	Single-Family Attached	Renter	<1940	0.313046	0.022121	0.103171	0.0145809	0.103171	0.139638	0.00986736	0.274974	0.0194307	0	0	28	0	8.09261e-07
4B	Not Available	Single-Family Attached	Not Available	<1940	0.314431	0.0222189	0.118488	0.0167456	0.118488	0.0695209	0.00491261	0.285542	0.0201775	0.0294762	0	21	0	1.76706e-06
4B	Not Available	Single-Family Attached	Owner	<1940	0	0	0	0	0	0	0	0	0	0	1	20	0	0
4B	Not Available	Single-Family Attached	Renter	<1940	0	0	0	0	0	0	0	0	0	0	1	120	0	0
4B	0-100%	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	12	22126.2	0
4B	0-100%	Single-Family Detached	Owner	1940-59	0.578241	0.0408607	0.0627155	0.00886343	0.0627155	0.12941	0.00914459	0.100919	0.00713129	0	0	10	22126.2	7.49849e-05
4B	0-100%	Single-Family Detached	Renter	1940-59	0.122485	0.00865523	0.0556252	0.00786138	0.0556252	0.198251	0.0140092	0.483775	0.0341854	0.0195275	0	85	0	4.71947e-05
4B	100-150%	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	12	4488.43	0
4B	100-150%	Single-Family Detached	Owner	1940-59	0.578241	0.0408607	0.0627155	0.00886343	0.0627155	0.12941	0.00914459	0.100919	0.00713129	0	0	10	3258.89	6.83331e-05
4B	100-150%	Single-Family Detached	Renter	1940-59	0.122485	0.00865523	0.0556252	0.00786138	0.0556252	0.198251	0.0140092	0.483775	0.0341854	0.0195275	0	85	1229.54	3.27509e-05
4B	150-200%	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	12	18423	0
4B	150-200%	Single-Family Detached	Owner	1940-59	0.578241	0.0408607	0.0627155	0.00886343	0.0627155	0.12941	0.00914459	0.100919	0.00713129	0	0	10	7282.77	6.66626e-05
4B	150-200%	Single-Family Detached	Renter	1940-59	0.122485	0.00865523	0.0556252	0.00786138	0.0556252	0.198251	0.0140092	0.483775	0.0341854	0.0195275	0	85	11140.3	2.44128e-05
4B	200-300%	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	262	14999.1	0
4B	200-300%	Single-Family Detached	Owner	1940-59	0.15375	0.0108646	0.200588	0.0283486	0.200588	0.0860718	0.00608216	0.280541	0.0198241	0.013343	0	203	14999.1	0.000122418
4B	200-300%	Single-Family Detached	Renter	1940-59	0.0654256	0.00462322	0.0785574	0.0111023	0.0785574	0.188636	0.0133297	0.522824	0.0369447	0	0	59	0	3.43199e-05
4B	300-400%	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	262	12695.7	0
4B	300-400%	Single-Family Detached	Owner	1940-59	0.15375	0.0108646	0.200588	0.0283486	0.200588	0.0860718	0.00608216	0.280541	0.0198241	0.013343	0	203	12695.7	9.74429e-05
4B	300-400%	Single-Family Detached	Renter	1940-59	0.0654256	0.00462322	0.0785574	0.0111023	0.0785574	0.188636	0.0133297	0.522824	0.0369447	0	0	59	0	2.09384e-05
4B	400%+	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	10	51284.5	0
4B	400%+	Single-Family Detached	Owner	1940-59	0.203795	0.0144009	0.105568	0.0149197	0.105568	0	0	0.433156	0.0306084	0.0919838	0	10	51284.5	0.00023341
4B	400%+	Single-Family Detached	Renter	1940-59	0.313046	0.022121	0.103171	0.0145809	0.103171	0.139638	0.00986736	0.274974	0.0194307	0	0	28	0	3.19147e-05
4B	Not Available	Single-Family Detached	Not Available	1940-59	0.287525	0.0203176	0.120324	0.0170051	0.120324	0.0568673	0.00401846	0.313431	0.0221483	0.0380379	0	21	124017	0.00017066
4B	Not Available	Single-Family Detached	Owner	1940-59	0	0	0	0	0	0	0	0	0	0	1	20	111647	0
4B	Not Available	Single-Family Detached	Renter	1940-59	0	0	0	0	0	0	0	0	0	0	1	120	12369.8	0
4B	0-100%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	12	5799.15	0
4B	0-100%	Single-Family Detached	Owner	1960-79	0.194291	0.0137294	0.148227	0.0209485	0.148227	0.265793	0.0187819	0.170931	0.0120786	0.00699314	0	274	1830.73	8.8107e-05
4B	0-100%	Single-Family Detached	Renter	1960-79	0.252711	0.0178575	0.0790694	0.0111747	0.0790694	0.281077	0.019862	0.221733	0.0156685	0.0217775	0	115	3968.42	4.91313e-05
4B	100-150%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	10	17749.2	0
4B	100-150%	Single-Family Detached	Owner	1960-79	0.194291	0.0137294	0.148227	0.0209485	0.148227	0.265793	0.0187819	0.170931	0.0120786	0.00699314	0	274	13525.5	8.06039e-05
4B	100-150%	Single-Family Detached	Renter	1960-79	0.252711	0.0178575	0.0790694	0.0111747	0.0790694	0.281077	0.019862	0.221733	0.0156685	0.0217775	0	115	4223.7	3.41175e-05
4B	150-200%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	10	18083.5	0
4B	150-200%	Single-Family Detached	Owner	1960-79	0.194291	0.0137294	0.148227	0.0209485	0.148227	0.265793	0.0187819	0.170931	0.0120786	0.00699314	0	274	18083.5	8.54805e-05
4B	150-200%	Single-Family Detached	Renter	1960-79	0.252711	0.0178575	0.0790694	0.0111747	0.0790694	0.281077	0.019862	0.221733	0.0156685	0.0217775	0	115	0	3.06897e-05
4B	200-300%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	13	44913.6	0
4B	200-300%	Single-Family Detached	Owner	1960-79	0.522104	0.0368939	0.0798817	0.0112895	0.0798817	0.244444	0.0172733	0.00768863	0.000543308	0	0	11	32497.6	0.000176943
4B	200-300%	Single-Family Detached	Renter	1960-79	0.0789337	0.00557776	0.103151	0.0145781	0.103151	0.322487	0.0227881	0.326277	0.023056	0	0	63	12416.1	4.97421e-05
4B	300-400%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	23	28341.2	0
4B	300-400%	Single-Family Detached	Owner	1960-79	0.295811	0.0209031	0.173014	0.0244517	0.173014	0.241176	0.0170424	0.0509849	0.00360279	0	0	19	24860.3	0.000152287
4B	300-400%	Single-Family Detached	Renter	1960-79	0.0789337	0.00557776	0.103151	0.0145781	0.103151	0.322487	0.0227881	0.326277	0.023056	0	0	63	3480.87	3.22869e-05
4B	400%+	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	16	70920	0
4B	400%+	Single-Family Detached	Owner	1960-79	0.363273	0.0256703	0.231851	0.032767	0.231851	0.107024	0.00756274	0	0	0	0	12	57502	0.000437248
4B	400%+	Single-Family Detached	Renter	1960-79	0.205657	0.0145325	0.164532	0.0232529	0.164532	0.252218	0.0178227	0.147062	0.0103919	0	0	41	13418	4.83379e-05
4B	Not Available	Single-Family Detached	Not Available	1960-79	0.346224	0.0244655	0.182595	0.0258058	0.182595	0.128731	0.00909659	0.0938549	0.00663214	0	0	34	185807	0.00027518
4B	Not Available	Single-Family Detached	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	27	148300	0
4B	Not Available	Single-Family Detached	Renter	1960-79	0	0	0	0	0	0	0	0	0	0	1	152	37507	0
4B	0-100%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	376	7368.12	0
4B	0-100%	Single-Family Detached	Owner	1980-99	0.314721	0.0222394	0.140197	0.0179137	0.113308	0.225604	0.015942	0.136176	0.00962269	0.00427693	0	261	7368.12	7.30322e-05
4B	0-100%	Single-Family Detached	Renter	1980-99	0.2071	0.0146345	0.103058	0.0135013	0.0880065	0.292641	0.0206791	0.243195	0.0171851	0	0	115	0	3.80905e-05
4B	100-150%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	376	8274.09	0
4B	100-150%	Single-Family Detached	Owner	1980-99	0.314721	0.0222394	0.140197	0.0179137	0.113308	0.225604	0.015942	0.136176	0.00962269	0.00427693	0	261	8274.09	5.82745e-05
4B	100-150%	Single-Family Detached	Renter	1980-99	0.2071	0.0146345	0.103058	0.0135013	0.0880065	0.292641	0.0206791	0.243195	0.0171851	0	0	115	0	2.44967e-05
4B	150-200%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	376	14507.2	0
4B	150-200%	Single-Family Detached	Owner	1980-99	0.314721	0.0222394	0.140197	0.0179137	0.113308	0.225604	0.015942	0.136176	0.00962269	0.00427693	0	261	14507.2	6.87931e-05
4B	150-200%	Single-Family Detached	Renter	1980-99	0.2071	0.0146345	0.103058	0.0135013	0.0880065	0.292641	0.0206791	0.243195	0.0171851	0	0	115	0	2.38495e-05
4B	200-300%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	13	19894.5	0
4B	200-300%	Single-Family Detached	Owner	1980-99	0.129475	0.00914917	0.261999	0.0347612	0.229924	0.284376	0.0200951	0.0282262	0.00199457	0	0	12	19894.5	0.00015549
4B	200-300%	Single-Family Detached	Renter	1980-99	0.29322	0.02072	0.144431	0.0175221	0.103533	0.209516	0.0148052	0.183301	0.0129527	0	0	62	0	4.13747e-05
4B	300-400%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	13	19358.6	0
4B	300-400%	Single-Family Detached	Owner	1980-99	0.129475	0.00914917	0.261999	0.0347612	0.229924	0.284376	0.0200951	0.0282262	0.00199457	0	0	12	19358.6	0.000143884
4B	300-400%	Single-Family Detached	Renter	1980-99	0.29322	0.02072	0.144431	0.0175221	0.103533	0.209516	0.0148052	0.183301	0.0129527	0	0	62	0	2.91748e-05
4B	400%+	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	19	120445	0
4B	400%+	Single-Family Detached	Owner	1980-99	0.300402	0.0212275	0.284559	0.0344993	0.203659	0.01901	0.00134332	0.0873139	0.00616994	0.0418168	0	19	120445	0.000491358
4B	400%+	Single-Family Detached	Renter	1980-99	0.249486	0.0176296	0.201967	0.0254105	0.15763	0.154873	0.0109439	0.170044	0.012016	0	0	40	0	5.35739e-05
4B	Not Available	Single-Family Detached	Not Available	1980-99	0.317638	0.0224455	0.234704	0.0290747	0.176747	0.096924	0.00684902	0.0832082	0.00587981	0.0265298	0	30	189847	0.000261253
4B	Not Available	Single-Family Detached	Owner	1980-99	0	0	0	0	0	0	0	0	0	0	1	30	189847	0
4B	Not Available	Single-Family Detached	Renter	1980-99	0	0	0	0	0	0	0	0	0	0	1	157	0	0
4B	0-100%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	173	205.992	0
4B	0-100%	Single-Family Detached	Owner	2000-09	0.424518	0.0299981	0.199437	0.0352325	0.299156	0	0	0	0	0.0116575	0	132	0	3.23741e-05
4B	0-100%	Single-Family Detached	Renter	2000-09	0.352118	0.024882	0.209116	0.0369424	0.313674	0	0	0	0	0.0632675	0	41	205.992	2.06566e-05
4B	100-150%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	173	6178.76	0
4B	100-150%	Single-Family Detached	Owner	2000-09	0.424518	0.0299981	0.199437	0.0352325	0.299156	0	0	0	0	0.0116575	0	132	688.448	2.94301e-05
4B	100-150%	Single-Family Detached	Renter	2000-09	0.352118	0.024882	0.209116	0.0369424	0.313674	0	0	0	0	0.0632675	0	41	5490.32	1.41281e-05
4B	150-200%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	173	6567.56	0
4B	150-200%	Single-Family Detached	Owner	2000-09	0.424518	0.0299981	0.199437	0.0352325	0.299156	0	0	0	0	0.0116575	0	132	6567.56	3.55944e-05
4B	150-200%	Single-Family Detached	Renter	2000-09	0.352118	0.024882	0.209116	0.0369424	0.313674	0	0	0	0	0.0632675	0	41	0	1.2344e-05
4B	200-300%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	255	5142.73	0
4B	200-300%	Single-Family Detached	Owner	2000-09	0.44454	0.0314129	0.19215	0.0339451	0.288225	0	0	0	0	0.00972652	0	216	5142.73	8.45873e-05
4B	200-300%	Single-Family Detached	Renter	2000-09	0.555979	0.0392876	0.13413	0.0236954	0.201195	0	0	0	0	0.045712	0	39	0	2.1232e-05
4B	300-400%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	255	8787.8	0
4B	300-400%	Single-Family Detached	Owner	2000-09	0.44454	0.0314129	0.19215	0.0339451	0.288225	0	0	0	0	0.00972652	0	216	8787.8	8.33669e-05
4B	300-400%	Single-Family Detached	Renter	2000-09	0.555979	0.0392876	0.13413	0.0236954	0.201195	0	0	0	0	0.045712	0	39	0	1.60237e-05
4B	400%+	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	10	47443.9	0
4B	400%+	Single-Family Detached	Owner	2000-09	0.409006	0.0289019	0.206653	0.0365072	0.30998	0	0	0	0	0.00895207	0	284	40055.1	0.000306856
4B	400%+	Single-Family Detached	Renter	2000-09	0.583905	0.041261	0.120328	0.021257	0.180491	0	0	0	0	0.0527578	0	28	7388.73	3.51214e-05
4B	Not Available	Single-Family Detached	Not Available	2000-09	0.441636	0.0312077	0.196946	0.0347923	0.295418	0	0	0	0	0	0	15	74326.7	0.000127588
4B	Not Available	Single-Family Detached	Owner	2000-09	0	0	0	0	0	0	0	0	0	0	1	12	61241.7	0
4B	Not Available	Single-Family Detached	Renter	2000-09	0	0	0	0	0	0	0	0	0	0	1	77	13085	0
4B	0-100%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	65	0	0
4B	0-100%	Single-Family Detached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	48	0	7.4649e-06
4B	0-100%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	0	4.00687e-06
4B	100-150%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	65	3854.19	0
4B	100-150%	Single-Family Detached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	48	3854.19	5.70223e-06
4B	100-150%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	0	2.64655e-06
4B	150-200%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	65	537.511	0
4B	150-200%	Single-Family Detached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	48	537.511	6.20964e-06
4B	150-200%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	0	2.32813e-06
4B	200-300%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	150	6719.57	0
4B	200-300%	Single-Family Detached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	135	6719.57	1.52351e-05
4B	200-300%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	15	0	4.15453e-06
4B	300-400%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	150	9077.74	0
4B	300-400%	Single-Family Detached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	135	9077.74	1.62867e-05
4B	300-400%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	15	0	3.58214e-06
4B	400%+	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	197	17080.6	0
4B	400%+	Single-Family Detached	Owner	2010s	0	0	0	0	0.980939	0	0	0	0	0.0190607	0	184	17080.6	7.27968e-05
4B	400%+	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	13	0	1.06101e-05
4B	Not Available	Single-Family Detached	Not Available	2010s	0	0	0	0	1	0	0	0	0	0	0	10	37269.6	2.49064e-05
4B	Not Available	Single-Family Detached	Owner	2010s	0	0	0	0	0	0	0	0	0	0	1	271	37269.6	0
4B	Not Available	Single-Family Detached	Renter	2010s	0	0	0	0	0	0	0	0	0	0	1	33	0	0
4B	0-100%	Single-Family Detached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	12	4345.72	0
4B	0-100%	Single-Family Detached	Owner	<1940	0.578241	0.0408607	0.0627155	0.00886343	0.0627155	0.12941	0.00914459	0.100919	0.00713129	0	0	10	4345.72	2.80226e-05
4B	0-100%	Single-Family Detached	Renter	<1940	0.122485	0.00865523	0.0556252	0.00786138	0.0556252	0.198251	0.0140092	0.483775	0.0341854	0.0195275	0	85	0	1.59992e-05
4B	100-150%	Single-Family Detached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	12	15.7074	0
4B	100-150%	Single-Family Detached	Owner	<1940	0.578241	0.0408607	0.0627155	0.00886343	0.0627155	0.12941	0.00914459	0.100919	0.00713129	0	0	10	15.7074	2.30077e-05
4B	100-150%	Single-Family Detached	Renter	<1940	0.122485	0.00865523	0.0556252	0.00786138	0.0556252	0.198251	0.0140092	0.483775	0.0341854	0.0195275	0	85	0	1.11489e-05
