Dependency=Census Division	Dependency=Geometry Building Type RECS	Dependency=Income RECS2020	Dependency=PUMA Metro Status	Dependency=Tenure	Dependency=Vintage ACS	Option=0-499	Option=500-749	Option=750-999	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+	source_count	source_weight	sampling_probability
Mountain	Mobile Home	60000-99999	In metro area, principal city	Renter	1960-79	0	0.238361	0.25853	0.179748	0.323361	0	0	0	0	0.400606	305.991	2.20739e-06
Mountain	Mobile Home	60000-99999	In metro area, principal city	Renter	1980-99	0	0.170941	0.229369	0.242673	0.189092	0.167926	0	0	0	0.413733	318.555	3.49313e-06
Mountain	Mobile Home	60000-99999	In metro area, principal city	Renter	2000-09	0	0.0600082	0.0865162	0.0518516	0.426091	0.375533	0	0	0	0.0566355	42.7912	3.66487e-07
Mountain	Mobile Home	60000-99999	In metro area, principal city	Renter	2010s	0	0.0950189	0.0924732	0.22108	0.365516	0.225912	0	0	0	0.00226686	0.457495	1.80595e-07
Mountain	Mobile Home	60000-99999	In metro area, principal city	Renter	<1940	0	0.170838	0.292491	0.225675	0	0	0.310995	0	0	7.16176e-23	8.11812e-40	2.3057e-07
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Owner	1940-59	0	0.10384	0.0829624	0.637079	0.176118	0	0	0	0	0.241627	387.717	6.54585e-06
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Owner	1960-79	0	0.119115	0.150292	0.334313	0.0284717	0.0745951	0.293213	0	0	4.6404	25351.7	0.00010382
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Owner	1980-99	0	0	0.039443	0.571787	0.19467	0.0378418	0.156259	0	0	10.1275	53668.2	0.00019996
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Owner	2000-09	0	0.0162115	0.00741155	0.566187	0.306476	0.103714	0	0	0	1.02555	4953.02	7.17418e-05
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Owner	2010s	0	0.0189246	0.043651	0.390815	0.330173	0.0984122	0.118024	0	0	0.415037	127.103	2.06954e-05
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Owner	<1940	0	0	0.0515342	0.218441	0.105338	0	0.624687	0	0	4.56724e-22	5.54103e-39	2.63375e-06
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Renter	1940-59	0	0.113578	0.155414	0.532042	0.198965	0	0	0	0	0.0374543	59.6027	9.35089e-07
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Renter	1960-79	0	0.180154	0.38931	0.38606	0.0444768	0	0	0	0	0.719302	3897.25	3.56437e-05
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Renter	1980-99	0	0	0.0957946	0.619082	0.285123	0	0	0	0	1.56985	8250.27	5.90245e-05
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Renter	2000-09	0	0.0208441	0.0163211	0.555831	0.407004	0	0	0	0	0.158969	761.415	1.63787e-05
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Renter	2010s	0	0.0258143	0.101978	0.407031	0.465177	0	0	0	0	0.0643343	19.5391	5.9145e-06
Mountain	Mobile Home	60000-99999	Not/partially in metro area	Renter	<1940	0	0	0.242581	0.458393	0.299026	0	0	0	0	7.07961e-23	8.51808e-40	6.85743e-07
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Owner	1940-59	0.314214	0.156278	0.132936	0.357022	0.0254556	0.0140949	0	0	0	0.27583	123.277	1.14216e-05
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Owner	1960-79	0	0.13133	0.303815	0.443203	0.0880544	0.0307638	0.00283428	0	0	19.1536	54440.8	0.000189197
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Owner	1980-99	0.172603	0.0153137	0.132053	0.492932	0.154693	0.0308675	0	0	0.00153779	25.9146	74331.9	0.00023361
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Owner	2000-09	0.39906	0	0.0673226	0.431879	0.0716464	0.0300922	0	0	0	1.97754	5819.41	4.6771e-05
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Owner	2010s	0.224071	0.0389026	0.0871972	0.458556	0.13861	0.0264558	0.0262077	0	0	0.467864	55.7745	1.70053e-05
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Owner	<1940	0	0	0.0746618	0.454031	0.26772	0.00474841	0.198838	0	0	9.80995e-22	1.01836e-38	5.30106e-06
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Renter	1940-59	0.217557	0.378229	0.175339	0.217158	0.00665397	0.0050634	0	0	0	0.0127594	5.45023	5.95818e-06
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Renter	1960-79	0	0.310941	0.392013	0.263718	0.0225167	0.0108113	0	0	0	0.886011	2406.9	8.00306e-05
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Renter	1980-99	0.175207	0.0543367	0.255351	0.439566	0.0592819	0.0162569	0	0	0	1.19876	3286.31	0.000114866
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Renter	2000-09	0.420342	0	0.135087	0.399634	0.0284911	0.0164457	0	0	0	0.0914774	257.284	2.32476e-05
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Renter	2010s	0.225185	0.13666	0.166934	0.404837	0.0525893	0.0137946	0	0	0	0.0216426	2.46586	8.39811e-06
Mountain	Mobile Home	<20000	In metro area, not/partially in principal city	Renter	<1940	0	0	0.220638	0.618748	0.156792	0.00382186	0	0	0	4.53791e-23	4.5023e-40	1.60302e-06
Mountain	Mobile Home	<20000	In metro area, principal city	Owner	1940-59	0.219577	0.351228	0.2095	0.219695	0	0	0	0	0	0.211791	32.0275	1.28261e-06
Mountain	Mobile Home	<20000	In metro area, principal city	Owner	1960-79	0.121795	0.213221	0.208868	0.375106	0.0738944	0	0	0	0.00711577	31.5543	23789.2	2.18257e-05
Mountain	Mobile Home	<20000	In metro area, principal city	Owner	1980-99	0.13439	0.143628	0.174059	0.475677	0.040588	0.0132979	0	0	0.0183604	32.5882	24766	1.34727e-05
Mountain	Mobile Home	<20000	In metro area, principal city	Owner	2000-09	0.246204	0.112144	0.146026	0.226061	0.203422	0.0661432	0	0	0	4.46097	3326.79	2.10593e-06
Mountain	Mobile Home	<20000	In metro area, principal city	Owner	2010s	0.271651	0.0855501	0.0751959	0.464362	0.0840714	0.0191699	0	0	0	0.178552	35.5679	8.9836e-07
Mountain	Mobile Home	<20000	In metro area, principal city	Owner	<1940	0.378249	0.0833225	0.128842	0.256778	0	0	0.152809	0	0	5.64106e-21	6.31142e-38	6.52567e-07
Mountain	Mobile Home	<20000	In metro area, principal city	Renter	1940-59	0.125908	0.535851	0.19995	0.138291	0	0	0	0	0	0.00615834	0.921444	6.94004e-07
Mountain	Mobile Home	<20000	In metro area, principal city	Renter	1960-79	0.0758977	0.35352	0.21664	0.2566	0.0815598	0	0	0	0.0157834	0.917517	684.424	1.04525e-05
Mountain	Mobile Home	<20000	In metro area, principal city	Renter	1980-99	0.0896253	0.254854	0.19321	0.348242	0.0479435	0.0225411	0	0	0.043584	0.947582	712.528	7.13158e-06
Mountain	Mobile Home	<20000	In metro area, principal city	Renter	2000-09	0.157398	0.190752	0.155384	0.158648	0.230341	0.107478	0	0	0	0.129713	95.7131	1.51592e-06
Mountain	Mobile Home	<20000	In metro area, principal city	Renter	2010s	0.203971	0.170908	0.0939766	0.382751	0.111808	0.0365851	0	0	0	0.00519183	1.0233	8.44549e-07
Mountain	Mobile Home	<20000	In metro area, principal city	Renter	<1940	0.283638	0.16624	0.16081	0.211373	0	0	0.177938	0	0	1.64027e-22	1.81582e-39	3.49684e-07
Mountain	Mobile Home	<20000	Not/partially in metro area	Owner	1940-59	0.26779	0.194955	0.276711	0.17356	0.0869842	0	0	0	0	0.584992	998.79	1.32261e-05
Mountain	Mobile Home	<20000	Not/partially in metro area	Owner	1960-79	0.0619658	0.210714	0.472325	0.0858162	0.0132497	0.0709452	0	0	0.084984	11.2346	65308	0.000213261
Mountain	Mobile Home	<20000	Not/partially in metro area	Owner	1980-99	0.262512	0	0.230088	0.272439	0.168156	0.0668043	0	0	0	24.5192	138254	0.000198011
Mountain	Mobile Home	<20000	Not/partially in metro area	Owner	2000-09	0	0.0653901	0.0531098	0.331388	0.325201	0.224911	0	0	0	2.48291	12759.4	3.83092e-05
Mountain	Mobile Home	<20000	Not/partially in metro area	Owner	2010s	0.0405396	0.0619812	0.253983	0.185734	0.284474	0.173288	0	0	0	1.00483	327.426	8.39504e-06
Mountain	Mobile Home	<20000	Not/partially in metro area	Owner	<1940	0	0	0.606467	0.209969	0.183564	0	0	0	0	1.10575e-21	1.42742e-38	3.24383e-06
Mountain	Mobile Home	<20000	Not/partially in metro area	Renter	1940-59	0.283569	0.156717	0.380968	0.106526	0.0722211	0	0	0	0	0.0906788	153.541	6.55861e-06
Mountain	Mobile Home	<20000	Not/partially in metro area	Renter	1960-79	0.0691464	0.178496	0.685261	0.0555043	0.0115927	0	0	0	0	1.74147	10039.6	0.00010072
Mountain	Mobile Home	<20000	Not/partially in metro area	Renter	1980-99	0.308322	0	0.351355	0.185466	0.154856	0	0	0	0	3.80068	21253.4	0.00010538
Mountain	Mobile Home	<20000	Not/partially in metro area	Renter	2000-09	0	0.0877412	0.122052	0.339509	0.450698	0	0	0	0	0.384873	1961.47	2.88429e-05
Mountain	Mobile Home	<20000	Not/partially in metro area	Renter	2010s	0.05416	0.0628603	0.441166	0.143824	0.29799	0	0	0	0	0.155757	50.3344	6.08902e-06
Mountain	Mobile Home	<20000	Not/partially in metro area	Renter	<1940	0	0	0.748011	0.115452	0.136537	0	0	0	0	1.71401e-22	2.19433e-39	2.81155e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Owner	1940-59	0	0.0386786	0.206921	0.14905	0.581597	0	0	0	0.0237536	0.0227199	11.5612	4.3523e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Owner	1960-79	0	0.0312328	0.452775	0.445928	0	0.0290675	0	0	0.0409961	0.288699	166.338	9.24976e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Owner	1980-99	0	0.0234349	0.209246	0.299008	0.286089	0.0707154	0.0850832	0	0.0264236	0.328031	196.737	1.53512e-05
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Owner	2000-09	0	0.00439709	0.0689227	0.24153	0.62055	0.0356196	0.0147052	0	0.0142753	0.0553686	35.0318	8.94396e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Owner	2010s	0	0.0252233	0.113166	0.297979	0.543637	0	0	0	0.0199949	0.00826218	3.61872	2.82529e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Owner	<1940	0	0.0349079	0.0765885	0.0616146	0.808183	0	0	0	0.0187062	0.0174444	12.1166	1.96536e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Renter	1940-59	0.00557154	0.0678274	0.523788	0.281308	0.0955062	0	0	0	0.025999	1.14398	493.296	6.75288e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Renter	1960-79	0.0486618	0.0247686	0.518312	0.380602	0	0.00736426	0	0	0.0202921	14.5364	7097.33	2.282e-05
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Renter	1980-99	0.0304976	0.0318583	0.410614	0.437478	0.0364197	0.0307116	0	0	0.0224205	16.5168	8394.4	4.43521e-05
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Renter	2000-09	0	0.00994289	0.224971	0.587805	0.131401	0.0257316	0	0	0.0201478	2.78789	1494.74	1.83684e-05
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Renter	2010s	0	0.0440453	0.285254	0.560012	0.0888962	0	0	0	0.0217927	0.416013	154.404	8.05683e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, not/partially in principal city	Renter	<1940	0.100495	0.10497	0.332445	0.199406	0.227575	0	0	0	0.0351091	0.878349	516.991	6.44621e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Owner	1940-59	0.385543	0.342296	0.0402656	0.231895	0	0	0	0	0	0.0378999	1.50519	1.02981e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Owner	1960-79	0.0356554	0.18358	0.0792761	0.450778	0.25071	0	0	0	0	0.440158	16.5728	2.37923e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Owner	1980-99	0.0373428	0.097531	0.118919	0.426048	0.320159	0	0	0	0	1.44568	60.8357	3.08989e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Owner	2000-09	0	0.0765945	0.0876258	0.83578	0	0	0	0	0	0.117921	4.33523	1.21757e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Owner	2010s	0.0207366	0.0159959	0.0663877	0.160754	0.294596	0.44153	0	0	0	0.00484834	0.018097	3.08879e-07
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Owner	<1940	0.0291575	0.0785609	0.0365168	0.214652	0.223254	0.368949	0.0489105	0	0	0.387673	0.338073	2.27369e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Renter	1940-59	0.26519	0.380928	0.129224	0.224659	0	0	0	0	0	2.74911	109.613	5.17288e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Renter	1960-79	0.0262656	0.218799	0.272476	0.467708	0.0147516	0	0	0	0	31.9273	1206.88	9.46353e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Renter	1980-99	0.0262716	0.111014	0.390352	0.422171	0.0179908	0	0	0.0322001	0	104.864	4430.25	8.99415e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Renter	2000-09	0	0.0724724	0.239098	0.68843	0	0	0	0	0	8.55349	315.705	2.76014e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Renter	2010s	0.0165682	0.0206776	0.247485	0.180903	0.0188005	0.515566	0	0	0	0.351679	1.31788	1.63128e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	In metro area, principal city	Renter	<1940	0.023078	0.100603	0.134855	0.239294	0.0141141	0.426778	0.0565768	0.00470046	0	28.1203	24.6195	6.31756e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Owner	1940-59	0.0039498	0	0.00421305	0.00452582	0.0147497	0.866776	0.105786	0	0	0.200973	0.369308	1.19706e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Owner	1960-79	0.0991894	0	0.118359	0	0.782452	0	0	0	0	0.161066	4.73252	3.79561e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Owner	1980-99	0	0	0.0431033	0.100549	0.856348	0	0	0	0	0.298109	14.2487	4.24853e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Owner	2000-09	0.0166013	0	0.0500728	0.218064	0.715261	0	0	0	0	0.194037	0.798227	1.97309e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Owner	2010s	0	0	0.58426	0.41574	0	0	0	0	0	1.58603e-22	2.86804e-41	4.67938e-07
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Owner	<1940	0	0	0.47262	0.52738	0	0	0	0	0	0.128041	6.7292	1.14527e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Renter	1940-59	0.138843	0.0151149	0.135777	0.0765789	0.0204197	0	0.613266	0	0	3.27739	62.8566	2.23641e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Renter	1960-79	0.405101	0.0258656	0.443178	0	0.125855	0	0	0	0	2.62661	805.479	1.33343e-05
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Renter	1980-99	0	0.115969	0.287191	0.351739	0.245101	0	0	0	0	4.86145	2425.14	1.79523e-05
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Renter	2000-09	0.0809695	0.0457869	0.223903	0.511949	0.137391	0	0	0	0	3.16428	135.859	8.7244e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Renter	2010s	0	0	0.728018	0.271982	0	0	0	0	0	2.58644e-21	4.88143e-39	3.29612e-06
Mountain	Multi-Family with 2 - 4 Units	100000-149999	Not/partially in metro area	Renter	<1940	0	0.286533	0.449892	0.263575	0	0	0	0	0	2.08805	1145.32	2.28931e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Owner	1940-59	0	0.122257	0.134791	0.181879	0.561073	0	0	0	0	0.0147372	4.89242	2.24256e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Owner	1960-79	0	0.0975531	0.291452	0.537702	0	0.0732934	0	0	0	0.187264	70.3901	5.10723e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Owner	1980-99	0	0.0717995	0.13212	0.35366	0.267517	0.174903	0	0	0	0.212777	83.2541	8.15155e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Owner	2000-09	0	0.0133247	0.0430435	0.282559	0.573935	0.0871379	0	0	0	0.0359147	14.8246	6.11011e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Owner	2010s	0	0.0765497	0.0707801	0.349118	0.503552	0	0	0	0	0.00535925	1.53135	2.62926e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Owner	<1940	0	0.1087	0.0491497	0.0740686	0.768082	0	0	0	0	0.0113153	5.12742	2.21294e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Renter	1940-59	0.00757478	0.214701	0.341695	0.343761	0.0922687	0	0	0	0	0.742041	208.75	2.1461e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Renter	1960-79	0.0684441	0.0811117	0.349805	0.48117	0	0.0194687	0	0	0	9.42901	3003.41	8.93593e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Renter	1980-99	0.0391736	0.0952765	0.253075	0.505086	0.0332424	0.0741466	0	0	0	10.7136	3552.29	1.80616e-05
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Renter	2000-09	0	0.0288948	0.134737	0.659455	0.116547	0.0603668	0	0	0	1.80836	632.536	8.31968e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Renter	2010s	0	0.12724	0.169828	0.624552	0.0783794	0	0	0	0	0.269846	65.3397	6.56287e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, not/partially in principal city	Renter	<1940	0.118878	0.289106	0.188698	0.21202	0.191299	0	0	0	0	0.56974	218.777	3.00705e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Owner	1940-59	0.0921796	0.466912	0.0620982	0.37881	0	0	0	0	0	0.0423463	1.17512	8.43609e-07
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Owner	1960-79	0.00391357	0.114959	0.0561271	0.338049	0.486951	0	0	0	0	0.491796	12.9385	1.44398e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Owner	1980-99	0.00375789	0.0559953	0.0771921	0.292931	0.570123	0	0	0	0	1.61529	47.495	2.53206e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Owner	2000-09	0	0.0651002	0.0842033	0.850697	0	0	0	0	0	0.131755	3.38455	6.35457e-07
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Owner	2010s	0.0014293	0.00629019	0.0295159	0.0757034	0.359318	0.527744	0	0	0	0.00541714	0.0141285	2.96321e-07
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Owner	<1940	0.00208719	0.032084	0.0168612	0.104982	0.282798	0.457988	0.1032	0	0	0.433154	0.263936	2.24339e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Renter	1940-59	0.055168	0.45211	0.173403	0.319319	0	0	0	0	0	3.07163	85.5758	1.19552e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Renter	1960-79	0.0040479	0.192379	0.270866	0.492477	0.0402298	0	0	0	0	35.6729	942.224	3.23563e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Renter	1980-99	0.00399736	0.0963689	0.383112	0.438879	0.0484399	0	0	0.0292029	0	117.166	3458.73	5.5672e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Renter	2000-09	0	0.0620889	0.231595	0.706316	0	0	0	0	0	9.55697	246.474	2.54205e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Renter	2010s	0.0013536	0.00963801	0.130421	0.100979	0.0271801	0.730428	0	0	0	0.392937	1.02888	8.6173e-08
Mountain	Multi-Family with 2 - 4 Units	150000+	In metro area, principal city	Renter	<1940	0.00185394	0.0461085	0.0698791	0.131341	0.020064	0.594535	0.133968	0.00225071	0	31.4193	19.2207	3.64433e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Owner	1940-59	0	0	0.0183616	0.981638	0	0	0	0	0	0.0472877	8.02577e-21	9.99005e-07
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Owner	1960-79	0	0	1	0	0	0	0	0	0	0.037898	1.02847e-19	1.77766e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Owner	1980-99	0	0	0.00854021	0.99146	0	0	0	0	0	0.0701433	3.09651e-19	3.86435e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Owner	2000-09	0	0	0.00459281	0.995407	0	0	0	0	0	0.0456556	1.7347e-20	1.10818e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Owner	2010s	0	0	0.0274632	0.972537	0	0	0	0	0	3.73184e-23	6.2328e-61	4.97738e-07
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Owner	<1940	0	0	0.0176888	0.982311	0	0	0	0	0	0.0301273	1.46238e-19	7.2608e-07
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Renter	1940-59	0	0	0.0344012	0.965599	0	0	0	0	0	0.77115	1.36599e-18	1.89356e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Renter	1960-79	0	0	1	0	0	0	0	0	0	0.618026	1.75046e-17	4.1356e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Renter	1980-99	0	0	0.0161415	0.983859	0	0	0	0	0	1.14387	5.27029e-17	6.06767e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Renter	2000-09	0	0	0.00871154	0.991288	0	0	0	0	0	0.744536	2.95247e-18	2.25584e-06
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Renter	2010s	0	0	0.05104	0.94896	0	0	0	0	0	6.08574e-22	1.06083e-58	6.6498e-07
Mountain	Multi-Family with 2 - 4 Units	150000+	Not/partially in metro area	Renter	<1940	0	0	0.0331604	0.96684	0	0	0	0	0	0.491305	2.48899e-17	9.71254e-07
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Owner	1940-59	0	0.287673	0.215414	0.0829295	0.413983	0	0	0	0	0.0368431	120.848	5.52984e-06
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Owner	1960-79	0	0.212473	0.43114	0.226938	0	0.129449	0	0	0	0.46816	1738.71	2.14233e-05
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Owner	1980-99	0	0.105164	0.131432	0.100377	0.122867	0.207737	0.332424	0	0	0.531942	2056.46	3.00626e-05
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Owner	2000-09	0	0.0344537	0.0755919	0.141576	0.46535	0.182708	0.10032	0	0	0.0897869	366.183	8.11605e-06
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Owner	2010s	0	0.218604	0.137283	0.193193	0.45092	0	0	0	0	0.0133981	37.8259	2.22686e-06
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Owner	<1940	0	0.273607	0.0840251	0.0361272	0.606241	0	0	0	0	0.0282882	126.653	1.91574e-06
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Renter	1940-59	0.0142089	0.390267	0.421847	0.121084	0.0525922	0	0	0	0	1.8551	5156.35	6.34169e-05
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Renter	1960-79	0.14173	0.162759	0.476736	0.187096	0	0.0316789	0	0	0	23.5725	74187.4	0.000195147
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Renter	1980-99	0.0849259	0.200156	0.361095	0.205613	0.0218985	0.126312	0	0	0	26.7841	87745.5	0.000245093
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Renter	2000-09	0	0.0865912	0.27424	0.382951	0.10952	0.146698	0	0	0	4.5209	15624.3	7.82084e-05
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Renter	2010s	0	0.327781	0.297138	0.311767	0.0633141	0	0	0	0	0.674615	1613.96	1.68864e-05
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, not/partially in principal city	Renter	<1940	0.19138	0.451012	0.199935	0.0640931	0.09358	0	0	0	0	1.42435	5404.04	3.75784e-05
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, principal city	Owner	1940-59	0.379953	0.469109	0.0380983	0.112839	0	0	0	0	0	0.00846926	8.59162	1.84642e-06
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, principal city	Owner	1960-79	0.0491433	0.351868	0.104905	0.30677	0.187314	0	0	0	0	0.0983592	94.5972	5.73367e-06
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, principal city	Owner	1980-99	0.0556473	0.202114	0.170139	0.313479	0.258621	0	0	0	0	0.323058	347.249	5.03472e-06
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, principal city	Owner	2000-09	0	0.17655	0.139445	0.684005	0	0	0	0	0	0.026351	24.7454	8.07233e-07
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, principal city	Owner	2010s	0.0599695	0.0643302	0.184329	0.229543	0.461827	0	0	0	0	0.00108343	0.103298	2.43292e-07
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, principal city	Owner	<1940	0.0728076	0.272802	0.0875455	0.26465	0.302194	0	0	0	0	0.0866309	1.92971	5.49784e-07
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, principal city	Renter	1940-59	0.257486	0.514346	0.120463	0.107705	0	0	0	0	0	0.614326	625.669	2.17221e-05
Mountain	Multi-Family with 2 - 4 Units	20000-39999	In metro area, principal city	Renter	1960-79	0.0316046	0.36612	0.314779	0.277875	0.00962193	0	0	0	0	7.13458	6888.87	6.7557e-05
