Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
Single-Family Detached	MT, 00700	0.0970611	0.0818425	0.196794	0.12486	0.177686	0.0826541	0.0811999	0.105651	0.0522507	1064	29569	0.000215858
10 to 19 Unit	NC, 00100	0.0501089	0	0.00580973	0.0875091	0.269063	0.178286	0.135439	0.232026	0.0417574	159	2754	2.0289e-05
2 Unit	NC, 00100	0.0812897	0.0108992	0.0676658	0.0953678	0.210718	0.169846	0.172116	0.105813	0.0862852	121	2202	1.62224e-05
20 to 49 Unit	NC, 00100	0	0	0.00764137	0.0494142	0.101375	0.281202	0.182883	0.238411	0.139073	138	1963	1.44617e-05
3 or 4 Unit	NC, 00100	0.0137492	0.0117371	0.027163	0.0831657	0.240778	0.308853	0.101274	0.158618	0.0546613	226	2982	2.19687e-05
5 to 9 Unit	NC, 00100	0	0	0.0277575	0.0646457	0.228634	0.276114	0.176406	0.201242	0.0252009	207	2738	2.01711e-05
50 or more Unit	NC, 00100	0.0139935	0	0.022605	0.00430571	0.10226	0.601722	0.178687	0.0441335	0.0322928	130	929	6.84401e-06
Mobile Home	NC, 00100	0.00159732	0.00183691	0.00439262	0.060698	0.167479	0.24423	0.3574	0.144158	0.0182094	600	12521	9.22435e-05
Single-Family Attached	NC, 00100	0.0561685	0	0.0341023	0.0290873	0.149448	0.305918	0.140421	0.213641	0.0712136	96	997	7.34499e-06
Single-Family Detached	NC, 00100	0.0905129	0.052585	0.0818651	0.105953	0.170403	0.151456	0.148477	0.17185	0.0268968	3636	58743	0.000432766
10 to 19 Unit	NC, 00200	0.0642458	0.0139665	0.0195531	0.051676	0.263966	0.399441	0.104749	0.0363128	0.0460894	37	716	5.29438e-06
2 Unit	NC, 00200	0.130971	0.0639445	0.216487	0.0970724	0.231895	0.118644	0.106317	0.0346687	0	63	1298	9.59791e-06
20 to 49 Unit	NC, 00200	0.182195	0.0745342	0	0.0641822	0.213251	0.362319	0.0393375	0.0414079	0.0227743	31	483	3.57149e-06
3 or 4 Unit	NC, 00200	0.139448	0.0313199	0.049217	0.121551	0.357942	0.126771	0.0894855	0.0715884	0.0126771	71	1341	9.91586e-06
5 to 9 Unit	NC, 00200	0.0702228	0.0729237	0.0290344	0.110061	0.309251	0.13977	0.136394	0.0675219	0.0648211	81	1481	1.09511e-05
50 or more Unit	NC, 00200	0.0449173	0	0	0	0.0756501	0.115839	0.323877	0.390071	0.0496454	17	423	3.12782e-06
Mobile Home	NC, 00200	0.000787071	0.00341064	0.00886767	0.0507923	0.133487	0.258632	0.388131	0.125984	0.0299087	836	19058	0.000140922
Single-Family Attached	NC, 00200	0.120944	0.0516224	0	0.0457227	0.115044	0.162242	0.19174	0.275811	0.0368732	48	678	5.01339e-06
Single-Family Detached	NC, 00200	0.0812317	0.0838092	0.116365	0.1491	0.176858	0.12495	0.12963	0.110159	0.0278967	2772	50436	0.000372943
10 to 19 Unit	NC, 00300	0	0	0.0262664	0.277674	0.0900563	0.125704	0.382739	0.043152	0.054409	20	533	3.94684e-06
2 Unit	NC, 00300	0.143639	0.0656635	0.0984952	0.136799	0.165527	0.121751	0.184679	0.0656635	0.0177839	44	731	5.41302e-06
20 to 49 Unit	NC, 00300	0.310791	0.0374101	0.0431655	0.0129496	0.110791	0.146763	0.188489	0.14964	0	32	695	5.14644e-06
3 or 4 Unit	NC, 00300	0.01	0.043	0.024	0.034	0.442	0.256	0.179	0.012	0	42	1000	7.40496e-06
5 to 9 Unit	NC, 00300	0.114062	0.00833333	0	0.0598958	0.178646	0.175521	0.2375	0.226042	0	75	1920	1.42175e-05
50 or more Unit	NC, 00300	0.214076	0.155425	0	0.108504	0.0439883	0.0293255	0.173021	0.140762	0.134897	14	341	2.52509e-06
Mobile Home	NC, 00300	0.00265869	0.00905616	0.0123795	0.0399634	0.136673	0.258225	0.406032	0.111582	0.0234297	465	12036	8.91261e-05
Single-Family Attached	NC, 00300	0.0283871	0	0.105806	0.0774194	0.174194	0.0541935	0.196129	0.316129	0.0477419	40	775	5.73885e-06
Single-Family Detached	NC, 00300	0.124009	0.0795415	0.116539	0.116664	0.180975	0.114036	0.128334	0.117636	0.022265	2235	48327	0.000357859
10 to 19 Unit	NC, 00400	0.0930233	0	0	0.0186047	0.334884	0.0325581	0.362791	0.106977	0.0511628	13	215	1.56915e-06
2 Unit	NC, 00400	0	0.114202	0.0937042	0.0380673	0.0395315	0.292826	0.204978	0.216691	0	31	683	4.98478e-06
20 to 49 Unit	NC, 00400	0	0	0	0.140719	0.0479042	0.278443	0.221557	0.311377	0	15	334	2.43765e-06
3 or 4 Unit	NC, 00400	0.0691004	0.0312907	0.0293351	0.189048	0.316819	0.180574	0.177314	0.0065189	0	59	1534	1.11957e-05
5 to 9 Unit	NC, 00400	0	0	0.0104265	0.23981	0.295735	0.178199	0.135545	0.140284	0	39	1055	7.69978e-06
50 or more Unit	NC, 00400	0.0437764	0.011029	0.0241598	0.0431183	0.0893043	0.118177	0.145755	0.234125	0.290555	4615	94206	8.0282e-07
Mobile Home	NC, 00400	0	0.00233294	0.000166639	0.0312448	0.0859023	0.248959	0.426929	0.168805	0.0356607	556	12002	8.75948e-05
Single-Family Attached	NC, 00400	0.0760518	0.0242718	0.0323625	0.15534	0.12945	0.205502	0.100324	0.182848	0.0938511	32	618	4.51037e-06
Single-Family Detached	NC, 00400	0.102813	0.0517841	0.103272	0.0989293	0.133128	0.119346	0.129649	0.207083	0.0539957	1910	37077	0.000270601
10 to 19 Unit	NC, 00500	0.0553633	0	0.107266	0	0	0.235294	0.145329	0.401384	0.0553633	23	289	2.0971e-06
2 Unit	NC, 00500	0.0111288	0	0.0111288	0.0612083	0.144674	0.382353	0.235294	0.116057	0.0381558	50	1258	9.12856e-06
20 to 49 Unit	NC, 00500	0	0.0396476	0.0550661	0.0748899	0.187225	0.303965	0.220264	0.118943	0	25	454	3.2944e-06
3 or 4 Unit	NC, 00500	0.0647727	0	0.173864	0.157955	0.186364	0.330682	0.0568182	0.00795455	0.0215909	35	880	6.38561e-06
5 to 9 Unit	NC, 00500	0	0.0111465	0.00318471	0	0.192675	0.413217	0.139331	0.136943	0.103503	43	1256	9.11404e-06
50 or more Unit	NC, 00500	0	0	0.0406977	0	0.305233	0.305233	0.0494186	0.197674	0.101744	15	344	2.4962e-06
Mobile Home	NC, 00500	0.00197922	0	0.00650315	0.0278504	0.137132	0.234608	0.39959	0.156994	0.0353432	593	14147	0.000102656
Single-Family Attached	NC, 00500	0.02391	0	0	0.0295359	0.0393812	0.300985	0.338959	0.219409	0.04782	28	711	5.15931e-06
Single-Family Detached	NC, 00500	0.111123	0.0456573	0.109073	0.109212	0.13265	0.0966616	0.143593	0.191439	0.0605901	1711	36095	0.00026192
10 to 19 Unit	NC, 00600	0.0728477	0.031457	0.0182119	0	0.319536	0.135762	0.327815	0.0943709	0	20	604	4.48222e-06
2 Unit	NC, 00600	0.192648	0.0408441	0.170184	0.125255	0.133424	0.123213	0.146358	0.0571818	0.0108918	144	1469	1.09012e-05
20 to 49 Unit	NC, 00600	0.191806	0.00372439	0.0316574	0.0111732	0.0782123	0.0931099	0.173184	0.126629	0.290503	44	537	3.985e-06
3 or 4 Unit	NC, 00600	0.155556	0.108213	0.057971	0.057971	0.0869565	0.145894	0.274396	0.0763285	0.036715	85	1035	7.6806e-06
5 to 9 Unit	NC, 00600	0.0199095	0.0497738	0.0488688	0.0361991	0.174661	0.292308	0.2	0.0914027	0.0868778	59	1105	8.20005e-06
50 or more Unit	NC, 00600	0.32948	0	0.0462428	0.121387	0.00578035	0.33526	0.0809249	0.0809249	0	10	173	1.28381e-06
Mobile Home	NC, 00600	0.00259965	0.00225303	0.00736568	0.0164645	0.134315	0.218718	0.417764	0.166551	0.0339688	770	11540	8.5637e-05
Single-Family Attached	NC, 00600	0.0650264	0.0210896	0.242531	0.0913884	0.0509666	0.133568	0.13884	0.165202	0.0913884	64	569	4.22248e-06
Single-Family Detached	NC, 00600	0.114248	0.0836832	0.14196	0.137048	0.14742	0.11123	0.132576	0.0923807	0.0394546	2741	36447	0.000270469
10 to 19 Unit	NC, 00700	0.0827586	0	0.0241379	0.0413793	0.0534483	0.0172414	0.424138	0.146552	0.210345	27	580	4.24107e-06
2 Unit	NC, 00700	0.19322	0.0723164	0.161582	0.0440678	0.039548	0.19548	0.115254	0.178531	0	40	885	6.47129e-06
20 to 49 Unit	NC, 00700	0.0778589	0	0	0.0900243	0.0510949	0.223844	0.211679	0.233577	0.111922	17	411	3.00531e-06
3 or 4 Unit	NC, 00700	0.0995441	0	0.128419	0.148936	0.175532	0.276596	0.101064	0.0357143	0.0341945	56	1316	9.62285e-06
5 to 9 Unit	NC, 00700	0.0454545	0.181818	0.0515971	0.0859951	0.0651106	0.276413	0.179361	0.0208845	0.0933661	36	814	5.95214e-06
50 or more Unit	NC, 00700	0.34434	0	0	0.353774	0	0	0	0	0.301887	14	212	1.55019e-06
Mobile Home	NC, 00700	0	0	0.010679	0.0468467	0.137316	0.269394	0.314628	0.189805	0.0313319	405	9926	7.2581e-05
Single-Family Attached	NC, 00700	0.102439	0	0	0.153659	0.0902439	0.141463	0.263415	0.219512	0.0292683	28	410	2.998e-06
Single-Family Detached	NC, 00700	0.091217	0.0536294	0.0692007	0.0794797	0.116667	0.13198	0.170532	0.238086	0.0492073	2118	42514	0.000310871
10 to 19 Unit	NC, 00800	0.0682261	0.00877193	0.00389864	0.0555556	0.0146199	0.60039	0.197856	0.0506823	0	92	1026	7.60108e-06
2 Unit	NC, 00800	0.00616991	0.00806834	0.0840057	0.13906	0.265781	0.227812	0.201234	0.067869	0	99	2107	1.56096e-05
20 to 49 Unit	NC, 00800	0.0791599	0	0.0113086	0.00969305	0.0694669	0.42811	0.164782	0.23748	0	46	619	4.58584e-06
3 or 4 Unit	NC, 00800	0.0382222	0	0.117333	0.0933333	0.164444	0.310222	0.0746667	0.201778	0	60	1125	8.33454e-06
5 to 9 Unit	NC, 00800	0	0	0	0.006157	0.116983	0.511544	0.246793	0.100564	0.0179579	81	1949	1.44391e-05
50 or more Unit	NC, 00800	0.0437764	0.011029	0.0241598	0.0431183	0.0893043	0.118177	0.145755	0.234125	0.290555	4615	94206	1.05941e-06
Mobile Home	NC, 00800	0.0145489	0	0.016615	0.063447	0.154787	0.229597	0.321711	0.161157	0.0381371	494	11616	8.60565e-05
Single-Family Attached	NC, 00800	0.0664781	0	0	0.101839	0.199434	0.229137	0.251768	0.0947666	0.0565771	39	707	5.23778e-06
Single-Family Detached	NC, 00800	0.0811005	0.0433793	0.0727362	0.0978085	0.175444	0.201911	0.159187	0.143012	0.0254208	2738	48779	0.000361377
10 to 19 Unit	NC, 00900	0	0	0.0625724	0.00347625	0.130939	0.310545	0.442642	0.01854	0.0312862	23	863	6.38802e-06
2 Unit	NC, 00900	0.0626172	0.016123	0.0888639	0.0442445	0.138733	0.147357	0.20285	0.166479	0.132733	83	2667	1.97415e-05
20 to 49 Unit	NC, 00900	0.0414847	0.0393013	0.30786	0.106987	0.21179	0.0720524	0.220524	0	0	17	458	3.39018e-06
3 or 4 Unit	NC, 00900	0.0452314	0.0119215	0.0960729	0.0375175	0.225806	0.276648	0.175316	0.0729313	0.0585554	89	2852	2.11109e-05
5 to 9 Unit	NC, 00900	0.0468704	0.00385642	0.0771284	0.0907743	0.177099	0.31949	0.213883	0.0442005	0.0266983	85	3371	2.49526e-05
50 or more Unit	NC, 00900	0	0	0.229602	0.127135	0.364326	0.157495	0.0151803	0.106262	0	17	527	3.90092e-06
Mobile Home	NC, 00900	0.000635459	0.000988491	0.00804914	0.025489	0.118619	0.169244	0.410294	0.219021	0.0476594	653	14163	0.000104836
Single-Family Attached	NC, 00900	0.0488411	0.0372517	0.104305	0.0521523	0.143212	0.0844371	0.168874	0.305464	0.0554636	57	1208	8.94179e-06
Single-Family Detached	NC, 00900	0.12856	0.046105	0.140629	0.108644	0.173854	0.110218	0.113295	0.143944	0.0347517	2049	41926	0.000310342
10 to 19 Unit	NC, 01000	0.026	0.126	0.01	0.046	0.176	0.246	0.08	0.252	0.038	23	500	3.70091e-06
2 Unit	NC, 01000	0.0688551	0.0564452	0.0492394	0.159728	0.257806	0.181745	0.141313	0.051241	0.0336269	103	2498	1.84897e-05
20 to 49 Unit	NC, 01000	0.0883721	0.0488372	0.137209	0	0.0209302	0.0511628	0.176744	0.323256	0.153488	22	430	3.18278e-06
3 or 4 Unit	NC, 01000	0.0656858	0.0530741	0.13505	0.074619	0.094062	0.12927	0.279033	0.142932	0.0262743	64	1903	1.40856e-05
5 to 9 Unit	NC, 01000	0.0147142	0.0333899	0.0594228	0.0475382	0.168081	0.214488	0.246746	0.142615	0.0730051	55	1767	1.3079e-05
50 or more Unit	NC, 01000	0.274247	0	0	0.120401	0.183946	0	0.153846	0.267559	0	15	299	2.21314e-06
Mobile Home	NC, 01000	0.0015528	0.00382226	0.0101529	0.0280698	0.102723	0.296226	0.326445	0.210822	0.0201863	429	8372	6.1968e-05
Single-Family Attached	NC, 01000	0.0557621	0.0185874	0.0223048	0	0.154275	0.14684	0.0464684	0.392193	0.163569	28	538	3.98218e-06
Single-Family Detached	NC, 01000	0.0929061	0.0615707	0.108911	0.130771	0.181092	0.120586	0.126335	0.138933	0.0388942	1637	28179	0.000208576
10 to 19 Unit	NC, 01100	0	0	0	0.0235018	0.119859	0.0317274	0.159812	0.262045	0.403055	29	851	5.95151e-06
2 Unit	NC, 01100	0.0577617	0.147292	0.0931408	0.0108303	0.103971	0.269314	0.178339	0.106859	0.032491	56	1385	9.68608e-06
20 to 49 Unit	NC, 01100	0.0579297	0	0.00474834	0.00474834	0.129155	0.216524	0.214625	0.0883191	0.283951	39	1053	7.36422e-06
3 or 4 Unit	NC, 01100	0.0454545	0.0354278	0.0387701	0.0407754	0.205882	0.212567	0.176471	0.10361	0.141043	63	1496	1.04624e-05
5 to 9 Unit	NC, 01100	0	0	0.0590278	0.0983796	0.0983796	0.331019	0.155093	0.134259	0.123843	34	864	6.04245e-06
50 or more Unit	NC, 01100	0	0	0.0497238	0.0165746	0.0607735	0	0.143646	0.11326	0.616022	11	362	2.53167e-06
Mobile Home	NC, 01100	0.00567615	0	0.0032216	0.0125796	0.0702616	0.277595	0.434226	0.165529	0.030912	431	13037	9.11754e-05
Single-Family Attached	NC, 01100	0.0553042	0.0356963	0.049271	0.0643539	0.0442433	0.0960282	0.28004	0.192559	0.182504	74	1989	1.39102e-05
Single-Family Detached	NC, 01100	0.0720353	0.0403935	0.0601397	0.0764295	0.0746828	0.0801802	0.202997	0.271281	0.121861	2114	54390	0.000380381
10 to 19 Unit	NC, 01201	0.0043251	0.014417	0.0311768	0.0551451	0.224545	0.239863	0.239863	0.120562	0.0701027	210	5549	3.8507e-05
2 Unit	NC, 01201	0.0993737	0.121503	0.161587	0.117328	0.149896	0.141962	0.116075	0.0701461	0.0221294	113	2395	1.662e-05
20 to 49 Unit	NC, 01201	0.0167916	0.0110945	0.0485757	0.0341829	0.0533733	0.188306	0.157421	0.253673	0.236582	139	3335	2.3143e-05
3 or 4 Unit	NC, 01201	0.054991	0.0567842	0.115959	0.185296	0.2104	0.177725	0.125125	0.0637577	0.00996214	231	5019	3.4829e-05
5 to 9 Unit	NC, 01201	0.038494	0.0209353	0.041533	0.0940402	0.236029	0.268107	0.17221	0.0601047	0.0685463	246	5923	4.11023e-05
50 or more Unit	NC, 01201	0.0485777	0.0231947	0.0475565	0.0549964	0.0541211	0.0468271	0.0582057	0.184537	0.481984	310	6855	4.75699e-05
Mobile Home	NC, 01201	0	0	0	0.029304	0.179487	0.346154	0.276557	0.040293	0.128205	18	546	3.78894e-06
Single-Family Attached	NC, 01201	0.0457053	0.0520095	0.0480693	0.0888495	0.0687549	0.168834	0.0845154	0.252364	0.190898	276	5076	3.52246e-05
Single-Family Detached	NC, 01201	0.152024	0.0917344	0.189179	0.170108	0.0980306	0.0609122	0.0670986	0.110403	0.0605096	1476	27318	0.000189572
10 to 19 Unit	NC, 01202	0.020559	0.00577925	0.00776883	0.0755092	0.145144	0.363145	0.253719	0.118143	0.0102321	309	10555	7.45603e-05
2 Unit	NC, 01202	0	0.0218121	0.0234899	0.0687919	0.0973154	0.278523	0.375839	0.0771812	0.057047	26	596	4.21014e-06
20 to 49 Unit	NC, 01202	0.0110664	0.00251509	0	0.0186117	0.0965795	0.242203	0.211016	0.232897	0.185111	112	3976	2.80864e-05
3 or 4 Unit	NC, 01202	0	0.00479616	0.0371703	0.103118	0.172262	0.378497	0.2502	0.0539568	0	106	2502	1.76741e-05
5 to 9 Unit	NC, 01202	0.00464114	0.0033151	0.0165755	0.0427648	0.175037	0.475551	0.167081	0.0840378	0.0309962	221	6033	4.2617e-05
50 or more Unit	NC, 01202	0.0108047	0.00483793	0.0101597	0.00806322	0.0803096	0.123528	0.110305	0.248347	0.403645	243	6201	4.38038e-05
Mobile Home	NC, 01202	0.0427632	0	0	0	0.128289	0.146382	0.421053	0.184211	0.0773026	19	608	4.29491e-06
Single-Family Attached	NC, 01202	0.00442033	0	0.00492264	0.0344585	0.129797	0.454189	0.111111	0.23689	0.0242114	427	9954	7.03151e-05
Single-Family Detached	NC, 01202	0.0063701	0.00629932	0.0289486	0.212266	0.200198	0.245178	0.200587	0.065966	0.0341862	1453	28257	0.000199607
10 to 19 Unit	NC, 01203	0	0	0.0219178	0.0126027	0	0.0865753	0.303014	0.416986	0.158904	59	1825	1.26502e-05
2 Unit	NC, 01203	0	0	0.0787234	0.117021	0.229787	0.165957	0.312766	0.0957447	0	14	470	3.25786e-06
20 to 49 Unit	NC, 01203	0.0178066	0	0	0	0	0.00566572	0.169162	0.372319	0.435047	53	2471	1.7128e-05
3 or 4 Unit	NC, 01203	0	0	0	0	0.028	0.144	0.378	0.358	0.092	22	500	3.46579e-06
5 to 9 Unit	NC, 01203	0.0109671	0	0	0.0408774	0.118644	0.0767697	0.327019	0.29013	0.135593	38	1003	6.95242e-06
50 or more Unit	NC, 01203	0	0	0	0	0.0105178	0.0113269	0.175566	0.364887	0.437702	33	1236	8.56746e-06
Mobile Home	NC, 01203	0.0554286	0	0	0.125143	0.096	0.129714	0.414857	0.128571	0.0502857	44	1750	1.21303e-05
Single-Family Attached	NC, 01203	0	0.00677392	0.0045724	0.00609653	0.0159187	0.0242168	0.113294	0.559018	0.27011	183	5905	4.09311e-05
Single-Family Detached	NC, 01203	0.0145479	0.00705729	0.00640728	0.0110193	0.0340793	0.0717182	0.276937	0.434581	0.143653	1186	32307	0.000223939
10 to 19 Unit	NC, 01204	0	0	0	0	0	0.0759494	0.139241	0.397679	0.387131	29	948	6.56889e-06
2 Unit	NC, 01204	0	0	0.130769	0.190385	0.236538	0	0.198077	0.121154	0.123077	13	520	3.60318e-06
20 to 49 Unit	NC, 01204	0.0241357	0	0.060013	0	0	0.097195	0.047619	0.632094	0.138943	38	1533	1.06225e-05
3 or 4 Unit	NC, 01204	0	0	0	0	0.172917	0.141667	0.216667	0.452083	0.0166667	14	480	3.32602e-06
5 to 9 Unit	NC, 01204	0.0114007	0	0.0591748	0.00380022	0.0152009	0.0651466	0.301303	0.211726	0.332248	40	1842	1.27636e-05
50 or more Unit	NC, 01204	0	0	0.211236	0	0	0.0202247	0.341573	0.307865	0.119101	11	445	3.0835e-06
Mobile Home	NC, 01204	0	0	0	0.0644186	0.0472093	0.312791	0.446512	0.105116	0.0239535	151	4300	2.97956e-05
Single-Family Attached	NC, 01204	0	0	0.0126091	0.0316844	0.0869706	0.099903	0.166828	0.464274	0.13773	89	3093	2.1432e-05
Single-Family Detached	NC, 01204	0.0285714	0.0151864	0.0416239	0.0627962	0.108023	0.135403	0.195649	0.322017	0.0907302	1268	36085	0.000250041
10 to 19 Unit	NC, 01205	0.00493827	0	0	0.00987654	0.133333	0.101728	0.331358	0.226173	0.192593	66	2025	1.4439e-05
2 Unit	NC, 01205	0	0	0.0428016	0.0544747	0	0.642023	0.132296	0.128405	0	11	257	1.83251e-06
20 to 49 Unit	NC, 01205	0	0	0	0.00717835	0.0668139	0.0436223	0.203203	0.326891	0.352292	45	1811	1.29131e-05
3 or 4 Unit	NC, 01205	0.0414815	0.0266667	0	0.0385185	0.322963	0.293333	0.042963	0.234074	0	20	675	4.81302e-06
5 to 9 Unit	NC, 01205	0	0	0.0142663	0.091712	0.310462	0.288723	0.11481	0.0767663	0.103261	42	1472	1.04959e-05
50 or more Unit	NC, 01205	0.0692771	0	0.0963855	0	0	0.0692771	0.286145	0.192771	0.286145	15	332	2.36729e-06
Mobile Home	NC, 01205	0	0	0.0061849	0.0211589	0.174479	0.185221	0.357096	0.189779	0.0660807	122	3072	2.19046e-05
Single-Family Attached	NC, 01205	0	0	0	0.05721	0.0532915	0.344828	0.05721	0.382445	0.105016	49	1276	9.09837e-06
Single-Family Detached	NC, 01205	0.0126593	0.0105822	0.0418234	0.0613597	0.0862853	0.129316	0.212457	0.314461	0.131056	1535	35626	0.000254027
10 to 19 Unit	NC, 01206	0.00877039	0	0	0.00298193	0.0191195	0.0712156	0.287844	0.492896	0.117172	160	5701	3.98222e-05
2 Unit	NC, 01206	0.0773347	0.0541374	0.0891484	0.117266	0.169578	0.172463	0.156327	0.113269	0.0504758	4439	95313	1.27828e-06
20 to 49 Unit	NC, 01206	0	0	0	0	0	0.0639702	0.193919	0.524957	0.217154	81	3486	2.43503e-05
3 or 4 Unit	NC, 01206	0	0	0	0	0.0438144	0.329897	0.252577	0.373711	0	17	388	2.71024e-06
5 to 9 Unit	NC, 01206	0	0	0	0	0	0.117744	0.37897	0.439211	0.0640745	70	1826	1.27549e-05
50 or more Unit	NC, 01206	0	0	0	0	0	0.0739812	0.0727273	0.432602	0.42069	49	1595	1.11413e-05
Mobile Home	NC, 01206	0.0282209	0	0.0294479	0.119018	0.0957055	0.21227	0.266258	0.226994	0.0220859	32	815	5.69289e-06
Single-Family Attached	NC, 01206	0	0	0	0.00314704	0.00553445	0.0309278	0.111232	0.652849	0.19631	358	9215	6.43681e-05
Single-Family Detached	NC, 01206	0.00888754	0.00861719	0.010442	0.0180792	0.0751554	0.164166	0.274027	0.318025	0.122601	1676	29592	0.000206705
10 to 19 Unit	NC, 01207	0	0	0.0170026	0.00863842	0.072124	0.24023	0.371041	0.199369	0.0915947	255	7293	5.26973e-05
2 Unit	NC, 01207	0	0	0.0220713	0.0203735	0.405772	0.283531	0.0645161	0.139219	0.0645161	24	589	4.25597e-06
20 to 49 Unit	NC, 01207	0	0	0	0.0105949	0.0281174	0.119397	0.276284	0.294621	0.270986	84	2454	1.7732e-05
3 or 4 Unit	NC, 01207	0.0132802	0	0	0.0411687	0.112218	0.383798	0.376494	0.063745	0.00929615	77	1506	1.0882e-05
5 to 9 Unit	NC, 01207	0	0	0.00900901	0.0109797	0.14893	0.317286	0.356982	0.144989	0.0118243	157	3552	2.56658e-05
50 or more Unit	NC, 01207	0	0	0.00609756	0	0.0434003	0.0114778	0.201578	0.311693	0.425753	135	2788	2.01454e-05
Mobile Home	NC, 01207	0	0	0	0	0.0506135	0.210123	0.504601	0.217791	0.0168712	25	652	4.71117e-06
Single-Family Attached	NC, 01207	0	0.00534667	0.00620904	0.00534667	0.130562	0.335978	0.162815	0.19179	0.161952	308	5798	4.18947e-05
Single-Family Detached	NC, 01207	0.00925389	0.00668845	0.0315182	0.0547293	0.136487	0.206945	0.407935	0.112818	0.0336255	2080	32743	0.000236593
10 to 19 Unit	NC, 01208	0	0	0	0.0100211	0.00896624	0.0738397	0.297468	0.367089	0.242616	67	1896	1.24083e-05
2 Unit	NC, 01208	0.0773347	0.0541374	0.0891484	0.117266	0.169578	0.172463	0.156327	0.113269	0.0504758	4439	95313	2.42145e-07
20 to 49 Unit	NC, 01208	0	0	0	0	0.0190641	0.0407279	0.279029	0.455806	0.205373	41	1154	7.5523e-06
3 or 4 Unit	NC, 01208	0	0	0	0	0.10586	0.190926	0.1569	0.406427	0.139887	22	529	3.46202e-06
5 to 9 Unit	NC, 01208	0	0	0	0	0	0.1038	0.303058	0.432808	0.160334	41	1079	7.06146e-06
50 or more Unit	NC, 01208	0	0	0	0	0.0355556	0.0281481	0.136296	0.374815	0.425185	28	675	4.4175e-06
Mobile Home	NC, 01208	0	0	0.0593561	0.0633803	0.0965795	0.327968	0.292757	0.127767	0.0321932	33	994	6.50519e-06
Single-Family Attached	NC, 01208	0.0135614	0	0.00542458	0	0.0125183	0.0536199	0.145629	0.452535	0.316712	243	4793	3.13676e-05
Single-Family Detached	NC, 01208	0.00818723	0.00391443	0.0148032	0.015575	0.0269875	0.0654427	0.291212	0.369611	0.204267	1752	36276	0.000237406
10 to 19 Unit	NC, 01301	0	0.0217126	0.00784792	0.0338333	0.101064	0.206836	0.250785	0.270841	0.107081	312	11468	8.02021e-05
2 Unit	NC, 01301	0.143683	0.0198183	0.192403	0.0726672	0.155244	0.208092	0.104872	0.10322	0	51	1211	8.4692e-06
20 to 49 Unit	NC, 01301	0.0186129	0	0.0382053	0.0248824	0.0656348	0.128723	0.224922	0.268417	0.230603	150	5104	3.56952e-05
3 or 4 Unit	NC, 01301	0.0705521	0.00843558	0.0525307	0.0720859	0.193252	0.188267	0.183282	0.127301	0.104294	89	2608	1.82392e-05
5 to 9 Unit	NC, 01301	0	0.00664207	0.0261255	0.0733579	0.131365	0.27262	0.290923	0.143616	0.0553506	214	6775	4.73814e-05
50 or more Unit	NC, 01301	0.022174	0.00795372	0.0125331	0.0298867	0.110388	0.0535069	0.168956	0.230658	0.363943	158	4149	2.90163e-05
Mobile Home	NC, 01301	0	0	0	0.0617284	0.191358	0.0534979	0.37037	0.201646	0.121399	17	486	3.39888e-06
Single-Family Attached	NC, 01301	0.0123653	0.0127056	0.0287011	0.0301758	0.0516166	0.224957	0.135337	0.249461	0.25468	312	8815	6.16482e-05
Single-Family Detached	NC, 01301	0.0505392	0.0362433	0.0714247	0.106143	0.0989271	0.147342	0.183014	0.188324	0.118043	1567	36724	0.000256832
10 to 19 Unit	NC, 01302	0.087037	0.00851852	0.0903704	0.0888889	0.10963	0.158148	0.105185	0.263333	0.0888889	94	2700	1.93696e-05
2 Unit	NC, 01302	0.140407	0.0666135	0.134822	0.140806	0.114081	0.240925	0.0398883	0.0945353	0.0279218	108	2507	1.79851e-05
20 to 49 Unit	NC, 01302	0.246764	0.0103538	0	0.0819672	0.169111	0.08283	0.0905953	0.196721	0.121657	51	1159	8.31461e-06
3 or 4 Unit	NC, 01302	0.175794	0.0301205	0.0613363	0.0295728	0.129244	0.278751	0.128149	0.149507	0.0175246	77	1826	1.30996e-05
5 to 9 Unit	NC, 01302	0.0576299	0	0.0351732	0.144751	0.223214	0.323323	0.0987554	0.0911797	0.025974	126	3696	2.65149e-05
50 or more Unit	NC, 01302	0.167559	0.0175976	0.010329	0.0975516	0.0535578	0.0879878	0.117445	0.129686	0.318286	148	2614	1.87527e-05
Mobile Home	NC, 01302	0	0	0	0.0125828	0.138411	0.176159	0.293377	0.240397	0.139073	45	1510	1.08326e-05
Single-Family Attached	NC, 01302	0.104648	0.0450528	0.0211007	0.0638723	0.109495	0.175934	0.0835472	0.27773	0.11862	145	3507	2.5159e-05
Single-Family Detached	NC, 01302	0.0816045	0.0731072	0.107045	0.122892	0.135523	0.119549	0.131006	0.179489	0.0497844	1666	39189	0.00028114
10 to 19 Unit	NC, 01400	0	0	0.0248316	0.106692	0.173401	0.216751	0.224537	0.170665	0.0831229	164	4752	3.45846e-05
2 Unit	NC, 01400	0.0609541	0.0954064	0.0530035	0.0556537	0.25	0.159011	0.184629	0.141343	0	62	1132	8.23858e-06
