Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=Tenure	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	Option=Void	source_count	source_weight	sampling_probability
4B	Single-Family Detached	None	Not Available	0.00721786	0.0126305	0.0146713	0.0299268	0.0768696	0.212537	0.241452	0.221768	0.0607253	0.0872552	0.034946	0	0	0	0.000139826
4B	Single-Family Detached	None	Owner	0.00783744	0.0108045	0.0135377	0.0314186	0.0788173	0.208063	0.23755	0.233739	0.0654736	0.0806089	0.0321496	0	0	0	0.000454449
4B	Single-Family Detached	None	Renter	0.0239089	0.0332462	0.0721964	0.0548269	0.136824	0.218754	0.153067	0.138512	0.0167112	0.0717655	0.0801882	0	0	0	0.000103991
4B	Single-Family Detached	Room AC	Not Available	0.043711	0.0718273	0.0838953	0.00541094	0.0896387	0.129634	0.0955384	0.224344	0.030722	0.0804853	0.144793	0	88	72680.2	0.000128784
4B	Single-Family Detached	Room AC	Owner	0.0528556	0.0680652	0.0861976	0	0.0930412	0.11766	0.091917	0.239439	0.0371493	0.0774064	0.13627	0	71	60310.4	0.000437003
4B	Single-Family Detached	Room AC	Renter	0	0.0898098	0.0728905	0.0312751	0.073375	0.186871	0.112848	0.15219	0	0.0952023	0.185537	0	17	12369.8	0.000115541
4C	Mobile Home	Central AC	Not Available	0.073143	0	0.155789	0.0975178	0.222666	0.13542	0.0620057	0.0692182	0.0888629	0.0953767	0	0	11	77137.7	5.70252e-05
4C	Mobile Home	Central AC	Owner	0.073143	0	0.155789	0.0975178	0.222666	0.13542	0.0620057	0.0692182	0.0888629	0.0953767	0	0	11	77137.7	0.000386051
4C	Mobile Home	Central AC	Renter	0	0	0	0	0.440937	0.328584	0.0662257	0.164254	0	0	0	0	15	0	0.000113549
4C	Mobile Home	Ducted Heat Pump	Not Available	0	0	0	0.034637	0.18502	0.196766	0.224501	0.277282	0.0310005	0.050794	0	0	56	38815	3.33824e-05
4C	Mobile Home	Ducted Heat Pump	Owner	0	0	0	0.0352525	0.170538	0.200263	0.22849	0.282209	0.0315513	0.0516966	0	0	55	38815	0.000236776
4C	Mobile Home	Ducted Heat Pump	Renter	0	0	0	0	0.440937	0.328584	0.0662257	0.164254	0	0	0	0	15	0	6.74801e-05
4C	Mobile Home	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Mobile Home	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Mobile Home	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Mobile Home	Non-Ducted Heat Pump	Not Available	0	0	0	0	0.163944	0.290114	0.218741	0.197743	0.0495745	0.0293153	0.0505686	0	20	0	3.04693e-06
4C	Mobile Home	Non-Ducted Heat Pump	Owner	0	0	0	0	0.163944	0.290114	0.218741	0.197743	0.0495745	0.0293153	0.0505686	0	20	0	2.08992e-05
4C	Mobile Home	Non-Ducted Heat Pump	Renter	0.0456412	0	0.0396001	0.0820624	0.228598	0.153451	0.0564183	0.149004	0	0.0514049	0.19382	0	18	0	6.09858e-06
4C	Mobile Home	None	Not Available	0.0556001	0	0.0891932	0.0419401	0.254928	0.177651	0.0638413	0.145163	0.0381146	0.0674066	0.0661617	0	0	0	4.17279e-05
4C	Mobile Home	None	Owner	0.0580798	0	0.0931711	0.0439286	0.26352	0.186245	0.0674536	0.152582	0.0399201	0.0705859	0.024514	0	0	0	0.00028291
4C	Mobile Home	None	Renter	0.0456412	0	0.0396001	0.0820624	0.228598	0.153451	0.0564183	0.149004	0	0.0514049	0.19382	0	0	0	8.319e-05
4C	Mobile Home	Room AC	Not Available	0.0640317	0	0.0716466	0	0.309423	0.204003	0	0.15281	0	0.05156	0.146525	0	15	95461.4	4.31026e-05
4C	Mobile Home	Room AC	Owner	0.0707184	0	0.0791284	0	0.341735	0.225307	0	0.168767	0	0.0569443	0.0573996	0	14	86435.2	0.000293328
4C	Mobile Home	Room AC	Renter	0.0456412	0	0.0396001	0.0820624	0.228598	0.153451	0.0564183	0.149004	0	0.0514049	0.19382	0	18	9026.17	8.60564e-05
4C	Multi-Family with 2 - 4 Units	Central AC	Not Available	0	0	0	0	0.400354	0.28539	0.0979985	0.216258	0	0	0	0	10	18265.2	3.08581e-05
4C	Multi-Family with 2 - 4 Units	Central AC	Owner	0.0143018	0.00610983	0.0484899	0.0391934	0.157073	0.192047	0.225585	0.177786	0.0713502	0.0603708	0.00769297	0	220	0	4.02195e-05
4C	Multi-Family with 2 - 4 Units	Central AC	Renter	0	0	0	0	0.457117	0.338764	0	0.204119	0	0	0	0	11	18265.2	0.000301276
4C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Not Available	0	0	0	0	0.390014	0.289035	0.0789197	0.242031	0	0	0	0	13	0	1.02595e-05
4C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Owner	0.0143018	0.00610983	0.0484899	0.0391934	0.157073	0.192047	0.225585	0.177786	0.0713502	0.0603708	0.00769297	0	220	0	1.38418e-05
4C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Renter	0	0	0	0	0.457117	0.338764	0	0.204119	0	0	0	0	11	0	0.00010395
4C	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Not Available	0.0926406	0.0240897	0.0607358	0	0.0645011	0.251444	0.23266	0.121856	0	0.0416727	0.1104	0	45	0	4.11955e-06
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Owner	0.0578694	0.0113613	0.046518	0.00959008	0.203992	0.29995	0.0926392	0.138188	0.0226662	0.0558839	0.0613419	0	87	0	5.64809e-06
4C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Renter	0.0994608	0.0258632	0.0652072	0	0.0692496	0.241298	0.228867	0.130827	0	0.0206995	0.118528	0	42	0	4.19055e-05
4C	Multi-Family with 2 - 4 Units	None	Not Available	0.0537135	0.0170367	0.0429534	0	0.17297	0.268608	0.195715	0.141455	0	0.0294716	0.078077	0	0	0	6.74854e-05
4C	Multi-Family with 2 - 4 Units	None	Owner	0.0578694	0.0113613	0.046518	0.00959008	0.203992	0.29995	0.0926392	0.138188	0.0226662	0.0558839	0.0613419	0	0	0	8.22355e-05
4C	Multi-Family with 2 - 4 Units	None	Renter	0.0543227	0.0172299	0.0434405	0	0.210428	0.282507	0.152469	0.14685	0	0.0137899	0.0789624	0	0	0	0.00064404
4C	Multi-Family with 2 - 4 Units	Room AC	Not Available	0.0787707	0.0249842	0.062991	0	0.066896	0.26078	0.241299	0.10656	0	0.04322	0.1145	0	43	39154.1	4.17896e-05
4C	Multi-Family with 2 - 4 Units	Room AC	Owner	0.0578694	0.0113613	0.046518	0.00959008	0.203992	0.29995	0.0926392	0.138188	0.0226662	0.0558839	0.0613419	0	87	6599.89	4.86525e-05
4C	Multi-Family with 2 - 4 Units	Room AC	Renter	0.0848016	0.0268971	0.0678137	0	0.0720178	0.250943	0.238016	0.114718	0	0.021527	0.123266	0	40	32554.2	0.000391621
4C	Multi-Family with 5+ Units	Central AC	Not Available	0	0	0	0	0.400354	0.28539	0.0979985	0.216258	0	0	0	0	10	62529	9.55872e-05
4C	Multi-Family with 5+ Units	Central AC	Owner	0.0143018	0.00610983	0.0484899	0.0391934	0.157073	0.192047	0.225585	0.177786	0.0713502	0.0603708	0.00769297	0	220	7917.72	0.000107446
4C	Multi-Family with 5+ Units	Central AC	Renter	0	0	0	0	0.457117	0.338764	0	0.204119	0	0	0	0	11	54611.3	0.000960231
4C	Multi-Family with 5+ Units	Ducted Heat Pump	Not Available	0	0	0	0	0.390014	0.289035	0.0789197	0.242031	0	0	0	0	13	19531.9	3.81631e-05
4C	Multi-Family with 5+ Units	Ducted Heat Pump	Owner	0.0143018	0.00610983	0.0484899	0.0391934	0.157073	0.192047	0.225585	0.177786	0.0713502	0.0603708	0.00769297	0	220	6809.69	4.06807e-05
4C	Multi-Family with 5+ Units	Ducted Heat Pump	Renter	0	0	0	0	0.457117	0.338764	0	0.204119	0	0	0	0	11	12722.2	0.000390115
4C	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Not Available	0.0926406	0.0240897	0.0607358	0	0.0645011	0.251444	0.23266	0.121856	0	0.0416727	0.1104	0	45	12125.2	1.83638e-05
4C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Owner	0.0578694	0.0113613	0.046518	0.00959008	0.203992	0.29995	0.0926392	0.138188	0.0226662	0.0558839	0.0613419	0	87	0	2.0652e-05
4C	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Renter	0.0994608	0.0258632	0.0652072	0	0.0692496	0.241298	0.228867	0.130827	0	0.0206995	0.118528	0	42	12125.2	0.000189219
4C	Multi-Family with 5+ Units	None	Not Available	0.0703543	0.0221465	0.0558365	0	0.144865	0.26595	0.216695	0.119916	0	0.0211989	0.0830388	0	0	0	0.00017438
4C	Multi-Family with 5+ Units	None	Owner	0.0374035	0.0088944	0.0474443	0.0234963	0.181952	0.249262	0.155091	0.156789	0.0455355	0.0579916	0.0361403	0	0	0	0.000206282
4C	Multi-Family with 5+ Units	None	Renter	0.0768882	0.0241903	0.0609895	0	0.152651	0.261651	0.214064	0.118096	0	0.000716614	0.0907533	0	0	0	0.00174556
4C	Multi-Family with 5+ Units	Room AC	Not Available	0.0895019	0.0283879	0.0715724	0	0.0760095	0.260763	0.251208	0.0905748	0	0.0263879	0.105594	0	38	287405	0.000158288
4C	Multi-Family with 5+ Units	Room AC	Owner	0.0578694	0.0113613	0.046518	0.00959008	0.203992	0.29995	0.0926392	0.138188	0.0226662	0.0558839	0.0613419	0	87	16624.2	0.000169203
4C	Multi-Family with 5+ Units	Room AC	Renter	0.0949967	0.0301307	0.0759665	0	0.080676	0.243387	0.266631	0.0961355	0	0	0.112077	0	36	270781	0.00157878
4C	Single-Family Attached	Central AC	Not Available	0.0190182	0.00812472	0.0644808	0.0404548	0.155522	0.195978	0.223374	0.135202	0.0844408	0.0631752	0.0102299	0	166	26766.3	3.25766e-05
4C	Single-Family Attached	Central AC	Owner	0.0193677	0.00827403	0.0656658	0.0411983	0.155249	0.192595	0.219217	0.137686	0.0859926	0.0643362	0.0104179	0	163	24096	0.000273107
4C	Single-Family Attached	Central AC	Renter	0	0	0	0	0.440937	0.328584	0.0662257	0.164254	0	0	0	0	15	2670.34	0.000241605
4C	Single-Family Attached	Ducted Heat Pump	Not Available	0	0	0	0.034637	0.18502	0.196766	0.224501	0.277282	0.0310005	0.050794	0	0	56	9633.7	1.11713e-05
4C	Single-Family Attached	Ducted Heat Pump	Owner	0	0	0	0.0352525	0.170538	0.200263	0.22849	0.282209	0.0315513	0.0516966	0	0	55	9633.7	9.18303e-05
4C	Single-Family Attached	Ducted Heat Pump	Renter	0	0	0	0	0.440937	0.328584	0.0662257	0.164254	0	0	0	0	15	0	9.20159e-05
4C	Single-Family Attached	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Single-Family Attached	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Single-Family Attached	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Single-Family Attached	Non-Ducted Heat Pump	Not Available	0	0	0	0	0.163944	0.290114	0.218741	0.197743	0.0495745	0.0293153	0.0505686	0	20	9448.42	2.57467e-06
4C	Single-Family Attached	Non-Ducted Heat Pump	Owner	0	0	0	0	0.163944	0.290114	0.218741	0.197743	0.0495745	0.0293153	0.0505686	0	20	9448.42	1.88502e-05
4C	Single-Family Attached	Non-Ducted Heat Pump	Renter	0.0456412	0	0.0396001	0.0820624	0.228598	0.153451	0.0564183	0.149004	0	0.0514049	0.19382	0	18	0	1.94758e-05
4C	Single-Family Attached	None	Not Available	0.0382718	0.00804966	0.0468623	0.0296204	0.192746	0.23824	0.143247	0.157898	0.0419939	0.0510603	0.0520109	0	0	0	1.81563e-05
4C	Single-Family Attached	None	Owner	0.0178955	0.00574855	0.0394268	0.0289997	0.167663	0.224165	0.202603	0.177432	0.0606785	0.0531374	0.0222501	0	0	0	0.000138666
4C	Single-Family Attached	None	Renter	0.0421651	0	0.0365841	0.0758124	0.24477	0.166789	0.0571653	0.150166	0	0.0474898	0.179058	0	0	0	0.000137171
4C	Single-Family Attached	Room AC	Not Available	0.0715616	0.012101	0.0581575	0.0280581	0.228635	0.26605	0.0459487	0.133335	0.0125469	0.0479535	0.0956524	0	82	37418.6	1.19308e-05
4C	Single-Family Attached	Room AC	Owner	0.0787638	0.0154634	0.0633139	0.0130527	0.228646	0.297337	0.0430397	0.128981	0.0160332	0.0469945	0.0683761	0	64	5027.42	8.96188e-05
4C	Single-Family Attached	Room AC	Renter	0.0456412	0	0.0396001	0.0820624	0.228598	0.153451	0.0564183	0.149004	0	0.0514049	0.19382	0	18	32391.2	9.17065e-05
4C	Single-Family Detached	Central AC	Not Available	0.0142226	0.00922902	0.0455958	0.0361133	0.142809	0.205363	0.247478	0.146593	0.082859	0.0581161	0.0116204	0	146	764459	0.000448625
4C	Single-Family Detached	Central AC	Owner	0.0144686	0.00938867	0.0463846	0.0367381	0.14528	0.200991	0.242385	0.149129	0.0842924	0.0591215	0.0118214	0	144	751460	0.00508471
4C	Single-Family Detached	Central AC	Renter	0	0	0	0	0.440937	0.328584	0.0662257	0.164254	0	0	0	0	15	12999.7	0.000993635
4C	Single-Family Detached	Ducted Heat Pump	Not Available	0	0	0	0.0415155	0.139707	0.16591	0.249652	0.305178	0.0371568	0.0608811	0	0	46	243966	0.000161385
4C	Single-Family Detached	Ducted Heat Pump	Owner	0	0	0	0.0424028	0.121319	0.169456	0.254988	0.3117	0.0379509	0.0621823	0	0	45	238861	0.00141384
4C	Single-Family Detached	Ducted Heat Pump	Renter	0	0	0	0	0.440937	0.328584	0.0662257	0.164254	0	0	0	0	15	5105.24	0.000289397
4C	Single-Family Detached	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	1	5570.72	0
4C	Single-Family Detached	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4C	Single-Family Detached	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	1	5570.72	0
4C	Single-Family Detached	Non-Ducted Heat Pump	Not Available	0	0	0	0	0.179103	0.286376	0.209091	0.216027	0.0541583	0	0.0552444	0	17	102185	6.37354e-05
4C	Single-Family Detached	Non-Ducted Heat Pump	Owner	0	0	0	0	0.179103	0.286376	0.209091	0.216027	0.0541583	0	0.0552444	0	17	102185	0.000547251
4C	Single-Family Detached	Non-Ducted Heat Pump	Renter	0.0456412	0	0.0396001	0.0820624	0.228598	0.153451	0.0564183	0.149004	0	0.0514049	0.19382	0	18	0	0.000114986
4C	Single-Family Detached	None	Not Available	0.0267456	0.00881835	0.035508	0.0325567	0.165732	0.227075	0.201641	0.170478	0.0576833	0.0530894	0.0206722	0	0	0	0.000467012
4C	Single-Family Detached	None	Owner	0.0248653	0.00933459	0.0375866	0.0309999	0.154461	0.227245	0.20406	0.176189	0.0610601	0.0523161	0.0218824	0	0	0	0.00469734
4C	Single-Family Detached	None	Renter	0.058864	0	0	0.0591506	0.394035	0.22411	0.0876639	0.109879	0	0.0662975	0	0	0	0	0.000939671
4C	Single-Family Detached	Room AC	Not Available	0.0814237	0.0167699	0.0488045	0.0279757	0.231083	0.301003	0.063677	0.114561	0.0173879	0.0521639	0.0451502	0	59	344403	0.000220164
4C	Single-Family Detached	Room AC	Owner	0.0826334	0.020478	0.0595958	0.0172855	0.198063	0.324711	0.056997	0.119087	0.0212325	0.0447829	0.0551336	0	49	282040	0.00216982
4C	Single-Family Detached	Room AC	Renter	0.0759532	0	0	0.0763229	0.380419	0.19378	0.0938877	0.0940926	0	0.0855447	0	0	10	62362.9	0.000442789
5A	Mobile Home	Central AC	Not Available	0.0389107	0.0333252	0.0580303	0.0674499	0.131588	0.151743	0.139368	0.249361	0.0369474	0.0395185	0.053758	0	51	375047	0.000618327
5A	Mobile Home	Central AC	Owner	0.0187697	0.0382858	0.0666683	0.0570081	0.125233	0.15215	0.116972	0.275305	0.0424472	0.045401	0.0617601	0	44	326453	0.00203198
5A	Mobile Home	Central AC	Renter	0.0428083	0.00786475	0.108088	0.022741	0.201206	0.191078	0.246536	0.108539	0.0345307	0.0214818	0.0151263	0	155	48593.9	0.000706214
5A	Mobile Home	Ducted Heat Pump	Not Available	0.0122355	0	0.0214798	0.0514139	0.0910934	0.181881	0.325657	0.167296	0.0521263	0.0791923	0.0176255	0	112	37576.1	0.00011565
5A	Mobile Home	Ducted Heat Pump	Owner	0.0126921	0	0.0222813	0.0533323	0.0824856	0.188667	0.332431	0.173538	0.0431619	0.0731271	0.0182831	0	106	33319.4	0.000332535
5A	Mobile Home	Ducted Heat Pump	Renter	0.0324675	0.00617091	0.056216	0.0153635	0.169227	0.243552	0.24577	0.119797	0.0396014	0.0417275	0.0301063	0	132	4256.7	0.000130187
5A	Mobile Home	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
5A	Mobile Home	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
5A	Mobile Home	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
5A	Mobile Home	Non-Ducted Heat Pump	Not Available	0.0116335	0.0120256	0.105439	0.0477153	0.0772588	0.279488	0.135493	0.167833	0.0415896	0.086672	0.0348528	0	80	12938.3	6.43199e-06
5A	Mobile Home	Non-Ducted Heat Pump	Owner	0.0119218	0.0123236	0.0940535	0.0488977	0.0791734	0.286415	0.138851	0.161208	0.0426202	0.0888199	0.0357165	0	78	8062.51	2.17175e-05
5A	Mobile Home	Non-Ducted Heat Pump	Renter	0.11926	0.0353332	0.10324	0.0357061	0.159854	0.205252	0.127416	0.110135	0.0359302	0.00462788	0.063246	0	280	4875.77	7.27939e-06
5A	Mobile Home	None	Not Available	0.0450726	0.0184693	0.0574403	0.0406429	0.135185	0.230707	0.150724	0.209049	0.0238692	0.0276124	0.0612287	0	0	0	0.000115137
5A	Mobile Home	None	Owner	0.0396852	0.0223951	0.0687685	0.0369434	0.11984	0.229477	0.132693	0.231287	0.0278009	0.0319521	0.0591584	0	0	0	0.000369304
5A	Mobile Home	None	Renter	0.104994	0.0312787	0.0954236	0.0406823	0.175825	0.194532	0.198204	0.0916621	0.0281711	0.0151028	0.0241239	0	0	0	0.000121649
5A	Mobile Home	Room AC	Not Available	0.0603955	0	0.059401	0	0.149652	0.349431	0.142569	0.158903	0	0	0.0796489	0	32	259582	0.000516674
5A	Mobile Home	Room AC	Owner	0.0805246	0	0.0791988	0	0.118874	0.363761	0.124614	0.170265	0	0	0.062762	0	23	194693	0.00165431
5A	Mobile Home	Room AC	Renter	0.155249	0.0501553	0.0879244	0.056153	0.158451	0.193097	0.164209	0.0757894	0.0220756	0.00936615	0.0275298	0	118	64889	0.000563597
5A	Multi-Family with 2 - 4 Units	Central AC	Not Available	0.0833183	0.00333748	0.096435	0	0.105974	0.19187	0.234921	0.17198	0.0450343	0.0401754	0.0269555	0	69	787285	0.00106247
5A	Multi-Family with 2 - 4 Units	Central AC	Owner	0.133135	0	0.098526	0	0.0703183	0.14067	0.146556	0.253075	0.130546	0	0.0271742	0	17	200391	0.00110898
5A	Multi-Family with 2 - 4 Units	Central AC	Renter	0.0663086	0.00447704	0.0957211	0	0.118148	0.209352	0.265092	0.14429	0.015837	0.053893	0.0268809	0	52	586894	0.00447206
5A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Not Available	0	0	0.11392	0.102497	0.123249	0.0570644	0.269907	0.282894	0	0	0.0504693	0	17	44414.4	0.000104578
5A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Owner	0	0	0.03749	0	0.0627672	0.204216	0.282711	0.285762	0.127054	0	0	0	23	0	8.13885e-05
5A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Renter	0	0	0.0931491	0.126968	0.152675	0.0706889	0.226097	0.267903	0	0	0.0625191	0	14	44414.4	0.000425889
5A	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
5A	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
5A	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
5A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Not Available	0.04369	0	0.0613942	0	0.0897831	0.0106297	0.315956	0.225085	0.14655	0.106913	0	0	21	0	1.39016e-05
5A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Owner	0.0910675	0.00678215	0.0792107	0.0287515	0.14721	0.22202	0.133332	0.0970106	0.0961135	0.0421301	0.0563717	0	132	0	1.61273e-05
5A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Renter	0	0	0.0768592	0	0.112399	0.0133072	0.269632	0.262945	0.131014	0.133844	0	0	16	0	6.27593e-05
5A	Multi-Family with 2 - 4 Units	None	Not Available	0.0989103	0.0499799	0.10225	0.0321853	0.102804	0.211423	0.159028	0.111394	0.0458152	0.0268978	0.0593125	0	0	0	0.000529696
5A	Multi-Family with 2 - 4 Units	None	Owner	0.118784	0.0170567	0.0975973	0.0304932	0.1098	0.129613	0.126819	0.159844	0.123782	0.0228477	0.0633635	0	0	0	0.000662229
5A	Multi-Family with 2 - 4 Units	None	Renter	0.093249	0.0593586	0.103092	0.0332364	0.101495	0.235045	0.167185	0.0972433	0.0236051	0.0280516	0.0584388	0	0	0	0.00221382
5A	Multi-Family with 2 - 4 Units	Room AC	Not Available	0.109187	0.0739874	0.104752	0.0458819	0.100705	0.225141	0.119156	0.0772909	0.0474488	0.0211898	0.0752599	0	153	1.62202e+06	0.00215572
5A	Multi-Family with 2 - 4 Units	Room AC	Owner	0.110414	0.0270037	0.0970557	0.0482761	0.132825	0.123165	0.115309	0.105473	0.119838	0.036172	0.0844683	0	33	343619	0.00255163
5A	Multi-Family with 2 - 4 Units	Room AC	Renter	0.108857	0.0866161	0.106821	0.0452383	0.0920721	0.252551	0.12019	0.0697157	0.0279914	0.0171627	0.0727848	0	120	1.2784e+06	0.00920677
5A	Multi-Family with 5+ Units	Central AC	Not Available	0.0380418	0.00859137	0.0671721	0.0243689	0.146277	0.226933	0.241393	0.146835	0.0359672	0.0349083	0.0295122	0	210	1.99902e+06	0.00162373
5A	Multi-Family with 5+ Units	Central AC	Owner	0.0566114	0	0.0262583	0.0292165	0.0978363	0.260248	0.203105	0.233312	0.0293658	0.0392977	0.0247491	0	42	392765	0.00146964
5A	Multi-Family with 5+ Units	Central AC	Renter	0.0335012	0.0106921	0.0771764	0.0231836	0.158121	0.218787	0.250755	0.125689	0.0375813	0.033835	0.0306769	0	168	1.60626e+06	0.0105129
5A	Multi-Family with 5+ Units	Ducted Heat Pump	Not Available	0	0	0.054555	0.144399	0.110883	0	0.220517	0.398545	0	0	0.071102	0	13	108642	0.000199003
5A	Multi-Family with 5+ Units	Ducted Heat Pump	Owner	0	0	0.03749	0	0.0627672	0.204216	0.282711	0.285762	0.127054	0	0	0	23	29499.7	0.000136788
5A	Multi-Family with 5+ Units	Ducted Heat Pump	Renter	0	0	0	0.198223	0.152213	0	0.133709	0.41825	0	0	0.0976048	0	10	79141.9	0.00126769
5A	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
5A	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
5A	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
5A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Not Available	0.04369	0	0.0613942	0	0.0897831	0.0106297	0.315956	0.225085	0.14655	0.106913	0	0	21	37610.9	4.06806e-05
5A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Owner	0.0910675	0.00678215	0.0792107	0.0287515	0.14721	0.22202	0.133332	0.0970106	0.0961135	0.0421301	0.0563717	0	132	9505.86	3.45489e-05
5A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Renter	0	0	0.0768592	0	0.112399	0.0133072	0.269632	0.262945	0.131014	0.133844	0	0	16	28105	0.000279652
5A	Multi-Family with 5+ Units	None	Not Available	0.0970635	0.0173003	0.0807054	0.0217801	0.155715	0.212935	0.164884	0.1402	0.0347136	0.0331573	0.0415459	0	0	0	0.000406331
5A	Multi-Family with 5+ Units	None	Owner	0.0850655	9.95353e-05	0.0606243	0.0181385	0.133211	0.261933	0.137993	0.237648	0.0250042	0.024448	0.0158349	0	0	0	0.000413166
5A	Multi-Family with 5+ Units	None	Renter	0.0990821	0.0205345	0.0832422	0.0225398	0.160798	0.206116	0.167581	0.121428	0.0373461	0.0348261	0.046507	0	0	0	0.00268921
5A	Multi-Family with 5+ Units	Room AC	Not Available	0.163421	0.0274363	0.0962709	0.0127941	0.169043	0.214338	0.0811767	0.117566	0.0332188	0.0317989	0.0529362	0	214	1.96721e+06	0.00193085
5A	Multi-Family with 5+ Units	Room AC	Owner	0.148176	0	0.125473	0	0.206559	0.274641	0	0.245151	0	0	0	0	21	215941	0.00186882
5A	Multi-Family with 5+ Units	Room AC	Renter	0.1653	0.0308194	0.0926701	0.0143717	0.164417	0.206903	0.0911862	0.101835	0.0373148	0.0357199	0.0594635	0	193	1.75127e+06	0.01304
5A	Single-Family Attached	Central AC	Not Available	0.029191	0.00741695	0.0597463	0.0226518	0.130046	0.175591	0.210836	0.245575	0.0411305	0.0595981	0.018218	0	265	1.0871e+06	0.00068003
5A	Single-Family Attached	Central AC	Owner	0.0313078	0.00461011	0.0377833	0.0159602	0.116065	0.169604	0.190207	0.293555	0.0514474	0.0649803	0.0244815	0	208	808969	0.00490368
5A	Single-Family Attached	Central AC	Renter	0.0230341	0.015581	0.123628	0.0421153	0.170711	0.193006	0.27084	0.106019	0.0111228	0.0439433	0	0	57	278129	0.00258894
5A	Single-Family Attached	Ducted Heat Pump	Not Available	0	0	0.0815095	0	0.0912568	0.0613025	0.232665	0.293516	0	0.23975	0	0	11	33776.9	7.02792e-05
5A	Single-Family Attached	Ducted Heat Pump	Owner	0.0126921	0	0.0222813	0.0533323	0.0824856	0.188667	0.332431	0.173538	0.0431619	0.0731271	0.0182831	0	106	27570.6	0.000433841
