Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=290 Rated kWh	Option=318 Rated kWh	Option=None	Option=Void	source_count	source_weight	sampling_probability
Not Available	Multi-Family with 5+ Units	NC	Renter	1960s	0	0	0	1	28	364877	0
0-100%	Multi-Family with 5+ Units	NC	Not Available	1970s	0	0	0	1	14	126628	0
0-100%	Multi-Family with 5+ Units	NC	Owner	1970s	0.373078	0.373078	0.253845	0	12	0	3.04955e-06
0-100%	Multi-Family with 5+ Units	NC	Renter	1970s	0.0545549	0.0545549	0.89089	0	14	18089.7	0.000131306
100-150%	Multi-Family with 5+ Units	NC	Not Available	1970s	0	0	0	1	70	48323.9	0
100-150%	Multi-Family with 5+ Units	NC	Owner	1970s	0.373078	0.373078	0.253845	0	12	0	2.55895e-06
100-150%	Multi-Family with 5+ Units	NC	Renter	1970s	0.35226	0.35226	0.29548	0	16	6903.42	8.05398e-05
150-200%	Multi-Family with 5+ Units	NC	Not Available	1970s	0	0	0	1	14	152711	0
150-200%	Multi-Family with 5+ Units	NC	Owner	1970s	0.373078	0.373078	0.253845	0	12	0	2.34957e-06
150-200%	Multi-Family with 5+ Units	NC	Renter	1970s	0.35226	0.35226	0.29548	0	16	21815.8	6.3216e-05
200-300%	Multi-Family with 5+ Units	NC	Not Available	1970s	0	0	0	1	21	143898	0
200-300%	Multi-Family with 5+ Units	NC	Owner	1970s	0.243664	0.243664	0.512671	0	12	0	4.42834e-06
200-300%	Multi-Family with 5+ Units	NC	Renter	1970s	0.403419	0.403419	0.193163	0	18	20556.9	8.95487e-05
300-400%	Multi-Family with 5+ Units	NC	Not Available	1970s	0	0	0	1	77	0	0
300-400%	Multi-Family with 5+ Units	NC	Owner	1970s	0.243664	0.243664	0.512671	0	12	0	3.53713e-06
300-400%	Multi-Family with 5+ Units	NC	Renter	1970s	0.437143	0.437143	0.125715	0	24	0	4.95021e-05
400%+	Multi-Family with 5+ Units	NC	Not Available	1970s	0	0	0	1	154	0	0
400%+	Multi-Family with 5+ Units	NC	Owner	1970s	0.5	0.5	0	0	15	0	1.25721e-05
400%+	Multi-Family with 5+ Units	NC	Renter	1970s	0.493534	0.493534	0.0129312	0	13	0	6.3637e-05
Not Available	Multi-Family with 5+ Units	NC	Not Available	1970s	0.216423	0.216423	0.567155	0	294	3.30093e+06	9.80975e-05
Not Available	Multi-Family with 5+ Units	NC	Owner	1970s	0	0	0	1	140	0	0
Not Available	Multi-Family with 5+ Units	NC	Renter	1970s	0	0	0	1	42	471561	0
0-100%	Multi-Family with 5+ Units	NC	Not Available	1980s	0	0	0	1	77	0	0
0-100%	Multi-Family with 5+ Units	NC	Owner	1980s	0.394026	0.394026	0.211948	0	22	0	4.61981e-06
0-100%	Multi-Family with 5+ Units	NC	Renter	1980s	0.254043	0.254043	0.491914	0	11	0	0.000135209
100-150%	Multi-Family with 5+ Units	NC	Not Available	1980s	0	0	0	1	14	179153	0
100-150%	Multi-Family with 5+ Units	NC	Owner	1980s	0.394026	0.394026	0.211948	0	22	0	2.88938e-06
100-150%	Multi-Family with 5+ Units	NC	Renter	1980s	0.22034	0.22034	0.55932	0	13	25593.2	8.74459e-05
150-200%	Multi-Family with 5+ Units	NC	Not Available	1980s	0	0	0	1	84	19170.3	0
150-200%	Multi-Family with 5+ Units	NC	Owner	1980s	0.394026	0.394026	0.211948	0	22	0	2.56314e-06
150-200%	Multi-Family with 5+ Units	NC	Renter	1980s	0.271169	0.271169	0.457662	0	12	2738.61	7.43122e-05
200-300%	Multi-Family with 5+ Units	NC	Not Available	1980s	0	0	0	1	28	351402	0
200-300%	Multi-Family with 5+ Units	NC	Owner	1980s	0.5	0.5	0	0	12	0	6.08286e-06
200-300%	Multi-Family with 5+ Units	NC	Renter	1980s	0.483233	0.483233	0.0335345	0	17	50200.3	0.000123405
300-400%	Multi-Family with 5+ Units	NC	Not Available	1980s	0	0	0	1	98	0	0
300-400%	Multi-Family with 5+ Units	NC	Owner	1980s	0.5	0.5	0	0	12	0	5.24981e-06
300-400%	Multi-Family with 5+ Units	NC	Renter	1980s	0.438921	0.438921	0.122158	0	25	0	8.45818e-05
400%+	Multi-Family with 5+ Units	NC	Not Available	1980s	0	0	0	1	14	169929	0
400%+	Multi-Family with 5+ Units	NC	Owner	1980s	0.5	0.5	0	0	18	0	1.77727e-05
400%+	Multi-Family with 5+ Units	NC	Renter	1980s	0.461421	0.461421	0.0771587	0	21	24275.5	0.000139246
Not Available	Multi-Family with 5+ Units	NC	Not Available	1980s	0.362209	0.362209	0.275581	0	392	5.03758e+06	0.000150806
Not Available	Multi-Family with 5+ Units	NC	Owner	1980s	0	0	0	1	112	0	0
Not Available	Multi-Family with 5+ Units	NC	Renter	1980s	0	0	0	1	56	719654	0
0-100%	Multi-Family with 5+ Units	NC	Not Available	1990s	0	0	0	1	21	300913	0
0-100%	Multi-Family with 5+ Units	NC	Owner	1990s	0.394026	0.394026	0.211948	0	22	0	5.28815e-06
0-100%	Multi-Family with 5+ Units	NC	Renter	1990s	0.452743	0.452743	0.0945147	0	17	42987.6	0.000145689
100-150%	Multi-Family with 5+ Units	NC	Not Available	1990s	0	0	0	1	49	270.121	0
100-150%	Multi-Family with 5+ Units	NC	Owner	1990s	0.394026	0.394026	0.211948	0	22	0	3.05524e-06
100-150%	Multi-Family with 5+ Units	NC	Renter	1990s	0.452743	0.452743	0.0945147	0	17	38.5888	9.79813e-05
150-200%	Multi-Family with 5+ Units	NC	Not Available	1990s	0	0	0	1	21	27745.7	0
150-200%	Multi-Family with 5+ Units	NC	Owner	1990s	0.394026	0.394026	0.211948	0	22	0	3.07597e-06
150-200%	Multi-Family with 5+ Units	NC	Renter	1990s	0.452743	0.452743	0.0945147	0	17	3963.66	8.43228e-05
200-300%	Multi-Family with 5+ Units	NC	Not Available	1990s	0	0	0	1	14	155708	0
200-300%	Multi-Family with 5+ Units	NC	Owner	1990s	0.5	0.5	0	0	13	0	6.95918e-06
200-300%	Multi-Family with 5+ Units	NC	Renter	1990s	0.499943	0.499943	0.000114425	0	15	22244	0.000143422
300-400%	Multi-Family with 5+ Units	NC	Not Available	1990s	0	0	0	1	70	0	0
300-400%	Multi-Family with 5+ Units	NC	Owner	1990s	0.5	0.5	0	0	13	0	5.83007e-06
300-400%	Multi-Family with 5+ Units	NC	Renter	1990s	0.499975	0.499975	4.99571e-05	0	24	0	0.000100832
400%+	Multi-Family with 5+ Units	NC	Not Available	1990s	0	0	0	1	14	151880	0
400%+	Multi-Family with 5+ Units	NC	Owner	1990s	0.5	0.5	0	0	18	0	2.08038e-05
400%+	Multi-Family with 5+ Units	NC	Renter	1990s	0.462377	0.462377	0.0752464	0	15	21697.1	0.000170745
Not Available	Multi-Family with 5+ Units	NC	Not Available	1990s	0.5	0.5	0	0	343	4.45562e+06	0.000150971
Not Available	Multi-Family with 5+ Units	NC	Owner	1990s	0	0	0	1	77	0	0
Not Available	Multi-Family with 5+ Units	NC	Renter	1990s	0	0	0	1	49	636517	0
0-100%	Multi-Family with 5+ Units	NC	Not Available	2000s	0	0	0	1	14	166199	0
0-100%	Multi-Family with 5+ Units	NC	Owner	2000s	0.472821	0.472821	0.0543576	0	18	0	2.32384e-06
0-100%	Multi-Family with 5+ Units	NC	Renter	2000s	0.403032	0.403032	0.193937	0	14	23742.8	0.000111547
100-150%	Multi-Family with 5+ Units	NC	Not Available	2000s	0	0	0	1	14	80408.3	0
100-150%	Multi-Family with 5+ Units	NC	Owner	2000s	0.472821	0.472821	0.0543576	0	18	0	1.76898e-06
100-150%	Multi-Family with 5+ Units	NC	Renter	2000s	0.469045	0.469045	0.0619107	0	14	11486.9	8.26124e-05
150-200%	Multi-Family with 5+ Units	NC	Not Available	2000s	0	0	0	1	49	0	0
150-200%	Multi-Family with 5+ Units	NC	Owner	2000s	0.472821	0.472821	0.0543576	0	18	0	2.35557e-06
150-200%	Multi-Family with 5+ Units	NC	Renter	2000s	0.469045	0.469045	0.0619107	0	14	0	7.32481e-05
200-300%	Multi-Family with 5+ Units	NC	Not Available	2000s	0	0	0	1	21	126761	0
200-300%	Multi-Family with 5+ Units	NC	Owner	2000s	0.5	0.5	0	0	11	0	5.65394e-06
200-300%	Multi-Family with 5+ Units	NC	Renter	2000s	0.417747	0.417747	0.164506	0	14	18108.7	0.000127944
300-400%	Multi-Family with 5+ Units	NC	Not Available	2000s	0	0	0	1	42	411735	0
300-400%	Multi-Family with 5+ Units	NC	Owner	2000s	0.5	0.5	0	0	11	0	5.43305e-06
300-400%	Multi-Family with 5+ Units	NC	Renter	2000s	0.5	0.5	0	0	15	58819.3	9.5282e-05
400%+	Multi-Family with 5+ Units	NC	Not Available	2000s	0	0	0	1	35	59896.3	0
400%+	Multi-Family with 5+ Units	NC	Owner	2000s	0.5	0.5	0	0	16	0	2.72337e-05
400%+	Multi-Family with 5+ Units	NC	Renter	2000s	0.5	0.5	0	0	34	8556.61	0.000207337
Not Available	Multi-Family with 5+ Units	NC	Not Available	2000s	0.5	0.5	0	0	539	5.915e+06	0.000149002
Not Available	Multi-Family with 5+ Units	NC	Owner	2000s	0	0	0	1	154	0	0
Not Available	Multi-Family with 5+ Units	NC	Renter	2000s	0	0	0	1	77	845000	0
0-100%	Multi-Family with 5+ Units	NC	Not Available	2010s	0	0	0	1	42	73174.8	0
0-100%	Multi-Family with 5+ Units	NC	Owner	2010s	0.472821	0.472821	0.0543576	0	18	0	1.91626e-06
0-100%	Multi-Family with 5+ Units	NC	Renter	2010s	0.5	0.5	0	0	21	10453.5	7.4384e-05
100-150%	Multi-Family with 5+ Units	NC	Not Available	2010s	0	0	0	1	21	195045	0
100-150%	Multi-Family with 5+ Units	NC	Owner	2010s	0.472821	0.472821	0.0543576	0	18	0	1.00079e-06
100-150%	Multi-Family with 5+ Units	NC	Renter	2010s	0.5	0.5	0	0	15	27863.6	4.54254e-05
150-200%	Multi-Family with 5+ Units	NC	Not Available	2010s	0	0	0	1	14	21337.2	0
150-200%	Multi-Family with 5+ Units	NC	Owner	2010s	0.472821	0.472821	0.0543576	0	18	0	1.3666e-06
150-200%	Multi-Family with 5+ Units	NC	Renter	2010s	0.5	0.5	0	0	15	3048.17	4.29288e-05
200-300%	Multi-Family with 5+ Units	NC	Not Available	2010s	0	0	0	1	21	124988	0
200-300%	Multi-Family with 5+ Units	NC	Owner	2010s	0.5	0.5	0	0	11	0	3.56988e-06
200-300%	Multi-Family with 5+ Units	NC	Renter	2010s	0.457603	0.457603	0.0847941	0	19	17855.5	8.30249e-05
300-400%	Multi-Family with 5+ Units	NC	Not Available	2010s	0	0	0	1	14	122378	0
300-400%	Multi-Family with 5+ Units	NC	Owner	2010s	0.5	0.5	0	0	11	0	3.26732e-06
300-400%	Multi-Family with 5+ Units	NC	Renter	2010s	0.422049	0.422049	0.155902	0	10	17482.6	6.82223e-05
400%+	Multi-Family with 5+ Units	NC	Not Available	2010s	0	0	0	1	42	375045	0
400%+	Multi-Family with 5+ Units	NC	Owner	2010s	0.5	0.5	0	0	19	8469.54	2.16475e-05
400%+	Multi-Family with 5+ Units	NC	Renter	2010s	0.49829	0.49829	0.00342038	0	45	45108.3	0.000174741
Not Available	Multi-Family with 5+ Units	NC	Not Available	2010s	0.5	0.5	0	0	637	6.38378e+06	9.21143e-05
Not Available	Multi-Family with 5+ Units	NC	Owner	2010s	0	0	0	1	28	59286.8	0
Not Available	Multi-Family with 5+ Units	NC	Renter	2010s	0	0	0	1	84	852681	0
0-100%	Multi-Family with 5+ Units	NC	Not Available	<1940	0	0	0	1	35	0	0
0-100%	Multi-Family with 5+ Units	NC	Owner	<1940	0.145921	0.145921	0.708158	0	31	0	4.42907e-07
0-100%	Multi-Family with 5+ Units	NC	Renter	<1940	0.340544	0.340544	0.318912	0	15	0	2.25643e-05
100-150%	Multi-Family with 5+ Units	NC	Not Available	<1940	0	0	0	1	42	0	0
100-150%	Multi-Family with 5+ Units	NC	Owner	<1940	0.145921	0.145921	0.708158	0	31	0	2.26869e-07
100-150%	Multi-Family with 5+ Units	NC	Renter	<1940	0.304635	0.304635	0.39073	0	10	0	1.14432e-05
150-200%	Multi-Family with 5+ Units	NC	Not Available	<1940	0	0	0	1	35	0	0
150-200%	Multi-Family with 5+ Units	NC	Owner	<1940	0.145921	0.145921	0.708158	0	31	0	2.36575e-07
150-200%	Multi-Family with 5+ Units	NC	Renter	<1940	0.304635	0.304635	0.39073	0	10	0	7.49791e-06
200-300%	Multi-Family with 5+ Units	NC	Not Available	<1940	0	0	0	1	35	0	0
200-300%	Multi-Family with 5+ Units	NC	Owner	<1940	0.254762	0.254762	0.490477	0	48	0	6.39475e-07
200-300%	Multi-Family with 5+ Units	NC	Renter	<1940	0.274793	0.274793	0.450414	0	12	0	1.15218e-05
300-400%	Multi-Family with 5+ Units	NC	Not Available	<1940	0	0	0	1	42	0	0
300-400%	Multi-Family with 5+ Units	NC	Owner	<1940	0.254762	0.254762	0.490477	0	48	0	5.33036e-07
300-400%	Multi-Family with 5+ Units	NC	Renter	<1940	0.274793	0.274793	0.450414	0	12	0	6.88939e-06
400%+	Multi-Family with 5+ Units	NC	Not Available	<1940	0	0	0	1	203	0	0
400%+	Multi-Family with 5+ Units	NC	Owner	<1940	0.468253	0.468253	0.0634942	0	10	0	2.85441e-06
400%+	Multi-Family with 5+ Units	NC	Renter	<1940	0.424808	0.424808	0.150385	0	19	0	1.79237e-05
Not Available	Multi-Family with 5+ Units	NC	Not Available	<1940	0.396838	0.396838	0.206324	0	2205	0	1.56676e-05
Not Available	Multi-Family with 5+ Units	NC	Owner	<1940	0	0	0	1	91	0	0
Not Available	Multi-Family with 5+ Units	NC	Renter	<1940	0	0	0	1	224	0	0
0-100%	Multi-Family with 5+ Units	ND	Not Available	1940s	0	0	0	1	42	1253.21	0
0-100%	Multi-Family with 5+ Units	ND	Owner	1940s	0.145921	0.145921	0.708158	0	31	0	2.40724e-08
0-100%	Multi-Family with 5+ Units	ND	Renter	1940s	0.201837	0.201837	0.596326	0	18	179.03	3.22901e-06
100-150%	Multi-Family with 5+ Units	ND	Not Available	1940s	0	0	0	1	28	8865.7	0
100-150%	Multi-Family with 5+ Units	ND	Owner	1940s	0.145921	0.145921	0.708158	0	31	0	2.57268e-08
100-150%	Multi-Family with 5+ Units	ND	Renter	1940s	0.269062	0.269062	0.461876	0	12	1266.53	8.1896e-07
150-200%	Multi-Family with 5+ Units	ND	Not Available	1940s	0	0	0	1	21	7717.85	0
150-200%	Multi-Family with 5+ Units	ND	Owner	1940s	0.145921	0.145921	0.708158	0	31	0	2.23332e-08
150-200%	Multi-Family with 5+ Units	ND	Renter	1940s	0.269062	0.269062	0.461876	0	12	1102.55	4.96903e-07
200-300%	Multi-Family with 5+ Units	ND	Not Available	1940s	0	0	0	1	14	16.4597	0
200-300%	Multi-Family with 5+ Units	ND	Owner	1940s	0.254762	0.254762	0.490477	0	48	0	6.69783e-08
200-300%	Multi-Family with 5+ Units	ND	Renter	1940s	0.264847	0.264847	0.470307	0	11	2.35139	9.57522e-07
300-400%	Multi-Family with 5+ Units	ND	Not Available	1940s	0	0	0	1	14	0	0
300-400%	Multi-Family with 5+ Units	ND	Owner	1940s	0.254762	0.254762	0.490477	0	48	0	4.34912e-08
300-400%	Multi-Family with 5+ Units	ND	Renter	1940s	0.264847	0.264847	0.470307	0	11	0	5.09735e-07
400%+	Multi-Family with 5+ Units	ND	Not Available	1940s	0	0	0	1	21	0	0
400%+	Multi-Family with 5+ Units	ND	Owner	1940s	0.349816	0.349816	0.300369	0	18	0	5.5024e-08
400%+	Multi-Family with 5+ Units	ND	Renter	1940s	0.299803	0.299803	0.400394	0	20	0	1.28897e-06
Not Available	Multi-Family with 5+ Units	ND	Not Available	1940s	0.414788	0.414788	0.170425	0	294	124973	1.80734e-06
Not Available	Multi-Family with 5+ Units	ND	Owner	1940s	0	0	0	1	28	0	0
Not Available	Multi-Family with 5+ Units	ND	Renter	1940s	0	0	0	1	42	17853.2	0
0-100%	Multi-Family with 5+ Units	ND	Not Available	1950s	0	0	0	1	28	10708.6	0
0-100%	Multi-Family with 5+ Units	ND	Owner	1950s	0.145921	0.145921	0.708158	0	31	0	4.94442e-08
0-100%	Multi-Family with 5+ Units	ND	Renter	1950s	0.129373	0.129373	0.741254	0	27	1529.8	4.65411e-06
100-150%	Multi-Family with 5+ Units	ND	Not Available	1950s	0	0	0	1	21	38.7058	0
100-150%	Multi-Family with 5+ Units	ND	Owner	1950s	0.145921	0.145921	0.708158	0	31	0	5.25375e-08
100-150%	Multi-Family with 5+ Units	ND	Renter	1950s	0.129373	0.129373	0.741254	0	27	5.5294	1.2514e-06
150-200%	Multi-Family with 5+ Units	ND	Not Available	1950s	0	0	0	1	14	10729.9	0
150-200%	Multi-Family with 5+ Units	ND	Owner	1950s	0.145921	0.145921	0.708158	0	31	0	4.53656e-08
150-200%	Multi-Family with 5+ Units	ND	Renter	1950s	0.129373	0.129373	0.741254	0	27	1532.84	9.50256e-07
200-300%	Multi-Family with 5+ Units	ND	Not Available	1950s	0	0	0	1	14	8171.72	0
200-300%	Multi-Family with 5+ Units	ND	Owner	1950s	0.254762	0.254762	0.490477	0	48	0	1.27195e-07
200-300%	Multi-Family with 5+ Units	ND	Renter	1950s	0.264847	0.264847	0.470307	0	11	1167.39	1.63456e-06
300-400%	Multi-Family with 5+ Units	ND	Not Available	1950s	0	0	0	1	21	0	0
300-400%	Multi-Family with 5+ Units	ND	Owner	1950s	0.254762	0.254762	0.490477	0	48	0	8.37537e-08
300-400%	Multi-Family with 5+ Units	ND	Renter	1950s	0.264847	0.264847	0.470307	0	11	0	9.41993e-07
400%+	Multi-Family with 5+ Units	ND	Not Available	1950s	0	0	0	1	28	0	0
400%+	Multi-Family with 5+ Units	ND	Owner	1950s	0.349816	0.349816	0.300369	0	18	0	1.09857e-07
400%+	Multi-Family with 5+ Units	ND	Renter	1950s	0.299803	0.299803	0.400394	0	20	0	2.49643e-06
Not Available	Multi-Family with 5+ Units	ND	Not Available	1950s	0.181243	0.181243	0.637515	0	147	207543	2.5384e-06
Not Available	Multi-Family with 5+ Units	ND	Owner	1950s	0	0	0	1	28	0	0
Not Available	Multi-Family with 5+ Units	ND	Renter	1950s	0	0	0	1	21	29648.9	0
0-100%	Multi-Family with 5+ Units	ND	Not Available	1960s	0	0	0	1	28	8777.77	0
0-100%	Multi-Family with 5+ Units	ND	Owner	1960s	0.321631	0.321631	0.356738	0	37	0	1.63595e-07
0-100%	Multi-Family with 5+ Units	ND	Renter	1960s	0.218103	0.218103	0.563793	0	16	1253.97	6.5137e-06
100-150%	Multi-Family with 5+ Units	ND	Not Available	1960s	0	0	0	1	21	22568.6	0
100-150%	Multi-Family with 5+ Units	ND	Owner	1960s	0.321631	0.321631	0.356738	0	37	0	1.54991e-07
100-150%	Multi-Family with 5+ Units	ND	Renter	1960s	0.157161	0.157161	0.685677	0	12	3224.08	4.50376e-06
150-200%	Multi-Family with 5+ Units	ND	Not Available	1960s	0	0	0	1	14	4232.3	0
150-200%	Multi-Family with 5+ Units	ND	Owner	1960s	0.321631	0.321631	0.356738	0	37	0	1.48485e-07
150-200%	Multi-Family with 5+ Units	ND	Renter	1960s	0.157161	0.157161	0.685677	0	12	604.615	3.71951e-06
200-300%	Multi-Family with 5+ Units	ND	Not Available	1960s	0	0	0	1	14	0	0
200-300%	Multi-Family with 5+ Units	ND	Owner	1960s	0.300794	0.300794	0.398413	0	45	0	2.61426e-07
200-300%	Multi-Family with 5+ Units	ND	Renter	1960s	0.406447	0.406447	0.187105	0	14	0	7.44144e-06
300-400%	Multi-Family with 5+ Units	ND	Not Available	1960s	0	0	0	1	14	0	0
300-400%	Multi-Family with 5+ Units	ND	Owner	1960s	0.300794	0.300794	0.398413	0	45	0	2.34036e-07
300-400%	Multi-Family with 5+ Units	ND	Renter	1960s	0.406447	0.406447	0.187105	0	14	0	3.65954e-06
400%+	Multi-Family with 5+ Units	ND	Not Available	1960s	0	0	0	1	56	0	0
400%+	Multi-Family with 5+ Units	ND	Owner	1960s	0.449163	0.449163	0.101674	0	11	0	3.51081e-07
400%+	Multi-Family with 5+ Units	ND	Renter	1960s	0.276962	0.276962	0.446075	0	10	0	5.75595e-06
Not Available	Multi-Family with 5+ Units	ND	Not Available	1960s	0.246072	0.246072	0.507855	0	196	249050	6.30196e-06
Not Available	Multi-Family with 5+ Units	ND	Owner	1960s	0	0	0	1	49	0	0
Not Available	Multi-Family with 5+ Units	ND	Renter	1960s	0	0	0	1	28	35578.6	0
0-100%	Multi-Family with 5+ Units	ND	Not Available	1970s	0	0	0	1	35	51544.4	0
0-100%	Multi-Family with 5+ Units	ND	Owner	1970s	0.321631	0.321631	0.356738	0	37	1264.1	4.42682e-07
0-100%	Multi-Family with 5+ Units	ND	Renter	1970s	0.167082	0.167082	0.665835	0	13	6099.38	1.70566e-05
100-150%	Multi-Family with 5+ Units	ND	Not Available	1970s	0	0	0	1	28	31310.8	0
100-150%	Multi-Family with 5+ Units	ND	Owner	1970s	0.321631	0.321631	0.356738	0	37	0	4.40397e-07
100-150%	Multi-Family with 5+ Units	ND	Renter	1970s	0.253026	0.253026	0.493948	0	13	4472.97	1.17558e-05
150-200%	Multi-Family with 5+ Units	ND	Not Available	1970s	0	0	0	1	49	6942.07	0
150-200%	Multi-Family with 5+ Units	ND	Owner	1970s	0.321631	0.321631	0.356738	0	37	0	3.97448e-07
150-200%	Multi-Family with 5+ Units	ND	Renter	1970s	0.215653	0.215653	0.568694	0	19	991.725	9.69004e-06
200-300%	Multi-Family with 5+ Units	ND	Not Available	1970s	0	0	0	1	28	29183	0
200-300%	Multi-Family with 5+ Units	ND	Owner	1970s	0.300794	0.300794	0.398413	0	45	1458.4	6.82848e-07
200-300%	Multi-Family with 5+ Units	ND	Renter	1970s	0.360888	0.360888	0.278223	0	12	2710.59	1.90003e-05
300-400%	Multi-Family with 5+ Units	ND	Not Available	1970s	0	0	0	1	14	12884	0
300-400%	Multi-Family with 5+ Units	ND	Owner	1970s	0.300794	0.300794	0.398413	0	45	0	6.19389e-07
300-400%	Multi-Family with 5+ Units	ND	Renter	1970s	0.360888	0.360888	0.278223	0	12	1840.57	9.54066e-06
400%+	Multi-Family with 5+ Units	ND	Not Available	1970s	0	0	0	1	14	10066	0
400%+	Multi-Family with 5+ Units	ND	Owner	1970s	0.449163	0.449163	0.101674	0	11	1433.39	9.56257e-07
400%+	Multi-Family with 5+ Units	ND	Renter	1970s	0.276962	0.276962	0.446075	0	10	4.61674	1.39818e-05
Not Available	Multi-Family with 5+ Units	ND	Not Available	1970s	0.254943	0.254943	0.490113	0	686	993512	1.48588e-05
Not Available	Multi-Family with 5+ Units	ND	Owner	1970s	0	0	0	1	21	29091.3	0
Not Available	Multi-Family with 5+ Units	ND	Renter	1970s	0	0	0	1	77	112839	0
0-100%	Multi-Family with 5+ Units	ND	Not Available	1980s	0	0	0	1	35	1198.97	0
0-100%	Multi-Family with 5+ Units	ND	Owner	1980s	0.394026	0.394026	0.211948	0	22	0	2.54752e-07
0-100%	Multi-Family with 5+ Units	ND	Renter	1980s	0.0705169	0.0705169	0.858966	0	19	171.281	1.15018e-05
100-150%	Multi-Family with 5+ Units	ND	Not Available	1980s	0	0	0	1	14	18122.7	0
100-150%	Multi-Family with 5+ Units	ND	Owner	1980s	0.394026	0.394026	0.211948	0	22	0	2.46239e-07
100-150%	Multi-Family with 5+ Units	ND	Renter	1980s	0.0289563	0.0289563	0.942087	0	14	2588.95	8.4417e-06
150-200%	Multi-Family with 5+ Units	ND	Not Available	1980s	0	0	0	1	56	2602.02	0
150-200%	Multi-Family with 5+ Units	ND	Owner	1980s	0.394026	0.394026	0.211948	0	22	0	2.04937e-07
150-200%	Multi-Family with 5+ Units	ND	Renter	1980s	0.0289563	0.0289563	0.942087	0	14	371.717	8.33221e-06
200-300%	Multi-Family with 5+ Units	ND	Not Available	1980s	0	0	0	1	14	17508	0
200-300%	Multi-Family with 5+ Units	ND	Owner	1980s	0.349743	0.349743	0.300513	0	10	0	7.01239e-07
200-300%	Multi-Family with 5+ Units	ND	Renter	1980s	0.191709	0.191709	0.616582	0	10	2501.14	1.30916e-05
300-400%	Multi-Family with 5+ Units	ND	Not Available	1980s	0	0	0	1	70	0	0
300-400%	Multi-Family with 5+ Units	ND	Owner	1980s	0.349743	0.349743	0.300513	0	10	0	2.99296e-07
300-400%	Multi-Family with 5+ Units	ND	Renter	1980s	0.223361	0.223361	0.553277	0	18	0	7.99632e-06
400%+	Multi-Family with 5+ Units	ND	Not Available	1980s	0	0	0	1	112	9936.73	0
400%+	Multi-Family with 5+ Units	ND	Owner	1980s	0.479953	0.479953	0.0400939	0	55	1419.53	9.772e-07
400%+	Multi-Family with 5+ Units	ND	Renter	1980s	0.432557	0.432557	0.134887	0	13	0	1.4487e-05
Not Available	Multi-Family with 5+ Units	ND	Not Available	1980s	0.390972	0.390972	0.218056	0	245	345578	1.24392e-05
Not Available	Multi-Family with 5+ Units	ND	Owner	1980s	0	0	0	1	28	9936.73	0
Not Available	Multi-Family with 5+ Units	ND	Renter	1980s	0	0	0	1	28	39431.6	0
0-100%	Multi-Family with 5+ Units	ND	Not Available	1990s	0	0	0	1	14	23528.2	0
0-100%	Multi-Family with 5+ Units	ND	Owner	1990s	0.394026	0.394026	0.211948	0	22	0	2.75733e-07
0-100%	Multi-Family with 5+ Units	ND	Renter	1990s	0.328283	0.328283	0.343433	0	15	3361.17	1.26502e-05
100-150%	Multi-Family with 5+ Units	ND	Not Available	1990s	0	0	0	1	28	26560.7	0
100-150%	Multi-Family with 5+ Units	ND	Owner	1990s	0.394026	0.394026	0.211948	0	22	1505.53	2.80947e-07
100-150%	Multi-Family with 5+ Units	ND	Renter	1990s	0.328283	0.328283	0.343433	0	15	2288.86	9.51542e-06
150-200%	Multi-Family with 5+ Units	ND	Not Available	1990s	0	0	0	1	14	5095.44	0
150-200%	Multi-Family with 5+ Units	ND	Owner	1990s	0.394026	0.394026	0.211948	0	22	0	2.24291e-07
150-200%	Multi-Family with 5+ Units	ND	Renter	1990s	0.328283	0.328283	0.343433	0	15	727.92	9.29441e-06
200-300%	Multi-Family with 5+ Units	ND	Not Available	1990s	0	0	0	1	21	0	0
200-300%	Multi-Family with 5+ Units	ND	Owner	1990s	0.349743	0.349743	0.300513	0	10	0	8.07351e-07
200-300%	Multi-Family with 5+ Units	ND	Renter	1990s	0.280808	0.280808	0.438383	0	23	0	1.46826e-05
300-400%	Multi-Family with 5+ Units	ND	Not Available	1990s	0	0	0	1	14	0	0
300-400%	Multi-Family with 5+ Units	ND	Owner	1990s	0.349743	0.349743	0.300513	0	10	0	3.37062e-07
300-400%	Multi-Family with 5+ Units	ND	Renter	1990s	0.280808	0.280808	0.438383	0	23	0	8.80612e-06
400%+	Multi-Family with 5+ Units	ND	Not Available	1990s	0	0	0	1	21	0	0
400%+	Multi-Family with 5+ Units	ND	Owner	1990s	0.479953	0.479953	0.0400939	0	55	0	1.11628e-06
400%+	Multi-Family with 5+ Units	ND	Renter	1990s	0.446797	0.446797	0.106407	0	16	0	1.53851e-05
Not Available	Multi-Family with 5+ Units	ND	Not Available	1990s	0.378692	0.378692	0.242616	0	245	386290	1.23475e-05
Not Available	Multi-Family with 5+ Units	ND	Owner	1990s	0	0	0	1	35	10538.7	0
Not Available	Multi-Family with 5+ Units	ND	Renter	1990s	0	0	0	1	28	44645.6	0
0-100%	Multi-Family with 5+ Units	ND	Not Available	2000s	0	0	0	1	35	0	0
0-100%	Multi-Family with 5+ Units	ND	Owner	2000s	0.472821	0.472821	0.0543576	0	18	0	2.10324e-07
