Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Vintage ACS	Option=No	Option=Yes	source_count	source_weight	sampling_probability
Single-Family Attached	MN	1960-79	0.107588	0.892412	23	4232	0.000196217
Single-Family Attached	MN	1980-99	0.0692042	0.930796	13	60331.3	0.000525382
Single-Family Attached	MN	2000-09	0	1	32	32650.5	0.000389938
Single-Family Attached	MN	2010s	0	1	29	12372.1	6.13139e-05
Single-Family Attached	MN	<1940	0.0171804	0.98282	13	0	3.84e-05
Single-Family Detached	MN	1940-59	0	1	81	284080	0.00214885
Single-Family Detached	MN	1960-79	0	1	59	375237	0.00276589
Single-Family Detached	MN	1980-99	0	1	57	368092	0.00275867
Single-Family Detached	MN	2000-09	0	1	27	147156	0.00151213
Single-Family Detached	MN	2010s	0	1	16	93482.9	0.000460642
Single-Family Detached	MN	<1940	0	1	54	295485	0.00227915
Mobile Home	MO	1940-59	0	1	4	0	2.15122e-05
Mobile Home	MO	1960-79	0	1	17	19468.3	0.000318862
Mobile Home	MO	1980-99	0	1	27	85161	0.000662427
Mobile Home	MO	2000-09	0	1	14	34308.1	0.000212363
Mobile Home	MO	2010s	0	1	22	16742.3	4.49411e-05
Mobile Home	MO	<1940	0	1	4	0	9.40321e-06
Multi-Family with 2 - 4 Units	MO	1940-59	0.582285	0.417715	16	21808.9	0.000195146
Multi-Family with 2 - 4 Units	MO	1960-79	0.592917	0.407083	25	67442.9	0.00045834
Multi-Family with 2 - 4 Units	MO	1980-99	0.528255	0.471745	13	10598.5	0.000386137
Multi-Family with 2 - 4 Units	MO	2000-09	0.554413	0.445587	11	0	0.000136756
Multi-Family with 2 - 4 Units	MO	2010s	0.539139	0.460861	17	6830.85	6.89291e-05
Multi-Family with 2 - 4 Units	MO	<1940	0.643578	0.356422	11	56359.1	0.000382669
Multi-Family with 5+ Units	MO	1940-59	0.685626	0.314374	30	20401.7	0.00017876
Multi-Family with 5+ Units	MO	1960-79	0.689201	0.310799	52	11502	0.000724447
Multi-Family with 5+ Units	MO	1980-99	0.582446	0.417554	11	132350	0.000789195
Multi-Family with 5+ Units	MO	2000-09	0.489434	0.510566	29	32176.6	0.000305643
Multi-Family with 5+ Units	MO	2010s	0.825241	0.174759	37	43455.9	0.000196133
Multi-Family with 5+ Units	MO	<1940	0.659859	0.340141	20	18995.6	0.000281454
Single-Family Attached	MO	1940-59	0.00769894	0.992301	13	9432.45	4.3418e-05
Single-Family Attached	MO	1960-79	0.107588	0.892412	23	32878	0.000159442
Single-Family Attached	MO	1980-99	0.0692042	0.930796	54	40207.7	0.000233736
Single-Family Attached	MO	2000-09	0	1	32	12707.3	0.000165523
Single-Family Attached	MO	2010s	0	1	29	15722.6	5.12004e-05
Single-Family Attached	MO	<1940	0.0171804	0.98282	13	9255.11	3.80384e-05
Single-Family Detached	MO	1940-59	0	1	63	308498	0.00264483
Single-Family Detached	MO	1960-79	0	1	55	438240	0.00378784
Single-Family Detached	MO	1980-99	0	1	49	369217	0.00332388
Single-Family Detached	MO	2000-09	0	1	35	221339	0.0018742
Single-Family Detached	MO	2010s	0	1	19	130401	0.00055132
Single-Family Detached	MO	<1940	0	1	37	264312	0.00218366
Mobile Home	MS	1940-59	0	1	14	0	1.81798e-05
Mobile Home	MS	1960-79	0	1	26	13345.3	0.000223214
Mobile Home	MS	1980-99	0	1	17	111265	0.000794203
Mobile Home	MS	2000-09	0	1	30	26847.8	0.000319293
Mobile Home	MS	2010s	0	1	12	17788.4	0.000105908
Mobile Home	MS	<1940	0	1	14	0	3.99554e-06
Multi-Family with 2 - 4 Units	MS	1940-59	0.425913	0.574087	45	0	4.70679e-05
Multi-Family with 2 - 4 Units	MS	1960-79	0.429767	0.570233	19	10167.1	0.000165431
Multi-Family with 2 - 4 Units	MS	1980-99	0.0375997	0.9624	19	6115.32	0.000183062
Multi-Family with 2 - 4 Units	MS	2000-09	0.166533	0.833467	11	6932.33	8.34113e-05
Multi-Family with 2 - 4 Units	MS	2010s	0.374415	0.625585	18	0	3.34693e-05
Multi-Family with 2 - 4 Units	MS	<1940	0.425913	0.574087	45	0	2.14197e-05
Multi-Family with 5+ Units	MS	1940-59	0.584911	0.415089	92	0	3.84189e-05
Multi-Family with 5+ Units	MS	1960-79	0.351074	0.648926	26	35672.7	0.00027589
Multi-Family with 5+ Units	MS	1980-99	0.232365	0.767635	32	72347.2	0.000311554
Multi-Family with 5+ Units	MS	2000-09	0.179096	0.820904	19	38059.5	0.000187876
Multi-Family with 5+ Units	MS	2010s	0.403023	0.596977	21	12080.3	6.53874e-05
Multi-Family with 5+ Units	MS	<1940	0.584911	0.415089	92	0	1.92667e-05
Single-Family Attached	MS	1940-59	0.0380286	0.961971	108	0	9.58304e-06
Single-Family Attached	MS	1960-79	0.0324798	0.96752	19	0	3.02528e-05
Single-Family Attached	MS	1980-99	0.0139128	0.986087	35	12146.4	3.26984e-05
Single-Family Attached	MS	2000-09	0	1	15	2072.47	2.45005e-05
Single-Family Attached	MS	2010s	0	1	15	2504.47	8.83668e-06
Single-Family Attached	MS	<1940	0.0380286	0.961971	108	0	5.33947e-06
Single-Family Detached	MS	1940-59	0	1	18	88770.6	0.000930568
Single-Family Detached	MS	1960-79	0	1	30	200000	0.00220965
Single-Family Detached	MS	1980-99	0	1	32	209116	0.0017679
Single-Family Detached	MS	2000-09	0	1	30	146288	0.00101486
Single-Family Detached	MS	2010s	0	1	74	36912.5	0.00033577
Single-Family Detached	MS	<1940	0	1	133	36103	0.000395006
Mobile Home	MT	1940-59	0	1	7	0	6.6225e-06
Mobile Home	MT	1960-79	0	1	31	18534.9	0.000179541
Mobile Home	MT	1980-99	0	1	35	16541.8	0.000146998
Mobile Home	MT	2000-09	0	1	10	1747.41	2.98473e-05
Mobile Home	MT	2010s	0	1	15	6886.76	1.79983e-05
Mobile Home	MT	<1940	0	1	7	0	3.28397e-06
Multi-Family with 2 - 4 Units	MT	1940-59	0.371776	0.628224	39	2249	3.95761e-05
Multi-Family with 2 - 4 Units	MT	1960-79	0.746195	0.253805	16	17918.6	7.22204e-05
Multi-Family with 2 - 4 Units	MT	1980-99	0.355631	0.644369	69	4368.59	7.05304e-05
Multi-Family with 2 - 4 Units	MT	2000-09	0.324073	0.675927	26	0	3.30432e-05
Multi-Family with 2 - 4 Units	MT	2010s	0.324073	0.675927	26	9650.34	1.74544e-05
Multi-Family with 2 - 4 Units	MT	<1940	0.371776	0.628224	39	5811.94	4.27202e-05
Multi-Family with 5+ Units	MT	1940-59	0.679583	0.320417	72	4652.03	1.78729e-05
Multi-Family with 5+ Units	MT	1960-79	0.715192	0.284808	34	13250.3	9.75592e-05
Multi-Family with 5+ Units	MT	1980-99	0.342393	0.657607	32	7431.2	9.13668e-05
Multi-Family with 5+ Units	MT	2000-09	0.190349	0.809651	13	0	4.56413e-05
Multi-Family with 5+ Units	MT	2010s	0.537727	0.462273	20	15104.7	3.32562e-05
Multi-Family with 5+ Units	MT	<1940	0.679583	0.320417	72	0	3.81034e-05
Single-Family Attached	MT	1940-59	0.100753	0.899247	40	0	8.24055e-06
Single-Family Attached	MT	1960-79	0	1	20	3175.23	2.3446e-05
Single-Family Attached	MT	1980-99	0.0556523	0.944348	27	8924.28	4.10102e-05
Single-Family Attached	MT	2000-09	0	1	22	3678.27	4.41216e-05
Single-Family Attached	MT	2010s	0	1	17	5523.92	1.91696e-05
Single-Family Attached	MT	<1940	0.100753	0.899247	40	0	7.41458e-06
Single-Family Detached	MT	1940-59	0	1	32	45465.9	0.000435392
Single-Family Detached	MT	1960-79	0	1	29	65042.8	0.000594504
Single-Family Detached	MT	1980-99	0	1	31	70763.9	0.000562027
Single-Family Detached	MT	2000-09	0	1	17	36113	0.000393793
Single-Family Detached	MT	2010s	0	1	13	29005.6	0.000136387
Single-Family Detached	MT	<1940	0	1	23	41488.5	0.000416801
Mobile Home	NC	1940-59	0	1	14	0	4.16556e-05
Mobile Home	NC	1960-79	0	1	43	40183	0.000737817
Mobile Home	NC	1980-99	0	1	27	291820	0.002686
Mobile Home	NC	2000-09	0	1	35	64414	0.000631891
Mobile Home	NC	2010s	0	1	19	8287.8	0.000142236
Mobile Home	NC	<1940	0	1	14	0	1.29632e-05
Multi-Family with 2 - 4 Units	NC	1940-59	0.341811	0.658189	34	0	0.000189508
Multi-Family with 2 - 4 Units	NC	1960-79	0.418511	0.581489	48	38044.5	0.000480929
Multi-Family with 2 - 4 Units	NC	1980-99	0.312325	0.687675	43	15366.8	0.000578997
Multi-Family with 2 - 4 Units	NC	2000-09	0.313703	0.686297	19	15123.3	0.000187745
Multi-Family with 2 - 4 Units	NC	2010s	0.52869	0.47131	12	29082.3	7.67503e-05
Multi-Family with 2 - 4 Units	NC	<1940	0.561139	0.438861	23	0	9.77831e-05
Multi-Family with 5+ Units	NC	1940-59	0.550315	0.449685	72	10222.1	0.000146791
Multi-Family with 5+ Units	NC	1960-79	0.299579	0.700421	10	119491	0.000840922
Multi-Family with 5+ Units	NC	1980-99	0.364199	0.635801	15	193739	0.00177316
Multi-Family with 5+ Units	NC	2000-09	0.199875	0.800125	11	120714	0.000891741
Multi-Family with 5+ Units	NC	2010s	0.290261	0.709739	13	130281	0.000613609
Multi-Family with 5+ Units	NC	<1940	0.667289	0.332711	45	0	9.84412e-05
Single-Family Attached	NC	1940-59	0.0427483	0.957252	86	16487.4	6.17175e-05
Single-Family Attached	NC	1960-79	0.0385126	0.961487	64	51118.9	0.000175686
Single-Family Attached	NC	1980-99	0.0174159	0.982584	12	68426.7	0.000450785
Single-Family Attached	NC	2000-09	0.0159756	0.984024	17	93821.5	0.000455227
Single-Family Attached	NC	2010s	0.0159756	0.984024	47	22328.3	0.000175529
Single-Family Attached	NC	<1940	0.0175074	0.982493	69	19569.6	2.7085e-05
Single-Family Detached	NC	1940-59	0	1	62	357357	0.00304471
Single-Family Detached	NC	1960-79	0	1	64	517065	0.00529979
Single-Family Detached	NC	1980-99	0	1	104	839951	0.00625929
Single-Family Detached	NC	2000-09	0	1	65	460772	0.00418236
Single-Family Detached	NC	2010s	0	1	38	252770	0.0013643
Single-Family Detached	NC	<1940	0	1	34	236302	0.00149797
Mobile Home	ND	1940-59	0	1	4	0	2.40298e-06
Mobile Home	ND	1960-79	0	1	17	4913.96	5.61594e-05
Mobile Home	ND	1980-99	0	1	27	4870.05	7.28461e-05
Mobile Home	ND	2000-09	0	1	14	1661.81	2.58242e-05
Mobile Home	ND	2010s	0	1	22	3983.25	2.68558e-05
Mobile Home	ND	<1940	0	1	4	0	4.16804e-06
Multi-Family with 2 - 4 Units	ND	1940-59	0.582285	0.417715	16	3364.25	1.8382e-05
Multi-Family with 2 - 4 Units	ND	1960-79	0.592917	0.407083	25	4598.49	5.91205e-05
Multi-Family with 2 - 4 Units	ND	1980-99	0.528255	0.471745	13	2207.54	2.66846e-05
Multi-Family with 2 - 4 Units	ND	2000-09	0.554413	0.445587	11	2036.16	1.41389e-05
Multi-Family with 2 - 4 Units	ND	2010s	0.539139	0.460861	17	2209.31	1.47538e-05
Multi-Family with 2 - 4 Units	ND	<1940	0.643578	0.356422	11	0	1.5096e-05
Multi-Family with 5+ Units	ND	1940-59	0.685626	0.314374	30	6786.02	2.42814e-05
Multi-Family with 5+ Units	ND	1960-79	0.780838	0.219162	18	25358.4	0.000138633
Multi-Family with 5+ Units	ND	1980-99	0.605512	0.394488	10	14936.1	0.000164696
Multi-Family with 5+ Units	ND	2000-09	0.588217	0.411783	10	11685.2	9.49356e-05
Multi-Family with 5+ Units	ND	2010s	0.941938	0.0580622	15	19911.9	0.000187344
Multi-Family with 5+ Units	ND	<1940	0.659859	0.340141	20	6590.98	2.8899e-05
Single-Family Attached	ND	1940-59	0.00769894	0.992301	13	593.158	5.70476e-06
Single-Family Attached	ND	1960-79	0.107588	0.892412	23	3262.19	2.51062e-05
Single-Family Attached	ND	1980-99	0.0692042	0.930796	12	7534.17	4.95371e-05
Single-Family Attached	ND	2000-09	0	1	10	5715.87	3.80291e-05
Single-Family Attached	ND	2010s	0	1	11	5932.35	2.71317e-05
Single-Family Attached	ND	<1940	0.0171804	0.98282	13	1532.86	2.55583e-06
Single-Family Detached	ND	1940-59	0	1	50	21832.6	0.000292706
Single-Family Detached	ND	1960-79	0	1	65	57212.5	0.000398409
Single-Family Detached	ND	1980-99	0	1	37	32511.7	0.000251485
Single-Family Detached	ND	2000-09	0	1	24	17834.7	0.00013231
Single-Family Detached	ND	2010s	0	1	23	18749.1	0.000118944
Single-Family Detached	ND	<1940	0	1	37	27748.3	0.000294725
Mobile Home	NE	1940-59	0	1	4	0	3.26496e-06
Mobile Home	NE	1960-79	0	1	17	12044.1	9.52038e-05
Mobile Home	NE	1980-99	0	1	27	4496.45	7.50252e-05
Mobile Home	NE	2000-09	0	1	14	0	1.77883e-05
Mobile Home	NE	2010s	0	1	22	0	7.59939e-06
Mobile Home	NE	<1940	0	1	4	0	4.88438e-06
Multi-Family with 2 - 4 Units	NE	1940-59	0.582285	0.417715	16	1257.39	4.78682e-05
Multi-Family with 2 - 4 Units	NE	1960-79	0.592917	0.407083	25	4435.18	8.89625e-05
Multi-Family with 2 - 4 Units	NE	1980-99	0.528255	0.471745	13	19212.7	7.05647e-05
Multi-Family with 2 - 4 Units	NE	2000-09	0.554413	0.445587	11	7171.82	2.46036e-05
Multi-Family with 2 - 4 Units	NE	2010s	0.539139	0.460861	17	0	1.39069e-05
Multi-Family with 2 - 4 Units	NE	<1940	0.643578	0.356422	11	3249.39	5.44548e-05
Multi-Family with 5+ Units	NE	1940-59	0.685626	0.314374	30	23480.8	6.5835e-05
Multi-Family with 5+ Units	NE	1960-79	0.689201	0.310799	52	26490.5	0.000269768
Multi-Family with 5+ Units	NE	1980-99	0.636647	0.363353	55	41777.2	0.000318368
Multi-Family with 5+ Units	NE	2000-09	0.489434	0.510566	29	17519.3	0.00011584
Multi-Family with 5+ Units	NE	2010s	0.825241	0.174759	37	17374.5	8.67431e-05
Multi-Family with 5+ Units	NE	<1940	0.659859	0.340141	20	34143.8	7.94982e-05
Single-Family Attached	NE	1940-59	0.00769894	0.992301	13	2753.13	1.59087e-05
Single-Family Attached	NE	1960-79	0.107588	0.892412	23	9678.96	5.37331e-05
Single-Family Attached	NE	1980-99	0.0692042	0.930796	54	7571.71	6.74826e-05
Single-Family Attached	NE	2000-09	0	1	32	3965.26	5.72259e-05
Single-Family Attached	NE	2010s	0	1	29	5666.73	2.54529e-05
Single-Family Attached	NE	<1940	0.0171804	0.98282	13	0	2.12243e-05
Single-Family Detached	NE	1940-59	0	1	48	112616	0.000728413
Single-Family Detached	NE	1960-79	0	1	38	135830	0.00113932
Single-Family Detached	NE	1980-99	0	1	29	104745	0.000756135
Single-Family Detached	NE	2000-09	0	1	15	45675.7	0.000480228
Single-Family Detached	NE	2010s	0	1	12	40848.7	0.000187467
Single-Family Detached	NE	<1940	0	1	26	83197.6	0.00110685
Mobile Home	NH	1940-59	0	1	6	0	7.79517e-06
Mobile Home	NH	1960-79	0	1	18	16836.8	8.74876e-05
Mobile Home	NH	1980-99	0	1	22	7269.77	0.000112543
Mobile Home	NH	2000-09	0	1	10	3402.43	3.66459e-05
Mobile Home	NH	2010s	0	1	12	0	1.14149e-05
Mobile Home	NH	<1940	0	1	6	0	2.75967e-06
Multi-Family with 2 - 4 Units	NH	1940-59	0.438291	0.561709	94	11828.1	6.07639e-05
Multi-Family with 2 - 4 Units	NH	1960-79	0.601268	0.398732	43	7754.15	8.24933e-05
Multi-Family with 2 - 4 Units	NH	1980-99	0.673592	0.326408	17	0	9.48018e-05
Multi-Family with 2 - 4 Units	NH	2000-09	0.3877	0.6123	10	0	2.05966e-05
Multi-Family with 2 - 4 Units	NH	2010s	0.3877	0.6123	10	0	7.78374e-06
Multi-Family with 2 - 4 Units	NH	<1940	0.510592	0.489408	86	18258.2	0.000248723
Multi-Family with 5+ Units	NH	1940-59	0.801367	0.198633	62	10541.7	3.72941e-05
Multi-Family with 5+ Units	NH	1960-79	0.695859	0.304141	60	18453	0.000168818
Multi-Family with 5+ Units	NH	1980-99	0.552679	0.447321	10	38796.3	0.000235556
Multi-Family with 5+ Units	NH	2000-09	0.488928	0.511072	17	13198	6.04558e-05
Multi-Family with 5+ Units	NH	2010s	0.714109	0.285891	25	5607.44	3.84126e-05
Multi-Family with 5+ Units	NH	<1940	0.781155	0.218845	51	17651.8	0.000136694
Single-Family Attached	NH	1940-59	0.168737	0.831263	37	2105.62	9.73092e-06
Single-Family Attached	NH	1960-79	0.183034	0.816966	19	1531.9	3.35967e-05
Single-Family Attached	NH	1980-99	0.0810969	0.918903	56	8224.66	0.000126978
Single-Family Attached	NH	2000-09	0.183765	0.816235	23	6818.07	4.20744e-05
Single-Family Attached	NH	2010s	0.183765	0.816235	13	4098.21	1.31491e-05
Single-Family Attached	NH	<1940	0.177492	0.822508	29	5441.39	2.65346e-05
Single-Family Detached	NH	1940-59	0	1	31	50210.4	0.000372279
Single-Family Detached	NH	1960-79	0	1	30	83939.5	0.000717187
Single-Family Detached	NH	1980-99	0	1	36	104478	0.000812296
Single-Family Detached	NH	2000-09	0	1	10	29671.6	0.000387935
Single-Family Detached	NH	2010s	0	1	67	16163.1	9.54826e-05
Single-Family Detached	NH	<1940	0	1	23	56163.2	0.00054211
Mobile Home	NJ	1940-59	0	1	6	0	1.21521e-05
Mobile Home	NJ	1960-79	0	1	12	10991	0.000100298
Mobile Home	NJ	1980-99	0	1	23	26136.1	8.67053e-05
Mobile Home	NJ	2000-09	0	1	20	0	3.83376e-05
Mobile Home	NJ	2010s	0	1	20	0	1.27203e-05
Mobile Home	NJ	<1940	0	1	6	0	4.81148e-06
Multi-Family with 2 - 4 Units	NJ	1940-59	0.757142	0.242858	15	72357.4	0.00101487
Multi-Family with 2 - 4 Units	NJ	1960-79	0.664894	0.335106	12	145437	0.00091718
Multi-Family with 2 - 4 Units	NJ	1980-99	0.412689	0.587311	12	129971	0.000589744
Multi-Family with 2 - 4 Units	NJ	2000-09	0.440737	0.559263	19	31473.6	0.000258855
Multi-Family with 2 - 4 Units	NJ	2010s	0.326157	0.673843	10	7923.1	7.41129e-05
Multi-Family with 2 - 4 Units	NJ	<1940	0.630671	0.369329	13	122957	0.00128986
Multi-Family with 5+ Units	NJ	1940-59	0.660553	0.339447	14	70630	0.000764378
Multi-Family with 5+ Units	NJ	1960-79	1	0	21	211106	0.00169485
Multi-Family with 5+ Units	NJ	1980-99	0.435065	0.564935	21	191231	0.00134656
Multi-Family with 5+ Units	NJ	2000-09	0.793663	0.206337	32	67432.6	0.000596246
Multi-Family with 5+ Units	NJ	2010s	0.624692	0.375308	42	62131.1	0.000376718
Multi-Family with 5+ Units	NJ	<1940	0.657775	0.342225	11	96251.4	0.000713327
Single-Family Attached	NJ	1940-59	0.145506	0.854494	80	19840.9	0.000272383
Single-Family Attached	NJ	1960-79	0.165434	0.834566	13	82604.4	0.00039564
Single-Family Attached	NJ	1980-99	0.021273	0.978727	22	116366	0.00100044
Single-Family Attached	NJ	2000-09	0.161355	0.838645	12	68213.6	0.000357169
Single-Family Attached	NJ	2010s	0.161355	0.838645	21	13593.5	0.000105436
Single-Family Attached	NJ	<1940	0.134529	0.865471	65	51273.6	0.00043084
Single-Family Detached	NJ	1940-59	0	1	116	489688	0.00381422
Single-Family Detached	NJ	1960-79	0	1	83	506250	0.00386204
Single-Family Detached	NJ	1980-99	0	1	50	289933	0.00266548
Single-Family Detached	NJ	2000-09	0	1	19	114420	0.00115615
Single-Family Detached	NJ	2010s	0	1	52	37050.6	0.000326836
Single-Family Detached	NJ	<1940	0	1	63	358720	0.00247511
Mobile Home	NM	1940-59	0	1	7	6016.86	1.71177e-05
Mobile Home	NM	1960-79	0	1	19	22319.3	0.000297938
Mobile Home	NM	1980-99	0	1	12	66824.2	0.000670179
Mobile Home	NM	2000-09	0	1	10	17281.5	0.000153632
Mobile Home	NM	2010s	0	1	15	0	4.72629e-05
Mobile Home	NM	<1940	0	1	7	0	3.1615e-06
Multi-Family with 2 - 4 Units	NM	1940-59	0.371776	0.628224	39	6363.2	4.89674e-05
Multi-Family with 2 - 4 Units	NM	1960-79	0.0879832	0.912017	10	26999	0.000137088
Multi-Family with 2 - 4 Units	NM	1980-99	0.384655	0.615345	15	27107.2	0.000137316
Multi-Family with 2 - 4 Units	NM	2000-09	0.324073	0.675927	26	0	3.98257e-05
Multi-Family with 2 - 4 Units	NM	2010s	0.324073	0.675927	26	0	1.59935e-05
Multi-Family with 2 - 4 Units	NM	<1940	0.371776	0.628224	39	0	1.83361e-05
Multi-Family with 5+ Units	NM	1940-59	0.679583	0.320417	72	0	3.77496e-05
Multi-Family with 5+ Units	NM	1960-79	0.311578	0.688422	30	31828	0.000222136
Multi-Family with 5+ Units	NM	1980-99	0.269622	0.730378	33	17896.2	0.000264888
Multi-Family with 5+ Units	NM	2000-09	0.304549	0.695451	23	26485.8	7.50412e-05
Multi-Family with 5+ Units	NM	2010s	0.269144	0.730856	29	0	4.66666e-05
Multi-Family with 5+ Units	NM	<1940	0.679583	0.320417	72	0	1.35155e-05
Single-Family Attached	NM	1940-59	0.100753	0.899247	40	3738.82	2.29208e-05
Single-Family Attached	NM	1960-79	0	1	18	10006.2	5.65295e-05
Single-Family Attached	NM	1980-99	0.0370574	0.962943	26	7123.31	8.49724e-05
Single-Family Attached	NM	2000-09	0	1	20	1546.16	3.99248e-05
Single-Family Attached	NM	2010s	0	1	29	2395.01	1.25347e-05
Single-Family Attached	NM	<1940	0.100753	0.899247	40	1692.1	1.14917e-05
Single-Family Detached	NM	1940-59	0	1	14	56808.9	0.000798548
Single-Family Detached	NM	1960-79	0	1	34	137040	0.0011475
Single-Family Detached	NM	1980-99	0	1	34	153548	0.00123795
Single-Family Detached	NM	2000-09	0	1	24	94077.8	0.000723038
Single-Family Detached	NM	2010s	0	1	16	57221.4	0.000172804
Single-Family Detached	NM	<1940	0	1	24	12735	0.000251447
Mobile Home	NV	1940-59	0	1	7	7514.34	9.41709e-06
Mobile Home	NV	1960-79	0	1	19	19602.9	0.00018139
Mobile Home	NV	1980-99	0	1	36	35653.1	0.000225199
Mobile Home	NV	2000-09	0	1	10	7353.61	5.35704e-05
Mobile Home	NV	2010s	0	1	15	4136.11	1.24374e-05
Mobile Home	NV	<1940	0	1	7	0	3.22742e-06
Multi-Family with 2 - 4 Units	NV	1940-59	0.371776	0.628224	39	0	2.87238e-05
Multi-Family with 2 - 4 Units	NV	1960-79	0.0879832	0.912017	10	0	0.000173755
Multi-Family with 2 - 4 Units	NV	1980-99	0.384655	0.615345	15	42180.8	0.000350171
Multi-Family with 2 - 4 Units	NV	2000-09	0.324073	0.675927	26	28192.4	0.000112068
Multi-Family with 2 - 4 Units	NV	2010s	0.324073	0.675927	26	7595.96	2.28059e-05
Multi-Family with 2 - 4 Units	NV	<1940	0.371776	0.628224	39	0	8.10152e-06
Multi-Family with 5+ Units	NV	1940-59	0.679583	0.320417	72	2365.96	6.39761e-05
Multi-Family with 5+ Units	NV	1960-79	0.311578	0.688422	30	53709.3	0.000400331
Multi-Family with 5+ Units	NV	1980-99	0.304491	0.695509	13	107184	0.000959677
Multi-Family with 5+ Units	NV	2000-09	0.304549	0.695451	23	65521.3	0.000470576
Multi-Family with 5+ Units	NV	2010s	0.269144	0.730856	29	32628.2	0.000131364
Multi-Family with 5+ Units	NV	<1940	0.679583	0.320417	72	6114.18	1.31027e-05
Single-Family Attached	NV	1940-59	0.100753	0.899247	40	6504.42	1.68829e-05
Single-Family Attached	NV	1960-79	0	1	18	5220.82	8.82463e-05
Single-Family Attached	NV	1980-99	0.0370574	0.962943	11	28743	0.000177119
Single-Family Attached	NV	2000-09	0	1	20	16748	0.000101415
Single-Family Attached	NV	2010s	0	1	29	7272.93	1.87087e-05
Single-Family Attached	NV	<1940	0.100753	0.899247	40	1911.94	3.87397e-06
Single-Family Detached	NV	1940-59	0	1	14	43096.1	0.000236205
Single-Family Detached	NV	1960-79	0	1	22	92582.5	0.000848933
Single-Family Detached	NV	1980-99	0	1	51	250932	0.00207274
Single-Family Detached	NV	2000-09	0	1	37	151947	0.00170049
Single-Family Detached	NV	2010s	0	1	23	86215.2	0.000400643
Single-Family Detached	NV	<1940	0	1	24	28482.7	7.02371e-05
Mobile Home	NY	1940-59	0	1	6	26264.4	3.71243e-05
Mobile Home	NY	1960-79	0	1	12	45610.8	0.000415895
Mobile Home	NY	1980-99	0	1	13	97953.9	0.000710201
Mobile Home	NY	2000-09	0	1	20	11284.2	0.000186265
Mobile Home	NY	2010s	0	1	20	11881	6.49116e-05
Mobile Home	NY	<1940	0	1	6	0	1.70721e-05
Multi-Family with 2 - 4 Units	NY	1940-59	0.517112	0.482888	54	354057	0.00211712
Multi-Family with 2 - 4 Units	NY	1960-79	0.615843	0.384157	22	250288	0.00190249
Multi-Family with 2 - 4 Units	NY	1980-99	0.510073	0.489927	16	193930	0.00103883
Multi-Family with 2 - 4 Units	NY	2000-09	0.440737	0.559263	19	51786.8	0.00050871
Multi-Family with 2 - 4 Units	NY	2010s	0.326157	0.673843	10	43927.5	0.000165391
Multi-Family with 2 - 4 Units	NY	<1940	0.449196	0.550804	36	351605	0.00485838
Multi-Family with 5+ Units	NY	1940-59	0.88417	0.11583	110	590896	0.00422823
Multi-Family with 5+ Units	NY	1960-79	0.832954	0.167046	56	588789	0.00492115
Multi-Family with 5+ Units	NY	1980-99	0.812902	0.187098	33	332250	0.00221686
Multi-Family with 5+ Units	NY	2000-09	0.892571	0.107429	16	153607	0.00129977
Multi-Family with 5+ Units	NY	2010s	0.783175	0.216825	25	176395	0.000878414
Multi-Family with 5+ Units	NY	<1940	0.879955	0.120045	83	755945	0.00693382
Single-Family Attached	NY	1940-59	0.151894	0.848106	21	88425.6	0.000584179
Single-Family Attached	NY	1960-79	0.165434	0.834566	12	77775.6	0.000530176
Single-Family Attached	NY	1980-99	0.021273	0.978727	26	157445	0.000725528
Single-Family Attached	NY	2000-09	0.161355	0.838645	33	36344.1	0.000263279
Single-Family Attached	NY	2010s	0.161355	0.838645	21	34826.3	8.60203e-05
Single-Family Attached	NY	<1940	0.134529	0.865471	13	86496.7	0.000879269
Single-Family Detached	NY	1940-59	0	1	239	938326	0.00697239
Single-Family Detached	NY	1960-79	0	1	103	616213	0.0059877
Single-Family Detached	NY	1980-99	0	1	75	428805	0.00369071
Single-Family Detached	NY	2000-09	0	1	25	142380	0.00153679
Single-Family Detached	NY	2010s	0	1	19	81344	0.000454572
Single-Family Detached	NY	<1940	0	1	140	796267	0.00689464
Mobile Home	OH	1940-59	0	1	4	6650.5	2.47915e-05
Mobile Home	OH	1960-79	0	1	16	40370.8	0.000465925
Mobile Home	OH	1980-99	0	1	25	81362.3	0.000707855
Mobile Home	OH	2000-09	0	1	20	25965.5	0.000186977
Mobile Home	OH	2010s	0	1	11	34113.9	4.89799e-05
Mobile Home	OH	<1940	0	1	4	17186.4	1.44121e-05
Multi-Family with 2 - 4 Units	OH	1940-59	0.487742	0.512258	41	70707.3	0.00052545
Multi-Family with 2 - 4 Units	OH	1960-79	0.399147	0.600853	22	107197	0.000876047
Multi-Family with 2 - 4 Units	OH	1980-99	0.357342	0.642658	19	44089	0.000647445
Multi-Family with 2 - 4 Units	OH	2000-09	0.371913	0.628087	12	19623.9	0.000182979
Multi-Family with 2 - 4 Units	OH	2010s	0.371913	0.628087	12	0	8.19983e-05
Multi-Family with 2 - 4 Units	OH	<1940	0.390813	0.609187	33	56154.4	0.00104758
Multi-Family with 5+ Units	OH	1940-59	0.66349	0.33651	41	72481.4	0.000565159
Multi-Family with 5+ Units	OH	1960-79	0.497066	0.502934	14	275221	0.00206355
