,Heating Dry Bulb Temperature 99%,Cooling Dry Bulb Temperature 1%
Johnson Co Executive,-12.5,32.9
Springfield Muni,-10.9,33.1
Sedalia Memorial,-12.1,33.0
Springfield Muni,-10.9,33.1
Keokuk Muni,-13.8,32.6
Charles B Wheeler D,-12.3,34.0
Kansas City Intl,-13.8,33.6
Jefferson City Mem,-11.2,33.0
Sedalia Memorial,-12.1,33.0
Rolla Vichy Airport,-11.6,33.1
Springfield Muni,-10.9,33.1
Springfield Muni,-10.9,33.1
Lamoni Muni Airport,-17.1,32.0
St Joseph Rose Cra,-14.9,32.7
Rolla Vichy Airport,-11.6,33.1
Ozark Rgnl,-7.6,33.0
Poplar Bluff Amos,-8.2,33.0
Spirit Of St Louis,-11.9,33.7
Rolla Vichy Airport,-11.6,33.1
St Joseph Rose Cra,-14.9,32.7
Springfield Muni,-10.9,33.1
Lamoni Muni Airport,-17.1,32.0
Lamoni Muni Airport,-17.1,32.0
Whiteman Afb,-12.9,33.7
Springfield Muni,-10.9,33.1
Falls City Brenner,-16.0,33.4
Columbia Regional,-13.0,32.9
West Plains Muni,-9.1,32.7
Farmington Rgnl,-11.0,32.6
Charles B Wheeler D,-12.3,34.0
Joplin Rgnl,-10.1,34.1
Spirit Of St Louis,-11.9,33.7
Whiteman Afb,-12.9,33.7
Kirksville Rgnl,-16.0,32.3
Lee C Fine Mem,-11.3,33.8
Whiteman Afb,-12.9,33.7
Springfield Muni,-10.9,33.1
Keokuk Muni,-13.8,32.6
Spirit Of St Louis,-11.9,33.7
Kirksville Rgnl,-16.0,32.3
Lamoni Muni Airport,-17.1,32.0
Fort Smith Muni,-5.7,36.0
Kirksville Rgnl,-16.0,32.3
Farmington Rgnl,-11.0,32.6
Rolla Vichy Airport,-11.6,33.1
Quincy Rgnl Baldwin,-15.1,32.3
Lamoni Muni Airport,-17.1,32.0
Lee C Fine Mem,-11.3,33.8
Cape Girardeau Rgnl,-9.2,33.5
Columbia Regional,-13.0,32.9
Columbia Regional,-13.0,32.9
Columbia Regional,-13.0,32.9
Lee C Fine Mem,-11.3,33.8
Cape Girardeau Rgnl,-9.2,33.5
Joplin Rgnl,-10.1,34.1
Schenck Fld,-17.1,32.7
West Plains Muni,-9.1,32.7
Jefferson City Mem,-11.2,33.0
Ozark Rgnl,-7.6,33.0
Poplar Bluff Amos,-8.2,33.0
Cape Girardeau Rgnl,-9.2,33.5
Sedalia Memorial,-12.1,33.0
Rolla Vichy Airport,-11.6,33.1
Quincy Rgnl Baldwin,-15.1,32.3
Kansas City Intl,-13.8,33.6
Springfield Muni,-10.9,33.1
Lee C Fine Mem,-11.3,33.8
Kirksville Rgnl,-16.0,32.3
Quincy Rgnl Baldwin,-15.1,32.3
Columbia Regional,-13.0,32.9
Charles B Wheeler D,-12.3,34.0
Farmington Rgnl,-11.0,32.6
Poplar Bluff Amos,-8.2,33.0
Spirit Of St Louis,-11.9,33.7
Whiteman Afb,-12.9,33.7
Farmington Rgnl,-11.0,32.6
Farmington Rgnl,-11.0,32.6
St Louis Lambert,-11.3,33.9
Sedalia Memorial,-12.1,33.0
Kirksville Rgnl,-16.0,32.3
Kirksville Rgnl,-16.0,32.3
Cape Girardeau Rgnl,-9.2,33.5
West Plains Muni,-9.1,32.7
Columbia Regional,-13.0,32.9
Poplar Bluff Amos,-8.2,33.0
Springfield Muni,-10.9,33.1
Kirksville Rgnl,-16.0,32.3
Boone Co,-8.9,32.9
West Plains Muni,-9.1,32.7
Joplin Rgnl,-10.1,34.1
Spirit Of St Louis,-11.9,33.7
Farmington Rgnl,-11.0,32.6
Poplar Bluff Amos,-8.2,33.0
Springfield Muni,-10.9,33.1
Creston Muni,-17.5,32.3
West Plains Muni,-9.1,32.7
Cahokia St Louis,-10.9,33.0
Dillon Airport,-17.7,29.4
Sheridan Co Arpt,-20.0,33.1
Havre Amos,-26.7,32.7
Helena Regional,-21.4,32.1
Cody Muni Awos,-19.6,31.1
Baker Muni,-22.3,32.9
Great Falls Intl,-22.8,31.5
Havre Amos,-26.7,32.7
Miles City,-22.9,34.7
L M Clayton,-26.2,32.9
Dawson Community,-24.1,32.7
Bert Mooney,-23.0,29.1
Baker Muni,-22.3,32.9
Lewistown Muni,-22.5,30.2
Kalispell Glacier P,-17.3,30.5
Gallatin Fld,-22.2,31.5
Jordan,-26.8,33.6
Cut Bank Muni,-24.6,29.4
Billings Logan Int,-19.5,32.9
Missoula Johnson Be,-16.0,32.1
Havre Amos,-26.7,32.7
Helena Regional,-21.4,32.1
Lewistown Muni,-22.5,30.2
Missoula Johnson Be,-16.0,32.1
Helena Regional,-21.4,32.1
Malmstrom Afhp,-22.9,31.6
Mullan Awrs,-12.2,29.0
L M Clayton,-26.2,32.9
Dillon Airport,-17.7,29.4
Gallatin Fld,-22.2,31.5
Missoula Johnson Be,-16.0,32.1
Missoula Johnson Be,-16.0,32.1
Billings Logan Int,-19.5,32.9
Mission Fld,-18.9,32.2
Lewistown Muni,-22.5,30.2
Glasgow Intl Arpt,-26.3,32.9
Cut Bank Muni,-24.6,29.4
Miles City,-22.9,34.7
Bert Mooney,-23.0,29.1
Dawson Community,-24.1,32.7
Missoula Johnson Be,-16.0,32.1
Sidney Richland Muni,-25.0,32.5
L M Clayton,-26.2,32.9
Miles City,-22.9,34.7
Mullan Awrs,-12.2,29.0
Williston Sloulin F,-27.2,32.5
Bert Mooney,-23.0,29.1
Billings Logan Int,-19.5,32.9
Mission Fld,-18.9,32.2
Great Falls Intl,-22.8,31.5
Cut Bank Muni,-24.6,29.4
Jordan,-26.8,33.6
Glasgow Intl Arpt,-26.3,32.9
Lewistown Muni,-22.5,30.2
Dickinson Muni,-24.3,32.1
Billings Logan Int,-19.5,32.9
Hastings Muni,-17.0,33.3
Norfolk Karl Stefan,-18.6,32.8
Searle Fld,-15.2,34.0
Scottsbluff Heilig,-17.6,33.9
Broken Bow Muni,-17.2,32.7
Norfolk Karl Stefan,-18.6,32.8
Alliance Muni,-18.0,34.0
The Oneill Muni J Ba,-18.7,32.6
Ainsworth Municipal,-17.9,32.8
Kearney Muni,-16.3,32.6
Tekamah Muni,-18.0,32.6
Columbus Muni,-17.9,32.5
Offutt Afb,-16.4,32.8
Chan Gurney Muni,-19.5,32.1
Searle Fld,-15.2,34.0
Valentine Amos,-20.2,34.3
Sidney Muni Amos,-17.2,33.7
Aurora Muni Al Pott,-16.2,32.5
Columbus Muni,-17.9,32.5
Fremont Muni,-17.3,32.4
Broken Bow Muni,-17.2,32.7
Sioux City Muni,-19.3,32.3
Alliance Muni,-18.0,34.0
Broken Bow Muni,-17.2,32.7
Searle Fld,-15.2,34.0
Sioux City Muni,-19.3,32.3
Fremont Muni,-17.3,32.4
Omaha,-17.8,32.7
Goodland Renner Fie,-14.4,34.6
Aurora Muni Al Pott,-16.2,32.5
Brewster Fld,-15.1,32.9
Mccook Rgnl,-14.1,36.2
Brewster Fld,-15.1,32.9
Beatrice Muni,-16.2,33.9
Searle Fld,-15.2,34.0
Broken Bow Muni,-17.2,32.7
Brewster Fld,-15.1,32.9
Searle Fld,-15.2,34.0
Grand Island County,-17.2,33.6
Grand Island County,-17.2,33.6
Aurora Muni Al Pott,-16.2,32.5
Brewster Fld,-15.1,32.9
Mccook Rgnl,-14.1,36.2
Mccook Rgnl,-14.1,36.2
The Oneill Muni J Ba,-18.7,32.6
North Platte Lee Bi,-17.5,33.7
Grand Island County,-17.2,33.6
Beatrice Muni,-16.2,33.9
Beatrice Muni,-16.2,33.9
Kearney Muni,-16.3,32.6
Searle Fld,-15.2,34.0
Ainsworth Municipal,-17.9,32.8
Scottsbluff Heilig,-17.6,33.9
Chan Gurney Muni,-19.5,32.1
Lincoln Municipal,-16.9,34.0
North Platte Lee Bi,-17.5,33.7
North Platte Lee Bi,-17.5,33.7
Broken Bow Muni,-17.2,32.7
North Platte Lee Bi,-17.5,33.7
Norfolk Karl Stefan,-18.6,32.8
Aurora Muni Al Pott,-16.2,32.5
Scottsbluff Heilig,-17.6,33.9
Aurora Muni Al Pott,-16.2,32.5
Falls City Brenner,-16.0,33.4
Hastings Muni,-17.0,33.3
Offutt Afb,-16.4,32.8
Beatrice Muni,-16.2,33.9
Searle Fld,-15.2,34.0
Brewster Fld,-15.1,32.9
Norfolk Karl Stefan,-18.6,32.8
Columbus Muni,-17.9,32.5
Columbus Muni,-17.9,32.5
Mccook Rgnl,-14.1,36.2
Falls City Brenner,-16.0,33.4
Ainsworth Municipal,-17.9,32.8
Lincoln Municipal,-16.9,34.0
Offutt Afb,-16.4,32.8
Fremont Muni,-17.3,32.4
Scottsbluff Heilig,-17.6,33.9
Lincoln Municipal,-16.9,34.0
Alliance Muni,-18.0,34.0
Kearney Muni,-16.3,32.6
Torrington Muni,-17.1,34.0
Norfolk Karl Stefan,-18.6,32.8
Concordia Blosser M,-14.3,35.2
Ainsworth Municipal,-17.9,32.8
Sioux City Muni,-19.3,32.3
Broken Bow Muni,-17.2,32.7
Omaha,-17.8,32.7
Norfolk Karl Stefan,-18.6,32.8
Hastings Muni,-17.0,33.3
The Oneill Muni J Ba,-18.7,32.6
Aurora Muni Al Pott,-16.2,32.5
Fallon Nas,-9.7,36.2
Las Vegas Mccarran,1.0,41.3
Truckee Tahoe,-14.1,29.8
Elko Rgnl,-16.9,33.3
Tonopah,-10.0,33.9
Eureka Ramos,-15.9,32.2
Winnemucca Muni,-13.0,35.2
Winnemucca Muni,-13.0,35.2
Cedar City Rgnl,-13.5,32.9
Reno Cannon Intl,-8.0,34.1
Fallon Nas,-9.7,36.2
Desert Rock,-1.9,38.7
Derby Fld,-12.0,36.4
Reno Cannon Intl,-8.0,34.1
Reno Cannon Intl,-8.0,34.1
Ely Arpt Yelland Fld,-17.3,31.6
Reno Cannon Intl,-8.0,34.1
Laconia Muni,-17.2,29.0
Eastern Slopes Rgnl,-20.9,30.2
Dillant Hopkins,-17.5,29.2
Berlin Municipal,-23.1,27.8
Lebanon Muni,-19.1,29.9
Manchester,-13.8,31.4
Concord Municipal,-16.9,30.6
Manchester,-13.8,31.4
Skyhaven,-14.8,30.0
Hartness State,-17.4,29.1
Atlantic City Intl,-8.9,31.9
Teterboro,-9.0,32.1
South Jersey Rgnl,-8.1,32.4
Philadelphia Intl,-7.8,32.7
Cape May Co,-7.1,30.9
Millville Muni,-9.0,32.1
Essex Co,-10.0,32.2
Philadelphia Intl,-7.8,32.7
Newark Intl Airport,-8.6,32.8
Trenton Mercer,-8.9,32.3
Trenton Mercer,-8.9,32.3
Newark Intl Airport,-8.6,32.8
Monmouth Executive,-8.9,31.3
Teterboro,-9.0,32.1
Monmouth Executive,-8.9,31.3
Essex Co,-10.0,32.2
Wilmington New Cast,-8.2,31.9
Trenton Mercer,-8.9,32.3
Orange Co,-12.8,31.3
Newark Intl Airport,-8.6,32.8
Allentown A Bethle,-10.8,31.3
Albuquerque Intl,-5.8,33.9
St Johns Industrial,-9.0,34.0
Roswell Industrial,-5.9,36.6
Albuquerque Intl,-5.8,33.9
Taos Muni Apt Awos,-16.0,29.9
Cannon Afb,-7.9,34.9
Cannon Afb,-7.9,34.9
White Sands,-5.3,35.8
Cavern City Air Ter,-4.2,37.6
Deming Muni,-4.8,37.1
Las Vegas Municipal,-10.7,30.0
Clayton Muni Amos,-10.4,33.6
Deming Muni,-4.8,37.1
Winkler Co,-4.5,38.8
Sierra Blanca Rgnl,-7.1,29.1
Santa Fe Co Muni,-9.1,32.4
Deming Muni,-4.8,37.1
Gallup Muni,-14.9,31.9
Las Vegas Municipal,-10.7,30.0
Alamogordo White Sa,-3.8,37.0
Cannon Afb,-7.9,34.9
Santa Fe Co Muni,-9.1,32.4
Cannon Afb,-7.9,34.9
Albuquerque Intl,-5.8,33.9
Four Corners Rgnl,-11.2,33.8
Las Vegas Municipal,-10.7,30.0
Santa Fe Co Muni,-9.1,32.4
Deming Muni,-4.8,37.1
Albuquerque Intl,-5.8,33.9
Taos Muni Apt Awos,-16.0,29.9
Clines Corners,-9.9,29.8
Clayton Muni Amos,-10.4,33.6
Albuquerque Intl,-5.8,33.9
Albany County Airpo,-15.6,30.1
Wellsville Muni,-16.1,27.4
New York La Guardia,-7.8,32.0
Binghamton Broome C,-15.5,28.0
Bradford Rgnl,-16.0,27.3
Oswego Co,-15.9,28.8
Dunkirk,-11.5,30.1
Elmira Corning Rgnl,-15.2,30.3
Binghamton Broome C,-15.5,28.0
Plattsburgh Intl,-20.6,28.4
Albany County Airpo,-15.6,30.1
Binghamton Broome C,-15.5,28.0
Sullivan Co Intl,-15.3,28.0
Dutchess Co,-13.6,31.5
Greater Buffalo Int,-13.6,28.8
Plattsburgh Intl,-20.6,28.4
Adirondack Rgnl,-24.1,27.3
Albany County Airpo,-15.6,30.1
Rochester Monroe Co,-13.9,29.8
Albany County Airpo,-15.6,30.1
Adirondack Rgnl,-24.1,27.3
Griffiss Airpark,-17.5,29.7
Watertown Intl,-21.0,28.2
New York La Guardia,-7.8,32.0
Fort Drum Wheeler S,-20.6,28.7
Rochester Monroe Co,-13.9,29.8
Griffiss Airpark,-17.5,29.7
Rochester Monroe Co,-13.9,29.8
Albany County Airpo,-15.6,30.1
Republic,-7.9,30.3
Nyc Central Park,-10.6,27.7
Niagara Falls Intl,-13.7,29.6
Griffiss Airpark,-17.5,29.7
Syracuse Hancock,-15.4,30.1
Penn Yan,-13.7,29.9
Orange Co,-12.8,31.3
Rochester Monroe Co,-13.9,29.8
Oswego Co,-15.9,28.8
Griffiss Airpark,-17.5,29.7
Danbury Muni Arpt,-12.5,29.1
New York John F Ke,-7.9,30.3
Albany County Airpo,-15.6,30.1
Newark Intl Airport,-8.6,32.8
Westchester Co,-10.7,30.3
Massena Intl Richar,-22.4,29.1
Albany County Airpo,-15.6,30.1
Albany County Airpo,-15.6,30.1
Albany County Airpo,-15.6,30.1
Elmira Corning Rgnl,-15.2,30.3
Penn Yan,-13.7,29.9
Elmira Corning Rgnl,-15.2,30.3
Long Island Mac Art,-9.0,29.8
Sullivan Co Intl,-15.3,28.0
Binghamton Broome C,-15.5,28.0
Binghamton Broome C,-15.5,28.0
Dutchess Co,-13.6,31.5
Floyd Bennett Mem,-19.2,29.2
Floyd Bennett Mem,-19.2,29.2
Penn Yan,-13.7,29.9
Westchester Co,-10.7,30.3
Greater Buffalo Int,-13.6,28.8
Penn Yan,-13.7,29.9
Burlington Alamance,-6.0,32.9
Hickory Rgnl,-4.8,32.5
Ashe Co,-8.9,27.5
Monroe Airport,-3.8,33.0
Ashe Co,-8.9,27.5
Ashe Co,-8.9,27.5
Pitt Greenville,-4.0,33.9
Franklin Muni Jb Ros,-4.9,34.1
Fayetteville Rgnl G,-3.1,34.0
Frying Pan Shoals,3.8,30.7
Asheville Municipal,-7.3,29.9
Hickory Rgnl,-4.8,32.5
Charlotte Douglas,-3.9,33.3
Hickory Rgnl,-4.8,32.5
Elizabeth City Cgas,-3.4,32.4
Michael J Smith Fld,-2.1,30.2
Danville Rgnl,-5.9,33.0
Hickory Rgnl,-4.8,32.5
Burlington Alamance,-6.0,32.9
Knoxville Municipal,-6.2,32.6
Northeastern Rgnl,-2.7,32.9
Lee Gilmer Mem,-3.0,32.5
Rutherfordton,-3.9,32.7
Myrtle Beach Civ,-2.1,32.4
Craven Co Rgnl,-3.0,32.9
Fort Bragg Simmons,-3.5,34.8
Elizabeth City Cgas,-3.4,32.4
Dare Co Rgnl,-1.2,32.3
Asheboro Rgnl,-4.0,33.0
Asheboro Rgnl,-4.0,33.0
Jacksonville Awos,-4.0,33.0
Raleigh Raleigh Dur,-4.6,33.5
Pitt Greenville,-4.0,33.9
Smith Reynolds,-4.9,32.6
Raleigh Raleigh Dur,-4.6,33.5
Gastonia Muni,-3.9,33.0
Suffolk Executive,-4.1,33.8
Knoxville Municipal,-6.2,32.6
Raleigh Raleigh Dur,-4.6,33.5
Seymour Johnson Afb,-3.2,34.7
Greensboro G High,-5.5,32.5
Halifax Co,-3.9,32.9
Hartnett County,-3.0,35.0
Asheville Municipal,-7.3,29.9
Asheville Municipal,-7.3,29.9
Franklin Muni Jb Ros,-4.9,34.1
Pope Afb,-4.0,34.1
Cape Hatteras,0.1,29.5
Hickory Rgnl,-4.8,32.5
Asheville Municipal,-7.3,29.9
Seymour Johnson Afb,-3.2,34.7
Craven Co Rgnl,-3.0,32.9
Hartnett County,-3.0,35.0
Seymour Johnson Afb,-3.2,34.7
Hickory Rgnl,-4.8,32.5
Rutherfordton,-3.9,32.7
Asheville Municipal,-7.3,29.9
Asheville Municipal,-7.3,29.9
Pitt Greenville,-4.0,33.9
Charlotte Douglas,-3.9,33.3
Rutherfordton,-3.9,32.7
Asheboro Rgnl,-4.0,33.0
Moore Co,-5.0,33.6
Rocky Mount Wilson,-4.8,33.0
Wilmington,-2.4,32.3
Halifax Co,-3.9,32.9
New River Mcas,-2.9,32.7
Raleigh Raleigh Dur,-4.6,33.5
Cherry Point Mcas,-2.6,32.6
Elizabeth City Cgas,-3.4,32.4
Wilmington,-2.4,32.3
Northeastern Rgnl,-2.7,32.9
Danville Rgnl,-5.9,33.0
Pitt Greenville,-4.0,33.9
Rutherfordton,-3.9,32.7
Asheboro Rgnl,-4.0,33.0
Maxton,-3.9,33.8
Maxton,-3.9,33.8
Blue Ridge,-7.4,33.0
Charlotte Douglas,-3.9,33.3
Rutherfordton,-3.9,32.7
Fayetteville Rgnl G,-3.1,34.0
Maxton,-3.9,33.8
Monroe Airport,-3.8,33.0
Smith Reynolds,-4.9,32.6
Twin County,-8.9,28.7
Knoxville Municipal,-6.2,32.6
Asheville Municipal,-7.3,29.9
Northeastern Rgnl,-2.7,32.9
Monroe Airport,-3.8,33.0
Mecklenburg Brunswi,-4.8,34.0
Raleigh Raleigh Dur,-4.6,33.5
Mecklenburg Brunswi,-4.8,34.0
Northeastern Rgnl,-2.7,32.9
Ashe Co,-8.9,27.5
Seymour Johnson Afb,-3.2,34.7
Hickory Rgnl,-4.8,32.5
Rocky Mount Wilson,-4.8,33.0
Smith Reynolds,-4.9,32.6
Asheville Municipal,-7.3,29.9
Hettinger Muni,-22.6,32.7
Jamestown Rgnl,-25.9,30.9
Devils Lake Muni,-27.5,28.0
Dickinson Muni,-24.3,32.1
Minot Afb,-27.6,31.8
Buffalo,-22.3,33.0
Minot Afb,-27.6,31.8
Bismarck Municipal,-25.0,32.3
Fargo Hector Field,-25.8,30.9
Devils Lake Muni,-27.5,28.0
Aberdeen Regional,-24.4,31.3
Williston Sloulin F,-27.2,32.5
Dickinson Muni,-24.3,32.1
Devils Lake Muni,-27.5,28.0
Bismarck Municipal,-25.0,32.3
Jamestown Rgnl,-25.9,30.9
Dickinson Muni,-24.3,32.1
Grand Forks Intl,-27.3,30.2
Hettinger Muni,-22.6,32.7
Jamestown Rgnl,-25.9,30.9
Dickinson Muni,-24.3,32.1
Bismarck Municipal,-25.0,32.3
Aberdeen Regional,-24.4,31.3
Bismarck Municipal,-25.0,32.3
Minot Intl,-25.5,31.0
Mobridge Muni,-22.8,32.8
Dickinson Muni,-24.3,32.1
Garrison,-27.0,30.8
Bismarck Municipal,-25.0,32.3
Bismarck Municipal,-25.0,32.3
Garrison,-27.0,30.8
Devils Lake Muni,-27.5,28.0
Bismarck Municipal,-25.0,32.3
Hallock Muni,-28.9,29.1
Devils Lake Muni,-27.5,28.0
Devils Lake Muni,-27.5,28.0
Lidgerwood Ramos,-24.9,31.4
Minot Afb,-27.6,31.8
Lidgerwood Ramos,-24.9,31.4
Devils Lake Muni,-27.5,28.0
Lidgerwood Ramos,-24.9,31.4
Bismarck Municipal,-25.0,32.3
Bismarck Municipal,-25.0,32.3
Dickinson Muni,-24.3,32.1
Dickinson Muni,-24.3,32.1
Grand Forks Afb,-26.0,30.0
Jamestown Rgnl,-25.9,30.9
Devils Lake Muni,-27.5,28.0
Grand Forks Intl,-27.3,30.2
Grand Forks Afb,-26.0,30.0
Minot Intl,-25.5,31.0
Devils Lake Muni,-27.5,28.0
Williston Sloulin F,-27.2,32.5
Cincinnati Muni Lun,-10.3,32.4
Lima Allen Co,-13.7,31.1
Mansfield Lahm Rgnl,-14.1,29.7
Ashtabula Co,-12.5,30.9
Zanesville Muni,-12.2,31.0
Lima Allen Co,-13.7,31.1
Wheeling Ohio Co,-12.2,29.9
Cincinnati Muni Lun,-10.3,32.4
Butler Co Rgnl,-12.3,32.3
Harry Clever Fld,-12.5,30.9
Dayton Wright Patte,-12.5,31.3
Dayton Wright Patte,-12.5,31.3
Cincinnati Muni Lun,-10.3,32.4
Airborne Airpark,-12.5,31.2
Youngstown Muni,-13.4,29.9
Zanesville Muni,-12.2,31.0
Marion Muni,-13.8,31.0
Burke Lakefront,-10.1,30.1
Dayton James M Cox,-13.3,31.1
Defiance Memorial,-14.0,31.2
Ohio State Universi,-12.2,31.2
South Bass Island,-11.5,30.8
Fairfield Co,-12.6,31.3
Airborne Airpark,-12.5,31.2
Columbus Port Colum,-12.0,31.7
Lenawee Co,-14.0,31.0
Huntington Tri Stat,-9.2,32.0
Burke Lakefront,-10.1,30.1
Dayton Wright Patte,-12.5,31.3
Zanesville Muni,-12.2,31.0
Cincinnati Muni Lun,-10.3,32.4
Findlay,-14.0,31.2
Findlay,-14.0,31.2
Harry Clever Fld,-12.5,30.9
Defiance Memorial,-14.0,31.2
Airborne Airpark,-12.5,31.2
Fairfield Co,-12.6,31.3
Wayne Co,-13.8,29.7
Mansfield Lahm Rgnl,-14.1,29.7
Fairfield Co,-12.6,31.3
Wheeling Ohio Co,-12.2,29.9
Mansfield Lahm Rgnl,-14.1,29.7
Burke Lakefront,-10.1,30.1
Huntington Tri Stat,-9.2,32.0
Fairfield Co,-12.6,31.3
Lima Allen Co,-13.7,31.1
Lorain Co Rgnl,-12.6,31.1
Toledo Express,-14.0,31.4
Ohio State Universi,-12.2,31.2
Youngstown Muni,-13.4,29.9
Marion Muni,-13.8,31.0
Cleveland,-12.4,30.5
Mid Ohio Valley Rgn,-10.9,31.3
Lima Allen Co,-13.7,31.1
Dayton James M Cox,-13.3,31.1
Mid Ohio Valley Rgn,-10.9,31.3
Dayton Wright Brothe,-12.4,31.1
Zanesville Muni,-12.2,31.0
Marion Muni,-13.8,31.0
Zanesville Muni,-12.2,31.0
Zanesville Muni,-12.2,31.0
South Bass Island,-11.5,30.8
Defiance Memorial,-14.0,31.2
Zanesville Muni,-12.2,31.0
Rickenbacker Intl,-11.3,32.5
Rickenbacker Intl,-11.3,32.5
Akron Akron Canton,-13.4,30.1
Butler Co Rgnl,-12.3,32.3
Lima Allen Co,-13.7,31.1
Mansfield Lahm Rgnl,-14.1,29.7
Rickenbacker Intl,-11.3,32.5
South Bass Island,-11.5,30.8
Huntington Tri Stat,-9.2,32.0
Findlay,-14.0,31.2
Dayton James M Cox,-13.3,31.1
Akron Akron Canton,-13.4,30.1
Akron Akron Canton,-13.4,30.1
Youngstown Muni,-13.4,29.9
Harry Clever Fld,-12.5,30.9
Ohio State Universi,-12.2,31.2
Defiance Memorial,-14.0,31.2
Fairfield Co,-12.6,31.3
Dayton Wright Brothe,-12.4,31.1
Mid Ohio Valley Rgn,-10.9,31.3
Wayne Co,-13.8,29.7
Defiance Memorial,-14.0,31.2
Metcalf Fld,-13.0,31.3
Marion Muni,-13.8,31.0
Fort Smith Muni,-5.7,36.0
Vance Afb,-9.1,36.9
Mc Alester Rgnl,-6.2,35.9
Liberal Muni,-11.2,36.4
Clinton Sherman,-7.1,37.5
Vance Afb,-9.1,36.9
Ardmore Downtown Exe,-2.9,37.3
Fort Sill,-6.5,37.0
Oklahoma City Wiley,-7.6,36.2
Ardmore Downtown Exe,-2.9,37.3
Muskogee Davis Fld,-7.1,36.0
Cox Fld,-3.8,36.1
Elkhart Morton Co,-11.7,37.2
Norman Max Westheim,-6.3,37.2
Mc Alester Rgnl,-6.2,35.9
Fort Sill,-6.5,37.0
Lawton Municipal,-6.2,37.9
Tulsa Intl Arpt Aw,-7.6,36.0
Richard Lloyd Jones,-7.4,37.0
Clinton Sherman,-7.1,37.5
Muskogee Davis Fld,-7.1,36.0
Clinton Sherman,-7.1,37.5
Gage Shattuck,-10.8,36.4
Vance Afb,-9.1,36.9
Norman Max Westheim,-6.3,37.2
Oklahoma City W Ro,-7.3,36.1
Vance Afb,-9.1,36.9
Altus Afb,-6.2,37.9
Childress Municipal,-6.2,37.1
Gage Shattuck,-10.8,36.4
Muskogee Davis Fld,-7.1,36.0
Mc Alester Rgnl,-6.2,35.9
Altus Afb,-6.2,37.9
Wichita Falls Sheps,-5.2,37.8
Ardmore Downtown Exe,-2.9,37.3
Ponca City Muni,-8.9,36.5
Vance Afb,-9.1,36.9
Hobart Muni,-7.4,37.5
Mc Alester Rgnl,-6.2,35.9
Fort Smith Muni,-5.7,36.0
Stillwater Rgnl,-7.7,37.3
Guthrie Muni,-7.4,37.4
Ardmore Downtown Exe,-2.9,37.3
Norman Max Westheim,-6.3,37.2
J L Helms Sevier Co,-4.1,35.6
Muskogee Davis Fld,-7.1,36.0
Vance Afb,-9.1,36.9
Ardmore Downtown Exe,-2.9,37.3
Muskogee Davis Fld,-7.1,36.0
Ardmore Downtown Exe,-2.9,37.3
Muskogee Davis Fld,-7.1,36.0
Stillwater Rgnl,-7.7,37.3
Tulsa Intl Arpt Aw,-7.6,36.0
Richard Lloyd Jones,-7.4,37.0
Oklahoma City Wiley,-7.6,36.2
Richard Lloyd Jones,-7.4,37.0
Tulsa Intl Arpt Aw,-7.6,36.0
Tulsa Intl Arpt Aw,-7.6,36.0
Stillwater Rgnl,-7.7,37.3
Stillwater Rgnl,-7.7,37.3
Mc Alester Rgnl,-6.2,35.9
Ardmore Downtown Exe,-2.9,37.3
Tinker Afb,-7.3,36.0
Mc Alester Rgnl,-6.2,35.9
Clinton Sherman,-7.1,37.5
Tulsa Intl Arpt Aw,-7.6,36.0
Tinker Afb,-7.3,36.0
Fort Smith Muni,-5.7,36.0
Fort Sill,-6.5,37.0
Hutchinson Co,-7.4,37.0
Frederick Muni,-5.0,37.9
Richard Lloyd Jones,-7.4,37.0
Tulsa Intl Arpt Aw,-7.6,36.0
Tulsa Intl Arpt Aw,-7.6,36.0
Clinton Sherman,-7.1,37.5
Vance Afb,-9.1,36.9
Gage Shattuck,-10.8,36.4
Baker City Muni,-14.0,32.1
Corvallis Muni,-2.4,32.1
Aurora State,-2.1,31.3
Astoria Clatsop,-0.8,22.4
Scappoose Industrial,-2.8,31.2
North Bend Muni,1.0,20.3
Roberts Fld,-10.8,32.3
Jack Mc Namara Fld,2.6,18.4
Roberts Fld,-10.8,32.3
Roseburg Rgnl,-1.1,32.5
Columbia Gorge Rgnl,-5.2,34.1
Burns Muni Amos,-14.8,32.4
Burns Muni Amos,-14.8,32.4
Columbia Gorge Rgnl,-5.2,34.1
Medford Jackson Cou,-3.3,35.3
Roberts Fld,-10.8,32.3
Sexton Summit,-4.0,27.4
Klamath Falls,-11.2,31.2
Lake Co,-13.0,30.9
Eugene Mahlon Sweet,-2.6,31.1
Newport State Beach,1.3,17.2
Corvallis Muni,-2.4,32.1
Ontaria Muni,-9.1,34.8
Salem Mcnary,-2.6,31.2
Hermiston Muni,-7.6,35.2
Portland Intl Arpt,-1.4,30.8
Salem Mcnary,-2.6,31.2
Columbia Gorge Rgnl,-5.2,34.1
Astoria Clatsop,-0.8,22.4
Pendleton Municipal,-8.9,33.9
La Grande Union Co,-9.5,32.4
La Grande Union Co,-9.5,32.4
Columbia Gorge Rgnl,-5.2,34.1
Portland Hillsboro,-2.8,31.3
Roberts Fld,-10.8,32.3
Mc Minnville Muni,-2.1,31.3
York,-11.1,31.3
Allegheny Co,-12.2,30.8
Butler Co Scholter F,-12.9,29.2
Greater Pittsburgh I,-12.3,30.6
