Dependency=Geometry Building Type RECS	Dependency=Geometry Story Bin	Dependency=State	Dependency=Vintage ACS	Option=Brick	Option=Concrete	Option=Steel Frame	Option=Wood Frame	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Single-Family Attached	8+	MO	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MO	2000-09	0.0285162	0	0	0.971484	0	2069	2069	2069	2069
Single-Family Attached	8+	MO	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MO	2010s	0.104634	0	0	0.895366	0	669	669	669	669
Single-Family Attached	8+	MO	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MO	<1940	0.959197	0.000614345	0	0.0401884	0	19533	19533	19533	19533
Single-Family Detached	8+	MO	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MO	1940-59	0.152619	0.00137206	6.41149e-05	0.845945	0	77985	77985	77985	77985
Single-Family Detached	8+	MO	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MO	1960-79	0.0788476	0.000826316	0.000111487	0.920215	0	152484	152484	152484	152484
Single-Family Detached	8+	MO	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MO	1980-99	0.0530423	0.000644612	0.000168827	0.946144	0	130311	130311	130311	130311
Single-Family Detached	8+	MO	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MO	2000-09	0.0451677	0.000986322	0.000348114	0.953498	0	68943	68943	68943	68943
Single-Family Detached	8+	MO	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MO	2010s	0.0372296	0.00117722	0.00053956	0.961054	0	20387	20387	20387	20387
Single-Family Detached	8+	MO	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MO	<1940	0.350511	0.00104293	0.000199032	0.648247	0	125608	125608	125608	125608
Mobile Home	8+	MS	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MS	1940-59	0	0.0454545	0	0.954545	0	22	22	22	22
Mobile Home	8+	MS	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MS	1960-79	0	0.193548	0.0322581	0.774194	0	31	31	31	31
Mobile Home	8+	MS	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MS	1980-99	0	0.119403	0	0.880597	0	67	67	67	67
Mobile Home	8+	MS	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MS	2000-09	0	0.0232558	0	0.976744	0	43	43	43	43
Mobile Home	8+	MS	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MS	2010s	0	0.02	0	0.98	0	50	50	50	50
Mobile Home	8+	MS	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MS	<1940	0	0	0	1	0	14	14	14	14
Multi-Family with 2 - 4 Units	8+	MS	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MS	1940-59	0	0	0	1	0	30	30	30	30
Multi-Family with 2 - 4 Units	8+	MS	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MS	1960-79	0	0	0	1	0	57	57	57	57
Multi-Family with 2 - 4 Units	8+	MS	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MS	1980-99	0	0	0	1	0	28	28	28	28
Multi-Family with 2 - 4 Units	8+	MS	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MS	2000-09	0.101322	0.176211	0	0.722467	0	0	0	454	454
Multi-Family with 2 - 4 Units	8+	MS	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MS	2010s	0.0129032	0.0451613	0	0.941935	0	7	7	155	155
Multi-Family with 2 - 4 Units	8+	MS	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MS	<1940	0	0	0	1	0	12	12	12	12
Multi-Family with 5+ Units	8+	MS	1940-59	0	0	1	0	0	0	0	2	2
Multi-Family with 5+ Units	<8	MS	1940-59	0.010101	0.040404	0.10101	0.848485	0	99	99	99	99
Multi-Family with 5+ Units	8+	MS	1960-79	0	0	1	0	0	2	2	10	10
Multi-Family with 5+ Units	<8	MS	1960-79	0.0366133	0.0114416	0.114416	0.837529	0	437	437	437	437
Multi-Family with 5+ Units	8+	MS	1980-99	0	0	1	0	0	0	0	116	116
Multi-Family with 5+ Units	<8	MS	1980-99	0.110837	0.347291	0.123153	0.418719	0	406	406	406	406
Multi-Family with 5+ Units	8+	MS	2000-09	0	0	1	0	0	0	0	47	47
Multi-Family with 5+ Units	<8	MS	2000-09	0.0551181	0.708661	0.0944882	0.141732	0	127	127	127	127
Multi-Family with 5+ Units	8+	MS	2010s	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	MS	2010s	0.0333333	0	0.0666667	0.9	0	30	30	30	30
Multi-Family with 5+ Units	8+	MS	<1940	0	0	1	0	0	0	0	10	10
Multi-Family with 5+ Units	<8	MS	<1940	0.0897436	0.0384615	0.217949	0.653846	0	78	78	78	78
Single-Family Attached	8+	MS	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MS	1940-59	0	0.0135135	0.03861	0.947876	0	518	518	518	518
Single-Family Attached	8+	MS	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MS	1960-79	0.0268293	0.0195122	0.0414634	0.912195	0	410	410	410	410
Single-Family Attached	8+	MS	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MS	1980-99	0.00507614	0.0152284	0.101523	0.878173	0	197	197	197	197
Single-Family Attached	8+	MS	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MS	2000-09	0	0.0833333	0.25	0.666667	0	12	12	12	12
Single-Family Attached	8+	MS	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MS	2010s	0	0	0	1	0	10	10	10	10
Single-Family Attached	8+	MS	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MS	<1940	0	0.00649351	0.113636	0.87987	0	308	308	308	308
Single-Family Detached	8+	MS	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MS	1940-59	0.0122733	0.0320162	0.00024991	0.955461	0	36013	36013	36013	36013
Single-Family Detached	8+	MS	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MS	1960-79	0.0677108	0.0384854	0.000722892	0.893081	0	29050	29050	29050	29050
Single-Family Detached	8+	MS	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MS	1980-99	0.0727369	0.0234935	0.0025219	0.901248	0	15068	15068	15068	15068
Single-Family Detached	8+	MS	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MS	2000-09	0.0847327	0.0640803	0.00540436	0.845783	0	5181	5181	5181	5181
Single-Family Detached	8+	MS	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MS	2010s	0.0866142	0.0413386	0.00787402	0.864173	0	1524	1524	1524	1524
Single-Family Detached	8+	MS	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MS	<1940	0.0134554	0.0268424	0.000751315	0.958951	0	14641	14641	14641	14641
Mobile Home	8+	MT	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MT	1940-59	0.00220751	0	0.00220751	0.995585	0	453	453	453	453
Mobile Home	8+	MT	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MT	1960-79	0.000108073	0	0.000432292	0.99946	0	18506	18506	18506	18506
Mobile Home	8+	MT	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MT	1980-99	0.000121662	0	0.000182493	0.999696	0	16439	16439	16439	16439
Mobile Home	8+	MT	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MT	2000-09	0	0	0.000164258	0.999836	0	6088	6088	6088	6088
Mobile Home	8+	MT	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MT	2010s	0	0	0.000922935	0.999077	0	2167	2167	2167	2167
Mobile Home	8+	MT	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	MT	<1940	0.00522876	0	0.0235294	0.971242	0	8	8	765	765
Multi-Family with 2 - 4 Units	8+	MT	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MT	1940-59	0.153846	0	0	0.846154	0	143	143	143	143
Multi-Family with 2 - 4 Units	8+	MT	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MT	1960-79	0.0851893	0	0	0.914811	0	1796	1796	1796	1796
Multi-Family with 2 - 4 Units	8+	MT	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MT	1980-99	0.0177462	0	0	0.982254	0	3381	3381	3381	3381
Multi-Family with 2 - 4 Units	8+	MT	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MT	2000-09	0.00989259	0	0	0.990107	0	3538	3538	3538	3538
Multi-Family with 2 - 4 Units	8+	MT	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MT	2010s	0.132366	0	0	0.867634	0	1103	1103	1103	1103
Multi-Family with 2 - 4 Units	8+	MT	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	MT	<1940	0.320076	0	0	0.679924	0	528	528	528	528
Multi-Family with 5+ Units	8+	MT	1940-59	0	0	1	0	0	0	0	1	1
Multi-Family with 5+ Units	<8	MT	1940-59	0.00540541	0	0	0.994595	0	185	185	185	185
Multi-Family with 5+ Units	8+	MT	1960-79	0	0	1	0	0	1	1	39	39
Multi-Family with 5+ Units	<8	MT	1960-79	0	0	0	1	0	520	520	520	520
Multi-Family with 5+ Units	8+	MT	1980-99	0	0	1	0	0	0	0	2	2
Multi-Family with 5+ Units	<8	MT	1980-99	0	0	0	1	0	370	370	370	370
Multi-Family with 5+ Units	8+	MT	2000-09	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	MT	2000-09	0.00716846	0	0	0.992832	0	279	279	279	279
Multi-Family with 5+ Units	8+	MT	2010s	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	MT	2010s	0	0	0.010101	0.989899	0	198	198	198	198
Multi-Family with 5+ Units	8+	MT	<1940	0	0	1	0	0	0	0	3	3
Multi-Family with 5+ Units	<8	MT	<1940	0.0129032	0	0	0.987097	0	465	465	465	465
Single-Family Attached	8+	MT	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MT	1940-59	0.00107066	0	0.00107066	0.997859	0	934	934	934	934
Single-Family Attached	8+	MT	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MT	1960-79	0.000727802	0	0	0.999272	0	2748	2748	2748	2748
Single-Family Attached	8+	MT	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MT	1980-99	0.0040311	0	0.000575871	0.995393	0	3473	3473	3473	3473
Single-Family Attached	8+	MT	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MT	2000-09	0.0140156	0	0	0.985984	0	3068	3068	3068	3068
Single-Family Attached	8+	MT	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MT	2010s	0.00043802	0	0	0.999562	0	2283	2283	2283	2283
Single-Family Attached	8+	MT	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	MT	<1940	0.00151286	0	0	0.998487	0	1322	1322	1322	1322
Single-Family Detached	8+	MT	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MT	1940-59	0.0207262	0	0	0.979274	0	48827	48827	48827	48827
Single-Family Detached	8+	MT	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MT	1960-79	0.0159005	0	0	0.9841	0	61885	61885	61885	61885
Single-Family Detached	8+	MT	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MT	1980-99	0.00826238	0	0	0.991738	0	55432	55432	55432	55432
Single-Family Detached	8+	MT	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MT	2000-09	0.00979855	0	0	0.990201	0	43782	43782	43782	43782
Single-Family Detached	8+	MT	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MT	2010s	0.0082315	0	0	0.991769	0	27577	27577	27577	27577
Single-Family Detached	8+	MT	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	MT	<1940	0.0386885	0	0	0.961312	0	64231	64231	64231	64231
Mobile Home	8+	NC	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NC	1940-59	0.0509804	0.133333	0.0352941	0.780392	0	255	255	255	255
Mobile Home	8+	NC	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NC	1960-79	0.0514036	0.0349982	0.113744	0.799854	0	2743	2743	2743	2743
Mobile Home	8+	NC	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NC	1980-99	0.00886106	0.0272921	0.0451323	0.918715	0	16928	16928	16928	16928
Mobile Home	8+	NC	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NC	2000-09	0.00552289	0.0696597	0.015856	0.908961	0	5613	5613	5613	5613
Mobile Home	8+	NC	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NC	2010s	0.00787402	0.0724409	0.0362205	0.883465	0	635	635	635	635
Mobile Home	8+	NC	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NC	<1940	0.0300946	0.485813	0.00687876	0.477214	0	1163	1163	1163	1163
Multi-Family with 2 - 4 Units	8+	NC	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NC	1940-59	0.153443	0.011976	0.00299401	0.831587	0	1336	1336	1336	1336
Multi-Family with 2 - 4 Units	8+	NC	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NC	1960-79	0.135791	0.0011241	0.00044964	0.862635	0	4448	4448	4448	4448
Multi-Family with 2 - 4 Units	8+	NC	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NC	1980-99	0.0642931	0.000186898	0.00579385	0.929726	0	10701	10701	10701	10701
Multi-Family with 2 - 4 Units	8+	NC	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NC	2000-09	0.16187	0.000665447	0.00831808	0.829147	0	6011	6011	6011	6011
Multi-Family with 2 - 4 Units	8+	NC	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NC	2010s	0.220238	0	0	0.779762	0	336	336	336	336
Multi-Family with 2 - 4 Units	8+	NC	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NC	<1940	0.325351	0.00660611	0.0264244	0.641618	0	1211	1211	1211	1211
Multi-Family with 5+ Units	8+	NC	1940-59	0	0	1	0	0	0	0	56	56
Multi-Family with 5+ Units	<8	NC	1940-59	0.522388	0.0079602	0.0039801	0.465672	0	1005	1005	1005	1005
Multi-Family with 5+ Units	8+	NC	1960-79	0	0	1	0	0	0	0	131	131
Multi-Family with 5+ Units	<8	NC	1960-79	0.234355	0.00283286	0.00257533	0.760237	0	3883	3883	3883	3883
Multi-Family with 5+ Units	8+	NC	1980-99	0	0	1	0	0	0	0	33	33
Multi-Family with 5+ Units	<8	NC	1980-99	0.131515	0.0539334	0.000965251	0.813586	0	8288	8288	8288	8288
Multi-Family with 5+ Units	8+	NC	2000-09	0	0	1	0	0	0	0	44	44
Multi-Family with 5+ Units	<8	NC	2000-09	0.0746488	0.00817782	0.0125813	0.904592	0	4769	4769	4769	4769
Multi-Family with 5+ Units	8+	NC	2010s	0	0	1	0	0	0	0	114	114
Multi-Family with 5+ Units	<8	NC	2010s	0.0941176	0.00588235	0	0.9	0	510	510	510	510
Multi-Family with 5+ Units	8+	NC	<1940	0	0	1	0	0	2	2	50	50
Multi-Family with 5+ Units	<8	NC	<1940	0.273312	0.0369775	0.0594855	0.630225	0	622	622	622	622
Single-Family Attached	8+	NC	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NC	1940-59	0.362491	0.100815	0.0118606	0.524833	0	1349	1349	1349	1349
Single-Family Attached	8+	NC	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NC	1960-79	0.262748	0.031179	0	0.706073	0	3079	3079	3079	3079
Single-Family Attached	8+	NC	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NC	1980-99	0.0808434	0.000850983	9.45537e-05	0.918211	0	10576	10576	10576	10576
Single-Family Attached	8+	NC	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NC	2000-09	0.0520729	0.000635036	0.00244942	0.944843	0	11023	11023	11023	11023
Single-Family Attached	8+	NC	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NC	2010s	0.150925	0	0	0.849075	0	2054	2054	2054	2054
Single-Family Attached	8+	NC	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NC	<1940	0.167026	0.0323276	0.00107759	0.799569	0	928	928	928	928
Single-Family Detached	8+	NC	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	NC	1940-59	0.289741	0.0352986	0.00315081	0.67181	0	104735	104735	104735	104735
Single-Family Detached	8+	NC	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	NC	1960-79	0.400969	0.0159218	0.00149615	0.581613	0	179126	179126	179126	179126
Single-Family Detached	8+	NC	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	NC	1980-99	0.136162	0.00526602	0.004739	0.853833	0	237181	237181	237181	237181
Single-Family Detached	8+	NC	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	NC	2000-09	0.15426	0.0113084	0.00510314	0.829328	0	125217	125217	125217	125217
Single-Family Detached	8+	NC	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	NC	2010s	0.0768637	0.00485331	0.00181369	0.916469	0	59547	59547	59547	59547
Single-Family Detached	8+	NC	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	NC	<1940	0.133918	0.0356994	0.00307585	0.827307	0	71850	71850	71850	71850
Mobile Home	8+	ND	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ND	1940-59	0.0241379	0.0103448	0.00689655	0.958621	0	0	0	290	290
Mobile Home	8+	ND	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ND	1960-79	0	0	0	1	0	33	33	33	33
Mobile Home	8+	ND	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ND	1980-99	0	0	0	1	0	134	134	134	134
Mobile Home	8+	ND	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ND	2000-09	0	0	0	1	0	107	107	107	107
Mobile Home	8+	ND	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ND	2010s	0	0	0	1	0	154	154	154	154
Mobile Home	8+	ND	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ND	<1940	0.015544	0	0.0207254	0.963731	0	1	1	193	193
Multi-Family with 2 - 4 Units	8+	ND	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ND	1940-59	0.176492	0.00714541	0	0.816363	0	2	2	2799	2799
Multi-Family with 2 - 4 Units	8+	ND	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ND	1960-79	0.163521	0.00502806	7.28704e-05	0.831378	0	0	0	13723	13723
Multi-Family with 2 - 4 Units	8+	ND	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ND	1980-99	0.109989	0.00101031	0.000404122	0.888597	0	2	2	14847	14847
Multi-Family with 2 - 4 Units	8+	ND	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ND	2000-09	0.155492	0.0193182	0.00662879	0.818561	0	2	2	5280	5280
Multi-Family with 2 - 4 Units	8+	ND	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ND	2010s	0	0	0	1	0	11	11	11	11
Multi-Family with 2 - 4 Units	8+	ND	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ND	<1940	0.512326	0.00419617	0.000524521	0.482953	0	0	0	7626	7626
Multi-Family with 5+ Units	8+	ND	1940-59	0	0	1	0	0	0	0	10	10
Multi-Family with 5+ Units	<8	ND	1940-59	0	0	0	1	0	36	36	36	36
Multi-Family with 5+ Units	8+	ND	1960-79	0	0	1	0	0	0	0	23	23
Multi-Family with 5+ Units	<8	ND	1960-79	0.00120773	0	0	0.998792	0	828	828	828	828
Multi-Family with 5+ Units	8+	ND	1980-99	0	0	1	0	0	0	0	11	11
Multi-Family with 5+ Units	<8	ND	1980-99	0	0	0	1	0	875	875	875	875
Multi-Family with 5+ Units	8+	ND	2000-09	0	0	1	0	0	0	0	1	1
Multi-Family with 5+ Units	<8	ND	2000-09	0	0	0	1	0	471	471	471	471
Multi-Family with 5+ Units	8+	ND	2010s	0	0	1	0	0	0	0	3	3
Multi-Family with 5+ Units	<8	ND	2010s	0	0	0	1	0	347	347	347	347
Multi-Family with 5+ Units	8+	ND	<1940	0	0	1	0	0	0	0	33	33
Multi-Family with 5+ Units	<8	ND	<1940	0	0	0	1	0	41	41	41	41
Single-Family Attached	8+	ND	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ND	1940-59	0	0	0	1	0	486	486	486	486
Single-Family Attached	8+	ND	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ND	1960-79	0	0	0	1	0	450	450	450	450
Single-Family Attached	8+	ND	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ND	1980-99	0.00204499	0	0	0.997955	0	489	489	489	489
Single-Family Attached	8+	ND	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ND	2000-09	0	0	0	1	0	493	493	493	493
Single-Family Attached	8+	ND	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ND	2010s	0	0	0	1	0	1123	1123	1123	1123
Single-Family Attached	8+	ND	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ND	<1940	0	0	0	1	0	211	211	211	211
Single-Family Detached	8+	ND	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ND	1940-59	0.0162778	0	0	0.983722	0	3686	3686	3686	3686
Single-Family Detached	8+	ND	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ND	1960-79	0.00747403	0	0	0.992526	0	7894	7894	7894	7894
Single-Family Detached	8+	ND	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ND	1980-99	0.00912316	0	0	0.990877	0	5919	5919	5919	5919
Single-Family Detached	8+	ND	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ND	2000-09	0.0095798	0	0	0.99042	0	4593	4593	4593	4593
Single-Family Detached	8+	ND	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ND	2010s	0.00185109	0	0	0.998149	0	4862	4862	4862	4862
Single-Family Detached	8+	ND	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ND	<1940	0.0839757	0	0	0.916024	0	2465	2465	2465	2465
Mobile Home	8+	NE	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NE	1940-59	0.230769	0	0	0.769231	0	26	26	26	26
Mobile Home	8+	NE	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NE	1960-79	0.304042	0.0483304	0.0369069	0.610721	0	1138	1138	1138	1138
Mobile Home	8+	NE	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NE	1980-99	0.0744249	0.0175913	0.0568336	0.85115	0	739	739	739	739
Mobile Home	8+	NE	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NE	2000-09	0.0228571	0	0.0628571	0.914286	0	175	175	175	175
Mobile Home	8+	NE	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NE	2010s	0.0185185	0	0	0.981481	0	54	54	54	54
Mobile Home	8+	NE	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	NE	<1940	0.133333	0	0	0.866667	0	15	15	15	15
Multi-Family with 2 - 4 Units	8+	NE	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NE	1940-59	0.942431	0.0021322	0	0.0554371	0	469	469	469	469
Multi-Family with 2 - 4 Units	8+	NE	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NE	1960-79	0.489846	0.00324939	0	0.506905	0	1231	1231	1231	1231
Multi-Family with 2 - 4 Units	8+	NE	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NE	1980-99	0.299353	0	0.00809061	0.692557	0	618	618	618	618
Multi-Family with 2 - 4 Units	8+	NE	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NE	2000-09	0.358173	0	0	0.641827	0	416	416	416	416
Multi-Family with 2 - 4 Units	8+	NE	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NE	2010s	0.747768	0	0	0.252232	0	448	448	448	448
Multi-Family with 2 - 4 Units	8+	NE	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	NE	<1940	0.956241	0	0	0.043759	0	1394	1394	1394	1394
Multi-Family with 5+ Units	8+	NE	1940-59	0	0	1	0	0	0	0	10	10
Multi-Family with 5+ Units	<8	NE	1940-59	0.131579	0.131579	0.0263158	0.710526	0	38	38	38	38
Multi-Family with 5+ Units	8+	NE	1960-79	0	0	1	0	0	0	0	23	23
Multi-Family with 5+ Units	<8	NE	1960-79	0.121951	0.0853659	0.0365854	0.756098	0	82	82	82	82
Multi-Family with 5+ Units	8+	NE	1980-99	0	0	1	0	0	1	1	11	11
Multi-Family with 5+ Units	<8	NE	1980-99	0.00303951	0.00303951	0.00607903	0.987842	0	329	329	329	329
Multi-Family with 5+ Units	8+	NE	2000-09	0	0	1	0	0	0	0	1	1
Multi-Family with 5+ Units	<8	NE	2000-09	0.0104167	0.0104167	0	0.979167	0	96	96	96	96
Multi-Family with 5+ Units	8+	NE	2010s	0	0	1	0	0	0	0	3	3
Multi-Family with 5+ Units	<8	NE	2010s	0.00458716	0	0	0.995413	0	218	218	218	218
Multi-Family with 5+ Units	8+	NE	<1940	0	0	1	0	0	0	0	33	33
Multi-Family with 5+ Units	<8	NE	<1940	0.525714	0.0914286	0.00571429	0.377143	0	175	175	175	175
Single-Family Attached	8+	NE	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NE	1940-59	0.205593	0	0	0.794407	0	1323	1323	1323	1323
Single-Family Attached	8+	NE	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NE	1960-79	0.0466706	0.00118906	0	0.95214	0	3364	3364	3364	3364
Single-Family Attached	8+	NE	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NE	1980-99	0.0254777	0.000344293	0	0.974178	0	5809	5809	5809	5809
Single-Family Attached	8+	NE	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NE	2000-09	0.00605037	0	0	0.99395	0	7107	7107	7107	7107
Single-Family Attached	8+	NE	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NE	2010s	0.00027248	0.000817439	0	0.99891	0	3670	3670	3670	3670
Single-Family Attached	8+	NE	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	NE	<1940	0.374522	0	0	0.625478	0	785	785	785	785
