Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	Fuel Oil	WI	0.823299	0.0979819	0	0	0.0787188	0	0	18	184178
Multi-Family with 2 - 4 Units	Fuel Oil	WI	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	WI	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	WI	0.823299	0.0979819	0	0	0.0787188	1	3080.8	18	184178
Single-Family Detached	Fuel Oil	WI	0.837305	0.0826369	0	0	0.0800579	4	26665.8	17	181097
Mobile Home	Fuel Oil	WV	0.86116	0.101978	0.0181	0	0.0187624	1	4062.6	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	WV	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	WV	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	WV	0.842752	0.115499	0.0204998	0	0.02125	1	2849.67	63	375582
Single-Family Detached	Fuel Oil	WV	0.838559	0.118578	0.0210464	0	0.0218166	3	11277.7	60	365827
Mobile Home	Fuel Oil	WY	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	WY	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	WY	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	WY	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Single-Family Detached	Fuel Oil	WY	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Mobile Home	Natural Gas	AL	0.323614	0	0.676386	0	0	0	0	471	2.34317e+06
Multi-Family with 2 - 4 Units	Natural Gas	AL	0.284574	0	0.715426	0	0	4	35824.4	15	97110.1
Multi-Family with 5+ Units	Natural Gas	AL	0.0486778	0	0.951322	0	0	1	13569.5	16	114201
Single-Family Attached	Natural Gas	AL	0.301656	0	0.698344	0	0	4	12320.4	43	87755.7
Single-Family Detached	Natural Gas	AL	0.335162	0	0.664838	0	0	61	472345	61	472345
Mobile Home	Natural Gas	AR	0.479197	0	0.520803	0	0	1	4546.4	21	205561
Multi-Family with 2 - 4 Units	Natural Gas	AR	0.197606	0	0.802394	0	0	2	7443.95	13	115934
Multi-Family with 5+ Units	Natural Gas	AR	0.0427028	0	0.957297	0	0	1	8934.78	22	307353
Single-Family Attached	Natural Gas	AR	0.305887	0	0.694113	0	0	8	18938.7	47	168995
Single-Family Detached	Natural Gas	AR	0.247473	0	0.752527	0	0	110	453471	110	453471
Mobile Home	Natural Gas	AZ	0.324706	0	0.675294	0	0	14	91567.6	14	91567.6
Multi-Family with 2 - 4 Units	Natural Gas	AZ	0	0	1	0	0	0	0	12	85339
Multi-Family with 5+ Units	Natural Gas	AZ	0.105926	0	0.894074	0	0	3	22575	29	202658
Single-Family Attached	Natural Gas	AZ	0.294908	0	0.705092	0	0	17	45006.6	17	45006.6
Single-Family Detached	Natural Gas	AZ	0.188439	0	0.811561	0	0	164	796045	164	796045
Mobile Home	Natural Gas	CA	0	0	1	0	0	27	318057	27	318057
Multi-Family with 2 - 4 Units	Natural Gas	CA	0.112003	0	0.887997	0	0	34	534670	34	534670
Multi-Family with 5+ Units	Natural Gas	CA	0.0874486	0	0.912551	0	0	68	1.00856e+06	68	1.00856e+06
Single-Family Attached	Natural Gas	CA	0.0917613	0	0.908239	0	0	88	611904	88	611904
Single-Family Detached	Natural Gas	CA	0.074313	0	0.925687	0	0	559	5.96578e+06	559	5.96578e+06
Mobile Home	Natural Gas	CO	0.277834	0	0.662734	0	0.0594317	15	89898.6	15	89898.6
Multi-Family with 2 - 4 Units	Natural Gas	CO	0.214273	0.0731674	0.71256	0	0	6	59697.6	18	124908
Multi-Family with 5+ Units	Natural Gas	CO	0.0707256	0	0.929274	0	0	27	214718	27	214718
Single-Family Attached	Natural Gas	CO	0.0615625	0	0.938437	0	0	30	124565	30	124565
Single-Family Detached	Natural Gas	CO	0.0866211	0	0.913379	0	0	208	1.23603e+06	208	1.23603e+06
Mobile Home	Natural Gas	CT	0.136365	0.00985001	0.852803	0.000982688	0	0	0	426	1.34343e+06
Multi-Family with 2 - 4 Units	Natural Gas	CT	0.171077	0	0.828923	0	0	12	97970.5	12	97970.5
Multi-Family with 5+ Units	Natural Gas	CT	0.149439	0	0.850561	0	0	19	131161	19	131161
Single-Family Attached	Natural Gas	CT	0.188166	0	0.811834	0	0	17	43915.1	17	43915.1
Single-Family Detached	Natural Gas	CT	0.163028	0	0.836972	0	0	52	224728	52	224728
Mobile Home	Natural Gas	DC	0.90764	0	0.0923598	0	0	0	0	12	80359.8
Multi-Family with 2 - 4 Units	Natural Gas	DC	0.161389	0	0.838611	0	0	12	17476.1	12	17476.1
Multi-Family with 5+ Units	Natural Gas	DC	0.189015	0	0.810985	0	0	51	86690.5	51	86690.5
Single-Family Attached	Natural Gas	DC	0.321844	0	0.678156	0	0	45	45110	45	45110
Single-Family Detached	Natural Gas	DC	0.239618	0.0462342	0.714148	0	0	21	26756.1	21	26756.1
Mobile Home	Natural Gas	DE	0.90764	0	0.0923598	0	0	1	2905.14	12	80359.8
Multi-Family with 2 - 4 Units	Natural Gas	DE	0.193876	0	0.806124	0	0	2	6872.57	44	258612
Multi-Family with 5+ Units	Natural Gas	DE	0.316806	0	0.683194	0	0	4	15082.2	121	781963
Single-Family Attached	Natural Gas	DE	0.282613	0	0.717387	0	0	9	19572.7	183	709695
Single-Family Detached	Natural Gas	DE	0.334865	0	0.665135	0	0	46	112869	46	112869
Mobile Home	Natural Gas	FL	0.90764	0	0.0923598	0	0	0	0	12	80359.8
Multi-Family with 2 - 4 Units	Natural Gas	FL	0.193876	0	0.806124	0	0	2	24834.5	44	258612
Multi-Family with 5+ Units	Natural Gas	FL	0.316806	0	0.683194	0	0	6	92073.9	121	781963
Single-Family Attached	Natural Gas	FL	0.282613	0	0.717387	0	0	1	7377.43	183	709695
Single-Family Detached	Natural Gas	FL	0.185403	0	0.814597	0	0	29	296555	29	296555
Mobile Home	Natural Gas	GA	0.90764	0	0.0923598	0	0	2	24110.8	12	80359.8
Multi-Family with 2 - 4 Units	Natural Gas	GA	0.193876	0	0.806124	0	0	8	82998.8	44	258612
Multi-Family with 5+ Units	Natural Gas	GA	0.30064	0	0.69936	0	0	13	168661	13	168661
Single-Family Attached	Natural Gas	GA	0.163894	0	0.836106	0	0	15	99822	15	99822
Single-Family Detached	Natural Gas	GA	0.259579	0	0.740421	0	0	162	1.43126e+06	162	1.43126e+06
Mobile Home	Natural Gas	HI	0.0945792	0.000193938	0.905227	0	0	0	0	1140	8.68284e+06
Multi-Family with 2 - 4 Units	Natural Gas	HI	0.115863	0	0.884137	0	0	0	0	140	1.67345e+06
Multi-Family with 5+ Units	Natural Gas	HI	0.115863	0	0.884137	0	0	0	0	140	1.67345e+06
Single-Family Attached	Natural Gas	HI	0.0945792	0.000193938	0.905227	0	0	0	0	1140	8.68284e+06
Single-Family Detached	Natural Gas	HI	0.0945792	0.000193938	0.905227	0	0	1	1622.5	1140	8.68284e+06
Mobile Home	Natural Gas	IA	0.308152	0	0.691848	0	0	8	44824.2	28	133075
Multi-Family with 2 - 4 Units	Natural Gas	IA	0.0752169	0	0.924783	0	0	3	15123.7	37	252540
Multi-Family with 5+ Units	Natural Gas	IA	0	0	1	0	0	12	99026.8	12	99026.8
Single-Family Attached	Natural Gas	IA	0.122224	0	0.877776	0	0	17	55412.3	17	55412.3
Single-Family Detached	Natural Gas	IA	0.22034	0	0.773867	0	0.00579285	162	691741	162	691741
Mobile Home	Natural Gas	ID	0.218194	0	0.748896	0	0.0329098	7	15671.3	47	162348
Multi-Family with 2 - 4 Units	Natural Gas	ID	0.214273	0.0731674	0.71256	0	0	2	8859	18	124908
Multi-Family with 5+ Units	Natural Gas	ID	0.0702446	0	0.893456	0	0.0362996	5	17518.6	49	334725
Single-Family Attached	Natural Gas	ID	0.108928	0	0.891072	0	0	9	17060.2	73	241657
Single-Family Detached	Natural Gas	ID	0.213943	0	0.786057	0	0	151	341744	151	341744
Mobile Home	Natural Gas	IL	0.467734	0	0.532266	0	0	6	57605.3	38	350594
Multi-Family with 2 - 4 Units	Natural Gas	IL	0.167632	0	0.832368	0	0	26	422227	26	422227
Multi-Family with 5+ Units	Natural Gas	IL	0.204305	0	0.795695	0	0	60	710015	60	710015
Single-Family Attached	Natural Gas	IL	0.11981	0	0.88019	0	0	56	252102	56	252102
Single-Family Detached	Natural Gas	IL	0.136625	0	0.863375	0	0	277	2.39718e+06	277	2.39718e+06
Mobile Home	Natural Gas	IN	0.467734	0	0.532266	0	0	8	49824	38	350594
Multi-Family with 2 - 4 Units	Natural Gas	IN	0.111349	0	0.888651	0	0	7	92408.1	56	877726
Multi-Family with 5+ Units	Natural Gas	IN	0.236571	0	0.763429	0	0	6	64722.4	122	1.50994e+06
Single-Family Attached	Natural Gas	IN	0.295675	0	0.665461	0	0.0388639	26	81824	26	81824
Single-Family Detached	Natural Gas	IN	0.250186	0	0.749814	0	0	215	1.39632e+06	215	1.39632e+06
Mobile Home	Natural Gas	KS	0.308152	0	0.691848	0	0	3	20007.3	28	133075
Multi-Family with 2 - 4 Units	Natural Gas	KS	0.0752169	0	0.924783	0	0	4	30739.3	37	252540
Multi-Family with 5+ Units	Natural Gas	KS	0.102965	0	0.897035	0	0	6	49524.7	79	579406
Single-Family Attached	Natural Gas	KS	0.280991	0	0.719009	0	0	13	46530.8	13	46530.8
Single-Family Detached	Natural Gas	KS	0.148832	0	0.851168	0	0	129	654192	129	654192
Mobile Home	Natural Gas	KY	0.323614	0	0.676386	0	0	2	9613.58	471	2.34317e+06
Multi-Family with 2 - 4 Units	Natural Gas	KY	0.284574	0	0.715426	0	0	5	21302.9	15	97110.1
Multi-Family with 5+ Units	Natural Gas	KY	0.0919724	0	0.908028	0	0	10	60442.6	10	60442.6
Single-Family Attached	Natural Gas	KY	0.37214	0	0.62786	0	0	18	29638.9	18	29638.9
Single-Family Detached	Natural Gas	KY	0.278528	0	0.721472	0	0	153	634738	153	634738
Mobile Home	Natural Gas	LA	0.479197	0	0.520803	0	0	5	28921.3	21	205561
Multi-Family with 2 - 4 Units	Natural Gas	LA	0.197606	0	0.802394	0	0	1	4061.07	13	115934
Multi-Family with 5+ Units	Natural Gas	LA	0.0427028	0	0.957297	0	0	1	9111.08	22	307353
Single-Family Attached	Natural Gas	LA	0.305887	0	0.694113	0	0	6	15298.2	47	168995
Single-Family Detached	Natural Gas	LA	0.113984	0	0.886016	0	0	98	519482	98	519482
Mobile Home	Natural Gas	MA	0.136365	0.00985001	0.852803	0.000982688	0	0	0	426	1.34343e+06
Multi-Family with 2 - 4 Units	Natural Gas	MA	0.105439	0	0.894561	0	0	54	440883	54	440883
Multi-Family with 5+ Units	Natural Gas	MA	0.11509	0	0.88491	0	0	33	216009	33	216009
Single-Family Attached	Natural Gas	MA	0.167355	0.0229743	0.80967	0	0	44	109637	44	109637
Single-Family Detached	Natural Gas	MA	0.100549	0.00462173	0.89483	0	0	157	684174	157	684174
Mobile Home	Natural Gas	MD	0.90764	0	0.0923598	0	0	1	6763.98	12	80359.8
Multi-Family with 2 - 4 Units	Natural Gas	MD	0.200547	0	0.799453	0	0	10	77335.8	10	77335.8
Multi-Family with 5+ Units	Natural Gas	MD	0.382329	0	0.617671	0	0	20	184567	20	184567
Single-Family Attached	Natural Gas	MD	0.342705	0	0.657295	0	0	53	241566	53	241566
Single-Family Detached	Natural Gas	MD	0.153387	0	0.846613	0	0	96	597891	96	597891
Mobile Home	Natural Gas	ME	0.136365	0.00985001	0.852803	0.000982688	0	3	7849.9	426	1.34343e+06
Multi-Family with 2 - 4 Units	Natural Gas	ME	0.112094	0	0.887906	0	0	5	21472.8	93	632091
Multi-Family with 5+ Units	Natural Gas	ME	0.127982	0.00741168	0.864606	0	0	9	33381.4	100	500343
Single-Family Attached	Natural Gas	ME	0.179067	0.0136252	0.800167	0.00714127	0	4	4983.15	87	184865
Single-Family Detached	Natural Gas	ME	0.0781033	0.143253	0.778644	0	0	14	31094.8	14	31094.8
Mobile Home	Natural Gas	MI	0.277614	0	0.722386	0	0	13	118887	13	118887
Multi-Family with 2 - 4 Units	Natural Gas	MI	0	0	1	0	0	12	194405	12	194405
Multi-Family with 5+ Units	Natural Gas	MI	0.216182	0	0.783818	0	0	16	211209	16	211209
Single-Family Attached	Natural Gas	MI	0.185254	0	0.814746	0	0	39	194383	39	194383
Single-Family Detached	Natural Gas	MI	0.158892	0.00455122	0.836557	0	0	228	2.2899e+06	228	2.2899e+06
Mobile Home	Natural Gas	MN	0.308152	0	0.691848	0	0	3	19763.2	28	133075
Multi-Family with 2 - 4 Units	Natural Gas	MN	0.0752169	0	0.924783	0	0	9	74806.2	37	252540
Multi-Family with 5+ Units	Natural Gas	MN	0.119149	0	0.880851	0	0	21	226205	21	226205
Single-Family Attached	Natural Gas	MN	0.032199	0	0.967801	0	0	27	114220	27	114220
Single-Family Detached	Natural Gas	MN	0.147176	0	0.846022	0	0.00680188	167	1.08272e+06	167	1.08272e+06
Mobile Home	Natural Gas	MO	0.308152	0	0.691848	0	0	2	19370.5	28	133075
Multi-Family with 2 - 4 Units	Natural Gas	MO	0.0752169	0	0.924783	0	0	9	105687	37	252540
Multi-Family with 5+ Units	Natural Gas	MO	0.102965	0	0.897035	0	0	6	67838.6	79	579406
Single-Family Attached	Natural Gas	MO	0.24958	0	0.75042	0	0	13	68847.7	13	68847.7
Single-Family Detached	Natural Gas	MO	0.165732	0	0.834268	0	0	151	1.17647e+06	151	1.17647e+06
Mobile Home	Natural Gas	MS	0.323614	0	0.676386	0	0	4	22186.1	471	2.34317e+06
Multi-Family with 2 - 4 Units	Natural Gas	MS	0.284574	0	0.715426	0	0	0	0	15	97110.1
Multi-Family with 5+ Units	Natural Gas	MS	0.0486778	0	0.951322	0	0	1	7474.34	16	114201
Single-Family Attached	Natural Gas	MS	0.301656	0	0.698344	0	0	5	11754.3	43	87755.7
Single-Family Detached	Natural Gas	MS	0.226042	0	0.773958	0	0	49	302382	49	302382
Mobile Home	Natural Gas	MT	0.115475	0	0.884525	0	0	10	20924.6	10	20924.6
Multi-Family with 2 - 4 Units	Natural Gas	MT	0.214273	0.0731674	0.71256	0	0	4	17622.2	18	124908
Multi-Family with 5+ Units	Natural Gas	MT	0.0702446	0	0.893456	0	0.0362996	3	13145.5	49	334725
Single-Family Attached	Natural Gas	MT	0.108928	0	0.891072	0	0	6	12015.5	73	241657
Single-Family Detached	Natural Gas	MT	0.143476	0	0.856524	0	0	83	190751	83	190751
Mobile Home	Natural Gas	NC	0.90764	0	0.0923598	0	0	0	0	12	80359.8
Multi-Family with 2 - 4 Units	Natural Gas	NC	0.193876	0	0.806124	0	0	1	9190.59	44	258612
Multi-Family with 5+ Units	Natural Gas	NC	0.316806	0	0.683194	0	0	2	21256.5	121	781963
Single-Family Attached	Natural Gas	NC	0.228117	0	0.771883	0	0	23	124333	23	124333
Single-Family Detached	Natural Gas	NC	0.332927	0	0.667073	0	0	126	1.00659e+06	126	1.00659e+06
Mobile Home	Natural Gas	ND	0.308152	0	0.691848	0	0	5	4703	28	133075
Multi-Family with 2 - 4 Units	Natural Gas	ND	0.0752169	0	0.924783	0	0	6	6460.71	37	252540
Multi-Family with 5+ Units	Natural Gas	ND	0.16498	0	0.83502	0	0	12	16368.2	12	16368.2
Single-Family Attached	Natural Gas	ND	0.536053	0	0.463947	0	0	24	14025.2	24	14025.2
Single-Family Detached	Natural Gas	ND	0.263397	0	0.736603	0	0	117	102749	117	102749
Mobile Home	Natural Gas	NE	0.308152	0	0.691848	0	0	3	16540.6	28	133075
Multi-Family with 2 - 4 Units	Natural Gas	NE	0.0752169	0	0.924783	0	0	3	12470	37	252540
Multi-Family with 5+ Units	Natural Gas	NE	0.0631564	0	0.936844	0	0	14	94809.8	14	94809.8
Single-Family Attached	Natural Gas	NE	0.157899	0	0.842101	0	0	7	15913.5	113	329225
Single-Family Detached	Natural Gas	NE	0.105359	0	0.894641	0	0	107	390324	107	390324
Mobile Home	Natural Gas	NH	0.136365	0.00985001	0.852803	0.000982688	0	2	6925.02	426	1.34343e+06
Multi-Family with 2 - 4 Units	Natural Gas	NH	0.112094	0	0.887906	0	0	4	16806.1	93	632091
Multi-Family with 5+ Units	Natural Gas	NH	0.170697	0.0577517	0.771552	0	0	16	64212.6	16	64212.6
Single-Family Attached	Natural Gas	NH	0.179067	0.0136252	0.800167	0.00714127	0	7	12069	87	184865
Single-Family Detached	Natural Gas	NH	0.243289	0.0583073	0.698404	0	0	18	53123.1	18	53123.1
Mobile Home	Natural Gas	NJ	0.671303	0	0.328697	0	0	3	20299.7	11	83031.1
Multi-Family with 2 - 4 Units	Natural Gas	NJ	0.0980355	0	0.901965	0	0	32	392927	32	392927
Multi-Family with 5+ Units	Natural Gas	NJ	0.124061	0	0.875939	0	0	34	316542	34	316542
Single-Family Attached	Natural Gas	NJ	0.0906317	0	0.909368	0	0	50	309053	50	309053
Single-Family Detached	Natural Gas	NJ	0.105434	0.00492927	0.889637	0	0	233	1.51125e+06	233	1.51125e+06
Mobile Home	Natural Gas	NM	0.217332	0	0.710011	0	0.0726574	13	62951.9	13	62951.9
Multi-Family with 2 - 4 Units	Natural Gas	NM	0	0	1	0	0	7	49006.6	12	85339
Multi-Family with 5+ Units	Natural Gas	NM	0.105926	0	0.894074	0	0	9	52455.9	29	202658
Single-Family Attached	Natural Gas	NM	0.285168	0	0.714832	0	0	11	24704.5	11	24704.5
Single-Family Detached	Natural Gas	NM	0.117682	0	0.882318	0	0	98	407786	98	407786
Mobile Home	Natural Gas	NV	0.242357	0	0.73211	0	0.0255337	4	24613.1	31	179133
Multi-Family with 2 - 4 Units	Natural Gas	NV	0	0	1	0	0	5	36332.3	12	85339
Multi-Family with 5+ Units	Natural Gas	NV	0.119769	0	0.880231	0	0	17	127627	17	127627
Single-Family Attached	Natural Gas	NV	0.121901	0	0.878099	0	0	19	48885.6	19	48885.6
Single-Family Detached	Natural Gas	NV	0.114584	0	0.885416	0	0	122	543023	122	543023
Mobile Home	Natural Gas	NY	0.671303	0	0.328697	0	0	5	34225.8	11	83031.1
Multi-Family with 2 - 4 Units	Natural Gas	NY	0.0876562	0	0.895076	0.0172677	0	70	846693	70	846693
Multi-Family with 5+ Units	Natural Gas	NY	0.122286	0.0418651	0.835848	0	0	129	1.44369e+06	129	1.44369e+06
Single-Family Attached	Natural Gas	NY	0.156977	0	0.834624	0	0.00839839	58	370375	58	370375
Single-Family Detached	Natural Gas	NY	0.104063	0.00547699	0.881405	0.00325413	0.00580053	294	1.8751e+06	294	1.8751e+06
Mobile Home	Natural Gas	OH	0.467734	0	0.532266	0	0	5	81633.7	38	350594
Multi-Family with 2 - 4 Units	Natural Gas	OH	0.111349	0	0.888651	0	0	4	87858.1	56	877726
Multi-Family with 5+ Units	Natural Gas	OH	0.219845	0	0.780155	0	0	15	295159	15	295159
Single-Family Attached	Natural Gas	OH	0.15614	0	0.84386	0	0	23	156938	23	156938
Single-Family Detached	Natural Gas	OH	0.13485	0	0.86515	0	0	178	2.41187e+06	178	2.41187e+06
Mobile Home	Natural Gas	OK	0.479197	0	0.520803	0	0	5	42931.7	21	205561
Multi-Family with 2 - 4 Units	Natural Gas	OK	0.197606	0	0.802394	0	0	1	7846.8	13	115934
Multi-Family with 5+ Units	Natural Gas	OK	0.0427028	0	0.957297	0	0	2	19543.6	22	307353
Single-Family Attached	Natural Gas	OK	0.305887	0	0.694113	0	0	9	24429.7	47	168995
Single-Family Detached	Natural Gas	OK	0.129477	0	0.870523	0	0	111	679855	111	679855
Mobile Home	Natural Gas	OR	0	0	1	0	0	0	0	30	338358
Multi-Family with 2 - 4 Units	Natural Gas	OR	0.119444	0	0.880556	0	0	1	5915.25	36	550886
Multi-Family with 5+ Units	Natural Gas	OR	0.11465	0	0.88535	0	0	4	27266.5	80	1.09618e+06
Single-Family Attached	Natural Gas	OR	0.0855694	0	0.914431	0	0	7	22532.6	100	656182
Single-Family Detached	Natural Gas	OR	0.279624	0	0.720376	0	0	126	629007	126	629007
Mobile Home	Natural Gas	PA	0.671303	0	0.328697	0	0	3	28505.5	11	83031.1
Multi-Family with 2 - 4 Units	Natural Gas	PA	0.104316	0	0.851255	0.0444296	0	19	223148	19	223148
Multi-Family with 5+ Units	Natural Gas	PA	0.191717	0	0.808283	0	0	22	233161	22	233161
Single-Family Attached	Natural Gas	PA	0.148288	0	0.851712	0	0	78	604498	78	604498
Single-Family Detached	Natural Gas	PA	0.136169	0.0164326	0.847399	0	0	193	1.5538e+06	193	1.5538e+06
Mobile Home	Natural Gas	RI	0.136365	0.00985001	0.852803	0.000982688	0	0	0	426	1.34343e+06
Multi-Family with 2 - 4 Units	Natural Gas	RI	0.0802927	0	0.919707	0	0	12	45445.3	12	45445.3
Multi-Family with 5+ Units	Natural Gas	RI	0.0804497	0	0.91955	0	0	14	42706.3	14	42706.3
Single-Family Attached	Natural Gas	RI	0.179067	0.0136252	0.800167	0.00714127	0	8	9973.95	87	184865
Single-Family Detached	Natural Gas	RI	0.101283	0	0.898717	0	0	62	122489	62	122489
Mobile Home	Natural Gas	SC	0.90764	0	0.0923598	0	0	4	29539.8	12	80359.8
Multi-Family with 2 - 4 Units	Natural Gas	SC	0.193876	0	0.806124	0	0	1	5833.85	44	258612
Multi-Family with 5+ Units	Natural Gas	SC	0.316806	0	0.683194	0	0	4	27955.2	121	781963
Single-Family Attached	Natural Gas	SC	0.282613	0	0.717387	0	0	6	24760.5	183	709695
Single-Family Detached	Natural Gas	SC	0.393986	0	0.606014	0	0	83	456461	83	456461
Mobile Home	Natural Gas	SD	0.308152	0	0.691848	0	0	4	7866.12	28	133075
Multi-Family with 2 - 4 Units	Natural Gas	SD	0.0752169	0	0.924783	0	0	3	7253.49	37	252540
Multi-Family with 5+ Units	Natural Gas	SD	0.102965	0	0.897035	0	0	8	25633.1	79	579406
Single-Family Attached	Natural Gas	SD	0.263232	0	0.736768	0	0	12	14276.1	12	14276.1
Single-Family Detached	Natural Gas	SD	0.237759	0	0.762241	0	0	85	144426	85	144426
Mobile Home	Natural Gas	TN	0.323614	0	0.676386	0	0	2	11058.8	471	2.34317e+06
Multi-Family with 2 - 4 Units	Natural Gas	TN	0.284574	0	0.715426	0	0	6	39982.8	15	97110.1
Multi-Family with 5+ Units	Natural Gas	TN	0.0486778	0	0.951322	0	0	4	32714.6	16	114201
Single-Family Attached	Natural Gas	TN	0.292947	0	0.707053	0	0	16	34042	16	34042
Single-Family Detached	Natural Gas	TN	0.374825	0	0.625175	0	0	157	803091	157	803091
Mobile Home	Natural Gas	TX	0.419624	0	0.580376	0	0	10	129162	10	129162
Multi-Family with 2 - 4 Units	Natural Gas	TX	0.197606	0	0.802394	0	0	9	96582.1	13	115934
Multi-Family with 5+ Units	Natural Gas	TX	0.0486531	0	0.951347	0	0	18	269763	18	269763
Single-Family Attached	Natural Gas	TX	0.375577	0	0.624423	0	0	24	110329	24	110329
Single-Family Detached	Natural Gas	TX	0.172807	0	0.827193	0	0	396	3.67468e+06	396	3.67468e+06
Mobile Home	Natural Gas	UT	0.218194	0	0.748896	0	0.0329098	5	24768.5	47	162348
Multi-Family with 2 - 4 Units	Natural Gas	UT	0.214273	0.0731674	0.71256	0	0	3	33783.4	18	124908
Multi-Family with 5+ Units	Natural Gas	UT	0.0702446	0	0.893456	0	0.0362996	7	75162.8	49	334725
Single-Family Attached	Natural Gas	UT	0.13583	0	0.86417	0	0	18	79668	18	79668
Single-Family Detached	Natural Gas	UT	0.0522941	0	0.947706	0	0	137	685265	137	685265
Mobile Home	Natural Gas	VA	0.90764	0	0.0923598	0	0	0	0	12	80359.8
Multi-Family with 2 - 4 Units	Natural Gas	VA	0.193876	0	0.806124	0	0	3	19821.5	44	258612
Multi-Family with 5+ Units	Natural Gas	VA	0.233324	0	0.766676	0	0	18	171329	18	171329
Single-Family Attached	Natural Gas	VA	0.234438	0	0.765562	0	0	27	135240	27	135240
Single-Family Detached	Natural Gas	VA	0.215207	0	0.777849	0	0.00694476	128	855109	128	855109
Mobile Home	Natural Gas	VT	0.136365	0.00985001	0.852803	0.000982688	0	0	0	426	1.34343e+06
Multi-Family with 2 - 4 Units	Natural Gas	VT	0.112094	0	0.887906	0	0	6	9513.31	93	632091
Multi-Family with 5+ Units	Natural Gas	VT	0.127982	0.00741168	0.864606	0	0	9	12873	100	500343
Single-Family Attached	Natural Gas	VT	0.179067	0.0136252	0.800167	0.00714127	0	7	4287.12	87	184865
Single-Family Detached	Natural Gas	VT	0.0755592	0	0.924441	0	0	31	28179.9	31	28179.9
Mobile Home	Natural Gas	WA	0	0	1	0	0	3	20300.9	30	338358
Multi-Family with 2 - 4 Units	Natural Gas	WA	0.119444	0	0.880556	0	0	1	10301.6	36	550886
Multi-Family with 5+ Units	Natural Gas	WA	0.11465	0	0.88535	0	0	8	60355.7	80	1.09618e+06
Single-Family Attached	Natural Gas	WA	0.0855694	0	0.914431	0	0	5	21745.7	100	656182
Single-Family Detached	Natural Gas	WA	0.141875	0	0.858125	0	0	162	972908	162	972908
Mobile Home	Natural Gas	WI	0.467734	0	0.532266	0	0	6	42644	38	350594
Multi-Family with 2 - 4 Units	Natural Gas	WI	0.111349	0	0.888651	0	0	7	80827.7	56	877726
Multi-Family with 5+ Units	Natural Gas	WI	0.443987	0	0.556013	0	0	25	228837	25	228837
Single-Family Attached	Natural Gas	WI	0.191681	0	0.808319	0	0	27	88504.9	27	88504.9
Single-Family Detached	Natural Gas	WI	0.165351	0	0.830038	0.004611	0	195	1.26496e+06	195	1.26496e+06
Mobile Home	Natural Gas	WV	0.90764	0	0.0923598	0	0	4	17040.1	12	80359.8
Multi-Family with 2 - 4 Units	Natural Gas	WV	0.193876	0	0.806124	0	0	5	14248.2	44	258612
Multi-Family with 5+ Units	Natural Gas	WV	0.316806	0	0.683194	0	0	3	14348.4	121	781963
Single-Family Attached	Natural Gas	WV	0.282613	0	0.717387	0	0	4	11913.4	183	709695
Single-Family Detached	Natural Gas	WV	0.383613	0	0.601351	0	0.0150355	70	244033	70	244033
Mobile Home	Natural Gas	WY	0.343044	0	0.656956	0	0	10	11084.5	10	11084.5
Multi-Family with 2 - 4 Units	Natural Gas	WY	0.214273	0.0731674	0.71256	0	0	3	4945.41	18	124908
Multi-Family with 5+ Units	Natural Gas	WY	0.0702446	0	0.893456	0	0.0362996	7	14180.6	49	334725
Single-Family Attached	Natural Gas	WY	0	0	1	0	0	10	8348.33	10	8348.33
Single-Family Detached	Natural Gas	WY	0.146961	0	0.853039	0	0	108	120973	108	120973
Mobile Home	None	AL	0.820862	0	0.151432	0.011161	0.0165446	1	7985.57	167	1.68258e+06
Multi-Family with 2 - 4 Units	None	AL	0.84964	0.0136685	0.120469	0.00775168	0.00847089	0	0	102	1.39304e+06
Multi-Family with 5+ Units	None	AL	0.84964	0.0136685	0.120469	0.00775168	0.00847089	1	12616.2	102	1.39304e+06
Single-Family Attached	None	AL	0.820862	0	0.151432	0.011161	0.0165446	0	0	167	1.68258e+06
Single-Family Detached	None	AL	0.820862	0	0.151432	0.011161	0.0165446	0	0	167	1.68258e+06
Mobile Home	None	AR	0.549451	0	0.450549	0	0	1	5000.56	36	306788
