Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	KS, 01500	0.77017	0.22983	302	4586	302	4586
Multi-Family with 2 - 4 Units	KS, 01500	0.78294	0.21706	143	2884	143	2884
Multi-Family with 5+ Units	KS, 01500	0.841463	0.158537	163	3936	163	3936
Single-Family Attached	KS, 01500	0.872945	0.127055	33	669	33	669
Single-Family Detached	KS, 01500	0.834097	0.165903	2736	50210	2736	50210
Mobile Home	KY, 00100	0.717599	0.282401	563	12978	563	12978
Multi-Family with 2 - 4 Units	KY, 00100	0.871756	0.128244	304	7938	304	7938
Multi-Family with 5+ Units	KY, 00100	0.777419	0.222581	286	7121	286	7121
Single-Family Attached	KY, 00100	0.920115	0.0798845	49	1039	49	1039
Single-Family Detached	KY, 00100	0.848982	0.151018	3278	66959	3278	66959
Mobile Home	KY, 00200	0.782862	0.217138	468	8566	468	8566
Multi-Family with 2 - 4 Units	KY, 00200	0.809787	0.190213	102	2350	102	2350
Multi-Family with 5+ Units	KY, 00200	0.736466	0.263534	85	1958	85	1958
Single-Family Attached	KY, 00200	0.977612	0.0223881	22	268	22	268
Single-Family Detached	KY, 00200	0.852298	0.147702	2183	37799	2183	37799
Mobile Home	KY, 00300	0.690903	0.309097	267	5749	267	5749
Multi-Family with 2 - 4 Units	KY, 00300	0.841625	0.158375	179	5588	179	5588
Multi-Family with 5+ Units	KY, 00300	0.753972	0.246028	149	4154	149	4154
Single-Family Attached	KY, 00300	0.966809	0.0331915	71	1175	71	1175
Single-Family Detached	KY, 00300	0.848171	0.151829	1617	31417	1617	31417
Mobile Home	KY, 00400	0.752414	0.247586	683	13357	683	13357
Multi-Family with 2 - 4 Units	KY, 00400	0.865551	0.134449	207	5199	207	5199
Multi-Family with 5+ Units	KY, 00400	0.822115	0.177885	156	2496	156	2496
Single-Family Attached	KY, 00400	0.881633	0.118367	34	735	34	735
Single-Family Detached	KY, 00400	0.85384	0.14616	3183	59134	3183	59134
Mobile Home	KY, 00500	0.893188	0.106812	113	3670	113	3670
Multi-Family with 2 - 4 Units	KY, 00500	0.931079	0.068921	223	6979	223	6979
Multi-Family with 5+ Units	KY, 00500	0.814749	0.185251	206	7282	206	7282
Single-Family Attached	KY, 00500	1	0	47	1106	47	1106
Single-Family Detached	KY, 00500	0.927886	0.0721144	1422	33849	1422	33849
Mobile Home	KY, 00600	0.728038	0.271962	513	10928	513	10928
Multi-Family with 2 - 4 Units	KY, 00600	0.914699	0.0853012	107	2075	107	2075
Multi-Family with 5+ Units	KY, 00600	0.842461	0.157539	73	1479	73	1479
Single-Family Attached	KY, 00600	0.982192	0.0178082	36	730	36	730
Single-Family Detached	KY, 00600	0.799824	0.200176	1910	36323	1910	36323
Mobile Home	KY, 00700	0.705412	0.294588	435	12268	435	12268
Multi-Family with 2 - 4 Units	KY, 00700	0.6105	0.3895	97	3181	97	3181
Multi-Family with 5+ Units	KY, 00700	0.849812	0.150188	63	2397	63	2397
Single-Family Attached	KY, 00700	0.915851	0.0841487	23	511	23	511
Single-Family Detached	KY, 00700	0.837778	0.162222	1375	31611	1375	31611
Mobile Home	KY, 00800	0.79319	0.20681	564	13921	564	13921
Multi-Family with 2 - 4 Units	KY, 00800	0.864123	0.135877	96	2333	96	2333
Multi-Family with 5+ Units	KY, 00800	0.862671	0.137329	101	2119	101	2119
Single-Family Attached	KY, 00800	0.917526	0.0824742	16	388	16	388
Single-Family Detached	KY, 00800	0.881592	0.118408	1351	30606	1351	30606
Mobile Home	KY, 00900	0.781685	0.218315	605	15102	605	15102
Multi-Family with 2 - 4 Units	KY, 00900	0.810879	0.189121	124	3162	124	3162
Multi-Family with 5+ Units	KY, 00900	0.736241	0.263759	139	3416	139	3416
Single-Family Attached	KY, 00900	0.62419	0.37581	27	463	27	463
Single-Family Detached	KY, 00900	0.83632	0.16368	1697	34873	1697	34873
Mobile Home	KY, 01000	0.829228	0.170772	843	17538	843	17538
Multi-Family with 2 - 4 Units	KY, 01000	0.767692	0.232308	76	1300	76	1300
Multi-Family with 5+ Units	KY, 01000	0.799631	0.200369	122	2166	122	2166
Single-Family Attached	KY, 01000	0.924949	0.0750507	21	493	21	493
Single-Family Detached	KY, 01000	0.825442	0.174558	1694	32081	1694	32081
Mobile Home	KY, 01100	0.814311	0.185689	1069	24638	1069	24638
Multi-Family with 2 - 4 Units	KY, 01100	0.792489	0.207511	103	2583	103	2583
Multi-Family with 5+ Units	KY, 01100	0.893623	0.106377	156	3591	156	3591
Single-Family Attached	KY, 01100	0.942263	0.0577367	24	433	24	433
Single-Family Detached	KY, 01100	0.812341	0.187659	1894	40174	1894	40174
Mobile Home	KY, 01200	0.865257	0.134743	228	4683	228	4683
Multi-Family with 2 - 4 Units	KY, 01200	0.930924	0.0690759	95	2186	95	2186
Multi-Family with 5+ Units	KY, 01200	0.71671	0.28329	53	1532	53	1532
Single-Family Attached	KY, 01200	0.906283	0.0937167	41	939	41	939
Single-Family Detached	KY, 01200	0.928041	0.071959	1970	36896	1970	36896
Mobile Home	KY, 01300	0.693448	0.306552	548	11737	548	11737
Multi-Family with 2 - 4 Units	KY, 01300	0.836136	0.163864	250	6243	250	6243
Multi-Family with 5+ Units	KY, 01300	0.856704	0.143296	261	6190	261	6190
Single-Family Attached	KY, 01300	0.890393	0.109607	132	2290	132	2290
Single-Family Detached	KY, 01300	0.84843	0.15157	2379	49845	2379	49845
Mobile Home	KY, 01400	0.806956	0.193044	424	6843	424	6843
Multi-Family with 2 - 4 Units	KY, 01400	0.886023	0.113977	128	2869	128	2869
Multi-Family with 5+ Units	KY, 01400	0.898974	0.101026	156	3702	156	3702
Single-Family Attached	KY, 01400	0.981081	0.0189189	26	370	26	370
Single-Family Detached	KY, 01400	0.895713	0.104287	2113	33657	2113	33657
Mobile Home	KY, 01500	0.888636	0.111364	167	3080	167	3080
Multi-Family with 2 - 4 Units	KY, 01500	0.937135	0.0628652	163	4279	163	4279
Multi-Family with 5+ Units	KY, 01500	0.828954	0.171046	162	4186	162	4186
Single-Family Attached	KY, 01500	0.904255	0.0957447	37	752	37	752
Single-Family Detached	KY, 01500	0.942813	0.0571867	1799	34571	1799	34571
Mobile Home	KY, 01600	0.807806	0.192194	137	3382	137	3382
Multi-Family with 2 - 4 Units	KY, 01600	0.792308	0.207692	70	1430	70	1430
Multi-Family with 5+ Units	KY, 01600	0.988274	0.0117261	110	2132	110	2132
Single-Family Attached	KY, 01600	1	0	88	1300	88	1300
Single-Family Detached	KY, 01600	0.950812	0.0491883	2002	36899	2002	36899
Mobile Home	KY, 01701	0.840874	0.159126	27	641	27	641
Multi-Family with 2 - 4 Units	KY, 01701	0.707362	0.292638	325	9264	325	9264
Multi-Family with 5+ Units	KY, 01701	0.859272	0.140728	602	13892	602	13892
Single-Family Attached	KY, 01701	0.77525	0.22475	64	1802	64	1802
Single-Family Detached	KY, 01701	0.821833	0.178167	1639	35579	1639	35579
Mobile Home	KY, 01702	1	0	11	175	11	175
Multi-Family with 2 - 4 Units	KY, 01702	0.886516	0.113484	423	9129	423	9129
Multi-Family with 5+ Units	KY, 01702	0.862274	0.137726	613	13476	613	13476
Single-Family Attached	KY, 01702	0.938489	0.0615114	91	1707	91	1707
Single-Family Detached	KY, 01702	0.936788	0.0632124	2997	35357	2997	35357
Mobile Home	KY, 01703	0.786184	0.213816	6	77	10818	237405
Multi-Family with 2 - 4 Units	KY, 01703	0.86349	0.13651	140	2791	140	2791
Multi-Family with 5+ Units	KY, 01703	0.873343	0.126657	447	10785	447	10785
Single-Family Attached	KY, 01703	0.943346	0.0566542	275	3742	275	3742
Single-Family Detached	KY, 01703	0.974831	0.0251692	3172	32500	3172	32500
Mobile Home	KY, 01704	0.786184	0.213816	7	315	10818	237405
Multi-Family with 2 - 4 Units	KY, 01704	0.868414	0.131586	121	3587	121	3587
Multi-Family with 5+ Units	KY, 01704	0.904298	0.0957023	424	11285	424	11285
Single-Family Attached	KY, 01704	0.981595	0.0184049	133	2445	133	2445
Single-Family Detached	KY, 01704	0.969835	0.0301649	2101	39914	2101	39914
Mobile Home	KY, 01705	0.973435	0.0265655	22	527	22	527
Multi-Family with 2 - 4 Units	KY, 01705	0.897122	0.102878	182	5317	182	5317
Multi-Family with 5+ Units	KY, 01705	0.84773	0.15227	420	10685	420	10685
Single-Family Attached	KY, 01705	0.983356	0.0166442	111	2223	111	2223
Single-Family Detached	KY, 01705	0.94623	0.0537703	1800	36005	1800	36005
Mobile Home	KY, 01706	0.836994	0.163006	94	2914	94	2914
Multi-Family with 2 - 4 Units	KY, 01706	0.755611	0.244389	161	5168	161	5168
Multi-Family with 5+ Units	KY, 01706	0.883754	0.116246	263	7854	263	7854
Single-Family Attached	KY, 01706	0.882111	0.117889	69	1705	69	1705
Single-Family Detached	KY, 01706	0.926869	0.0731306	2034	44400	2034	44400
Mobile Home	KY, 01800	0.845919	0.154081	144	2953	144	2953
Multi-Family with 2 - 4 Units	KY, 01800	0.872372	0.127628	82	1998	82	1998
Multi-Family with 5+ Units	KY, 01800	0.921609	0.0783906	129	2883	129	2883
Single-Family Attached	KY, 01800	0.952275	0.0477248	64	901	64	901
Single-Family Detached	KY, 01800	0.943574	0.0564259	2232	35427	2232	35427
Mobile Home	KY, 01901	0.929134	0.0708661	29	635	29	635
Multi-Family with 2 - 4 Units	KY, 01901	0.865739	0.134261	249	6398	249	6398
Multi-Family with 5+ Units	KY, 01901	0.860581	0.139419	654	16619	654	16619
Single-Family Attached	KY, 01901	0.891663	0.108337	102	2603	102	2603
Single-Family Detached	KY, 01901	0.92451	0.0754902	1494	27540	1494	27540
Mobile Home	KY, 01902	0.848708	0.151292	29	813	29	813
Multi-Family with 2 - 4 Units	KY, 01902	0.922523	0.0774775	204	5550	204	5550
Multi-Family with 5+ Units	KY, 01902	0.869645	0.130355	638	17460	638	17460
Single-Family Attached	KY, 01902	0.911973	0.088027	282	6214	282	6214
Single-Family Detached	KY, 01902	0.949638	0.0503623	2860	57821	2860	57821
Mobile Home	KY, 02000	0.914231	0.0857687	139	3148	139	3148
Multi-Family with 2 - 4 Units	KY, 02000	0.885538	0.114462	174	5504	174	5504
Multi-Family with 5+ Units	KY, 02000	0.882747	0.117253	151	4324	151	4324
Single-Family Attached	KY, 02000	0.94346	0.0565401	57	1185	57	1185
Single-Family Detached	KY, 02000	0.904639	0.0953614	2017	39775	2017	39775
Mobile Home	KY, 02100	0.781761	0.218239	204	4770	204	4770
Multi-Family with 2 - 4 Units	KY, 02100	0.810495	0.189505	178	4364	178	4364
Multi-Family with 5+ Units	KY, 02100	0.88339	0.11661	87	2041	87	2041
Single-Family Attached	KY, 02100	0.955621	0.0443787	68	1690	68	1690
Single-Family Detached	KY, 02100	0.921873	0.0781274	1893	38578	1893	38578
Mobile Home	KY, 02200	0.844965	0.155035	226	5631	226	5631
Multi-Family with 2 - 4 Units	KY, 02200	0.846588	0.153412	219	5671	219	5671
Multi-Family with 5+ Units	KY, 02200	0.87985	0.12015	235	6417	235	6417
Single-Family Attached	KY, 02200	1	0	42	953	42	953
Single-Family Detached	KY, 02200	0.896427	0.103573	1540	30645	1540	30645
Mobile Home	KY, 02300	0.916931	0.0830689	262	5357	262	5357
Multi-Family with 2 - 4 Units	KY, 02300	0.866384	0.133616	172	4483	172	4483
Multi-Family with 5+ Units	KY, 02300	0.86505	0.13495	164	5113	164	5113
Single-Family Attached	KY, 02300	0.951775	0.0482251	74	1493	74	1493
Single-Family Detached	KY, 02300	0.91669	0.0833096	2355	42120	2355	42120
Mobile Home	KY, 02400	0.793675	0.206325	97	1929	97	1929
Multi-Family with 2 - 4 Units	KY, 02400	0.837542	0.162458	338	6851	338	6851
Multi-Family with 5+ Units	KY, 02400	0.890257	0.109743	476	12101	476	12101
Single-Family Attached	KY, 02400	0.946408	0.0535925	166	3396	166	3396
Single-Family Detached	KY, 02400	0.941081	0.0589194	2372	45384	2372	45384
Mobile Home	KY, 02500	0.8382	0.1618	56	1644	56	1644
Multi-Family with 2 - 4 Units	KY, 02500	0.939497	0.0605031	41	1471	41	1471
Multi-Family with 5+ Units	KY, 02500	0.931226	0.0687738	256	9175	256	9175
Single-Family Attached	KY, 02500	0.956204	0.0437956	91	2877	91	2877
Single-Family Detached	KY, 02500	0.961081	0.0389194	1358	34276	1358	34276
Mobile Home	KY, 02600	0.775762	0.224238	428	9151	428	9151
Multi-Family with 2 - 4 Units	KY, 02600	0.835176	0.164824	239	4884	239	4884
Multi-Family with 5+ Units	KY, 02600	0.865111	0.134889	472	10668	472	10668
Single-Family Attached	KY, 02600	0.994912	0.00508762	83	1769	83	1769
Single-Family Detached	KY, 02600	0.897344	0.102656	2647	44771	2647	44771
Mobile Home	KY, 02700	0.819479	0.180521	797	15483	797	15483
Multi-Family with 2 - 4 Units	KY, 02700	0.804361	0.195639	135	3394	135	3394
Multi-Family with 5+ Units	KY, 02700	0.894618	0.105382	170	3103	170	3103
Single-Family Attached	KY, 02700	0.790875	0.209125	32	789	32	789
Single-Family Detached	KY, 02700	0.836661	0.163339	2417	41374	2417	41374
Mobile Home	KY, 02800	0.724184	0.275816	613	12802	613	12802
Multi-Family with 2 - 4 Units	KY, 02800	0.70288	0.29712	108	1979	108	1979
Multi-Family with 5+ Units	KY, 02800	0.872961	0.127039	180	3188	180	3188
Single-Family Attached	KY, 02800	0.912088	0.0879121	22	364	22	364
Single-Family Detached	KY, 02800	0.845653	0.154347	2478	43046	2478	43046
Mobile Home	LA, 00100	0.807602	0.192398	285	5130	285	5130
Multi-Family with 2 - 4 Units	LA, 00100	0.808458	0.191542	184	4067	184	4067
Multi-Family with 5+ Units	LA, 00100	0.799177	0.200823	294	7529	294	7529
Single-Family Attached	LA, 00100	0.619649	0.380351	71	1425	71	1425
Single-Family Detached	LA, 00100	0.82739	0.17261	2195	40299	2195	40299
Mobile Home	LA, 00101	0.816181	0.183819	180	5179	180	5179
Multi-Family with 2 - 4 Units	LA, 00101	0.912005	0.0879945	91	2932	91	2932
Multi-Family with 5+ Units	LA, 00101	0.795198	0.204802	217	8955	217	8955
Single-Family Attached	LA, 00101	0.94019	0.0598104	55	1371	55	1371
Single-Family Detached	LA, 00101	0.904235	0.0957646	1496	36360	1496	36360
Mobile Home	LA, 00200	0.830054	0.169946	475	11386	475	11386
Multi-Family with 2 - 4 Units	LA, 00200	0.78559	0.21441	152	4039	152	4039
Multi-Family with 5+ Units	LA, 00200	0.804363	0.195637	282	7335	282	7335
Single-Family Attached	LA, 00200	0.883845	0.116155	111	2247	111	2247
Single-Family Detached	LA, 00200	0.879853	0.120147	2315	51620	2315	51620
Mobile Home	LA, 00300	0.695173	0.304827	1803	23679	1803	23679
Multi-Family with 2 - 4 Units	LA, 00300	0.893447	0.106553	261	5753	261	5753
Multi-Family with 5+ Units	LA, 00300	0.819177	0.180823	230	5298	230	5298
Single-Family Attached	LA, 00300	0.799607	0.200393	84	1527	84	1527
Single-Family Detached	LA, 00300	0.786491	0.213509	3738	51225	3738	51225
Mobile Home	LA, 00400	0.689029	0.310971	356	8869	356	8869
Multi-Family with 2 - 4 Units	LA, 00400	0.811901	0.188099	268	6991	268	6991
Multi-Family with 5+ Units	LA, 00400	0.823457	0.176543	264	6514	264	6514
Single-Family Attached	LA, 00400	0.637719	0.362281	57	1140	57	1140
Single-Family Detached	LA, 00400	0.86252	0.13748	2231	44843	2231	44843
Mobile Home	LA, 00500	0.65114	0.34886	1008	17239	1008	17239
Multi-Family with 2 - 4 Units	LA, 00500	0.843617	0.156383	167	2820	167	2820
Multi-Family with 5+ Units	LA, 00500	0.84417	0.15583	130	1861	130	1861
Single-Family Attached	LA, 00500	0.873077	0.126923	38	520	38	520
Single-Family Detached	LA, 00500	0.758247	0.241753	3331	50051	3331	50051
Mobile Home	LA, 00600	0.685996	0.314004	728	14589	728	14589
Multi-Family with 2 - 4 Units	LA, 00600	0.855106	0.144894	104	1753	104	1753
Multi-Family with 5+ Units	LA, 00600	0.893704	0.106296	92	1223	92	1223
Single-Family Attached	LA, 00600	0.867159	0.132841	16	271	16	271
Single-Family Detached	LA, 00600	0.779174	0.220826	2316	38682	2316	38682
Mobile Home	LA, 00700	0.762106	0.237894	908	14208	908	14208
Multi-Family with 2 - 4 Units	LA, 00700	0.757095	0.242905	450	8069	450	8069
Multi-Family with 5+ Units	LA, 00700	0.779974	0.220026	331	6272	331	6272
Single-Family Attached	LA, 00700	0.957765	0.0422355	162	2344	162	2344
Single-Family Detached	LA, 00700	0.851381	0.148619	3527	49462	3527	49462
Mobile Home	LA, 00800	0.824805	0.175195	674	15263	674	15263
Multi-Family with 2 - 4 Units	LA, 00800	0.740741	0.259259	174	3078	174	3078
Multi-Family with 5+ Units	LA, 00800	0.751781	0.248219	103	1684	103	1684
Single-Family Attached	LA, 00800	0.908696	0.0913043	24	230	24	230
Single-Family Detached	LA, 00800	0.862773	0.137227	2495	41559	2495	41559
Mobile Home	LA, 00900	0.785395	0.214605	358	10955	358	10955
Multi-Family with 2 - 4 Units	LA, 00900	0.83078	0.16922	180	5484	180	5484
Multi-Family with 5+ Units	LA, 00900	0.794834	0.205166	238	7472	238	7472
Single-Family Attached	LA, 00900	0.868288	0.131712	58	987	58	987
Single-Family Detached	LA, 00900	0.878684	0.121316	2133	47265	2133	47265
Mobile Home	LA, 01000	0.8058	0.1942	502	10103	502	10103
Multi-Family with 2 - 4 Units	LA, 01000	0.839692	0.160308	137	2595	137	2595
Multi-Family with 5+ Units	LA, 01000	0.867311	0.132689	99	1967	99	1967
Single-Family Attached	LA, 01000	1	0	11	174	11	174
Single-Family Detached	LA, 01000	0.82001	0.17999	2012	37141	2012	37141
Mobile Home	LA, 01100	0.78507	0.21493	413	9752	413	9752
Multi-Family with 2 - 4 Units	LA, 01100	0.839618	0.160382	82	1883	82	1883
Multi-Family with 5+ Units	LA, 01100	0.758683	0.241317	68	1670	68	1670
Single-Family Attached	LA, 01100	0.946731	0.0532688	21	413	21	413
Single-Family Detached	LA, 01100	0.850495	0.149505	1791	39303	1791	39303
Mobile Home	LA, 01200	0.88178	0.11822	241	7706	241	7706
Multi-Family with 2 - 4 Units	LA, 01200	0.888661	0.111339	123	3907	123	3907
Multi-Family with 5+ Units	LA, 01200	0.825488	0.174512	196	5948	196	5948
Single-Family Attached	LA, 01200	0.833333	0.166667	45	822	45	822
Single-Family Detached	LA, 01200	0.906155	0.0938453	1348	32138	1348	32138
Mobile Home	LA, 01201	0.835798	0.164202	83	3246	83	3246
Multi-Family with 2 - 4 Units	LA, 01201	0.836934	0.163066	85	2453	85	2453
Multi-Family with 5+ Units	LA, 01201	0.781381	0.218619	272	8851	272	8851
Single-Family Attached	LA, 01201	0.818528	0.181472	62	1576	62	1576
Single-Family Detached	LA, 01201	0.937061	0.0629394	1438	35844	1438	35844
Mobile Home	LA, 01300	0.836077	0.163923	732	17496	732	17496
Multi-Family with 2 - 4 Units	LA, 01300	0.795196	0.204804	122	3081	122	3081
Multi-Family with 5+ Units	LA, 01300	0.675614	0.324386	143	3949	143	3949
Single-Family Attached	LA, 01300	0.931953	0.0680473	28	338	28	338
Single-Family Detached	LA, 01300	0.869021	0.130979	2645	52619	2645	52619
Mobile Home	LA, 01400	0.751429	0.248571	507	11200	507	11200
Multi-Family with 2 - 4 Units	LA, 01400	0.743601	0.256399	93	2188	93	2188
Multi-Family with 5+ Units	LA, 01400	0.665367	0.334633	59	1282	59	1282
Single-Family Attached	LA, 01400	0.928177	0.0718232	32	543	32	543
Single-Family Detached	LA, 01400	0.834294	0.165706	1946	34682	1946	34682
Mobile Home	LA, 01500	0.851485	0.148515	30	1010	30	1010
Multi-Family with 2 - 4 Units	LA, 01500	0.86314	0.13686	136	5312	136	5312
Multi-Family with 5+ Units	LA, 01500	0.689024	0.310976	369	14969	369	14969
Single-Family Attached	LA, 01500	0.900431	0.0995694	72	1858	72	1858
Single-Family Detached	LA, 01500	0.92279	0.0772101	1459	36718	1459	36718
Mobile Home	LA, 01501	0.751622	0.248378	41	1079	41	1079
Multi-Family with 2 - 4 Units	LA, 01501	0.812678	0.187322	254	7004	254	7004
Multi-Family with 5+ Units	LA, 01501	0.740689	0.259311	875	25267	875	25267
Single-Family Attached	LA, 01501	0.833536	0.166464	115	2469	115	2469
Single-Family Detached	LA, 01501	0.870335	0.129665	2241	46381	2241	46381
Mobile Home	LA, 01502	0.754932	0.245068	135	4207	135	4207
Multi-Family with 2 - 4 Units	LA, 01502	0.809259	0.190741	91	3240	91	3240
Multi-Family with 5+ Units	LA, 01502	0.857937	0.142063	119	3780	119	3780
Single-Family Attached	LA, 01502	0.801117	0.198883	30	895	30	895
Single-Family Detached	LA, 01502	0.889755	0.110245	1609	40047	1609	40047
Mobile Home	LA, 01600	0.857223	0.142777	267	8902	267	8902
Multi-Family with 2 - 4 Units	LA, 01600	0.870735	0.129265	36	1524	36	1524
Multi-Family with 5+ Units	LA, 01600	0.775037	0.224963	36	1338	36	1338
Single-Family Attached	LA, 01600	0.855292	0.144708	18	463	18	463
Single-Family Detached	LA, 01600	0.92825	0.0717495	1198	35164	1198	35164
Mobile Home	LA, 01700	0.80454	0.19546	478	15814	478	15814
Multi-Family with 2 - 4 Units	LA, 01700	0.840619	0.159381	50	1098	50	1098
Multi-Family with 5+ Units	LA, 01700	0.776452	0.223548	70	2514	70	2514
Single-Family Attached	LA, 01700	1	0	12	222	12	222
Single-Family Detached	LA, 01700	0.859052	0.140948	1567	42427	1567	42427
Mobile Home	LA, 01800	0.805126	0.194874	531	16231	531	16231
Multi-Family with 2 - 4 Units	LA, 01800	0.821579	0.178421	207	6877	207	6877
Multi-Family with 5+ Units	LA, 01800	0.860601	0.139399	93	2396	93	2396
Single-Family Attached	LA, 01800	0.983459	0.0165414	36	665	36	665
Single-Family Detached	LA, 01800	0.859482	0.140518	1966	50933	1966	50933
Mobile Home	LA, 01900	0.751842	0.248158	223	5428	223	5428
Multi-Family with 2 - 4 Units	LA, 01900	0.836629	0.163371	108	3489	108	3489
Multi-Family with 5+ Units	LA, 01900	0.778659	0.221341	41	1387	41	1387
Single-Family Attached	LA, 01900	0.940299	0.0597015	22	402	22	402
Single-Family Detached	LA, 01900	0.919403	0.0805973	1820	36701	1820	36701
Mobile Home	LA, 02000	0.820779	0.179221	429	10395	429	10395
Multi-Family with 2 - 4 Units	LA, 02000	0.879383	0.120617	90	2139	90	2139
Multi-Family with 5+ Units	LA, 02000	0.779894	0.220106	82	2258	82	2258
Single-Family Attached	LA, 02000	0.895904	0.104096	29	586	29	586
Single-Family Detached	LA, 02000	0.896153	0.103847	1889	36544	1889	36544
Mobile Home	LA, 02100	0.897264	0.102736	243	7164	243	7164
Multi-Family with 2 - 4 Units	LA, 02100	0.815862	0.184138	76	2900	76	2900
Multi-Family with 5+ Units	LA, 02100	0.855561	0.144439	108	3974	108	3974
Single-Family Attached	LA, 02100	0.871179	0.128821	23	458	23	458
Single-Family Detached	LA, 02100	0.88525	0.11475	1214	30928	1214	30928
Mobile Home	LA, 02200	0.777083	0.222917	148	3997	148	3997
Multi-Family with 2 - 4 Units	LA, 02200	0.763938	0.236062	71	1991	71	1991
Multi-Family with 5+ Units	LA, 02200	0.832123	0.167877	148	4545	148	4545
Single-Family Attached	LA, 02200	1	0	66	1254	66	1254
Single-Family Detached	LA, 02200	0.924285	0.0757149	1965	43677	1965	43677
Mobile Home	LA, 02201	0.856932	0.143068	143	4061	143	4061
Multi-Family with 2 - 4 Units	LA, 02201	0.899297	0.100703	67	2135	67	2135
Multi-Family with 5+ Units	LA, 02201	0.837801	0.162199	122	3693	122	3693
Single-Family Attached	LA, 02201	0.967655	0.032345	43	742	43	742
Single-Family Detached	LA, 02201	0.915929	0.0840713	1678	36814	1678	36814
Mobile Home	LA, 02300	0.695502	0.304498	32	578	32	578
Multi-Family with 2 - 4 Units	LA, 02300	0.865934	0.134066	235	5460	235	5460
Multi-Family with 5+ Units	LA, 02300	0.813605	0.186395	461	11422	461	11422
Single-Family Attached	LA, 02300	0.942971	0.0570292	140	2262	140	2262
Single-Family Detached	LA, 02300	0.935059	0.0649406	1881	28272	1881	28272
Mobile Home	LA, 02301	0.725806	0.274194	27	496	27	496
Multi-Family with 2 - 4 Units	LA, 02301	0.878849	0.121151	272	6983	272	6983
Multi-Family with 5+ Units	LA, 02301	0.917374	0.0826257	616	15310	616	15310
Single-Family Attached	LA, 02301	0.938079	0.0619208	147	2374	147	2374
Single-Family Detached	LA, 02301	0.938307	0.0616927	2386	38789	2386	38789
Mobile Home	LA, 02302	0.897291	0.102709	46	886	46	886
Multi-Family with 2 - 4 Units	LA, 02302	0.827901	0.172099	217	6473	217	6473
Multi-Family with 5+ Units	LA, 02302	0.851544	0.148456	287	8420	287	8420
Single-Family Attached	LA, 02302	0.804859	0.195141	123	2593	123	2593
Single-Family Detached	LA, 02302	0.916396	0.0836042	1923	36912	1923	36912
Mobile Home	LA, 02400	0.86413	0.13587	39	552	39	552
Multi-Family with 2 - 4 Units	LA, 02400	0.819069	0.180931	508	7688	508	7688
Multi-Family with 5+ Units	LA, 02400	0.797969	0.202031	483	8766	483	8766
Single-Family Attached	LA, 02400	0.85256	0.14744	446	6952	446	6952
Single-Family Detached	LA, 02400	0.882393	0.117607	2842	39479	2842	39479
Mobile Home	LA, 02401	1	0	30	397	30	397
Multi-Family with 2 - 4 Units	LA, 02401	0.687151	0.312849	1788	25402	1788	25402
Multi-Family with 5+ Units	LA, 02401	0.783169	0.216831	781	10552	781	10552
Single-Family Attached	LA, 02401	0.816628	0.183372	595	6435	595	6435
Single-Family Detached	LA, 02401	0.832735	0.167265	1861	21158	1861	21158
Mobile Home	LA, 02402	1	0	13	161	13	161
Multi-Family with 2 - 4 Units	LA, 02402	0.721808	0.278192	1056	15971	1056	15971
Multi-Family with 5+ Units	LA, 02402	0.690484	0.309516	927	17886	927	17886
Single-Family Attached	LA, 02402	0.790162	0.209838	373	4208	373	4208
Single-Family Detached	LA, 02402	0.875272	0.124728	1931	26201	1931	26201
Mobile Home	LA, 02500	0.84242	0.15758	289	4512	289	4512
Multi-Family with 2 - 4 Units	LA, 02500	0.813518	0.186482	156	3314	156	3314
Multi-Family with 5+ Units	LA, 02500	0.901973	0.0980267	55	1571	55	1571
Single-Family Attached	LA, 02500	0.810417	0.189583	106	1920	106	1920
Single-Family Detached	LA, 02500	0.874613	0.125387	2054	37173	2054	37173
Mobile Home	MA, 00100	0.837321	0.162679	123	1463	123	1463
Multi-Family with 2 - 4 Units	MA, 00100	0.790824	0.209176	570	12664	570	12664
Multi-Family with 5+ Units	MA, 00100	0.819697	0.180303	406	8458	406	8458
Single-Family Attached	MA, 00100	0.782344	0.217656	94	1314	94	1314
Single-Family Detached	MA, 00100	0.788225	0.211775	3711	45180	3711	45180
Mobile Home	MA, 00200	0.66	0.34	100	950	100	950
Multi-Family with 2 - 4 Units	MA, 00200	0.849908	0.150092	520	9241	520	9241
Multi-Family with 5+ Units	MA, 00200	0.943885	0.0561155	321	7342	321	7342
Single-Family Attached	MA, 00200	0.905202	0.0947977	138	1730	138	1730
Single-Family Detached	MA, 00200	0.892405	0.107595	3531	31888	3531	31888
Mobile Home	MA, 00300	0.843116	0.156884	8	197	1212	24687
Multi-Family with 2 - 4 Units	MA, 00300	0.876287	0.123713	1120	26230	1120	26230
Multi-Family with 5+ Units	MA, 00300	0.930754	0.0692461	928	23106	928	23106
Single-Family Attached	MA, 00300	0.945095	0.0549055	231	4444	231	4444
Single-Family Detached	MA, 00300	0.931524	0.0684764	1297	24461	1297	24461
Mobile Home	MA, 00301	1	0	33	609	33	609
Multi-Family with 2 - 4 Units	MA, 00301	0.834449	0.165551	489	10909	489	10909
