Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vacancy Status	Option=Not Available	Option=Owner	Option=Renter	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 2 - 4 Units	LA, 01800	Vacant	1	0	0	33	1227	33	1227
Multi-Family with 5+ Units	LA, 01800	Occupied	0	0.0164888	0.983511	85	2062	85	2062
Multi-Family with 5+ Units	LA, 01800	Vacant	1	0	0	8	334	1476	44058
Single-Family Attached	LA, 01800	Occupied	0	0.536697	0.463303	35	654	35	654
Single-Family Attached	LA, 01800	Vacant	1	0	0	1	11	363	7116
Single-Family Detached	LA, 01800	Occupied	0	0.793037	0.206963	1780	43776	1780	43776
Single-Family Detached	LA, 01800	Vacant	1	0	0	186	7157	186	7157
Mobile Home	LA, 01900	Occupied	0	0.716981	0.283019	174	4081	174	4081
Mobile Home	LA, 01900	Vacant	1	0	0	49	1347	49	1347
Multi-Family with 2 - 4 Units	LA, 01900	Occupied	0	0.122645	0.877355	87	2919	87	2919
Multi-Family with 2 - 4 Units	LA, 01900	Vacant	1	0	0	21	570	21	570
Multi-Family with 5+ Units	LA, 01900	Occupied	0	0.0157407	0.984259	35	1080	35	1080
Multi-Family with 5+ Units	LA, 01900	Vacant	1	0	0	6	307	7828	289770
Single-Family Attached	LA, 01900	Occupied	0	0.857143	0.142857	21	378	21	378
Single-Family Attached	LA, 01900	Vacant	1	0	0	1	24	894	25835
Single-Family Detached	LA, 01900	Occupied	0	0.891266	0.108734	1729	33743	1729	33743
Single-Family Detached	LA, 01900	Vacant	1	0	0	91	2958	91	2958
Mobile Home	LA, 02000	Occupied	0	0.772152	0.227848	375	8532	375	8532
Mobile Home	LA, 02000	Vacant	1	0	0	54	1863	54	1863
Multi-Family with 2 - 4 Units	LA, 02000	Occupied	0	0.0478469	0.952153	79	1881	79	1881
Multi-Family with 2 - 4 Units	LA, 02000	Vacant	1	0	0	11	258	11	258
Multi-Family with 5+ Units	LA, 02000	Occupied	0	0.00795003	0.99205	71	1761	71	1761
Multi-Family with 5+ Units	LA, 02000	Vacant	1	0	0	11	497	11	497
Single-Family Attached	LA, 02000	Occupied	0	0.415238	0.584762	27	525	27	525
Single-Family Attached	LA, 02000	Vacant	1	0	0	2	61	363	7116
Single-Family Detached	LA, 02000	Occupied	0	0.845553	0.154447	1752	32749	1752	32749
Single-Family Detached	LA, 02000	Vacant	1	0	0	137	3795	137	3795
Mobile Home	LA, 02100	Occupied	0	0.705352	0.294648	226	6428	226	6428
Mobile Home	LA, 02100	Vacant	1	0	0	17	736	17	736
Multi-Family with 2 - 4 Units	LA, 02100	Occupied	0	0.0147929	0.985207	65	2366	65	2366
Multi-Family with 2 - 4 Units	LA, 02100	Vacant	1	0	0	11	534	11	534
Multi-Family with 5+ Units	LA, 02100	Occupied	0	0	1	96	3400	96	3400
Multi-Family with 5+ Units	LA, 02100	Vacant	1	0	0	12	574	12	574
Single-Family Attached	LA, 02100	Occupied	0	0.588972	0.411028	22	399	22	399
Single-Family Attached	LA, 02100	Vacant	1	0	0	1	59	894	25835
Single-Family Detached	LA, 02100	Occupied	0	0.852478	0.147522	1134	27379	1134	27379
Single-Family Detached	LA, 02100	Vacant	1	0	0	80	3549	80	3549
Mobile Home	LA, 02200	Occupied	0	0.779137	0.220863	120	3106	120	3106
Mobile Home	LA, 02200	Vacant	1	0	0	28	891	28	891
Multi-Family with 2 - 4 Units	LA, 02200	Occupied	0	0.274162	0.725838	58	1521	58	1521
Multi-Family with 2 - 4 Units	LA, 02200	Vacant	1	0	0	13	470	13	470
Multi-Family with 5+ Units	LA, 02200	Occupied	0	0.0621364	0.937864	132	3782	132	3782
Multi-Family with 5+ Units	LA, 02200	Vacant	1	0	0	16	763	16	763
Single-Family Attached	LA, 02200	Occupied	0	0.670654	0.329346	66	1254	66	1254
Single-Family Attached	LA, 02200	Vacant	1	0	0	0	0	894	25835
Single-Family Detached	LA, 02200	Occupied	0	0.895863	0.104137	1883	40370	1883	40370
Single-Family Detached	LA, 02200	Vacant	1	0	0	82	3307	82	3307
Mobile Home	LA, 02201	Occupied	0	0.638793	0.361207	132	3480	132	3480
Mobile Home	LA, 02201	Vacant	1	0	0	11	581	11	581
Multi-Family with 2 - 4 Units	LA, 02201	Occupied	0	0.0786458	0.921354	61	1920	61	1920
Multi-Family with 2 - 4 Units	LA, 02201	Vacant	1	0	0	6	215	2005	66581
Multi-Family with 5+ Units	LA, 02201	Occupied	0	0.0180995	0.9819	108	3094	108	3094
Multi-Family with 5+ Units	LA, 02201	Vacant	1	0	0	14	599	14	599
Single-Family Attached	LA, 02201	Occupied	0	0.806407	0.193593	42	718	42	718
Single-Family Attached	LA, 02201	Vacant	1	0	0	1	24	894	25835
Single-Family Detached	LA, 02201	Occupied	0	0.870696	0.129304	1605	33719	1605	33719
Single-Family Detached	LA, 02201	Vacant	1	0	0	73	3095	73	3095
Mobile Home	LA, 02300	Occupied	0	0.547264	0.452736	24	402	24	402
Mobile Home	LA, 02300	Vacant	1	0	0	8	176	84	2012
Multi-Family with 2 - 4 Units	LA, 02300	Occupied	0	0.104907	0.895093	206	4728	206	4728
Multi-Family with 2 - 4 Units	LA, 02300	Vacant	1	0	0	29	732	29	732
Multi-Family with 5+ Units	LA, 02300	Occupied	0	0.0591843	0.940816	403	9293	403	9293
Multi-Family with 5+ Units	LA, 02300	Vacant	1	0	0	58	2129	58	2129
Single-Family Attached	LA, 02300	Occupied	0	0.489451	0.510549	134	2133	134	2133
Single-Family Attached	LA, 02300	Vacant	1	0	0	6	129	894	25835
Single-Family Detached	LA, 02300	Occupied	0	0.841277	0.158723	1805	26436	1805	26436
Single-Family Detached	LA, 02300	Vacant	1	0	0	76	1836	76	1836
Mobile Home	LA, 02301	Occupied	0	0.516667	0.483333	22	360	22	360
Mobile Home	LA, 02301	Vacant	1	0	0	5	136	96	2529
Multi-Family with 2 - 4 Units	LA, 02301	Occupied	0	0.0658302	0.93417	246	6137	246	6137
Multi-Family with 2 - 4 Units	LA, 02301	Vacant	1	0	0	26	846	26	846
Multi-Family with 5+ Units	LA, 02301	Occupied	0	0.129868	0.870132	575	14045	575	14045
Multi-Family with 5+ Units	LA, 02301	Vacant	1	0	0	41	1265	41	1265
Single-Family Attached	LA, 02301	Occupied	0	0.468343	0.531657	141	2227	141	2227
Single-Family Attached	LA, 02301	Vacant	1	0	0	6	147	391	8495
Single-Family Detached	LA, 02301	Occupied	0	0.882515	0.117485	2295	36396	2295	36396
Single-Family Detached	LA, 02301	Vacant	1	0	0	91	2393	91	2393
Mobile Home	LA, 02302	Occupied	0	0.706918	0.293082	43	795	43	795
Mobile Home	LA, 02302	Vacant	1	0	0	3	91	113	3177
Multi-Family with 2 - 4 Units	LA, 02302	Occupied	0	0.0472103	0.95279	186	5359	186	5359
Multi-Family with 2 - 4 Units	LA, 02302	Vacant	1	0	0	31	1114	31	1114
Multi-Family with 5+ Units	LA, 02302	Occupied	0	0.0320781	0.967922	243	7170	243	7170
Multi-Family with 5+ Units	LA, 02302	Vacant	1	0	0	44	1250	44	1250
Single-Family Attached	LA, 02302	Occupied	0	0.217058	0.782942	107	2087	107	2087
Single-Family Attached	LA, 02302	Vacant	1	0	0	16	506	16	506
Single-Family Detached	LA, 02302	Occupied	0	0.778307	0.221693	1813	33826	1813	33826
Single-Family Detached	LA, 02302	Vacant	1	0	0	110	3086	110	3086
Mobile Home	LA, 02400	Occupied	0	0.385744	0.614256	35	477	35	477
Mobile Home	LA, 02400	Vacant	1	0	0	4	75	256	4718
Multi-Family with 2 - 4 Units	LA, 02400	Occupied	0	0.163888	0.836112	437	6297	437	6297
Multi-Family with 2 - 4 Units	LA, 02400	Vacant	1	0	0	71	1391	71	1391
Multi-Family with 5+ Units	LA, 02400	Occupied	0	0.0458899	0.95411	387	6995	387	6995
Multi-Family with 5+ Units	LA, 02400	Vacant	1	0	0	96	1771	96	1771
Single-Family Attached	LA, 02400	Occupied	0	0.30572	0.69428	388	5927	388	5927
Single-Family Attached	LA, 02400	Vacant	1	0	0	58	1025	58	1025
Single-Family Detached	LA, 02400	Occupied	0	0.802962	0.197038	2590	34836	2590	34836
Single-Family Detached	LA, 02400	Vacant	1	0	0	252	4643	252	4643
Mobile Home	LA, 02401	Occupied	0	0.586902	0.413098	30	397	30	397
Mobile Home	LA, 02401	Vacant	1	0	0	0	0	238	3539
Multi-Family with 2 - 4 Units	LA, 02401	Occupied	0	0.157262	0.842738	1293	17455	1293	17455
Multi-Family with 2 - 4 Units	LA, 02401	Vacant	1	0	0	495	7947	495	7947
Multi-Family with 5+ Units	LA, 02401	Occupied	0	0.0429574	0.957043	643	8264	643	8264
Multi-Family with 5+ Units	LA, 02401	Vacant	1	0	0	138	2288	138	2288
Single-Family Attached	LA, 02401	Occupied	0	0.252712	0.747288	514	5255	514	5255
Single-Family Attached	LA, 02401	Vacant	1	0	0	81	1180	81	1180
Single-Family Detached	LA, 02401	Occupied	0	0.737386	0.262614	1623	17619	1623	17619
Single-Family Detached	LA, 02401	Vacant	1	0	0	238	3539	238	3539
Mobile Home	LA, 02402	Occupied	0	0.819876	0.180124	13	161	13	161
Mobile Home	LA, 02402	Vacant	1	0	0	0	0	155	3268
Multi-Family with 2 - 4 Units	LA, 02402	Occupied	0	0.236121	0.763879	847	11528	847	11528
Multi-Family with 2 - 4 Units	LA, 02402	Vacant	1	0	0	209	4443	209	4443
Multi-Family with 5+ Units	LA, 02402	Occupied	0	0.131336	0.868664	706	12350	706	12350
Multi-Family with 5+ Units	LA, 02402	Vacant	1	0	0	221	5536	221	5536
Single-Family Attached	LA, 02402	Occupied	0	0.434887	0.565113	326	3325	326	3325
Single-Family Attached	LA, 02402	Vacant	1	0	0	47	883	47	883
Single-Family Detached	LA, 02402	Occupied	0	0.836829	0.163171	1776	22933	1776	22933
Single-Family Detached	LA, 02402	Vacant	1	0	0	155	3268	155	3268
Mobile Home	LA, 02500	Occupied	0	0.765325	0.234675	240	3801	240	3801
Mobile Home	LA, 02500	Vacant	1	0	0	49	711	49	711
Multi-Family with 2 - 4 Units	LA, 02500	Occupied	0	0.0645401	0.93546	127	2696	127	2696
Multi-Family with 2 - 4 Units	LA, 02500	Vacant	1	0	0	29	618	29	618
Multi-Family with 5+ Units	LA, 02500	Occupied	0	0.0162315	0.983769	47	1417	47	1417
Multi-Family with 5+ Units	LA, 02500	Vacant	1	0	0	8	154	7828	289770
Single-Family Attached	LA, 02500	Occupied	0	0.136247	0.863753	86	1556	86	1556
Single-Family Attached	LA, 02500	Vacant	1	0	0	20	364	20	364
Single-Family Detached	LA, 02500	Occupied	0	0.84901	0.15099	1777	32512	1777	32512
Single-Family Detached	LA, 02500	Vacant	1	0	0	277	4661	277	4661
Mobile Home	MA, 00100	Occupied	0	0.85551	0.14449	110	1225	110	1225
Mobile Home	MA, 00100	Vacant	1	0	0	13	238	13	238
Multi-Family with 2 - 4 Units	MA, 00100	Occupied	0	0.23325	0.76675	477	10015	477	10015
Multi-Family with 2 - 4 Units	MA, 00100	Vacant	1	0	0	93	2649	93	2649
Multi-Family with 5+ Units	MA, 00100	Occupied	0	0.0949084	0.905092	329	6933	329	6933
Multi-Family with 5+ Units	MA, 00100	Vacant	1	0	0	77	1525	77	1525
Single-Family Attached	MA, 00100	Occupied	0	0.638132	0.361868	78	1028	78	1028
Single-Family Attached	MA, 00100	Vacant	1	0	0	16	286	16	286
Single-Family Detached	MA, 00100	Occupied	0	0.92028	0.0797203	3014	35612	3014	35612
Single-Family Detached	MA, 00100	Vacant	1	0	0	697	9568	697	9568
Mobile Home	MA, 00200	Occupied	0	0.76236	0.23764	71	627	71	627
Mobile Home	MA, 00200	Vacant	1	0	0	29	323	29	323
Multi-Family with 2 - 4 Units	MA, 00200	Occupied	0	0.230074	0.769926	473	7854	473	7854
Multi-Family with 2 - 4 Units	MA, 00200	Vacant	1	0	0	47	1387	47	1387
Multi-Family with 5+ Units	MA, 00200	Occupied	0	0.092785	0.907215	310	6930	310	6930
Multi-Family with 5+ Units	MA, 00200	Vacant	1	0	0	11	412	11	412
Single-Family Attached	MA, 00200	Occupied	0	0.64304	0.35696	131	1566	131	1566
Single-Family Attached	MA, 00200	Vacant	1	0	0	7	164	620	13243
Single-Family Detached	MA, 00200	Occupied	0	0.899181	0.100819	3253	28457	3253	28457
Single-Family Detached	MA, 00200	Vacant	1	0	0	278	3431	278	3431
Mobile Home	MA, 00300	Occupied	0	0.894293	0.105707	6	117	1254	22903
Mobile Home	MA, 00300	Vacant	1	0	0	2	80	51	1755
Multi-Family with 2 - 4 Units	MA, 00300	Occupied	0	0.195823	0.804177	1011	22985	1011	22985
Multi-Family with 2 - 4 Units	MA, 00300	Vacant	1	0	0	109	3245	109	3245
Multi-Family with 5+ Units	MA, 00300	Occupied	0	0.0709569	0.929043	875	21506	875	21506
Multi-Family with 5+ Units	MA, 00300	Vacant	1	0	0	53	1600	53	1600
Single-Family Attached	MA, 00300	Occupied	0	0.630714	0.369286	223	4200	223	4200
Single-Family Attached	MA, 00300	Vacant	1	0	0	8	244	99	2660
Single-Family Detached	MA, 00300	Occupied	0	0.895638	0.104362	1248	22786	1248	22786
Single-Family Detached	MA, 00300	Vacant	1	0	0	49	1675	49	1675
Mobile Home	MA, 00301	Occupied	0	0.858785	0.141215	33	609	33	609
Mobile Home	MA, 00301	Vacant	1	0	0	0	0	42	1579
Multi-Family with 2 - 4 Units	MA, 00301	Occupied	0	0.276832	0.723168	435	9103	435	9103
Multi-Family with 2 - 4 Units	MA, 00301	Vacant	1	0	0	54	1806	54	1806
Multi-Family with 5+ Units	MA, 00301	Occupied	0	0.0798241	0.920176	454	10686	454	10686
Multi-Family with 5+ Units	MA, 00301	Vacant	1	0	0	14	400	14	400
Single-Family Attached	MA, 00301	Occupied	0	0.651372	0.348628	114	2441	114	2441
Single-Family Attached	MA, 00301	Vacant	1	0	0	2	90	464	15978
Single-Family Detached	MA, 00301	Occupied	0	0.931497	0.0685027	1298	24364	1298	24364
Single-Family Detached	MA, 00301	Vacant	1	0	0	42	1579	42	1579
Mobile Home	MA, 00302	Occupied	0	0.861656	0.138344	53	918	53	918
Mobile Home	MA, 00302	Vacant	1	0	0	4	143	72	2160
Multi-Family with 2 - 4 Units	MA, 00302	Occupied	0	0.332818	0.667182	255	5171	255	5171
Multi-Family with 2 - 4 Units	MA, 00302	Vacant	1	0	0	31	1121	31	1121
Multi-Family with 5+ Units	MA, 00302	Occupied	0	0.153039	0.846961	191	3620	191	3620
Multi-Family with 5+ Units	MA, 00302	Vacant	1	0	0	11	446	11	446
Single-Family Attached	MA, 00302	Occupied	0	0.81546	0.18454	147	2238	147	2238
Single-Family Attached	MA, 00302	Vacant	1	0	0	2	29	464	15978
Single-Family Detached	MA, 00302	Occupied	0	0.935855	0.0641453	2219	34531	2219	34531
Single-Family Detached	MA, 00302	Vacant	1	0	0	68	2017	68	2017
Mobile Home	MA, 00303	Occupied	0	0.935569	0.0644312	7	130	1575	28092
Mobile Home	MA, 00303	Vacant	1	0	0	0	0	28	1189
Multi-Family with 2 - 4 Units	MA, 00303	Occupied	0	0.357526	0.642474	248	5029	248	5029
Multi-Family with 2 - 4 Units	MA, 00303	Vacant	1	0	0	14	519	14	519
Multi-Family with 5+ Units	MA, 00303	Occupied	0	0.121718	0.878282	330	7542	330	7542
Multi-Family with 5+ Units	MA, 00303	Vacant	1	0	0	17	852	17	852
Single-Family Attached	MA, 00303	Occupied	0	0.791486	0.208514	217	3688	217	3688
Single-Family Attached	MA, 00303	Vacant	1	0	0	8	294	464	15978
Single-Family Detached	MA, 00303	Occupied	0	0.937522	0.0624776	1568	27962	1568	27962
Single-Family Detached	MA, 00303	Vacant	1	0	0	28	1189	28	1189
Mobile Home	MA, 00304	Occupied	0	0.752688	0.247312	25	279	25	279
Mobile Home	MA, 00304	Vacant	1	0	0	5	180	57	2169
Multi-Family with 2 - 4 Units	MA, 00304	Occupied	0	0.214505	0.785495	510	10424	510	10424
Multi-Family with 2 - 4 Units	MA, 00304	Vacant	1	0	0	44	1316	44	1316
Multi-Family with 5+ Units	MA, 00304	Occupied	0	0.116618	0.883382	307	6860	307	6860
Multi-Family with 5+ Units	MA, 00304	Vacant	1	0	0	10	409	10	409
Single-Family Attached	MA, 00304	Occupied	0	0.753728	0.246272	189	3890	189	3890
Single-Family Attached	MA, 00304	Vacant	1	0	0	10	291	10	291
Single-Family Detached	MA, 00304	Occupied	0	0.930015	0.0699846	1801	36951	1801	36951
Single-Family Detached	MA, 00304	Vacant	1	0	0	52	1989	52	1989
Mobile Home	MA, 00400	Occupied	0	0.72973	0.27027	19	370	19	370
Mobile Home	MA, 00400	Vacant	1	0	0	3	45	86	2713
Multi-Family with 2 - 4 Units	MA, 00400	Occupied	0	0.259229	0.740771	146	3684	146	3684
Multi-Family with 2 - 4 Units	MA, 00400	Vacant	1	0	0	13	535	13	535
Multi-Family with 5+ Units	MA, 00400	Occupied	0	0.125838	0.874162	113	2535	113	2535
Multi-Family with 5+ Units	MA, 00400	Vacant	1	0	0	6	216	1791	67398
Single-Family Attached	MA, 00400	Occupied	0	0.641734	0.358266	93	2099	93	2099
Single-Family Attached	MA, 00400	Vacant	1	0	0	2	69	464	15978
Single-Family Detached	MA, 00400	Occupied	0	0.932887	0.067113	1806	31663	1806	31663
Single-Family Detached	MA, 00400	Vacant	1	0	0	83	2668	83	2668
Mobile Home	MA, 00501	Occupied	0	0.696049	0.303951	15	329	15	329
Mobile Home	MA, 00501	Vacant	1	0	0	0	0	21	777
Multi-Family with 2 - 4 Units	MA, 00501	Occupied	0	0.414365	0.585635	107	2353	107	2353
Multi-Family with 2 - 4 Units	MA, 00501	Vacant	1	0	0	6	260	2604	88522
Multi-Family with 5+ Units	MA, 00501	Occupied	0	0.288727	0.711273	242	6307	242	6307
Multi-Family with 5+ Units	MA, 00501	Vacant	1	0	0	2	127	1791	67398
Single-Family Attached	MA, 00501	Occupied	0	0.811594	0.188406	130	2760	130	2760
Single-Family Attached	MA, 00501	Vacant	1	0	0	4	165	464	15978
Single-Family Detached	MA, 00501	Occupied	0	0.954162	0.0458376	1757	31917	1757	31917
Single-Family Detached	MA, 00501	Vacant	1	0	0	21	777	21	777
Mobile Home	MA, 00502	Occupied	0	0.892596	0.107404	6	88	669	13128
Mobile Home	MA, 00502	Vacant	1	0	0	0	0	14	472
Multi-Family with 2 - 4 Units	MA, 00502	Occupied	0	0.203663	0.796337	504	10974	504	10974
Multi-Family with 2 - 4 Units	MA, 00502	Vacant	1	0	0	37	943	37	943
Multi-Family with 5+ Units	MA, 00502	Occupied	0	0.138602	0.861398	576	13261	576	13261
Multi-Family with 5+ Units	MA, 00502	Vacant	1	0	0	23	802	23	802
Single-Family Attached	MA, 00502	Occupied	0	0.511662	0.488338	107	2058	107	2058
Single-Family Attached	MA, 00502	Vacant	1	0	0	4	148	464	15978
Single-Family Detached	MA, 00502	Occupied	0	0.896549	0.103451	663	13040	663	13040
Single-Family Detached	MA, 00502	Vacant	1	0	0	14	472	14	472
Mobile Home	MA, 00503	Occupied	0	0.942903	0.0570974	4	96	1594	29511
Mobile Home	MA, 00503	Vacant	1	0	0	1	69	22	808
Multi-Family with 2 - 4 Units	MA, 00503	Occupied	0	0.293928	0.706072	322	7774	322	7774
Multi-Family with 2 - 4 Units	MA, 00503	Vacant	1	0	0	15	537	15	537
Multi-Family with 5+ Units	MA, 00503	Occupied	0	0.162552	0.837448	568	12556	568	12556
Multi-Family with 5+ Units	MA, 00503	Vacant	1	0	0	29	1245	29	1245
Single-Family Attached	MA, 00503	Occupied	0	0.57593	0.42407	199	3681	199	3681
Single-Family Attached	MA, 00503	Vacant	1	0	0	5	189	464	15978
Single-Family Detached	MA, 00503	Occupied	0	0.945402	0.054598	1590	29415	1590	29415
Single-Family Detached	MA, 00503	Vacant	1	0	0	21	739	21	739
Mobile Home	MA, 00504	Occupied	0	0.602524	0.397476	20	634	20	634
Mobile Home	MA, 00504	Vacant	1	0	0	2	126	23	1009
Multi-Family with 2 - 4 Units	MA, 00504	Occupied	0	0.240533	0.759467	270	7500	270	7500
Multi-Family with 2 - 4 Units	MA, 00504	Vacant	1	0	0	13	585	13	585
Multi-Family with 5+ Units	MA, 00504	Occupied	0	0.129456	0.870544	606	16384	606	16384
Multi-Family with 5+ Units	MA, 00504	Vacant	1	0	0	27	1283	27	1283
Single-Family Attached	MA, 00504	Occupied	0	0.552039	0.447961	132	3507	132	3507
Single-Family Attached	MA, 00504	Vacant	1	0	0	9	337	464	15978
Single-Family Detached	MA, 00504	Occupied	0	0.918168	0.0818316	1472	30465	1472	30465
Single-Family Detached	MA, 00504	Vacant	1	0	0	21	883	21	883
Mobile Home	MA, 00505	Occupied	0	0.937031	0.0629691	0	0	1390	22249
Mobile Home	MA, 00505	Vacant	1	0	0	1	38	19	524
Multi-Family with 2 - 4 Units	MA, 00505	Occupied	0	0.408994	0.591006	893	16433	893	16433
Multi-Family with 2 - 4 Units	MA, 00505	Vacant	1	0	0	35	1288	35	1288
Multi-Family with 5+ Units	MA, 00505	Occupied	0	0.260992	0.739008	450	9962	450	9962
Multi-Family with 5+ Units	MA, 00505	Vacant	1	0	0	13	716	13	716
Single-Family Attached	MA, 00505	Occupied	0	0.620192	0.379808	213	3744	213	3744
Single-Family Attached	MA, 00505	Vacant	1	0	0	5	222	464	15978
Single-Family Detached	MA, 00505	Occupied	0	0.937031	0.0629691	1390	22249	1390	22249
Single-Family Detached	MA, 00505	Vacant	1	0	0	18	486	18	486
Mobile Home	MA, 00506	Occupied	0	0.884027	0.115973	1	18	308	4251
Mobile Home	MA, 00506	Vacant	1	0	0	0	0	7	243
Multi-Family with 2 - 4 Units	MA, 00506	Occupied	0	0.426134	0.573866	892	13714	892	13714
Multi-Family with 2 - 4 Units	MA, 00506	Vacant	1	0	0	50	1429	50	1429
Multi-Family with 5+ Units	MA, 00506	Occupied	0	0.185181	0.814819	1518	26007	1518	26007
Multi-Family with 5+ Units	MA, 00506	Vacant	1	0	0	101	3283	101	3283
Single-Family Attached	MA, 00506	Occupied	0	0.613692	0.386308	190	2863	190	2863
Single-Family Attached	MA, 00506	Vacant	1	0	0	4	70	99	2660
Single-Family Detached	MA, 00506	Occupied	0	0.887786	0.112214	307	4233	307	4233
Single-Family Detached	MA, 00506	Vacant	1	0	0	8	265	274	8497
Mobile Home	MA, 00507	Occupied	0	0.803035	0.196965	4	116	390	6590
Mobile Home	MA, 00507	Vacant	1	0	0	0	0	349	12228
Multi-Family with 2 - 4 Units	MA, 00507	Occupied	0	0.327373	0.672627	1264	26398	1264	26398
Multi-Family with 2 - 4 Units	MA, 00507	Vacant	1	0	0	62	2070	62	2070
Multi-Family with 5+ Units	MA, 00507	Occupied	0	0.131504	0.868496	545	12973	545	12973
Multi-Family with 5+ Units	MA, 00507	Vacant	1	0	0	12	446	12	446
Single-Family Attached	MA, 00507	Occupied	0	0.490045	0.509955	132	2863	132	2863
Single-Family Attached	MA, 00507	Vacant	1	0	0	5	99	464	15978
Single-Family Detached	MA, 00507	Occupied	0	0.816188	0.183812	386	6474	386	6474
Single-Family Detached	MA, 00507	Vacant	1	0	0	7	260	7746	231806
Mobile Home	MA, 00508	Occupied	0	0.904101	0.0958987	8	149	629	13264
Mobile Home	MA, 00508	Vacant	1	0	0	0	0	349	12228
Multi-Family with 2 - 4 Units	MA, 00508	Occupied	0	0.368023	0.631977	632	15480	632	15480
Multi-Family with 2 - 4 Units	MA, 00508	Vacant	1	0	0	35	1302	35	1302
Multi-Family with 5+ Units	MA, 00508	Occupied	0	0.177524	0.822476	507	13846	507	13846
Multi-Family with 5+ Units	MA, 00508	Vacant	1	0	0	16	716	16	716
Single-Family Attached	MA, 00508	Occupied	0	0.502535	0.497465	126	3353	126	3353
Single-Family Attached	MA, 00508	Vacant	1	0	0	6	274	464	15978
Single-Family Detached	MA, 00508	Occupied	0	0.904461	0.0955395	621	13115	621	13115
Single-Family Detached	MA, 00508	Vacant	1	0	0	9	279	7746	231806
Mobile Home	MA, 00701	Occupied	0	0.916948	0.0830518	4	64	1472	25755
Mobile Home	MA, 00701	Vacant	1	0	0	3	116	36	1144
Multi-Family with 2 - 4 Units	MA, 00701	Occupied	0	0.247919	0.752081	891	20664	891	20664
Multi-Family with 2 - 4 Units	MA, 00701	Vacant	1	0	0	52	1431	52	1431
Multi-Family with 5+ Units	MA, 00701	Occupied	0	0.116266	0.883734	712	15456	712	15456
Multi-Family with 5+ Units	MA, 00701	Vacant	1	0	0	35	1001	35	1001
Single-Family Attached	MA, 00701	Occupied	0	0.584507	0.415493	303	6248	303	6248
Single-Family Attached	MA, 00701	Vacant	1	0	0	11	323	11	323
Single-Family Detached	MA, 00701	Occupied	0	0.918065	0.0819353	1468	25691	1468	25691
Single-Family Detached	MA, 00701	Vacant	1	0	0	33	1028	33	1028
Mobile Home	MA, 00702	Occupied	0	0.863291	0.136709	17	395	17	395
Mobile Home	MA, 00702	Vacant	1	0	0	0	0	28	865
Multi-Family with 2 - 4 Units	MA, 00702	Occupied	0	0.401436	0.598564	142	3343	142	3343
Multi-Family with 2 - 4 Units	MA, 00702	Vacant	1	0	0	6	322	2604	88522
Multi-Family with 5+ Units	MA, 00702	Occupied	0	0.294852	0.705148	281	6410	281	6410
Multi-Family with 5+ Units	MA, 00702	Vacant	1	0	0	13	383	13	383
Single-Family Attached	MA, 00702	Occupied	0	0.862034	0.137966	141	2979	141	2979
Single-Family Attached	MA, 00702	Vacant	1	0	0	7	255	464	15978
Single-Family Detached	MA, 00702	Occupied	0	0.951112	0.0488878	1521	27512	1521	27512
Single-Family Detached	MA, 00702	Vacant	1	0	0	28	865	28	865
Mobile Home	MA, 00703	Occupied	0	0.542969	0.457031	17	256	17	256
Mobile Home	MA, 00703	Vacant	1	0	0	4	139	137	4423
Multi-Family with 2 - 4 Units	MA, 00703	Occupied	0	0.347222	0.652778	889	19008	889	19008
Multi-Family with 2 - 4 Units	MA, 00703	Vacant	1	0	0	71	2515	71	2515
Multi-Family with 5+ Units	MA, 00703	Occupied	0	0.193023	0.806977	674	14848	674	14848
Multi-Family with 5+ Units	MA, 00703	Vacant	1	0	0	33	1293	33	1293
Single-Family Attached	MA, 00703	Occupied	0	0.751113	0.248887	275	5617	275	5617
Single-Family Attached	MA, 00703	Vacant	1	0	0	13	469	13	469
Single-Family Detached	MA, 00703	Occupied	0	0.925141	0.0748594	2546	45512	2546	45512
Single-Family Detached	MA, 00703	Vacant	1	0	0	133	4284	133	4284
Mobile Home	MA, 00704	Occupied	0	0.921725	0.0782747	4	64	923	15139
Mobile Home	MA, 00704	Vacant	1	0	0	0	0	24	710
Multi-Family with 2 - 4 Units	MA, 00704	Occupied	0	0.322601	0.677399	552	12548	552	12548
Multi-Family with 2 - 4 Units	MA, 00704	Vacant	1	0	0	30	766	30	766
Multi-Family with 5+ Units	MA, 00704	Occupied	0	0.134986	0.865014	488	10527	488	10527
Multi-Family with 5+ Units	MA, 00704	Vacant	1	0	0	9	292	1791	67398
Single-Family Attached	MA, 00704	Occupied	0	0.429299	0.570701	87	1768	87	1768
Single-Family Attached	MA, 00704	Vacant	1	0	0	1	36	464	15978
Single-Family Detached	MA, 00704	Occupied	0	0.921393	0.078607	919	15075	919	15075
Single-Family Detached	MA, 00704	Vacant	1	0	0	24	710	24	710
Mobile Home	MA, 01000	Occupied	0	0.67638	0.32362	24	652	24	652
Mobile Home	MA, 01000	Vacant	1	0	0	1	34	16	737
Multi-Family with 2 - 4 Units	MA, 01000	Occupied	0	0.287853	0.712147	243	5878	243	5878
Multi-Family with 2 - 4 Units	MA, 01000	Vacant	1	0	0	10	338	10	338
Multi-Family with 5+ Units	MA, 01000	Occupied	0	0.284831	0.715169	425	10838	425	10838
