	field	enumeration	enumeration_description
8778	in.county_and_puma	G5300450, G53011300	GISJOIN identifier for each county + PUMA combination
8779	in.county_and_puma	G5300470, G53010400	GISJOIN identifier for each county + PUMA combination
8780	in.county_and_puma	G5300490, G53011200	GISJOIN identifier for each county + PUMA combination
8781	in.county_and_puma	G5300510, G53010400	GISJOIN identifier for each county + PUMA combination
8782	in.county_and_puma	G5300530, G53011501	GISJOIN identifier for each county + PUMA combination
8783	in.county_and_puma	G5300530, G53011502	GISJOIN identifier for each county + PUMA combination
8784	in.county_and_puma	G5300530, G53011503	GISJOIN identifier for each county + PUMA combination
8785	in.county_and_puma	G5300530, G53011504	GISJOIN identifier for each county + PUMA combination
8786	in.county_and_puma	G5300530, G53011505	GISJOIN identifier for each county + PUMA combination
8787	in.county_and_puma	G5300530, G53011506	GISJOIN identifier for each county + PUMA combination
8788	in.county_and_puma	G5300530, G53011507	GISJOIN identifier for each county + PUMA combination
8789	in.county_and_puma	G5300550, G53010200	GISJOIN identifier for each county + PUMA combination
8790	in.county_and_puma	G5300570, G53010200	GISJOIN identifier for each county + PUMA combination
8791	in.county_and_puma	G5300590, G53011000	GISJOIN identifier for each county + PUMA combination
8792	in.county_and_puma	G5300610, G53011701	GISJOIN identifier for each county + PUMA combination
8793	in.county_and_puma	G5300610, G53011702	GISJOIN identifier for each county + PUMA combination
8794	in.county_and_puma	G5300610, G53011703	GISJOIN identifier for each county + PUMA combination
8795	in.county_and_puma	G5300610, G53011704	GISJOIN identifier for each county + PUMA combination
8796	in.county_and_puma	G5300610, G53011705	GISJOIN identifier for each county + PUMA combination
8797	in.county_and_puma	G5300610, G53011706	GISJOIN identifier for each county + PUMA combination
8798	in.county_and_puma	G5300630, G53010501	GISJOIN identifier for each county + PUMA combination
8799	in.county_and_puma	G5300630, G53010502	GISJOIN identifier for each county + PUMA combination
8800	in.county_and_puma	G5300630, G53010503	GISJOIN identifier for each county + PUMA combination
8801	in.county_and_puma	G5300630, G53010504	GISJOIN identifier for each county + PUMA combination
8802	in.county_and_puma	G5300650, G53010400	GISJOIN identifier for each county + PUMA combination
8803	in.county_and_puma	G5300670, G53011401	GISJOIN identifier for each county + PUMA combination
8804	in.county_and_puma	G5300670, G53011402	GISJOIN identifier for each county + PUMA combination
8805	in.county_and_puma	G5300690, G53011200	GISJOIN identifier for each county + PUMA combination
8806	in.county_and_puma	G5300710, G53010703	GISJOIN identifier for each county + PUMA combination
8807	in.county_and_puma	G5300730, G53010100	GISJOIN identifier for each county + PUMA combination
8808	in.county_and_puma	G5300750, G53010600	GISJOIN identifier for each county + PUMA combination
8809	in.county_and_puma	G5300770, G53010901	GISJOIN identifier for each county + PUMA combination
8810	in.county_and_puma	G5300770, G53010902	GISJOIN identifier for each county + PUMA combination
8811	in.county_and_puma	G5400010, G54000500	GISJOIN identifier for each county + PUMA combination
8812	in.county_and_puma	G5400030, G54000400	GISJOIN identifier for each county + PUMA combination
8813	in.county_and_puma	G5400050, G54000900	GISJOIN identifier for each county + PUMA combination
8814	in.county_and_puma	G5400070, G54000600	GISJOIN identifier for each county + PUMA combination
8815	in.county_and_puma	G5400090, G54000100	GISJOIN identifier for each county + PUMA combination
8816	in.county_and_puma	G5400110, G54000800	GISJOIN identifier for each county + PUMA combination
8817	in.county_and_puma	G5400130, G54000600	GISJOIN identifier for each county + PUMA combination
8818	in.county_and_puma	G5400150, G54001000	GISJOIN identifier for each county + PUMA combination
8819	in.county_and_puma	G5400170, G54000200	GISJOIN identifier for each county + PUMA combination
8820	in.county_and_puma	G5400190, G54001200	GISJOIN identifier for each county + PUMA combination
8821	in.county_and_puma	G5400210, G54000600	GISJOIN identifier for each county + PUMA combination
8822	in.county_and_puma	G5400230, G54000500	GISJOIN identifier for each county + PUMA combination
8823	in.county_and_puma	G5400250, G54001100	GISJOIN identifier for each county + PUMA combination
8824	in.county_and_puma	G5400270, G54000400	GISJOIN identifier for each county + PUMA combination
8825	in.county_and_puma	G5400290, G54000100	GISJOIN identifier for each county + PUMA combination
8826	in.county_and_puma	G5400310, G54000500	GISJOIN identifier for each county + PUMA combination
8827	in.county_and_puma	G5400330, G54000200	GISJOIN identifier for each county + PUMA combination
8828	in.county_and_puma	G5400350, G54000600	GISJOIN identifier for each county + PUMA combination
8829	in.county_and_puma	G5400370, G54000400	GISJOIN identifier for each county + PUMA combination
8830	in.county_and_puma	G5400390, G54001000	GISJOIN identifier for each county + PUMA combination
8831	in.county_and_puma	G5400410, G54000500	GISJOIN identifier for each county + PUMA combination
8832	in.county_and_puma	G5400430, G54000900	GISJOIN identifier for each county + PUMA combination
8833	in.county_and_puma	G5400450, G54001300	GISJOIN identifier for each county + PUMA combination
8834	in.county_and_puma	G5400470, G54001300	GISJOIN identifier for each county + PUMA combination
8835	in.county_and_puma	G5400490, G54000200	GISJOIN identifier for each county + PUMA combination
8836	in.county_and_puma	G5400510, G54000100	GISJOIN identifier for each county + PUMA combination
8837	in.county_and_puma	G5400530, G54000800	GISJOIN identifier for each county + PUMA combination
8838	in.county_and_puma	G5400550, G54001200	GISJOIN identifier for each county + PUMA combination
8839	in.county_and_puma	G5400570, G54000400	GISJOIN identifier for each county + PUMA combination
8840	in.county_and_puma	G5400590, G54001300	GISJOIN identifier for each county + PUMA combination
8841	in.county_and_puma	G5400610, G54000300	GISJOIN identifier for each county + PUMA combination
8842	in.county_and_puma	G5400630, G54001100	GISJOIN identifier for each county + PUMA combination
8843	in.county_and_puma	G5400650, G54000400	GISJOIN identifier for each county + PUMA combination
8844	in.county_and_puma	G5400670, G54001100	GISJOIN identifier for each county + PUMA combination
8845	in.county_and_puma	G5400690, G54000100	GISJOIN identifier for each county + PUMA combination
8846	in.county_and_puma	G5400710, G54000500	GISJOIN identifier for each county + PUMA combination
8847	in.county_and_puma	G5400730, G54000700	GISJOIN identifier for each county + PUMA combination
8848	in.county_and_puma	G5400750, G54001100	GISJOIN identifier for each county + PUMA combination
8849	in.county_and_puma	G5400770, G54000300	GISJOIN identifier for each county + PUMA combination
8850	in.county_and_puma	G5400790, G54000900	GISJOIN identifier for each county + PUMA combination
8851	in.county_and_puma	G5400810, G54001200	GISJOIN identifier for each county + PUMA combination
8852	in.county_and_puma	G5400830, G54000500	GISJOIN identifier for each county + PUMA combination
8853	in.county_and_puma	G5400850, G54000600	GISJOIN identifier for each county + PUMA combination
8854	in.county_and_puma	G5400870, G54000600	GISJOIN identifier for each county + PUMA combination
8855	in.county_and_puma	G5400890, G54001100	GISJOIN identifier for each county + PUMA combination
8856	in.county_and_puma	G5400910, G54000200	GISJOIN identifier for each county + PUMA combination
8857	in.county_and_puma	G5400930, G54000500	GISJOIN identifier for each county + PUMA combination
8858	in.county_and_puma	G5400950, G54000600	GISJOIN identifier for each county + PUMA combination
8859	in.county_and_puma	G5400970, G54000500	GISJOIN identifier for each county + PUMA combination
8860	in.county_and_puma	G5400990, G54000800	GISJOIN identifier for each county + PUMA combination
8861	in.county_and_puma	G5401010, G54001100	GISJOIN identifier for each county + PUMA combination
8862	in.county_and_puma	G5401030, G54000600	GISJOIN identifier for each county + PUMA combination
8863	in.county_and_puma	G5401050, G54000700	GISJOIN identifier for each county + PUMA combination
8864	in.county_and_puma	G5401070, G54000700	GISJOIN identifier for each county + PUMA combination
8865	in.county_and_puma	G5401090, G54001300	GISJOIN identifier for each county + PUMA combination
8866	in.county_and_puma	G5500010, G55001601	GISJOIN identifier for each county + PUMA combination
8867	in.county_and_puma	G5500030, G55000100	GISJOIN identifier for each county + PUMA combination
8868	in.county_and_puma	G5500050, G55055101	GISJOIN identifier for each county + PUMA combination
8869	in.county_and_puma	G5500070, G55000100	GISJOIN identifier for each county + PUMA combination
8870	in.county_and_puma	G5500090, G55000200	GISJOIN identifier for each county + PUMA combination
8871	in.county_and_puma	G5500090, G55000300	GISJOIN identifier for each county + PUMA combination
8872	in.county_and_puma	G5500110, G55000700	GISJOIN identifier for each county + PUMA combination
8873	in.county_and_puma	G5500130, G55000100	GISJOIN identifier for each county + PUMA combination
8874	in.county_and_puma	G5500150, G55001401	GISJOIN identifier for each county + PUMA combination
8875	in.county_and_puma	G5500170, G55055101	GISJOIN identifier for each county + PUMA combination
8876	in.county_and_puma	G5500170, G55055103	GISJOIN identifier for each county + PUMA combination
8877	in.county_and_puma	G5500190, G55055101	GISJOIN identifier for each county + PUMA combination
8878	in.county_and_puma	G5500210, G55001000	GISJOIN identifier for each county + PUMA combination
8879	in.county_and_puma	G5500230, G55000700	GISJOIN identifier for each county + PUMA combination
8880	in.county_and_puma	G5500250, G55000101	GISJOIN identifier for each county + PUMA combination
8881	in.county_and_puma	G5500250, G55000102	GISJOIN identifier for each county + PUMA combination
8882	in.county_and_puma	G5500250, G55000103	GISJOIN identifier for each county + PUMA combination
8883	in.county_and_puma	G5500270, G55001001	GISJOIN identifier for each county + PUMA combination
8884	in.county_and_puma	G5500290, G55001300	GISJOIN identifier for each county + PUMA combination
8885	in.county_and_puma	G5500310, G55000100	GISJOIN identifier for each county + PUMA combination
8886	in.county_and_puma	G5500330, G55055102	GISJOIN identifier for each county + PUMA combination
8887	in.county_and_puma	G5500350, G55055103	GISJOIN identifier for each county + PUMA combination
8888	in.county_and_puma	G5500370, G55001300	GISJOIN identifier for each county + PUMA combination
8889	in.county_and_puma	G5500390, G55001401	GISJOIN identifier for each county + PUMA combination
8890	in.county_and_puma	G5500410, G55000600	GISJOIN identifier for each county + PUMA combination
8891	in.county_and_puma	G5500430, G55000800	GISJOIN identifier for each county + PUMA combination
8892	in.county_and_puma	G5500450, G55000800	GISJOIN identifier for each county + PUMA combination
8893	in.county_and_puma	G5500470, G55001400	GISJOIN identifier for each county + PUMA combination
8894	in.county_and_puma	G5500490, G55000800	GISJOIN identifier for each county + PUMA combination
8895	in.county_and_puma	G5500510, G55000100	GISJOIN identifier for each county + PUMA combination
8896	in.county_and_puma	G5500530, G55000700	GISJOIN identifier for each county + PUMA combination
8897	in.county_and_puma	G5500550, G55001001	GISJOIN identifier for each county + PUMA combination
8898	in.county_and_puma	G5500570, G55001601	GISJOIN identifier for each county + PUMA combination
8899	in.county_and_puma	G5500590, G55010000	GISJOIN identifier for each county + PUMA combination
8900	in.county_and_puma	G5500610, G55001301	GISJOIN identifier for each county + PUMA combination
8901	in.county_and_puma	G5500630, G55000900	GISJOIN identifier for each county + PUMA combination
8902	in.county_and_puma	G5500650, G55000800	GISJOIN identifier for each county + PUMA combination
8903	in.county_and_puma	G5500670, G55000600	GISJOIN identifier for each county + PUMA combination
8904	in.county_and_puma	G5500690, G55000600	GISJOIN identifier for each county + PUMA combination
8905	in.county_and_puma	G5500710, G55001301	GISJOIN identifier for each county + PUMA combination
8906	in.county_and_puma	G5500730, G55001600	GISJOIN identifier for each county + PUMA combination
8907	in.county_and_puma	G5500750, G55001300	GISJOIN identifier for each county + PUMA combination
8908	in.county_and_puma	G5500770, G55001400	GISJOIN identifier for each county + PUMA combination
8909	in.county_and_puma	G5500780, G55001400	GISJOIN identifier for each county + PUMA combination
8910	in.county_and_puma	G5500790, G55040101	GISJOIN identifier for each county + PUMA combination
8911	in.county_and_puma	G5500790, G55040301	GISJOIN identifier for each county + PUMA combination
8912	in.county_and_puma	G5500790, G55040701	GISJOIN identifier for each county + PUMA combination
8913	in.county_and_puma	G5500790, G55041001	GISJOIN identifier for each county + PUMA combination
8914	in.county_and_puma	G5500790, G55041002	GISJOIN identifier for each county + PUMA combination
8915	in.county_and_puma	G5500790, G55041003	GISJOIN identifier for each county + PUMA combination
8916	in.county_and_puma	G5500790, G55041004	GISJOIN identifier for each county + PUMA combination
8917	in.county_and_puma	G5500790, G55041005	GISJOIN identifier for each county + PUMA combination
8918	in.county_and_puma	G5500810, G55000700	GISJOIN identifier for each county + PUMA combination
8919	in.county_and_puma	G5500830, G55001300	GISJOIN identifier for each county + PUMA combination
8920	in.county_and_puma	G5500850, G55000600	GISJOIN identifier for each county + PUMA combination
8921	in.county_and_puma	G5500870, G55001500	GISJOIN identifier for each county + PUMA combination
8922	in.county_and_puma	G5500890, G55020000	GISJOIN identifier for each county + PUMA combination
8923	in.county_and_puma	G5500910, G55000700	GISJOIN identifier for each county + PUMA combination
8924	in.county_and_puma	G5500930, G55000700	GISJOIN identifier for each county + PUMA combination
8925	in.county_and_puma	G5500950, G55055101	GISJOIN identifier for each county + PUMA combination
8926	in.county_and_puma	G5500970, G55001601	GISJOIN identifier for each county + PUMA combination
8927	in.county_and_puma	G5500990, G55000100	GISJOIN identifier for each county + PUMA combination
8928	in.county_and_puma	G5501010, G55030000	GISJOIN identifier for each county + PUMA combination
8929	in.county_and_puma	G5501030, G55000800	GISJOIN identifier for each county + PUMA combination
8930	in.county_and_puma	G5501050, G55002400	GISJOIN identifier for each county + PUMA combination
8931	in.county_and_puma	G5501070, G55000100	GISJOIN identifier for each county + PUMA combination
8932	in.county_and_puma	G5501090, G55055102	GISJOIN identifier for each county + PUMA combination
8933	in.county_and_puma	G5501110, G55001000	GISJOIN identifier for each county + PUMA combination
8934	in.county_and_puma	G5501130, G55000100	GISJOIN identifier for each county + PUMA combination
8935	in.county_and_puma	G5501150, G55001400	GISJOIN identifier for each county + PUMA combination
8936	in.county_and_puma	G5501170, G55002500	GISJOIN identifier for each county + PUMA combination
8937	in.county_and_puma	G5501190, G55000100	GISJOIN identifier for each county + PUMA combination
8938	in.county_and_puma	G5501210, G55000700	GISJOIN identifier for each county + PUMA combination
8939	in.county_and_puma	G5501230, G55000700	GISJOIN identifier for each county + PUMA combination
8940	in.county_and_puma	G5501250, G55000600	GISJOIN identifier for each county + PUMA combination
8941	in.county_and_puma	G5501270, G55050000	GISJOIN identifier for each county + PUMA combination
8942	in.county_and_puma	G5501290, G55000100	GISJOIN identifier for each county + PUMA combination
8943	in.county_and_puma	G5501310, G55020000	GISJOIN identifier for each county + PUMA combination
8944	in.county_and_puma	G5501330, G55070101	GISJOIN identifier for each county + PUMA combination
8945	in.county_and_puma	G5501330, G55070201	GISJOIN identifier for each county + PUMA combination
8946	in.county_and_puma	G5501330, G55070301	GISJOIN identifier for each county + PUMA combination
8947	in.county_and_puma	G5501350, G55001400	GISJOIN identifier for each county + PUMA combination
8948	in.county_and_puma	G5501370, G55001400	GISJOIN identifier for each county + PUMA combination
8949	in.county_and_puma	G5501390, G55001501	GISJOIN identifier for each county + PUMA combination
8950	in.county_and_puma	G5501410, G55001601	GISJOIN identifier for each county + PUMA combination
8951	in.county_and_puma	G5600010, G56000300	GISJOIN identifier for each county + PUMA combination
8952	in.county_and_puma	G5600030, G56000100	GISJOIN identifier for each county + PUMA combination
8953	in.county_and_puma	G5600050, G56000200	GISJOIN identifier for each county + PUMA combination
8954	in.county_and_puma	G5600070, G56000400	GISJOIN identifier for each county + PUMA combination
8955	in.county_and_puma	G5600090, G56000400	GISJOIN identifier for each county + PUMA combination
8956	in.county_and_puma	G5600110, G56000200	GISJOIN identifier for each county + PUMA combination
8957	in.county_and_puma	G5600130, G56000500	GISJOIN identifier for each county + PUMA combination
8958	in.county_and_puma	G5600150, G56000200	GISJOIN identifier for each county + PUMA combination
8959	in.county_and_puma	G5600170, G56000500	GISJOIN identifier for each county + PUMA combination
8960	in.county_and_puma	G5600190, G56000200	GISJOIN identifier for each county + PUMA combination
8961	in.county_and_puma	G5600210, G56000300	GISJOIN identifier for each county + PUMA combination
8962	in.county_and_puma	G5600230, G56000100	GISJOIN identifier for each county + PUMA combination
8963	in.county_and_puma	G5600250, G56000400	GISJOIN identifier for each county + PUMA combination
8964	in.county_and_puma	G5600270, G56000200	GISJOIN identifier for each county + PUMA combination
8965	in.county_and_puma	G5600290, G56000100	GISJOIN identifier for each county + PUMA combination
8966	in.county_and_puma	G5600310, G56000200	GISJOIN identifier for each county + PUMA combination
8967	in.county_and_puma	G5600330, G56000100	GISJOIN identifier for each county + PUMA combination
8968	in.county_and_puma	G5600350, G56000500	GISJOIN identifier for each county + PUMA combination
8969	in.county_and_puma	G5600370, G56000500	GISJOIN identifier for each county + PUMA combination
8970	in.county_and_puma	G5600390, G56000100	GISJOIN identifier for each county + PUMA combination
8971	in.county_and_puma	G5600410, G56000500	GISJOIN identifier for each county + PUMA combination
8972	in.county_and_puma	G5600430, G56000200	GISJOIN identifier for each county + PUMA combination
8973	in.county_and_puma	G5600450, G56000200	GISJOIN identifier for each county + PUMA combination
8974	in.dehumidifier	None	
8975	in.dishwasher	290 Rated kWh, 100% Usage	290 kWh rated dishwasher with usage set to 100% the national average
8976	in.dishwasher	290 Rated kWh, 120% Usage	290 kWh rated dishwasher with usage set to 120% the national average
8977	in.dishwasher	290 Rated kWh, 80% Usage	290 kWh rated dishwasher with usage set to 80% the national average
8978	in.dishwasher	318 Rated kWh, 100% Usage	318 kWh rated dishwasher with usage set to 100% the national average
8979	in.dishwasher	318 Rated kWh, 120% Usage	318 kWh rated dishwasher with usage set to 120% the national average
8980	in.dishwasher	318 Rated kWh, 80% Usage	318 kWh rated dishwasher with usage set to 80% the national average
8981	in.dishwasher	None	No dishwasher
8982	in.door_area	20 ft^2	20ft2 door area
8983	in.doors	Fiberglass	Fiberglass door material
8984	in.ducts	0% Leakage, Uninsulated	0% of duct airflow lost to leakage; ducts are uninsulated
8985	in.ducts	10% Leakage, R-4	10% of duct airflow is lost to leakage; nominal duct insulation is R-4
8986	in.ducts	10% Leakage, R-6	10% of duct airflow is lost to leakage; nominal duct insulation is R-6
8987	in.ducts	10% Leakage, R-8	10% of duct airflow is lost to leakage; nominal duct insulation is R-8
8988	in.ducts	10% Leakage, Uninsulated	10% of duct airflow is lost to leakage; ducts are uninsulated
8989	in.ducts	20% Leakage, R-4	20% of duct airflow is lost to leakage; nominal duct insulation is R-4
8990	in.ducts	20% Leakage, R-6	20% of duct airflow is lost to leakage; nominal duct insulation is R-6
8991	in.ducts	20% Leakage, R-8	20% of duct airflow is lost to leakage; nominal duct insulation is R-8
8992	in.ducts	20% Leakage, Uninsulated	20% of duct airflow is lost to leakage; ducts are uninsulated
8993	in.ducts	30% Leakage, R-4	30% of duct airflow is lost to leakage; nominal duct insulation is R-4
8994	in.ducts	30% Leakage, R-6	30% of duct airflow is lost to leakage; nominal duct insulation is R-6
8995	in.ducts	30% Leakage, R-8	30% of duct airflow is lost to leakage; nominal duct insulation is R-8
8996	in.ducts	30% Leakage, Uninsulated	30% of duct airflow is lost to leakage; ducts are uninsulated
8997	in.ducts	None	No ducts exist
8998	in.eaves	2 ft	2ft eaves depth
8999	in.electric_vehicle	None	No electric vehicle load
9000	in.emissions_electricity_folders	data/cambium/LRMER_MidCase_15,data/cambium/LRMER_MidCase_30,data/cambium/LRMER_LowRECost_15,data/cambium/LRMER_LowRECost_30	Emissions data directories in the resstock repository for electricity
9001	in.emissions_electricity_units	kg/MWh,kg/MWh,kg/MWh,kg/MWh	Emissions factors units for marginal electric energy consumption
9002	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/AZNMc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/AZNMc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/AZNMc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/AZNMc.csv	Emissions data location for each emissions case and electric grid region
9003	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/CAMXc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/CAMXc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/CAMXc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/CAMXc.csv	Emissions data location for each emissions case and electric grid region
9004	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/ERCTc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/ERCTc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/ERCTc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/ERCTc.csv	Emissions data location for each emissions case and electric grid region
9005	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/FRCCc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/FRCCc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/FRCCc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/FRCCc.csv	Emissions data location for each emissions case and electric grid region
9006	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/MROEc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/MROEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/MROEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/MROEc.csv	Emissions data location for each emissions case and electric grid region
9007	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/MROWc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/MROWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/MROWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/MROWc.csv	Emissions data location for each emissions case and electric grid region
9008	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/NEWEc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/NEWEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/NEWEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/NEWEc.csv	Emissions data location for each emissions case and electric grid region
9009	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/NWPPc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/NWPPc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/NWPPc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/NWPPc.csv	Emissions data location for each emissions case and electric grid region
9010	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/NYSTc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/NYSTc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/NYSTc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/NYSTc.csv	Emissions data location for each emissions case and electric grid region
9011	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/RFCEc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/RFCEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/RFCEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/RFCEc.csv	Emissions data location for each emissions case and electric grid region
9012	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/RFCMc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/RFCMc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/RFCMc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/RFCMc.csv	Emissions data location for each emissions case and electric grid region
9013	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/RFCWc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/RFCWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/RFCWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/RFCWc.csv	Emissions data location for each emissions case and electric grid region
9014	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/RMPAc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/RMPAc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/RMPAc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/RMPAc.csv	Emissions data location for each emissions case and electric grid region
9015	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/SPNOc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SPNOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SPNOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SPNOc.csv	Emissions data location for each emissions case and electric grid region
9016	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/SPSOc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SPSOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SPSOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SPSOc.csv	Emissions data location for each emissions case and electric grid region
9017	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/SRMVc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SRMVc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SRMVc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SRMVc.csv	Emissions data location for each emissions case and electric grid region
9018	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/SRMWc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SRMWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SRMWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SRMWc.csv	Emissions data location for each emissions case and electric grid region
9019	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/SRSOc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SRSOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SRSOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SRSOc.csv	Emissions data location for each emissions case and electric grid region
9020	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/SRTVc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SRTVc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SRTVc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SRTVc.csv	Emissions data location for each emissions case and electric grid region
9021	in.emissions_electricity_values_or_filepaths	/lib/resources/data/cambium/LRMER_MidCase_15/SRVCc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SRVCc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SRVCc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SRVCc.csv	Emissions data location for each emissions case and electric grid region
9022	in.emissions_fossil_fuel_units	lb/MBtu,lb/MBtu,lb/MBtu,lb/MBtu	Emissions factors units for marginal onsite non-electric fuel energy consumption
9023	in.emissions_fuel_oil_values	195.9,195.9,195.9,195.9	Emissions factors for marginal onsite fuel oil consumption
9024	in.emissions_natural_gas_values	147.3,147.3,147.3,147.3	Emissions factors for marginal onsite natural gas consumption
9025	in.emissions_propane_values	177.8,177.8,177.8,177.8	Emissions factors for marginal onsite propane consumption
9026	in.emissions_scenario_names	LRMER_MidCase_15,LRMER_MidCase_30,LRMER_LowRECost_15,LRMER_LowRECost_30	Emissions scenario factors from NREL Cambium tool
9027	in.emissions_types	CO2e,CO2e,CO2e,CO2e	Emisssions type unit for CO2 equivalent
9028	in.emissions_wood_values	200.0,200.0,200.0,200.0	Emissions factors for marginal onsite wood consumption
9029	in.federal_poverty_level	0-100%	Federal poverty level of 0-100%
9030	in.federal_poverty_level	100-150%	Federal poverty level of 100-150%
9031	in.federal_poverty_level	150-200%	Federal poverty level of 150-200%
9032	in.federal_poverty_level	200-300%	Federal poverty level of 200-300%
9033	in.federal_poverty_level	300-400%	Federal poverty level of 300-400%
9034	in.federal_poverty_level	400%+	Federal poverty level of 400%+
9035	in.generation_and_emissions_assessment_region	AZNMc	Generation and assessment region of AZNMc
9036	in.generation_and_emissions_assessment_region	CAMXc	Generation and assessment region of CAMXc
9037	in.generation_and_emissions_assessment_region	ERCTc	Generation and assessment region of ERCTc
9038	in.generation_and_emissions_assessment_region	FRCCc	Generation and assessment region of FRCCc
9039	in.generation_and_emissions_assessment_region	MROEc	Generation and assessment region of MROEc
9040	in.generation_and_emissions_assessment_region	MROWc	Generation and assessment region of MROWc
9041	in.generation_and_emissions_assessment_region	NEWEc	Generation and assessment region of NEWEc
