field_location	field_name	data_type	units	field_description	allowable_enumerations_baseline
metadata	in.simulation_control_run_period_begin_month	float	n/a	Begin month of dwelling unit simulation	1.0
metadata	in.simulation_control_run_period_calendar_year	float	n/a	Simulation year for dwelling unit	2018.0
metadata	in.simulation_control_run_period_end_day_of_month	float	n/a	End day of dwelling unit simulation	31.0
metadata	in.simulation_control_run_period_end_month	float	n/a	End month of simulation	12.0
metadata	in.simulation_control_timestep	float	n/a	Minute timestep that dwelling unit energy simulation uses	15.0
metadata	in.solar_hot_water	string	n/a	Presence, size, and location of solar hot water system	None
metadata	in.state	string	n/a	State	AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY
metadata	in.tenure	string	n/a	Dwelling unit is owner vs renter occupied	Owner|Renter
metadata	in.units_represented	float	n/a	Number of housing units the dwelling unit model represents [vestigial weight no longer in use]	1.0
metadata	in.usage_level	string	n/a	Usage of major appliances relative to the national average	High|Low|Medium
metadata	in.vacancy_status	string	n/a	Indicator of dwelling unit as primary residence or not	Occupied|Vacant
metadata	in.vintage	string	n/a	Time period in which the builing was constructed	1940s|1950s|1960s|1970s|1980s|1990s|2000s|2010s|<1940
metadata	in.vintage_acs	string	n/a	Time period in which the dwelling unit was constructed as defined by ACS	1940-59|1960-79|1980-99|2000-09|2010s|<1940
metadata	in.water_heater_efficiency	string	n/a	Efficiency, type, and heating fuel of water heater	Electric Heat Pump, 80 gal|Electric Premium|Electric Standard|Electric Tankless|FIXME Fuel Oil Indirect|Fuel Oil Premium|Fuel Oil Standard|Natural Gas Premium|Natural Gas Standard|Natural Gas Tankless|Other Fuel|Propane Premium|Propane Standard|Propane Tankless
metadata	in.water_heater_fuel	string	n/a	Water heater fuel	Electricity|Fuel Oil|Natural Gas|Other Fuel|Propane
metadata	in.water_heater_in_unit	string	n/a	Presence of water heater in nominally conditioned space of dwelling unit	No|Yes
metadata	in.weather_file_city	string	n/a	City of weather file	A L Mangham Jr Rgnl|Aberdeen Regional|Abilene Dyess Afb|Abilene Municipal|Accomack Co|Adirondack Rgnl|Ainsworth Municipal|Airborne Airpark|Aitkin Muni Kurtz Fl|Akron Akron Canton|Alamogordo White Sa|Alamosa Muni Awos|Albany County Airpo|Albany Municipal|Albert Lea Awos|Albuquerque Intl|Alexander Fld South|Alexandria Int|Algona|Alice Intl|Allegheny Co|Allentown A Bethle|Alliance Muni|Alma Bacon Co|Alpena Phelps Colli|Altoona Blair Co|Alturas Muni|Altus Afb|Amarillo Intl|Ames Muni|Anderson Rgnl|Andrews Afb Camp Sp|Angelina Co|Ann Arbor Municipal|Anniston Metropolit|Anoka Co Blaine|Antrim Co|Apalachicola Muni|Aransas Co|Arcata|Ardmore Downtown Exe|Arlington Muni|Arthur N Neu|Ashe Co|Asheboro Rgnl|Asheville Municipal|Ashtabula Co|Aspen Pitkin Co Sard|Astoria Clatsop|Athens Municipal|Atlanta Municipal|Atlantic City Intl|Atlantic Muni|Auburn Lewiston Muni|Audubon Co|Augusta Bush Field|Augusta State Arpt|Aurora Muni Al Pott|Aurora Municipal|Aurora State|Austin Camp Mabry|Austin Mueller Muni|Austin Muni|Baker City Muni|Baker Muni|Bakersfield Meadows|Baltimore Washingto|Bangor Intl|Baraboo Wisc Dells|Barksdale Afb|Barnstable Muni Boa|Batesville Rgnl|Baton Rouge Metro R|Baudette Intl|Beale Afb|Beatrice Muni|Beaufort Mcas|Beckley Raleigh Ct|Beeville Chase Naas|Bellingham Intl|Bemidji Municipal|Bentonville Muni Tha|Berlin Municipal|Bert Mooney|Beverly Muni|Big Piney Amos|Billings Logan Int|Binghamton Broome C|Birmingham|Birmingham Muni|Bisbee Douglas Intl|Bishop Airport|Bismarck Municipal|Block Island|Blue Canyon Nyack|Blue Ridge|Blythe|Boise Municipal|Boone Co|Boone Muni|Boscobel|Boston Logan Intl|Bowerman|Bowers Fld|Bowling Green Warre|Bowman Fld|Bradford Rgnl|Brainerd Lakes Rgnl|Branch Co Mem|Brazoria Co|Bremerton National|Brewster Fld|Bridgeport Igor I|Broken Bow Muni|Brookings Rgnl|Brownsville Intl|Brunswick Golden Is|Buckley Afb|Buffalo|Burke Lakefront|Burley Muni|Burlington Alamance|Burlington Intl|Burnet Muni Kate Cr|Burns Muni Amos|Butler Co Rgnl|Butler Co Scholter F|C David Campbell Fld|C M Schulz Sonoma Co|Cahokia St Louis|Cairns Aaf|Caldwell Awos|Camarillo|Cambridge Muni|Cannon Afb|Canyonlands Fld|Cape Girardeau Rgnl|Cape Hatteras|Cape May Co|Capital City Arpt|Cartersville|Casper Natrona Coun|Cavern City Air Ter|Cecil Fld|Cedar City Rgnl|Cedar Rapids Muni|Centennial|Central Illinois Rg|Centreville|Challis|Chamberlain Amos|Chan Gurney Muni|Chandler Fld|Chanute Martin Johns|Chariton Muni|Charles B Wheeler D|Charleston Muni|Charlevoix Muni|Charlotte Co|Charlotte Douglas|Charlottesville Alb|Chattanooga Lovell|Cherry Capital|Cherry Point Mcas|Chesapeake|Cheyenne Warren Afb|Chicago Midway|Chicago Waukegan|Chicopee Falls West|Childress Municipal|Chippewa Valley Rgn|Cincinnati Greater|Cincinnati Muni Lun|Clarion Muni|Clayton Muni Amos|Clearfield Lawrence|Cleveland|Clines Corners|Clinton Muni|Clinton Sherman|Clintonville Muni|Cloquet Carlton Co|Clovis Muni|Cody Muni Awos|Coeur D Alene Air Te|Coffeyville Muni|Col James Jabara|Coles Co Mem|Collin Co Rgnl|Colorado Plains Rgnl|Colorado Springs Mu|Columbia Gorge Rgnl|Columbia Metro|Columbia Owens Apt|Columbia Regional|Columbus Afb|Columbus Metropolit|Columbus Muni|Columbus Port Colum|Concord Buchanan|Concord Municipal|Concordia Blosser M|Converse Co|Copper Harbor|Corpus Christi Int|Cortez Muni|Corvallis Muni|Cotulla Lasalle Co|Council Bluffs Muni|Cox Fld|Craig Moffat|Craven Co Rgnl|Creston Muni|Crookston Muni Kirkw|Cross City Cross Ci|Crossville Mem Whit|Crystal|Culpeper Rgnl|Custer|Custer County|Cut Bank Muni|Dalhart Municipal|Dallas Hensley Field Nas|Dallas Love Fld|Dalton|Danbury Muni Arpt|Daniel Field|Danville Rgnl|Dare Co Rgnl|Davenport Muni|Davis Monthan Afb|Davison Aaf|Dawson Community|Dayton James M Cox|Dayton Wright Brothe|Dayton Wright Patte|Daytona Beach Intl|Decatur|Decorah Muni|Deer Park Arpt|Defiance Memorial|Dekalb Peachtree|Del Rio Intl|Delaware Co Johnson|Delta Co|Deming Muni|Denison Municipal|Denton Muni|Denver Internationa|Derby Fld|Des Moines Intl|Desert Rock|Destin Ft Walton|Detroit Lakes Wethin|Detroit Metropolita|Devils Lake Muni|Dickinson Muni|Dillant Hopkins|Dillon Airport|Dinwiddie Co|Dodge City Awos|Dodge Co|Door Co Cherryland|Dothan Rgnl|Dover Afb|Doylestown|Drake Fld|Draughon Miller Cen|Du Bois Jefferson C|Dublin New Riv Vlly|Dubuque Municipal|Duluth Intl Airport|Dunkirk|Dupage|Durango La Plata Co|Dutchess Co|Dyersburg Muni|Eagle Co Rgnl|Eagle Creek Airpark|Eagle River Union|Eastern Slopes Rgnl|Eastern Wv Rgnl She|Easterwood Fld|Edward F Knapp State|El Paso Intl Arpt|El Toro Mcas|Elizabeth City Cgas|Elkhart Morton Co|Elkins Randolph Cou|Elko Rgnl|Ellsworth Afb|Elmira Corning Rgnl|Ely Arpt Yelland Fld|Emporia Muni|Erie Intl Airport|Ernest A Love Fld|Esler Rgnl|Essex Co|Estherville Muni|Eugene Mahlon Sweet|Eureka Ramos|Evansville Regional|Executive|Fairchild Afb|Fairfield Co|Fairfield Muni|Fairfield Travis Af|Fairmont Muni Awos|Fallon Nas|Falls City Brenner|Fargo Hector Field|Farmington Rgnl|Farmville Rgnl|Fayette Rgnl Air Ctr|Fayetteville Rgnl G|Felts Fld|Findlay|Flagstaff Airport|Flint Bishop Intl|Florence Rgnl|Florida Keys Maratho|Floyd Bennett Mem|Flying Cloud|Fond Du Lac Co|Forbes Fld|Ford|Fort Benning|Fort Bragg Simmons|Fort Campbell Aaf|Fort Dodge Awos|Fort Drum Wheeler S|Fort Knox Godman|Fort Lauderdale Exec|Fort Lewis Gray Aaf|Fort Myers Page Fld|Fort Polk Army|Fort Sill|Fort Smith Muni|Fort Stockton Pecos|Fort Wayne Baer Fld|Fort Worth Alliance|Fort Worth Meacham|Four Corners Rgnl|Franklin Muni Jb Ros|Frederick Muni|Fremont Muni|Fresno Air Terminal|Friday Harbor|Frying Pan Shoals|Ft Riley Marshall|Fulton Co Arpt Brow|Gadsden Muni|Gage Shattuck|Gainesville Rgnl|Gallatin Fld|Gallup Muni|Galveston|Garden City Rgnl|Garfield Co Rgnl|Garrison|Gastonia Muni|Gaylord Rgnl|Georgetown Muni|Gillette Gillette C|Glasgow Intl Arpt|Glenwood Muni|Gocebic Iron Co|Goodland Renner Fie|Grand Forks Afb|Grand Forks Intl|Grand Island County|Grand Junction Walk|Grand Marias|Grand Rapids Itasca|Grand Rapids Kent C|Gratiot Community|Great Bend Muni|Great Falls Intl|Greater Buffalo Int|Greater Peoria Muni|Greater Pittsburgh I|Greater Rockford|Greeley Weld Co|Green Bay A Straub|Greenbrier Valley|Greensboro G High|Greenville|Greenville Greenvil|Greenwood Co|Greenwood Leflore|Grider Fld|Griffiss Airpark|Grissom Arb|Gulfport Biloxi Int|Gunnison Co Awos|Guthrie Muni|Hagerstown Rgnl Ric|Halifax Co|Hallock Muni|Hancock Co Bar Harbo|Hanford|Hanford Muni|Hanover Co Muni|Harriman And West|Harrisburg Capital|Harrisburg Intl|Harrison Marion Rgn|Harry Clever Fld|Harry P Williams Mem|Hartford Brainard|Hartness State|Hartnett County|Hastings Muni|Hattiesburg Laurel|Havre Amos|Hayden Yampa Awos|Hays Rgnl|Hayward Air Term|Helena Regional|Henderson City Co|Hermiston Muni|Hernando Co|Hettinger Muni|Hickory Rgnl|Hill Afb|Hill City Muni|Hillsdale Municipal|Hobart Muni|Hondo Muni|Houghton County|Houghton Lake Rosco|Houston Dw Hooks|Houston Ellington|Houston Intercontin|Hunter Aaf|Huntingburg|Huntington Tri Stat|Huntsville|Huntsville Madison|Huron Co Mem|Huron Huron Regiona|Hutchinson Co|Hutchinson Muni|Hutchinson Muni Butl|Idaho Falls Rgnl|Imperial Co|Indiana Co|Indianapolis I Mun|Ingalls Fld|International Falls|Iowa City Muni|Iowa Co|J F Kennedy Memorial|J L Helms Sevier Co|Jack Mc Namara Fld|Jackson Allen C Th|Jackson Carroll Arpt|Jackson Co Reynolds|Jackson Hole|Jackson Muni|Jacksonville Awos|Jacksonville Intnl|Jacksonville Muni|Jacksonville Nas|Jamestown Rgnl|Jefferson City Mem|Jerome Co|John H Batten|John Murtha Johnsto|Johnson Co|Johnson Co Executive|Johnson Co Industr|Joliet Rgnl|Jonesboro Muni|Joplin Rgnl|Jordan|Joslin Fld Magic Va|Kalamazoo Battle Cr|Kalispell Glacier P|Kansas City Intl|Kearney Muni|Kenosha Rgnl|Keokuk Muni|Killeen Muni Awos|Kimble Co|Kingman|Kingsville Nas|Kirksville Rgnl|Kirsch Muni|Kit Carson County|Klamath Falls|Knoxville|Knoxville Municipal|L M Clayton|L O Simenstad Muni|La Crosse Municipal|La Grande Union Co|La Junta Muni|La Usc Downtown Cam|Lac Qui Parle Co|Laconia Muni|Lafayette Rgnl|Lake Charles Muni|Lake Co|Lake Tahoe|Lakefront|Lakeland Noble F Le|Lamar Muni|Lamoni Muni Airport|Lancaster|Langlade Co|Langley Afb Hampton|Lansing Capital Cit|Laramie Rgnl|Laredo Intl Airport|Las Vegas Mccarran|Las Vegas Municipal|Laughlin Afb|Laurence G Hanscom|Lawrence Muni|Lawrenceville Vincen|Lawton Municipal|Le Mars Muni|Lebanon Muni|Lee C Fine Mem|Lee Gilmer Mem|Leesburg Executive|Leesburg Rgnl|Lemhi Co|Lenawee Co|Lewis University|Lewiston Nez Perce|Lewistown Muni|Lexington Blue Gras|Liberal Muni|Lidgerwood Ramos|Lima Allen Co|Limon Muni|Lincoln Municipal|Litchfield Muni|Little Rock Adams F|Little Rock Afb|Livingston Co|Logan Cache|London Corbin Arpt|Lonesome Pine|Long Island Mac Art|Longview|Lorain Co Rgnl|Louisa Co Freeman Fl|Louisville Standifo|Lowell|Lubbock Lubbock Int|Luce Co|Lynchburg Mun P G|Mackinack Island|Macon Lewis Bwilso|Madera Muni|Madison Dane County|Malmstrom Afhp|Manassas Rgnl Davis|Manchester|Manhattan Rgnl|Manistee Co Blacker|Manistique Amos|Manitowoc Co|Mankata Rgnl Arpt|Mansfield Lahm Rgnl|Marfa Municipal|Marianna Muni|Marietta Dobbins Af|Marion Muni|Marseilles Island|Marshall Town Muni|Marshfield Muni|Marthas Vineyard|Mason City Muni|Mason Co|Mason Jewett Fld|Massena Intl Richar|Matinicus Rock|Maxton|Maxwell Afb|Mbs Intl|Mc Alester Rgnl|Mc Allen Miller Int|Mc Call Muni|Mc Clellan Afld|Mc Comb Pike Co Joh|Mc Connell Afb|Mc Gregor Executive|Mc Kellar Sipes Rgn|Mc Minnville Muni|Mccook Rgnl|Mecklenburg Brunswi|Medford Jackson Cou|Medicine Lodge Amos|Meeker|Melbourne Regional|Memorial Fld|Memphis Intl Arpt|Menominee Marinette|Merced Muni Macready|Mercer Co|Meriden Markham Muni|Meridian Key Field|Meridian Nas|Merrill Muni|Metcalf Fld|Miami|Michael J Smith Fld|Mid Ohio Valley Rgn|Middleton Fld|Midland Midland Reg|Miles City|Millington Muni Arp|Millville Muni|Milwaukee Gen Mitc|Mineral Wells Muni|Minot Afb|Minot Intl|Miramar Mcas|Mission Fld|Missoula Johnson Be|Mitchell Muni|Mobile Bates Field|Mobile Downtown|Mobridge Muni|Modesto City Co Har|Moline Quad City|Monmouth Executive|Monroe Airport|Monroe Co|Monroe Muni|Monroe Rgnl|Montevideo Chippewa|Montgomery Co|Montgomery Dannelly|Monticello Muni|Monticello Rgnl|Montrose Rgnl|Moody Afb Valdosta|Moore Co|Mora Muni|Morgantown Muni Wal|Morris Muni|Morrisville Stowe St|Moses Lake Grant Co|Mount Ida|Mount Pleasant Muni|Mount Vernon|Mountain Empire|Mountain Home Afb|Mt Washington Rgnl|Mullan Awrs|Muscatine Muni|Muskegon|Muskogee Davis Fld|Myrtle Beach Civ|Nantucket Mem|Napa Co|Naples Muni|Nashville Metropoli|Natchez Hardy Awos|New Braunfels Muni|New Iberia Acadiana|New Orleans Moisant|New Orleans Nas Jrb|New River Mcas|New York John F Ke|New York La Guardia|Newark Intl Airport|Newnan Coweta Co|Newport|Newport News Willia|Newport State Beach|Newton City Co|Newton Muni|Niagara Falls Intl|Nogales Intl|Norfolk Intl Arpt|Norfolk Karl Stefan|Norfolk Ns|Norman Max Westheim|Norman Y Mineta San|North Bend Muni|North Central State|North Platte Lee Bi|Northeast Philadelph|Northeastern Rgnl|Northwest Alabama R|Norwood Mem|Nyc Central Park|Oak Ridge|Oakland Co Intl|Ocala Intl J Taylor|Ocean City Muni|Oconee Co Rgnl|Odessa Schlemeyer Fl|Offutt Afb|Ogden Hinckley Muni|Ohio State Universi|Oklahoma City W Ro|Oklahoma City Wiley|Olympia|Omaha|Omak|Ontaria Muni|Ontario Intl Arpt|Orange City Muni|Orange Co|Orangeburg Muni|Orlando Jetport|Orlando Sanford|Oroville Muni|Ortonville Muni Mart|Oscoda Wurtsmith|Oswego Co|Ottumwa Industrial|Outagamie Co Rgnl|Ozark Rgnl|Paducah Barkley|Page Muni Amos|Palacios Muni|Panama City Bay Co|Pangborn Mem|Park Falls Muni|Park Rapids Muni Kon|Patuxent River Nas|Peachtree City Falco|Pearson Fld|Pellston Rgnl Arpt|Pendleton Municipal|Penn Yan|Pensacola Rgnl|Perry Foley|Perry Stokes|Philadelphia Intl|Philip|Phoenix Sky Harbor|Pierre Rgnl|Pine Ridge|Pine River Rgnl|Pine Springs Guadalu|Pipestone Muni|Pitt Greenville|Plattsburgh Intl|Plymouth Municipal|Pocatello Municipal|Pocono Mountains Mun|Ponca City Muni|Pope Afb|Poplar Bluff Amos|Port Arthur Jeffers|Port Meadville|Porter Co Muni|Portland Hillsboro|Portland Intl Arpt|Portland Intnl Jet|Pottstown Limerick|Prairie Du Chien Mun|Presque Isle Awos|Price Carbon County|Princeton Muni|Providence Green St|Provo Muni|Pryor Fld Rgnl|Pueblo Memorial Aw|Pullman Moscow Rgnl|Purdue Univ|Quantico Mcaf|Quincy Rgnl Baldwin|Raleigh Raleigh Dur|Randolph Afb|Rapid City Regional|Rawlins Municipal|Reading Rgnl Carl|Red Bluff Municipal|Red Oak Muni|Red Wing Rgnl|Redding Municipal|Redwood Falls Muni|Reno Cannon Intl|Renton Muni|Republic|Rexburg Madison Co|Rhinelander Oneida|Rice Lake Rgnl Carls|Richard I Bong|Richard Lloyd Jones|Richmond Byrd Field|Rickenbacker Intl|Riverside March Afb|Riverton|Roanoke Municipal|Roben Hood|Robert Gray Aaf|Roberts Fld|Robins Afb|Rochester Monroe Co|Rochester Municipal|Rock Hill York Co|Rock Springs Sweetw|Rocky Mount Wilson|Rogers Muni Carter F|Rolla Vichy Airport|Rome Russell Ramos|Roseau Muni Billberg|Roseburg Rgnl|Roswell Industrial|Rush City Rgnl|Russell Muni|Russellville Rgnl|Rutherfordton|Rutland State|Sacramento Intl|Safford Rgnl|Salem Leckrone|Salem Mcnary|Salina Muni|Salinas Muni|Salisbury Ocean Cit|Salt Lake City Intl|San Angelo Mathis|San Antonio Intl|San Francisco Intl|San Luis Co Rgnl|San Marcos Muni|Sanderson Fld|Sanford Rgnl|Santa Barbara Muni|Santa Fe Co Muni|Sarasota Bradenton|Sault Ste Marie|Savannah Municipal|Sawyer Co|Sawyer Intl|Scappoose Industrial|Schenck Fld|Scott Afb Midameric|Scottsbluff Heilig|Searle Fld|Sedalia Memorial|Selfridge Angb|Sexton Summit|Seymour Johnson Afb|Shannon|Shaw Afb Sumter|Sheboygan Co Mem|Shelbyville Muni|Sheldon Muni|Shenandoah Muni|Shenandoah Valley Rg|Sheridan Co Arpt|Shreveport Regional|Sidney Muni Amos|Sidney Richland Muni|Sierra Blanca Rgnl|Silver Bay Muni|Sioux City Muni|Sioux Falls Foss Fi|Siskiyou Co|Sisseton Muni Arpt|Skyhaven|Slidell|Smith Reynolds|Snohomish Co|Somerset Pulaski Co|South Arkansas Rgnl|South Bass Island|South Bend Stjosep|South Big Horn Co|South Jersey Rgnl|South St Paul Muni|Southeast Iowa Rgnl|Southern Illinois|Southern Wisc Rgnl|Southwest Florida I|Southwest Michigan|Spart Fort Mc Coy|Spencer|Spirit Of St Louis|Springfield Capital|Springfield Comanche|Springfield Muni|St Augustine|St Clair Co Intl|St Cloud Municipal|St George Muni|St Johns Industrial|St Joseph Rose Cra|St Louis Lambert|St Lucie Co Intl|St Paul Downtown Ho|St Petersburg Clear|Stanley Ranger Stn|Staples Muni|Stephenville Clark|Sterling Rockfalls|Stevens Point Muni|Stillwater Rgnl|Stinson Muni|Stockton Metropolit|Storm Lake Muni|Strother Fld|Stuttgart Muni|Suffolk Executive|Suger Land Rgnl|Sullivan Co Intl|Sussex Co|Sw Minnesota Rgnl|Syracuse Hancock|Tallahassee Municip|Tampa Intl Airport|Taos Muni Apt Awos|Taunton Muni|Taylor Co|Tekamah Muni|Terre Haute Intl Hu|Terrell Muni|Teterboro|Texarkana Rgnl Webb|The Oneill Muni J Ba|Thief River Falls Rg|Thomas Point|Tinker Afb|Toledo Express|Tonopah|Topeka Billard Muni|Torrington Muni|Trent Lott Intl|Trenton Mercer|Tri Cities|Tri Cities Rgnl|Tri City|Truckee Tahoe|Tulip City|Tulsa Intl Arpt Aw|Tupelo Cd Lemons|Tuscaloosa Rgnl|Twin County|Tyler Pounds Rgnl|Ukiah Muni|Univ Of Illinois Wi|University Park|Valdosta Rgnl|Valentine Amos|Valley Intl|Valparaiso Eglin Af|Vance Afb|Venango Rgnl|Venice Pier|Vernal|Vero Beach Muni|Vicksburg Tallulah|Victoria Victoria R|Virginia Highlands|Virginia Tech Arpt|Visalia Muni|W H Morse State|W K Kellogg|Waco Rgnl|Wadena|Wakefield Muni|Walla Walla Rgnl|Wallops Isl Stn|Walnut Ridge Rgnl|Washington Co|Washington Muni|Washington National|Waterbury Oxford|Waterloo Municipal|Watertown Intl|Watertown Muni|Waterville R Lafleur|Watsonville Muni|Waukesha Co|Wausau Downtown|Waycross Ware Co|Wayne Co|Webster City Muni|Wellsville Muni|Wendover Af Aux F|West Bend Muni|West Palm Beach In|West Plains Muni|West Point Ls|Westchester Co|Wexford Co|Wheaton Muni|Wheeling Ohio Co|White Sands|Whiteman Afb|Whiting Fld Nas Nort|Wichita Falls Sheps|Wichita Mid Contine|Wilkes Barre Scrant|William R Fairchild|Williamson Co Rgnl|Williamsport Lycomi|Williston Sloulin F|Willmar Rco|Willow Grove Nas Jr|Wilmington|Wilmington New Cast|Winchester Rgnl|Winder Barrow|Windham Airport|Windom Muni|Window Rock|Winkler Co|Winnemucca Muni|Winner|Winona Muni Conrad F|Winslow Aut|Wiscasset|Wittman Rgnl|Worcester Regional Arpt|Worland Muni|Worthington Muni|Yakima Air Terminal|Yeager|York|Youngstown Muni|Yuba Co|Yuma Intl Airport|Zanesville Muni
