Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC Secondary Heating Type And Fuel,HVAC Secondary Heating Efficiency,HVAC System Is Faulted,Dehumidifier,Refrigerator Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Clothes Washer Usage Level,Clothes Dryer Usage Level,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,ASHRAE IECC Climate Zone 2004,County and PUMA,CEC Climate Zone,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Foundation Type,Corridor,Vacancy Status,Tenure,Income,Income RECS2015,Income RECS2020,Neighbors,Radiant Barrier,Roof Material,Insulation Slab,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,HVAC System Single Speed AC Airflow,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Charge,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Heating Setpoint Offset Period,Cooling Setpoint Offset Period,Ceiling Fan,Lighting,Plug Loads,HVAC Has Ducts,Ducts,Has PV,PV System Size,PV Orientation,Battery,PUMA Metro Status,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Type Height,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Stories Low Rise,Geometry Attic Type,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,Geometry Garage,Bedrooms,Occupants,Federal Poverty Level,Area Median Income,Window Areas,Insulation Ceiling,Insulation Roof,Insulation Wall,Windows,HVAC Cooling Partial Space Conditioning,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Infiltration,REEDS Balancing Area,Generation And Emissions Assessment Region,City,AIANNH Area,Household Has Tribal Persons,Energystar Climate Zone 2023
43,Low,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,95% Usage,80% Usage,80% Usage,80% Usage,80% Usage,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour9,Hour17,3B,"G0600370, G06003748",6,"CA, Los Angeles County","CBSA Los Angeles-Long Beach-Anaheim, CA",3B,CA,CR11,Pacific,Pacific,West,None,Hot-Dry,"CA, 03748",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,Yes,Natural Gas,Natural Gas Standard,Ducted Heating,None,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,67F,78F,No,Yes,0F,5F,None,Night Setback +5h,Standard Efficiency,100% CFL,94%,Yes,"20% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Stucco, Light",1 Car,3,3,400%+,150%+,F9 B9 L9 R9,R-30,"Unfinished, Uninsulated","Wood Stud, Uninsulated","Double, Low-E, Non-metal, Air, M-Gain",None,EF 17.6,Gas,290 Rated kWh,Yes,EnergyStar,Gas,None,None,None,None,None,None,15 ACH50,10,CAMXc,"CA, Los Angeles",No,No,North-Central
44,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,95% Usage,80% Usage,80% Usage,80% Usage,80% Usage,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour2,Hour18,3A,"G4500130, G45001400",None,"SC, Beaufort County",Non-CBSA South Atlantic,3A,SC,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"SC, 01400",Single-Family Detached,2000s,2000-09,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,"Tile, Clay or Ceramic",Uninsulated,None,None,None,Yes,Electricity,Electric Standard,Ducted Heat Pump,Ducted Heat Pump,None,None,"ASHP, SEER 15, 8.5 HSPF",No,Electricity ASHP,Ducted Heat Pump,None,None,None,None,75F,68F,No,No,0F,0F,None,None,Standard Efficiency,100% Incandescent,106%,Yes,"20% Leakage, R-8",No,None,None,None,"In metro area, not/partially in principal city",2500-2999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Brick,None,3 Car,3,2,400%+,150%+,F30 B30 L30 R30,R-30,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, R-15","Double, Clear, Non-metal, Air",100% Conditioned,EF 17.6,Electric Resistance,290 Rated kWh,Yes,EnergyStar,Electric,None,"EF 12, National Average",None,None,None,None,15 ACH50,96,SRVCc,Not in a census Place,No,No,South-Central
45,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour19,Hour10,4A,"G1801630, G18003300",None,"IN, Vanderburgh County",Non-CBSA East North Central,4A,IN,CR04,East North Central,East North Central,Midwest,MISO,Mixed-Humid,"IN, 03300",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,70F,72F,No,No,0F,0F,None,None,Standard Efficiency,100% Incandescent,85%,Yes,"30% Leakage, Uninsulated",No,None,None,None,"In metro area, not/partially in principal city",2500-2999,2500-3999,2,Single-Family Detached,None,None,None,2,None,<8,Wood Frame,"Vinyl, Light",None,4,4,300-400%,120-150%,F18 B18 L18 R18,None,"Finished, R-30","Wood Stud, Uninsulated","Single, Clear, Non-metal",60% Conditioned,EF 17.6,Gas,None,Yes,Standard,Electric,None,None,None,None,None,None,15 ACH50,107,RFCWc,"IN, Evansville",No,No,North-Central
46,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour5,Hour20,5A,"G1700190, G17002100",None,"IL, Champaign County",Non-CBSA East North Central,5A,IL,CR04,East North Central,East North Central,Midwest,MISO,Cold,"IL, 02100",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,65F,72F,Yes,No,12F,0F,Night -3h,None,Standard Efficiency,100% CFL,85%,Yes,"20% Leakage, Uninsulated",No,None,None,None,"In metro area, not/partially in principal city",1500-1999,1500-2499,2,Single-Family Detached,None,None,None,2,None,<8,Wood Frame,"Brick, Medium/Dark",None,3,4,300-400%,100-120%,F9 B9 L9 R9,None,"Finished, R-38","Wood Stud, Uninsulated","Single, Clear, Non-metal",100% Conditioned,EF 19.9,Gas,None,Yes,EnergyStar,Electric,None,None,None,None,None,None,30 ACH50,83,SRMWc,"IL, Champaign",No,No,Northern
47,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour14,Hour9,3A,"G0101170, G01001200",None,"AL, Shelby County",Non-CBSA East South Central,3A,AL,CR09,East South Central,East South Central,South,None,Mixed-Humid,"AL, 01200",Single-Family Detached,2000s,2000-09,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,"2ft R10 Perimeter, Vertical",None,None,None,Yes,Electricity,Electric Standard,Ducted Heat Pump,Ducted Heat Pump,None,None,"ASHP, SEER 13, 7.7 HSPF",No,Electricity ASHP,Ducted Heat Pump,None,None,None,None,68F,72F,No,Yes,0F,2F,None,Night Setback +3h,None,100% Incandescent,110%,Yes,"10% Leakage, R-8",No,None,None,None,"In metro area, not/partially in principal city",3000-3999,2500-3999,1,Single-Family Detached,None,None,None,1,None,<8,Wood Frame,"Brick, Medium/Dark",2 Car,5,2,400%+,150%+,F6 B6 L6 R6,None,"Finished, R-38","Wood Stud, R-19","Double, Clear, Metal, Air",100% Conditioned,EF 19.9,Electric Resistance,318 Rated kWh,Yes,EnergyStar,Electric,None,None,None,None,None,None,10 ACH50,89,SRSOc,In another census Place,No,No,South-Central
48,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,95% Usage,80% Usage,80% Usage,80% Usage,80% Usage,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour4,Hour18,3A,"G0101010, G01002000",None,"AL, Montgomery County",Non-CBSA East South Central,3A,AL,CR09,East South Central,East South Central,South,None,Hot-Humid,"AL, 02000",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,72F,75F,No,No,0F,0F,None,None,Standard Efficiency,100% LED,110%,Yes,"20% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Brick, Medium/Dark",2 Car,3,2,400%+,150%+,F9 B9 L9 R9,R-19,"Unfinished, Uninsulated","Wood Stud, R-7","Double, Clear, Non-metal, Air",100% Conditioned,EF 19.9,Electric Resistance,318 Rated kWh,Yes,EnergyStar,Electric,None,"EF 12, National Average",None,None,None,None,15 ACH50,90,SRSOc,"AL, Montgomery",No,No,South-Central
49,High,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,105% Usage,120% Usage,120% Usage,120% Usage,120% Usage,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour4,Hour7,2A,"G4800410, G48003602",None,"TX, Brazos County",Non-CBSA West South Central,"2A - TX, LA",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 03602",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,70F,75F,Yes,Yes,6F,2F,Night +5h,Night Setback +5h,Standard Efficiency,100% LED,113%,Yes,"10% Leakage, R-8",No,None,None,None,"In metro area, not/partially in principal city",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Brick,None,2 Car,4,2,400%+,150%+,F12 B12 L12 R12,R-38,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, R-11","Double, Clear, Metal, Air",100% Conditioned,EF 19.9,Gas,318 Rated kWh,Yes,Standard,Electric,None,None,None,None,None,None,10 ACH50,64,ERCTc,"TX, College Station",No,No,Southern
50,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",None,Hour20,Hour16,3A,"G1302150, G13001700",None,"GA, Muscogee County",Non-CBSA South Atlantic,3A,GA,CR09,South Atlantic,South Atlantic,South,None,Mixed-Humid,"GA, 01700",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,60000-69999,60000-79999,60000-99999,Left/Right at 15ft,No,"Asphalt Shingles, Medium",Uninsulated,None,None,None,Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,70F,70F,Yes,Yes,3F,5F,Night +4h,Night Setback +1h,None,100% Incandescent,106%,Yes,"20% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",1000-1499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Brick,None,None,3,2,300-400%,120-150%,F18 B18 L18 R18,R-13,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated","Double, Clear, Non-metal, Air",100% Conditioned,EF 19.9,Electric Resistance,318 Rated kWh,Yes,Standard,Electric,None,"EF 12, National Average",None,None,None,None,20 ACH50,94,SRSOc,"GA, Columbus",No,No,South-Central
51,High,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,105% Usage,120% Usage,120% Usage,120% Usage,120% Usage,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour2,Hour12,3B,"G0400150, G04000600",None,"AZ, Mohave County",Non-CBSA Mountain,3B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00600",Single-Family Detached,2000s,2000-09,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,"Tile, Clay or Ceramic","2ft R5 Under, Horizontal",None,None,None,Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,"AC, SEER 13",None,None,None,None,68F,80F,Yes,No,3F,0F,Night +4h,None,Standard Efficiency,100% Incandescent,84%,Yes,"10% Leakage, R-8",No,None,None,None,Not/partially in metro area,1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",2 Car,4,2,400%+,150%+,F15 B15 L15 R15,R-30,"Unfinished, Uninsulated","Wood Stud, R-11","Double, Low-E, Non-metal, Air, M-Gain",100% Conditioned,EF 19.9,Electric Resistance,318 Rated kWh,Yes,EnergyStar,Electric,None,None,None,None,None,None,15 ACH50,27,AZNMc,In another census Place,No,No,South-Central
52,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",None,Hour3,Hour12,5A,"G2601450, G26001500",None,"MI, Saginaw County",Non-CBSA East North Central,5A,MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 01500",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,70F,70F,Yes,Yes,3F,5F,Night +3h,Night Setback +2h,None,100% CFL,85%,Yes,"20% Leakage, Uninsulated",No,None,None,None,"In metro area, not/partially in principal city",750-999,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Brick,None,None,2,2,400%+,150%+,F12 B12 L12 R12,R-13,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated","Double, Clear, Non-metal, Air",100% Conditioned,EF 17.6,Gas,None,Yes,Standard,Electric,None,"EF 12, National Average",None,None,None,None,20 ACH50,103,RFCMc,Not in a census Place,No,No,Northern
53,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,No Exterior Use,100%,None,None,Gas Grill,None,None,"Cooling Season, 7 days/wk",None,Hour17,Hour8,3A,"G4500190, G45001202",None,"SC, Charleston County",Non-CBSA South Atlantic,3A,SC,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"SC, 01202",Single-Family Detached,2000s,2000-09,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,Yes,Electricity,Electric Premium,Ducted Heat Pump,Ducted Heat Pump,None,None,"ASHP, SEER 13, 7.7 HSPF",No,Electricity ASHP,Ducted Heat Pump,None,None,None,None,70F,75F,Yes,Yes,3F,2F,Night +3h,Night Setback +5h,None,100% CFL,106%,Yes,"20% Leakage, R-8",No,None,None,None,"In metro area, not/partially in principal city",4000+,4000+,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Brick, Medium/Dark",3 Car,5,4,400%+,150%+,F15 B15 L15 R15,R-30,"Unfinished, Uninsulated","Wood Stud, R-15","Double, Low-E, Non-metal, Air, M-Gain",100% Conditioned,EF 19.9,Electric Resistance,318 Rated kWh,Yes,Standard,Electric,None,None,None,None,None,None,3 ACH50,96,SRVCc,"SC, Charleston",No,No,South-Central
54,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour1,Hour17,4A,"G0501430, G05000200",None,"AR, Washington County",Non-CBSA West South Central,4A,AR,CR09,West South Central,West South Central,South,SPP,Mixed-Humid,"AR, 00200",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,"Asphalt Shingles, Medium",None,Ceiling R-19,Uninsulated,Uninsulated,Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,75F,75F,No,No,0F,0F,None,None,Standard Efficiency,100% CFL,113%,Yes,"30% Leakage, R-6",No,None,None,None,"In metro area, not/partially in principal city",3000-3999,2500-3999,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Brick,None,2 Car,4,2,400%+,150%+,F12 B12 L12 R12,R-19,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, R-11","Double, Low-E, Non-metal, Air, M-Gain",100% Conditioned,EF 17.6,Gas,290 Rated kWh,Yes,Standard,Electric,EF 17.6,None,None,None,None,None,10 ACH50,56,SPSOc,"AR, Fayetteville",No,No,North-Central
55,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,105% Usage,120% Usage,120% Usage,120% Usage,120% Usage,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",None,Hour8,Hour4,5A,"G3600010, G36002002",None,"NY, Albany County",Non-CBSA Middle Atlantic,5A,NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Cold,"NY, 02002",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Not Applicable,Occupied,Owner,100000-119999,100000-119999,100000-149999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,Yes,Natural Gas,Natural Gas Tankless,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,68F,68F,No,Yes,0F,2F,None,Night Setback +1h,Standard Efficiency,100% CFL,101%,Yes,"20% Leakage, Uninsulated",No,None,None,None,"In metro area, not/partially in principal city",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,2,2,400%+,150%+,F9 B9 L9 R9,R-19,"Unfinished, Uninsulated","Wood Stud, Uninsulated","Double, Clear, Metal, Air",80% Conditioned,EF 19.9,Gas,318 Rated kWh,Yes,EnergyStar,Electric,None,"EF 12, National Average",None,None,None,None,15 ACH50,127,NYSTc,Not in a census Place,No,No,Northern
56,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour12,Hour19,5B,"G4100170, G41000400",None,"OR, Deschutes County",Non-CBSA Pacific,5B,OR,CR06,Pacific,Pacific,West,None,Cold,"OR, 00400",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,"Asphalt Shingles, Medium","2ft R10 Perimeter, Vertical",None,None,None,Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,68F,70F,Yes,Yes,3F,5F,Night +5h,Night Setback +4h,Standard Efficiency,100% CFL,94%,Yes,"20% Leakage, R-8",No,None,None,None,"In metro area, not/partially in principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Shingle, Composition, Medium",2 Car,4,4,400%+,150%+,F12 B12 L12 R12,R-38,"Unfinished, Uninsulated","Wood Stud, R-19","Double, Low-E, Non-metal, Air, M-Gain",100% Conditioned,EF 19.9,Electric Resistance,318 Rated kWh,Yes,EnergyStar,Electric,None,"EF 12, National Average",None,None,None,None,5 ACH50,5,NWPPc,"OR, Bend",No,No,Northern
57,High,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,105% Usage,120% Usage,120% Usage,120% Usage,120% Usage,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",None,Hour16,Hour14,2A,"G1200090, G12000901",None,"FL, Brevard County",Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 00901",Single-Family Detached,2000s,2000-09,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,"Asphalt Shingles, Medium",Uninsulated,None,None,None,Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,"AC, SEER 13",None,None,None,None,70F,70F,No,No,0F,0F,None,None,Standard Efficiency,100% Incandescent,106%,Yes,"30% Leakage, R-8",No,None,None,None,"In metro area, not/partially in principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Brick,None,2 Car,4,3,400%+,120-150%,F6 B6 L6 R6,R-30,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, R-11","Double, Low-E, Non-metal, Air, M-Gain",100% Conditioned,EF 15.9,Electric Resistance,318 Rated kWh,Yes,EnergyStar,Electric,EF 19.9,None,None,None,None,None,15 ACH50,102,FRCCc,In another census Place,No,No,Southern
58,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,95% Usage,80% Usage,80% Usage,80% Usage,80% Usage,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour3,Hour9,6A,"G5500790, G55040701",None,"WI, Milwaukee County",Non-CBSA East North Central,6A,WI,CR02,East North Central,East North Central,Midwest,MISO,Cold,"WI, 40701",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Heated Basement,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,68F,72F,Yes,Yes,3F,2F,Night +4h,Night Setback +4h,Standard Efficiency,100% CFL,85%,Yes,"0% Leakage, Uninsulated",No,None,None,None,"In metro area, not/partially in principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,None,<8,Wood Frame,"Brick, Medium/Dark",None,3,2,400%+,120-150%,F12 B12 L12 R12,None,"Finished, Uninsulated","Wood Stud, R-11","Single, Clear, Non-metal",100% Conditioned,EF 19.9,Gas,318 Rated kWh,Yes,Standard,Electric,None,None,None,None,None,None,15 ACH50,79,RFCWc,"WI, West Allis",No,No,Northern
