Building,ASHRAE IECC Climate Zone 2004,Bathroom Spot Vent Hour,County and PUMA,AIANNH Area,CEC Climate Zone,City,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,Building America Climate Zone,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle,Energystar Climate Zone 2023,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Fuel,HVAC Secondary Heating Partial Space Conditioning,HVAC System Is Faulted,Holiday Lighting,Hot Water Distribution,ISO RTO Region,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Orientation,Overhangs,PUMA,Geometry Building Type ACS,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Building Type RECS,Cooling Setpoint Has Offset,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Corridor,Neighbors,PUMA Metro Status,REEDS Balancing Area,Generation And Emissions Assessment Region,Radiant Barrier,Range Spot Vent Hour,Solar Hot Water,State,Census Division,Census Division RECS,Census Region,Lighting,Location Region,Plug Loads,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,Vacancy Status,Ceiling Fan,Has PV,Battery,PV Orientation,PV System Size,Tenure,Vintage,Heating Fuel,HVAC Heating Type,Vintage ACS,Geometry Foundation Type,HVAC Cooling Type,Cooling Setpoint,HVAC Has Shared System,HVAC Cooling Efficiency,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Shared Efficiencies,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Heating Setpoint,Heating Setpoint Has Offset,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Duct Location,Duct Leakage and Insulation,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,HVAC Cooling Partial Space Conditioning,Infiltration,Insulation Ceiling,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Insulation Roof,Insulation Slab,Insulation Wall,Occupants,Area Median Income,Federal Poverty Level,Clothes Washer Presence,Clothes Dryer,Clothes Washer,Cooking Range,Dishwasher,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Refrigerator,Roof Material,Water Heater Fuel,Water Heater Efficiency,Water Heater In Unit,Window Areas,Windows
43,2A,Hour1,"G2800470, G28002000",No,None,"MS, Gulfport","MS, Harrison County",Non-CBSA East South Central,"2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,None,None,None,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",South,None,"MS, 02000",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",87,SRMVc,No,Hour10,None,MS,East South Central,East South Central,South,100% LED,CR09,110%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Electricity,Ducted Heat Pump,2000-09,Slab,Ducted Heat Pump,70F,None,Ducted Heat Pump,Yes,"ASHP, SEER 13, 7.7 HSPF",No,Electricity ASHP,None,None,None,None,None,70F,Yes,6F,Night +3h,80000-99999,80000-99999,60000-99999,2000-2499,3,1500-2499,2,None,None,None,Single-Family Detached,2,None,2 Car,Garage,"20% Leakage, R-8",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-30",Uninsulated,"Wood Stud, R-15",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 17.6,Composition Shingles,Electricity,Electric Standard,Yes,F9 B9 L9 R9,"Double, Clear, Non-metal, Air"
44,3B,Hour7,"G3200030, G32000411",No,None,"NV, Henderson","NV, Clark County",Non-CBSA Mountain,3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",Southeast,None,"NV, 00411",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +3h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",13,AZNMc,No,Hour8,None,NV,Mountain,Mountain South,West,100% Incandescent,CR10,84%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,2000-09,Slab,Central AC,70F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,Yes,12F,Night +4h,200000+,140000+,150000+,3000-3999,3,2500-3999,2,None,None,None,Single-Family Detached,2,Vented Attic,3 Car,Vented Attic,"30% Leakage, R-8",<8,Wood Frame,"Stucco, Light",100% Conditioned,4 ACH50,R-30,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, R-19",3,150%+,400%+,Yes,Electric,Standard,Gas,290 Rated kWh,No,None,None,None,None,None,None,EF 17.6,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F12 B12 L12 R12,"Double, Clear, Non-metal, Air"
45,3B,Hour0,"G0600590, G06005903",No,6,"CA, Newport Beach","CA, Orange County","CBSA Los Angeles-Long Beach-Anaheim, CA",3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,CAISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",South,None,"CA, 05903",Single-Family Detached,None,None,Single-Family Detached,Yes,5F,Night Setback +4h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",10,CAMXc,No,Hour14,None,CA,Pacific,Pacific,West,100% LED,CR11,94%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1990s,Natural Gas,Ducted Heating,1980-99,Slab,Central AC,75F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,75F,Yes,3F,Night +2h,200000+,140000+,150000+,2000-2499,3,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,None,Vented Attic,"30% Leakage, R-4",<8,Wood Frame,"Stucco, Light",100% Conditioned,15 ACH50,R-30,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, R-11",3,150%+,400%+,Yes,Gas,EnergyStar,Gas,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",Natural Gas,Natural Gas Premium,Yes,F18 B18 L18 R18,"Double, Clear, Metal, Air"
46,4A,Hour21,"G3600610, G36003807",No,None,"NY, New York","NY, New York County","CBSA New York-Newark-Jersey City, NY-NJ-PA",4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,NYISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",South,None,"NY, 03807",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,12,"In metro area, principal city",127,NYSTc,None,Hour11,None,NY,Middle Atlantic,Middle Atlantic,Northeast,100% LED,CR07,89%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,<1940,Natural Gas,Non-Ducted Heating,<1940,Unheated Basement,Room AC,60F,Heating Only,"Room AC, EER 10.7",No,Shared Heating,No,Natural Gas Shared Heating,"Boiler Baseboards Heating Only, Fuel",None,None,None,None,70F,Yes,6F,Night +4h,200000+,140000+,150000+,750-999,2,0-1499,21,Middle,326,Middle,"Multifamily with 5+ units, 8+ stories",4+,None,None,None,None,8+,Steel Frame,"Aluminum, Light",60% Conditioned,20 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-30",None,"Wood Stud, Uninsulated",2,150%+,400%+,None,None,None,Gas,None,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",Electricity,Electric Standard,No,F30 B30 L30 R30,"Single, Clear, Non-metal"
47,2A,Hour19,"G1200710, G12007101",No,None,In another census Place,"FL, Lee County",Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",South,None,"FL, 07101",Single-Family Detached,None,None,Single-Family Detached,Yes,5F,Night Setback +3h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",101,FRCCc,No,Hour11,None,FL,South Atlantic,South Atlantic,South,100% Incandescent,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Electricity,Ducted Heat Pump,2000-09,Slab,Ducted Heat Pump,78F,None,Ducted Heat Pump,Yes,"ASHP, SEER 13, 7.7 HSPF",No,Electricity ASHP,None,None,None,None,None,72F,No,0F,None,200000+,140000+,150000+,4000+,5,4000+,2,None,None,None,Single-Family Detached,2,Vented Attic,3 Car,Vented Attic,"20% Leakage, R-8",<8,Wood Frame,"Vinyl, Light",100% Conditioned,3 ACH50,R-38,None,None,None,"Unfinished, Uninsulated","2ft R10 Under, Horizontal","Wood Stud, R-19",4,150%+,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,None,None,None,Has Pool,None,1.0 HP Pump,EF 19.9,Composition Shingles,Electricity,Electric Standard,Yes,F9 B9 L9 R9,"Single, Clear, Metal"
48,5A,Hour5,"G3900990, G39001500",No,None,"OH, Youngstown","OH, Mahoning County",Non-CBSA East North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Northwest,None,"OH, 01500",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +2h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",111,RFCWc,No,Hour17,None,OH,East North Central,East North Central,Midwest,100% CFL,CR04,85%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1950s,Natural Gas,Ducted Heating,1940-59,Slab,Central AC,68F,None,"AC, SEER 13",Yes,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,No,0F,None,80000-99999,80000-99999,60000-99999,2000-2499,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,Vented Attic,"20% Leakage, R-4",<8,Wood Frame,"Vinyl, Light",60% Conditioned,15 ACH50,R-38,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, Uninsulated",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F15 B15 L15 R15,"Double, Clear, Non-metal, Air"
49,3B,Hour20,"G0600370, G06003748",No,6,"CA, Los Angeles","CA, Los Angeles County","CBSA Los Angeles-Long Beach-Anaheim, CA",3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",East,None,"CA, 03748",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",10,CAMXc,No,Hour17,None,CA,Pacific,Pacific,West,100% CFL,CR11,94%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,1950s,Natural Gas,Ducted Heating,1940-59,Slab,None,78F,None,None,Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,65F,No,0F,None,200000+,140000+,150000+,1000-1499,2,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,Vented Attic,"30% Leakage, R-4",<8,Wood Frame,"Stucco, Light",None,15 ACH50,R-30,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, Uninsulated",2,150%+,400%+,Yes,Electric,EnergyStar,Gas,318 Rated kWh,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",Electricity,Electric Standard,Yes,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain"
50,5A,Hour6,"G1700190, G17002100",No,None,"IL, Champaign","IL, Champaign County",Non-CBSA East North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",Southeast,None,"IL, 02100",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",83,SRMWc,No,Hour15,None,IL,East North Central,East North Central,Midwest,100% Incandescent,CR04,85%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Unheated Basement,Central AC,72F,None,"AC, SEER 10",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,Yes,3F,Night +3h,80000-99999,80000-99999,60000-99999,2000-2499,2,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,Unheated Basement,"30% Leakage, Uninsulated",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,15 ACH50,R-30,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",2,120-150%,400%+,Yes,Gas,EnergyStar,Electric Resistance,None,No,None,None,None,None,None,None,EF 17.6,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F9 B9 L9 R9,"Double, Clear, Metal, Air"
51,3A,Hour10,"G1302450, G13004000",No,None,"GA, Augusta-Richmond County Consolidated Government Balance","GA, Richmond County",Non-CBSA South Atlantic,3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Southeast,None,"GA, 04000",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +4h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",94,SRSOc,No,Hour15,None,GA,South Atlantic,South Atlantic,South,100% Incandescent,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,1960s,Natural Gas,Ducted Heating,1960-79,Slab,Central AC,75F,None,"AC, SEER 15",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,No,0F,None,50000-59999,40000-59999,40000-59999,1000-1499,3,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,Vented Attic,"20% Leakage, R-4",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,20 ACH50,R-7,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, Uninsulated",2,100-120%,300-400%,Yes,Electric,Standard,Electric Resistance,290 Rated kWh,No,None,None,None,None,None,None,EF 17.6,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F12 B12 L12 R12,"Double, Clear, Non-metal, Air"
52,4A,Hour20,"G0500070, G05000100",No,None,In another census Place,"AR, Benton County",Non-CBSA West South Central,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,SPP,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",Northeast,None,"AR, 00100",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",56,SPSOc,No,Hour18,None,AR,West South Central,West South Central,South,100% Incandescent,CR09,113%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,2000-09,Slab,Central AC,76F,None,"AC, SEER 13",Yes,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,70F,Yes,3F,Night +3h,200000+,140000+,150000+,3000-3999,4,2500-3999,1,None,None,None,Single-Family Detached,1,None,3 Car,Garage,"30% Leakage, R-8",<8,Brick,None,60% Conditioned,10 ACH50,None,None,None,None,"Finished, R-7","2ft R10 Perimeter, Vertical","Brick, 12-in, 3-wythe, R-15",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,290 Rated kWh,No,EF 17.6,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Premium,Yes,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain"
53,3B,Hour2,"G0400150, G04000600",No,None,In another census Place,"AZ, Mohave County",Non-CBSA Mountain,3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",East,None,"AZ, 00600",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,Not/partially in metro area,27,AZNMc,No,Hour17,None,AZ,Mountain,Mountain South,West,100% CFL,CR10,84%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,2000s,Electricity,Ducted Heating,2000-09,Slab,Central AC,78F,None,"AC, SEER 15",Yes,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,1500-1999,4,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,2 Car,Vented Attic,"20% Leakage, R-8",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,15 ACH50,R-30,None,None,None,"Unfinished, Uninsulated","2ft R5 Under, Horizontal","Wood Stud, R-15",2,150%+,400%+,Yes,Electric,EnergyStar,Electric Resistance,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,"Tile, Concrete",Electricity,Electric Standard,Yes,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain"
54,5A,Hour17,"G3900350, G39000908",No,None,"OH, Cleveland","OH, Cuyahoga County",Non-CBSA East North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",South,None,"OH, 00908",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +3h,Not Applicable,Left/Right at 15ft,"In metro area, principal city",111,RFCWc,No,Hour11,None,OH,East North Central,East North Central,Midwest,100% LED,CR04,85%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Vented Crawlspace,Room AC,72F,None,"Room AC, EER 10.7",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,No,0F,None,10000-14999,<20000,<20000,1000-1499,3,0-1499,2,None,None,None,Single-Family Detached,2,Vented Attic,None,Vented Crawlspace,"20% Leakage, Uninsulated",<8,Wood Frame,"Vinyl, Light",40% Conditioned,20 ACH50,R-7,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",1,0-30%,0-100%,Yes,Electric,Standard,Gas,None,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Metal, Dark",Natural Gas,Natural Gas Standard,Yes,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain"
55,4A,Hour0,"G2900950, G29001001",No,None,"MO, Kansas City","MO, Jackson County",Non-CBSA West North Central,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,SPP,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",West,None,"MO, 01001",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, principal city",54,SPNOc,No,Hour17,None,MO,West North Central,West North Central,Midwest,100% CFL,CR08,95%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Slab,Central AC,72F,None,"AC, SEER 15",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,70F,Yes,6F,Night -5h,200000+,140000+,150000+,2000-2499,4,1500-2499,2,None,None,None,Single-Family Detached,2,None,None,Living Space,"0% Leakage, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,20 ACH50,None,None,None,None,"Finished, R-38",Uninsulated,"Wood Stud, Uninsulated",2,150%+,400%+,Yes,Gas,EnergyStar,Gas,290 Rated kWh,No,None,None,None,None,None,None,EF 17.6,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F18 B18 L18 R18,"Double, Clear, Metal, Air"
56,6A,Hour6,"G5500250, G55000103",No,None,In another census Place,"WI, Dane County",Non-CBSA East North Central,6A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",North,None,"WI, 00103",Single-Family Detached,None,None,Single-Family Detached,Yes,5F,Night Setback +4h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",78,MROEc,No,Hour6,None,WI,East North Central,East North Central,Midwest,100% Incandescent,CR02,85%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,2000-09,Heated Basement,Central AC,75F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,Yes,3F,Night +3h,200000+,140000+,150000+,3000-3999,4,2500-3999,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,Heated Basement,"0% Leakage, Uninsulated",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,5 ACH50,R-49,Uninsulated,"Wall R-10, Exterior","R-10, Exterior","Unfinished, Uninsulated",None,"Wood Stud, R-19",2,150%+,400%+,Yes,Electric,Standard,Gas,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
57,2B,Hour2,"G0400130, G04000101",No,None,"AZ, Mesa","AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,None,Southern,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",East,None,"AZ, 00101",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",28,AZNMc,No,Hour14,None,AZ,Mountain,Mountain South,West,100% LED,CR10,84%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,2000s,Electricity,Ducted Heat Pump,2000-09,Slab,Ducted Heat Pump,78F,None,Ducted Heat Pump,Yes,"ASHP, SEER 13, 7.7 HSPF",No,Electricity ASHP,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,3000-3999,3,2500-3999,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,Vented Attic,"30% Leakage, R-8",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,4 ACH50,R-38,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, R-11",3,120-150%,400%+,Yes,Electric,EnergyStar,Electric Resistance,318 Rated kWh,No,EF 17.6,"EF 12, National Average",None,None,None,None,EF 17.6,"Tile, Clay or Ceramic",Electricity,Electric Standard,Yes,F15 B15 L15 R15,"Double, Clear, Metal, Air"
58,5A,Hour5,"G1901530, G19001700",No,None,"IA, Des Moines","IA, Polk County",Non-CBSA West North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",West,None,"IA, 01700",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, principal city",70,MROWc,No,Hour22,None,IA,West North Central,West North Central,Midwest,100% CFL,CR02,95%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,None,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Slab,Central AC,72F,None,"AC, SEER 10",Yes,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,75F,Yes,3F,Night -4h,80000-99999,80000-99999,60000-99999,1500-1999,2,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,None,Vented Attic,"20% Leakage, R-4",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,20 ACH50,R-19,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, R-11",2,120-150%,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",Natural Gas,Natural Gas Standard,Yes,F12 B12 L12 R12,"Double, Clear, Non-metal, Air"
