Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Tenure	Dependency=Vintage ACS	Option=<10000	Option=10000-14999	Option=15000-19999	Option=20000-24999	Option=25000-29999	Option=30000-34999	Option=35000-39999	Option=40000-44999	Option=45000-49999	Option=50000-59999	Option=60000-69999	Option=70000-79999	Option=80000-99999	Option=100000-119999	Option=120000-139999	Option=140000-159999	Option=160000-179999	Option=180000-199999	Option=200000+	source_count	source_weight	sampling_probability
Multi-Family with 5+ Units	CA, 03732	Owner	<1940	0	0	0	0.148515	0.0594059	0	0.0792079	0.0594059	0.0594059	0	0	0	0	0.163366	0	0.049505	0	0.0594059	0.321782	14	202	0.000329527
Multi-Family with 5+ Units	CA, 03732	Renter	<1940	0.0999415	0.120348	0.0598812	0.0788659	0.0709208	0.0664882	0.043071	0.0733462	0.0326169	0.0823785	0.0623902	0.0407293	0.0737643	0.0388057	0.0170611	0.0144685	0.00342895	0.00192356	0.0195701	575	11957	0.00942711
Single-Family Attached	CA, 03732	Owner	<1940	0	0.114504	0	0.0343511	0	0	0.0458015	0	0	0.103053	0.141221	0	0.0648855	0.0343511	0.232824	0.0496183	0	0	0.179389	18	262	0.000228595
Single-Family Attached	CA, 03732	Renter	<1940	0.0555556	0.0418944	0.132058	0.0865209	0.075592	0.0510018	0.0227687	0.068306	0.064663	0	0.0437158	0.0992714	0.116576	0.0692168	0.0318761	0.0291439	0	0	0.0118397	55	1098	0.000901029
Single-Family Detached	CA, 03732	Owner	<1940	0.018546	0.0231825	0.00964392	0.00908754	0.0237389	0.0289318	0.0148368	0.0287463	0.0118694	0.0307864	0.0218843	0.027819	0.0942136	0.0827151	0.0647255	0.0502596	0.0504451	0.0120549	0.396513	338	5392	0.00387315
Single-Family Detached	CA, 03732	Renter	<1940	0.0159405	0.0366631	0.0526036	0.0308183	0.0414453	0.00478215	0.0621679	0.00690755	0.0642933	0.0658874	0.0557917	0.0733262	0.10255	0.0812965	0.0717322	0.063762	0.054729	0.0281615	0.0871413	101	1882	0.00160776
Mobile Home	CA, 03733	Owner	1940-59	0.134486	0.0989433	0.0115274	0.0720461	0.054755	0.116234	0.0326609	0.0480307	0.0384246	0.0893372	0.0480307	0.0201729	0.0730067	0.0826129	0.0230548	0.012488	0	0	0.0441883	58	1041	8.73552e-07
Mobile Home	CA, 03733	Renter	1940-59	0.0637652	0.1083	0.114372	0.0759109	0.0394737	0.0293522	0.0404858	0.232794	0	0.00809717	0.0192308	0.0991903	0.0303644	0.00708502	0.090081	0.0334008	0.00809717	0	0	40	988	1.04783e-06
Multi-Family with 2 - 4 Units	CA, 03733	Owner	1940-59	0.0133349	0.0464299	0.0121227	0.0425506	0.0212147	0.0317614	0.0327312	0.044369	0.036368	0.0682507	0.0915262	0.0303067	0.123288	0.07213	0.0581889	0.0478846	0.0209722	0.0269124	0.179658	417	8249	2.99075e-05
Multi-Family with 2 - 4 Units	CA, 03733	Renter	1940-59	0.0614035	0.0219298	0.0833333	0.141813	0.0774854	0.0687135	0.114035	0.0423977	0.0233918	0.0774854	0.0818713	0.0526316	0.0745614	0.0263158	0.0292398	0	0	0.0233918	0	38	684	0.000436458
Multi-Family with 5+ Units	CA, 03733	Owner	1940-59	0.0691653	0.047438	0.0275213	0.026616	0.0365743	0.0200978	0.086185	0.0204599	0.00959623	0.0452653	0.0485244	0.0512403	0.0941517	0.0838313	0.0597501	0.0554047	0.0409198	0.020641	0.156618	263	5523	0.00010712
Multi-Family with 5+ Units	CA, 03733	Renter	1940-59	0.0273498	0.0893683	0.0575886	0.086094	0.0751156	0.0720339	0.057396	0.0820493	0.0483436	0.0587442	0.0832049	0.0473806	0.112673	0.038906	0.0346687	0.0219569	0.00192604	0	0.00520031	269	5192	0.0034914
Single-Family Attached	CA, 03733	Owner	1940-59	0.0333979	0.0289448	0.0219748	0.024879	0.0307357	0.0220716	0.0229913	0.0304937	0.0247822	0.0680058	0.0466118	0.0586157	0.1	0.0895934	0.068393	0.0622459	0.0420136	0.0392062	0.185044	1227	20660	8.88787e-06
Single-Family Attached	CA, 03733	Renter	1940-59	0.0717062	0.0782084	0.0649497	0.0520542	0.0337462	0.0532893	0.0432635	0.0431545	0.0353809	0.0664027	0.0678194	0.0594282	0.09223	0.0614625	0.0494024	0.0290966	0.0314577	0.0130045	0.0539431	1313	27529	3.26107e-05
Single-Family Detached	CA, 03733	Owner	1940-59	0.0261624	0.0194452	0.0205624	0.0246822	0.0229516	0.0259232	0.0261709	0.0241672	0.0288302	0.0554597	0.0590617	0.0544438	0.105353	0.0951916	0.0787574	0.0585552	0.0542947	0.0384233	0.181564	21077	355357	8.11592e-05
Single-Family Detached	CA, 03733	Renter	1940-59	0	0.0414508	0	0	0.165803	0.0466321	0.196891	0.290155	0	0	0	0	0.0621762	0.0673575	0	0.0673575	0	0	0.0621762	11	193	9.73511e-05
Mobile Home	CA, 03733	Owner	1960-79	0.0461615	0.0688933	0.0671984	0.0610169	0.0908275	0.0430708	0.0499501	0.0666002	0.0354935	0.0742772	0.0701894	0.0769691	0.0860419	0.0514457	0.027318	0.0425723	0.0168495	0.00498504	0.0201396	556	10030	8.61761e-06
Mobile Home	CA, 03733	Renter	1960-79	0.0589731	0.0391459	0.0472801	0.0790544	0.104982	0.0986274	0.0465175	0.0803254	0.0246568	0.0854093	0.0490595	0.0386375	0.118963	0.0327911	0.0338078	0.0238943	0.00686324	0.00584647	0.0251652	154	3934	1.03369e-05
Multi-Family with 2 - 4 Units	CA, 03733	Owner	1960-79	0.0212461	0.0241108	0.0261399	0.0259012	0.0352113	0.0360468	0.042731	0.0225591	0.0365242	0.048699	0.0479828	0.0710193	0.0965624	0.0857006	0.0577704	0.0787778	0.048699	0.0331821	0.161136	415	8378	2.20927e-05
Multi-Family with 2 - 4 Units	CA, 03733	Renter	1960-79	0.10251	0	0.08159	0.0732218	0.138075	0.0857741	0	0.104603	0.15272	0.0439331	0	0.0271967	0.125523	0	0.0146444	0	0	0.0313808	0.0188285	33	478	0.000322412
Multi-Family with 5+ Units	CA, 03733	Owner	1960-79	0.131507	0.147945	0.0383562	0.0383562	0.117808	0.0410959	0	0	0.0328767	0	0.126027	0.156164	0.0630137	0.0383562	0.0356164	0.0328767	0	0	0	20	365	0.000237377
Multi-Family with 5+ Units	CA, 03733	Renter	1960-79	0.0671194	0.0779451	0.0553095	0.0713512	0.0642653	0.0703671	0.0598366	0.0711544	0.0512745	0.11928	0.0659384	0.0615097	0.0635764	0.0414329	0.0315914	0.0167306	0.00373979	0.0038382	0.00373979	533	10161	0.00773695
Single-Family Attached	CA, 03733	Owner	1960-79	0.0339154	0.0214875	0.0176933	0.0267916	0.0216036	0.0305083	0.020597	0.0250494	0.0209842	0.0564095	0.0569515	0.0516474	0.112045	0.0956289	0.10012	0.0558287	0.0522281	0.0369352	0.163576	1575	25829	8.04141e-06
Single-Family Attached	CA, 03733	Renter	1960-79	0.0562483	0.0399875	0.0372122	0.0531994	0.0481961	0.0525349	0.0372122	0.0313489	0.0367041	0.101904	0.0662158	0.0579291	0.103389	0.0640269	0.0513622	0.037134	0.0353751	0.0236485	0.0663722	1312	25583	2.95049e-05
Single-Family Detached	CA, 03733	Owner	1960-79	0.0207177	0.0161964	0.0183004	0.0202174	0.0219427	0.0228545	0.023481	0.0248416	0.0243834	0.0509924	0.0540503	0.0524793	0.101845	0.096692	0.0762314	0.0643039	0.0538212	0.0478457	0.208804	12926	213875	7.30731e-05
Single-Family Detached	CA, 03733	Renter	1960-79	0	0.229947	0	0	0.26738	0.0748663	0	0	0.112299	0	0.0695187	0.0588235	0.187166	0	0	0	0	0	0	11	187	8.76519e-05
Mobile Home	CA, 03733	Owner	1980-99	0.0452663	0.042696	0.0385549	0.0416964	0.0514065	0.0471227	0.0528345	0.0382693	0.0491218	0.0454091	0.0981008	0.0815365	0.112095	0.070684	0.0585463	0.0429816	0.0197058	0.0112809	0.0526917	380	7003	5.65089e-06
Mobile Home	CA, 03733	Renter	1980-99	0.129688	0.0683491	0.107256	0.0494217	0.042061	0.0529267	0.0361023	0.0501227	0.0536278	0.0308447	0.0357518	0.0729057	0.0886786	0.113915	0.0290922	0.0164739	0.0185769	0.0042061	0	116	2853	6.77829e-06
Multi-Family with 2 - 4 Units	CA, 03733	Owner	1980-99	0.0570927	0.0142	0.0256185	0.0133216	0.0259113	0.0455277	0.0174206	0.0477236	0.0339628	0.0515298	0.0578246	0.0392329	0.082272	0.0983751	0.0682184	0.0357195	0.0749524	0.0295711	0.181525	359	6831	1.15321e-05
Multi-Family with 2 - 4 Units	CA, 03733	Renter	1980-99	0	0	0	0	0.221774	0.145161	0.108871	0.0362903	0.0967742	0.133065	0.0443548	0.0443548	0.0322581	0	0	0.0927419	0	0	0.0443548	16	248	0.000168295
Multi-Family with 5+ Units	CA, 03733	Owner	1980-99	0.0794393	0	0	0	0.0607477	0.257009	0.0747664	0	0	0	0.0794393	0.205607	0.172897	0.0700935	0	0	0	0	0	12	214	0.000139925
Multi-Family with 5+ Units	CA, 03733	Renter	1980-99	0.113693	0.0559045	0.0620289	0.0662688	0.0548053	0.0625	0.0527638	0.0629711	0.0584171	0.0906093	0.0632852	0.0706658	0.0683103	0.0559045	0.0205716	0.0166457	0.00973618	0.00816583	0.00675251	349	6368	0.00456062
Single-Family Attached	CA, 03733	Owner	1980-99	0.027459	0.0160178	0.0173497	0.0205601	0.0140027	0.0224044	0.0198087	0.0264686	0.0220287	0.0545765	0.0426913	0.0500342	0.130635	0.0989071	0.0855533	0.0724727	0.0464481	0.0556694	0.176913	1694	29280	1.72114e-05
Single-Family Attached	CA, 03733	Renter	1980-99	0.055622	0.0396375	0.0316204	0.0380938	0.048302	0.0438203	0.0454636	0.0333134	0.0379444	0.0761876	0.0649338	0.0631411	0.0981476	0.0715068	0.0561697	0.0327159	0.0395379	0.0223583	0.101484	1034	20082	6.31508e-05
Single-Family Detached	CA, 03733	Owner	1980-99	0.0220336	0.0122946	0.0137094	0.0141292	0.0160734	0.0168492	0.0169131	0.0200347	0.0170226	0.0477364	0.0474717	0.0446057	0.0839814	0.0991877	0.0840727	0.06841	0.0608434	0.0476816	0.26695	6335	109560	2.48568e-05
Single-Family Detached	CA, 03733	Renter	1980-99	0.0480147	0.036311	0.0340287	0.0385932	0.0337069	0.0375399	0.0378617	0.0388858	0.0367206	0.0654241	0.0615619	0.0539837	0.115048	0.0775375	0.0587822	0.051087	0.0353454	0.0337361	0.105831	1643	34177	2.9816e-05
Mobile Home	CA, 03733	Owner	2000-09	0.022864	0.0204573	0.02858	0.0418171	0.0240674	0.0213598	0.0186522	0.0628761	0.0646811	0.101384	0.0631769	0.0685921	0.0697954	0.148616	0.0174489	0.0923586	0.0246691	0.0252708	0.0833333	172	3324	2.34509e-06
Mobile Home	CA, 03733	Renter	2000-09	0.0821429	0.0535714	0.0714286	0.132143	0.00714286	0.0940476	0.0547619	0.0511905	0.052381	0.0428571	0.0678571	0.075	0.107143	0.0714286	0	0.0107143	0.0261905	0	0	41	840	2.81296e-06
Multi-Family with 2 - 4 Units	CA, 03733	Owner	2000-09	0.0490884	0.00935016	0	0.0130902	0.00981767	0	0.0458158	0.00841515	0	0.0495559	0.0584385	0.0406732	0.0677887	0.0444133	0.102852	0.0472183	0.0691912	0.0224404	0.361851	106	2139	3.84405e-06
Multi-Family with 2 - 4 Units	CA, 03733	Renter	2000-09	0.124456	0.0535612	0.0493716	0.046332	0.0474	0.0502752	0.0633369	0.0630083	0.0404173	0.0598045	0.0553684	0.0495359	0.0580794	0.0679372	0.049043	0.0368028	0.0245626	0.0162655	0.0444426	492	12173	5.60986e-05
Multi-Family with 5+ Units	CA, 03733	Owner	2000-09	0	0	0	0	0.0304709	0	0	0.110803	0	0	0.0415512	0.0304709	0.138504	0.0831025	0.0304709	0.108033	0.0609418	0.0858726	0.279778	26	361	4.20793e-05
Multi-Family with 5+ Units	CA, 03733	Renter	2000-09	0.0365059	0.0756193	0.0990874	0.089309	0.0338983	0.0221643	0.0704042	0.0319426	0.0325945	0.172751	0.0625815	0.095176	0.0521512	0.0547588	0.0273794	0	0	0.0065189	0.0371578	71	1534	0.00137151
Single-Family Attached	CA, 03733	Owner	2000-09	0.0134084	0.00706285	0.0131877	0.0118634	0.00584892	0.00811124	0.00882856	0.016995	0.0177123	0.0398389	0.0397837	0.0505435	0.101694	0.0966727	0.0849749	0.0936931	0.0575512	0.061193	0.271037	868	18123	7.61817e-06
Single-Family Attached	CA, 03733	Renter	2000-09	0.0327344	0.0406857	0.0414085	0.0426477	0.035729	0.0418216	0.029843	0.0153862	0.0243701	0.0523544	0.0626807	0.0521479	0.0853986	0.0990293	0.0629905	0.0419248	0.0405824	0.0345931	0.163672	446	9684	2.7952e-05
Single-Family Detached	CA, 03733	Owner	2000-09	0.0183276	0.010762	0.00970286	0.013637	0.0155473	0.0152636	0.0152447	0.0168902	0.0134857	0.0428969	0.0375253	0.0452422	0.0795899	0.0915436	0.0753721	0.0658584	0.0637022	0.0497437	0.319665	2690	52871	1.4974e-05
Single-Family Detached	CA, 03733	Renter	2000-09	0.04093	0.0377657	0.0449886	0.0186421	0.0354956	0.0348077	0.0347389	0.0355644	0.0328128	0.0670702	0.0493224	0.0407925	0.115154	0.0906652	0.069753	0.0645938	0.0444383	0.0313682	0.111096	626	14537	1.79614e-05
Mobile Home	CA, 03733	Owner	2010s	0.0464316	0.0773861	0.0799656	0.00601892	0.0593293	0.0541702	0.0902837	0.00859845	0.0094583	0.049871	0.0687876	0.0963027	0.104901	0.044712	0.0799656	0.0206363	0.00601892	0.0300946	0.0670679	67	1163	5.93871e-07
Mobile Home	CA, 03733	Renter	2010s	0.0750507	0.0507099	0.127789	0.0466531	0.131846	0	0	0.030426	0	0.0567951	0.168357	0	0.0993915	0.0121704	0.150101	0	0	0	0.0507099	21	493	7.12353e-07
Multi-Family with 2 - 4 Units	CA, 03733	Owner	2010s	0.0452261	0.0577889	0	0.0565327	0	0.0163317	0	0.0100503	0	0.0163317	0.0364322	0	0.0904523	0.0376884	0.0565327	0.0841709	0.0515075	0.0565327	0.384422	36	796	1.6052e-06
Multi-Family with 2 - 4 Units	CA, 03733	Renter	2010s	0.109621	0.02897	0.0507868	0.0225322	0.0708155	0.0770744	0.0636624	0.0171674	0.0300429	0.0416667	0.0779685	0.0500715	0.0872675	0.0734979	0.0532904	0.0416667	0.0236052	0.0109084	0.0693848	208	5592	2.34257e-05
Multi-Family with 5+ Units	CA, 03733	Owner	2010s	0.0187114	0.0139453	0.0180053	0.0128861	0.00529568	0.00794351	0.0121801	0.00935569	0.00617829	0.0342454	0.0566637	0.0331862	0.0686673	0.039541	0.104501	0.078376	0.0368932	0.0375993	0.405825	249	5665	3.88636e-05
Multi-Family with 5+ Units	CA, 03733	Renter	2010s	0.119845	0.0637887	0.0773196	0.0599227	0.0863402	0.0161082	0.0405928	0.0592784	0.0328608	0.0399485	0.108247	0.064433	0.0612113	0.0231959	0.0444588	0.0167526	0.0186856	0.00966495	0.0573454	81	1552	0.0012667
Single-Family Attached	CA, 03733	Owner	2010s	0.00290992	0.00328947	0.00366903	0.00885628	0.00240385	0.00265688	0.0122723	0.013917	0.00253036	0.0236589	0.0231528	0.0208755	0.0563006	0.0823634	0.0864119	0.0803391	0.0587045	0.0536437	0.462045	373	7904	8.46463e-06
Single-Family Attached	CA, 03733	Renter	2010s	0.0547445	0.0346715	0.00583942	0.0529197	0.0452555	0.0116788	0.0591241	0.0153285	0.0259124	0.0375912	0.0346715	0.070073	0.0766423	0.0744526	0.0624088	0.0291971	0.019708	0.0562044	0.233577	129	2740	3.10578e-05
Single-Family Detached	CA, 03733	Owner	2010s	0.0119374	0.00454496	0.00991129	0.00799474	0.0087066	0.00443544	0.00635199	0.0144015	0.0121016	0.0264484	0.040138	0.041945	0.0555799	0.0748549	0.0571679	0.0684481	0.0687219	0.0606724	0.425638	948	18262	4.19272e-06
Single-Family Detached	CA, 03733	Renter	2010s	0.0541631	0.036877	0.0337079	0.0328436	0.0250648	0.0334198	0.0282339	0.0115241	0.0253529	0.0602132	0.0535869	0.0985307	0.115817	0.0841256	0.0838375	0.0452319	0.0302506	0.056756	0.0904638	162	3471	5.02921e-06
Mobile Home	CA, 03733	Owner	<1940	0	0.0477387	0.138191	0	0.0301508	0.0628141	0.0276382	0	0.0904523	0.120603	0.0201005	0	0.0477387	0.213568	0.0326633	0.110553	0.0226131	0.0351759	0	26	398	1.87202e-07
Mobile Home	CA, 03733	Renter	<1940	0.110924	0.0344538	0.087395	0.0714286	0.0705882	0.123529	0.0731092	0	0.0394958	0.0487395	0.0445378	0.0134454	0.0756303	0.0504202	0.010084	0	0	0.0756303	0.0705882	48	1190	2.2455e-07
Multi-Family with 2 - 4 Units	CA, 03733	Owner	<1940	0.0426459	0.0160197	0.0165918	0.021477	0.0175601	0.013115	0.0168999	0.0221811	0.0192765	0.0411055	0.0461227	0.0412376	0.0752134	0.0728369	0.0462987	0.0404454	0.0550568	0.0334478	0.362468	1246	22722	8.7019e-05
Multi-Family with 2 - 4 Units	CA, 03733	Renter	<1940	0.0688427	0.00949555	0.0545994	0.0623145	0.0302671	0.132938	0.126409	0.0979228	0.0462908	0.0735905	0.123442	0.0320475	0.0362018	0.0492582	0.0106825	0.0284866	0	0	0.0172107	90	1685	0.00126992
Multi-Family with 5+ Units	CA, 03733	Owner	<1940	0.0450005	0.0186661	0.00948441	0.0270407	0.0204823	0.0193724	0.020785	0.0132176	0.0167491	0.0343053	0.0426799	0.0450005	0.0909091	0.115024	0.0556957	0.0487337	0.0559984	0.0386439	0.282212	465	9911	0.000297751
Multi-Family with 5+ Units	CA, 03733	Renter	<1940	0.0803213	0.0851709	0.0706979	0.0748655	0.0861559	0.0815337	0.0677427	0.0579677	0.06259	0.0900962	0.067288	0.0408426	0.0647117	0.0251572	0.0159885	0.0124271	0.00363719	0.00166705	0.0111389	666	13197	0.00970474
Single-Family Attached	CA, 03733	Owner	<1940	0.0259088	0.0212382	0.0174488	0.0203569	0.0254241	0.0335316	0.01833	0.0289932	0.0279797	0.0469707	0.0455166	0.038731	0.0919145	0.0736286	0.0638026	0.0632298	0.0454285	0.047896	0.26367	1295	22695	5.37505e-05
Single-Family Attached	CA, 03733	Renter	<1940	0.106122	0.0979592	0.195918	0	0	0.240816	0	0	0	0.159184	0	0.0530612	0	0	0	0	0	0.146939	0	12	245	0.000197217
Single-Family Detached	CA, 03733	Owner	<1940	0.0237288	0.040678	0.0711864	0.0135593	0.0813559	0	0.079661	0.0254237	0	0.0576271	0.0966102	0.0915254	0.0949153	0.0677966	0.0322034	0.0389831	0	0.0372881	0.147458	39	590	0.000400106
Single-Family Detached	CA, 03733	Renter	<1940	0.11943	0	0.0231729	0	0.0962567	0.0944742	0.117647	0.0481283	0.0249554	0.0213904	0.0909091	0.0819964	0.0213904	0.0891266	0	0.0516934	0.0998217	0	0.0196078	28	561	0.00047993
Mobile Home	CA, 03734	Owner	1940-59	0.134486	0.0989433	0.0115274	0.0720461	0.054755	0.116234	0.0326609	0.0480307	0.0384246	0.0893372	0.0480307	0.0201729	0.0730067	0.0826129	0.0230548	0.012488	0	0	0.0441883	58	1041	4.20626e-06
Mobile Home	CA, 03734	Renter	1940-59	0.0637652	0.1083	0.114372	0.0759109	0.0394737	0.0293522	0.0404858	0.232794	0	0.00809717	0.0192308	0.0991903	0.0303644	0.00708502	0.090081	0.0334008	0.00809717	0	0	40	988	5.77012e-06
Multi-Family with 2 - 4 Units	CA, 03734	Owner	1940-59	0.0133349	0.0464299	0.0121227	0.0425506	0.0212147	0.0317614	0.0327312	0.044369	0.036368	0.0682507	0.0915262	0.0303067	0.123288	0.07213	0.0581889	0.0478846	0.0209722	0.0269124	0.179658	417	8249	0.000122095
Multi-Family with 2 - 4 Units	CA, 03734	Renter	1940-59	0.0675845	0.00938673	0.102003	0.034418	0.0231539	0.0569462	0.0137672	0.0419274	0.0325407	0.0851064	0.0744681	0.0744681	0.163955	0.100751	0.0106383	0.0325407	0.00750939	0.0131414	0.0556946	94	1598	0.00106975
Multi-Family with 5+ Units	CA, 03734	Owner	1940-59	0.0691653	0.047438	0.0275213	0.026616	0.0365743	0.0200978	0.086185	0.0204599	0.00959623	0.0452653	0.0485244	0.0512403	0.0941517	0.0838313	0.0597501	0.0554047	0.0409198	0.020641	0.156618	263	5523	0.000124449
Multi-Family with 5+ Units	CA, 03734	Renter	1940-59	0.124552	0.102336	0.0698008	0.0655009	0.0702308	0.0806937	0.0753906	0.0627777	0.0378386	0.0408485	0.0321055	0.046295	0.0751039	0.0361187	0.0265157	0.0250824	0.00415651	0.00544647	0.019206	385	6977	0.00486841
Single-Family Attached	CA, 03734	Owner	1940-59	0.0333979	0.0289448	0.0219748	0.024879	0.0307357	0.0220716	0.0229913	0.0304937	0.0247822	0.0680058	0.0466118	0.0586157	0.1	0.0895934	0.068393	0.0622459	0.0420136	0.0392062	0.185044	1227	20660	0.0001088
Single-Family Attached	CA, 03734	Renter	1940-59	0.0182648	0.16895	0.065449	0.106545	0.0273973	0.0502283	0.111111	0	0	0.0898021	0.0167428	0.0669711	0.141553	0.0517504	0.0136986	0.0228311	0.0121766	0.0182648	0.0182648	37	657	0.000460519
Single-Family Detached	CA, 03734	Owner	1940-59	0.0486618	0.0194647	0.00583942	0.0170316	0.0184915	0.0180049	0.0457421	0.0374696	0.0360097	0.0720195	0.053528	0.0491484	0.0963504	0.10073	0.0170316	0.0481752	0.0520681	0.0194647	0.244769	127	2055	0.00149183
Single-Family Detached	CA, 03734	Renter	1940-59	0.0222046	0.0325139	0.00555115	0.035686	0.0491673	0.1023	0.0864393	0.0467883	0.0158604	0.0491673	0.0483743	0.153053	0.0634417	0.0499603	0.074544	0.0515464	0.038858	0.0134814	0.0610626	72	1261	0.000863925
Mobile Home	CA, 03734	Owner	1960-79	0.0461615	0.0688933	0.0671984	0.0610169	0.0908275	0.0430708	0.0499501	0.0666002	0.0354935	0.0742772	0.0701894	0.0769691	0.0860419	0.0514457	0.027318	0.0425723	0.0168495	0.00498504	0.0201396	556	10030	2.32747e-05
Mobile Home	CA, 03734	Renter	1960-79	0.0589731	0.0391459	0.0472801	0.0790544	0.104982	0.0986274	0.0465175	0.0803254	0.0246568	0.0854093	0.0490595	0.0386375	0.118963	0.0327911	0.0338078	0.0238943	0.00686324	0.00584647	0.0251652	154	3934	3.1928e-05
Multi-Family with 2 - 4 Units	CA, 03734	Owner	1960-79	0.0212461	0.0241108	0.0261399	0.0259012	0.0352113	0.0360468	0.042731	0.0225591	0.0365242	0.048699	0.0479828	0.0710193	0.0965624	0.0857006	0.0577704	0.0787778	0.048699	0.0331821	0.161136	415	8378	0.00014015
Multi-Family with 2 - 4 Units	CA, 03734	Renter	1960-79	0.0633534	0.0316767	0.0535227	0.0453304	0.010923	0.0158383	0.0316767	0.0371382	0.0382305	0.0360459	0.0939377	0.047515	0.170945	0.135445	0.0371382	0.0207537	0.0267613	0.0234844	0.080284	120	1831	0.00122794
Multi-Family with 5+ Units	CA, 03734	Owner	1960-79	0	0.0174672	0.058952	0.0458515	0.0982533	0.0240175	0.0305677	0	0	0.0283843	0.181223	0.0545852	0.0851528	0.135371	0.117904	0.0895197	0	0	0.0327511	27	458	0.000182869
Multi-Family with 5+ Units	CA, 03734	Renter	1960-79	0.086913	0.111545	0.0597777	0.0624812	0.0716932	0.0504656	0.0465605	0.0345449	0.0311405	0.0957244	0.062281	0.0446581	0.0971263	0.0458596	0.0289376	0.0289376	0.0121158	0.0136177	0.0156203	573	9987	0.00715378
Single-Family Attached	CA, 03734	Owner	1960-79	0.0339154	0.0214875	0.0176933	0.0267916	0.0216036	0.0305083	0.020597	0.0250494	0.0209842	0.0564095	0.0569515	0.0516474	0.112045	0.0956289	0.10012	0.0558287	0.0522281	0.0369352	0.163576	1575	25829	8.21082e-05
Single-Family Attached	CA, 03734	Renter	1960-79	0	0	0.0342342	0.259459	0.0432432	0	0.0468468	0.0288288	0.0378378	0.0468468	0.151351	0.0576577	0.0288288	0.10991	0.036036	0	0	0	0.118919	30	555	0.000347541
Single-Family Detached	CA, 03734	Owner	1960-79	0	0.0320924	0.0770218	0.0359435	0.0834403	0.0359435	0.0282413	0.0770218	0.0179718	0	0.0564827	0	0.0731707	0.0937099	0.0706033	0.0539153	0.0308087	0.012837	0.220796	45	779	0.000707589
Single-Family Detached	CA, 03734	Renter	1960-79	0.0740319	0.0626424	0.0797267	0	0.0148064	0.0353075	0.0261959	0.0136674	0.0284738	0.022779	0.0774487	0.146925	0.0558087	0	0.101367	0.0854214	0	0	0.175399	41	878	0.000409767
Mobile Home	CA, 03734	Owner	1980-99	0.0452663	0.042696	0.0385549	0.0416964	0.0514065	0.0471227	0.0528345	0.0382693	0.0491218	0.0454091	0.0981008	0.0815365	0.112095	0.070684	0.0585463	0.0429816	0.0197058	0.0112809	0.0526917	380	7003	1.65447e-05
Mobile Home	CA, 03734	Renter	1980-99	0.129688	0.0683491	0.107256	0.0494217	0.042061	0.0529267	0.0361023	0.0501227	0.0536278	0.0308447	0.0357518	0.0729057	0.0886786	0.113915	0.0290922	0.0164739	0.0185769	0.0042061	0	116	2853	2.26958e-05
Multi-Family with 2 - 4 Units	CA, 03734	Owner	1980-99	0.0570927	0.0142	0.0256185	0.0133216	0.0259113	0.0455277	0.0174206	0.0477236	0.0339628	0.0515298	0.0578246	0.0392329	0.082272	0.0983751	0.0682184	0.0357195	0.0749524	0.0295711	0.181525	359	6831	7.7127e-05
Multi-Family with 2 - 4 Units	CA, 03734	Renter	1980-99	0.0345572	0.00647948	0	0.0302376	0.0356371	0.0820734	0.0539957	0.110151	0.0604752	0.0323974	0.0194384	0.102592	0.151188	0.024838	0.0658747	0.0345572	0.0637149	0.012959	0.0788337	53	926	0.000675758
Multi-Family with 5+ Units	CA, 03734	Owner	1980-99	0	0.062635	0	0.0993521	0	0	0.049676	0.0345572	0.0172786	0.0539957	0.0215983	0.0561555	0.0993521	0.181425	0.0928726	0.0604752	0	0	0.170626	27	463	0.000145171
Multi-Family with 5+ Units	CA, 03734	Renter	1980-99	0.0874117	0.0750505	0.0537336	0.0818618	0.0613017	0.0567608	0.0455348	0.0610494	0.0462916	0.0841322	0.0614279	0.0906912	0.0768163	0.0302725	0.0274975	0.0254793	0.00655903	0.00479314	0.023335	440	7928	0.00567905
Single-Family Attached	CA, 03734	Owner	1980-99	0	0.0536585	0	0.165854	0	0.0634146	0.0292683	0	0	0	0.0536585	0.0341463	0.121951	0.126829	0.0634146	0	0.0341463	0	0.253659	17	205	7.46092e-05
Single-Family Attached	CA, 03734	Renter	1980-99	0.0793201	0.1983	0.110482	0.127479	0	0.0339943	0	0	0	0.0311615	0	0	0.186969	0	0.0793201	0.01983	0.0736544	0.0396601	0.01983	18	353	0.0003158
Single-Family Detached	CA, 03734	Owner	1980-99	0.0246679	0	0.0170778	0.0474383	0	0.0113852	0.028463	0.0227704	0	0.0341556	0.0664137	0.0588235	0	0.0872865	0.0740038	0.0531309	0.110057	0.0910816	0.273245	34	527	0.00049826
Single-Family Detached	CA, 03734	Renter	1980-99	0.0150502	0.0200669	0.0117057	0.0451505	0.0217391	0.0367893	0.110368	0.0668896	0	0.0234114	0.0986622	0	0.0133779	0.135452	0.177258	0.0752508	0	0	0.148829	28	598	0.000288544
Mobile Home	CA, 03734	Owner	2000-09	0.022864	0.0204573	0.02858	0.0418171	0.0240674	0.0213598	0.0186522	0.0628761	0.0646811	0.101384	0.0631769	0.0685921	0.0697954	0.148616	0.0174489	0.0923586	0.0246691	0.0252708	0.0833333	172	3324	0
