Housing Characteristic,Category,Data Source,URL,Remark,bibtex
Misc Gas Fireplace,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Misc Gas Fireplace,Internal Gains and MELs,Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
Misc Gas Fireplace,Internal Gains and MELs,BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
Misc Gas Grill,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Misc Gas Grill,Internal Gains and MELs,Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
Misc Gas Grill,Internal Gains and MELs,BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
Misc Gas Lighting,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Misc Gas Lighting,Internal Gains and MELs,Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
Misc Gas Lighting,Internal Gains and MELs,BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
Misc Hot Tub Spa,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Misc Hot Tub Spa,Internal Gains and MELs,Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
Misc Hot Tub Spa,Internal Gains and MELs,BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
Misc Pool,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Misc Pool,Internal Gains and MELs,Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
Misc Pool,Internal Gains and MELs,BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
Misc Well Pump,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Misc Well Pump,Internal Gains and MELs,Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
Misc Well Pump,Internal Gains and MELs,BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
Natural Ventilation,"Hot Water, HVAC, and Ventilation",HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Occupants,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Occupants,Internal Gains and MELs,ASHRAE Handbook 2009,https://www.techstreet.com/standards/2017-ashrae-handbook-fundamentals-i-p-includes-cd-in-i-p-and-si-editions?gclid=CjwKCAjwhLHaBRAGEiwAHCgG3sgDxJNKBlb47bVYG9qAWbZbL7DvlOoQtTA0Mng9PsKDLPybrXqyuhoCotcQAvD_BwE&sid=goog&product_id=1975069,NaN,"@misc{AmericanSocietyofHeating2009, address = {Atlanta, GA :}, author = {{American Society of Heating}, Refrigerating and Air-Conditioning Engineers. T A - T T -}, edition = {SI ed. NV - 1 online resource (1 volume (various pagings)) : illustrations}, isbn = {9781615831708 1615831703 9781933742557 1933742550}, language = {English},publisher = {American Society of Heating, Refrigeration and Air-Conditioning Engineers,},title = {{2009 ASHRAE handbook : fundamentals.}}, url = {https://www.techstreet.com/standards/2017-ashrae-handbook-fundamentals-i-p-includes-cd-in-i-p-and-si-editions?gclid=CjwKCAjwhLHaBRAGEiwAHCgG3sgDxJNKBlb47bVYG9qAWbZbL7DvlOoQtTA0Mng9PsKDLPybrXqyuhoCotcQAvD_BwE&sid=goog&product_id=1975069}, year = {2009}}"
Orientation,Geometry,OSM,https://www.openstreetmap.org/#map=4/38.01/-95.84,Data obtained by RadiantLabs. Data not for distribution (http://www.radiantlabs.co/).,"@misc{OpenStreetMapFoundation, author = {{OpenStreetMap Foundation}}, title = {{OpenStreetMaps}}, url = {https://www.openstreetmap.org/{\#}map=4/38.01/-95.84} }"
Overhangs,Construction,Not Used,NaN,NaN,NaN
PV,Internal Gains and MELs,Not Used,NaN,NaN,NaN
Plug Loads,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Plug Loads,Internal Gains and MELs,Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
Range Spot Vent Hour,"Hot Water, HVAC, and Ventilation",BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
